qol_cost_reference_month,qol_cost_country_iso2,qol_cost_city_id,qol_cost_hicp_overall_index,qol_cost_food_index,qol_cost_energy_index,qol_cost_transport_index,qol_cost_rent_index,qol_cost_housing_cost_overburden_rate_pct,qol_cost_energy_poverty_rate_pct,qol_cost_median_net_income_eur,qol_cost_real_income_change_pct,qol_cost_consumer_confidence_index,qol_cost_price_level_index_pps,qol_cost_student_budget_eur_month,qol_cost_family_budget_eur_month,qol_cost_tourism_pressure_index,qol_cost_data_source,qol_cost_methodology_version,qol_cost_data_extract_date
2016-01,AT,CITY_AT_0000,116.68,120.09,184.64,137.53,143.1,17.9,13.63,3422.4,4.2,-22.8,133.42,1286.05,2766.02,52.51,HICP_CITY_MODEL,COST_V1,2025-07-19
2016-02,EE,CITY_EE_0037,98.47,98.17,137.9,116.89,105.48,15.66,2.6,3863.15,-2.05,-16.32,106.47,1402.53,1294.35,5.09,EUROSTAT_HICP,COST_V2,2024-05-21
2016-03,IT,CITY_IT_0074,118.51,114.47,220.34,110.72,115.02,6.08,4.46,1950.44,3.97,-23.57,98.36,1318.12,1805.41,56.51,URBAN_COST_SURVEY,COST_V3,2025-05-26
2016-04,PT,CITY_PT_0111,104.9,118.61,191.63,102.99,116.04,20.53,3.03,1636.77,4.37,-12.76,116.57,1173.11,1616.81,71.51,NATIONAL_PRICE_OBS,COST_V1,2024-07-05
2016-05,BE,CITY_BE_0148,126.56,139.08,257.9,118.68,161.83,17.54,11.64,1274.58,3.68,-29.43,124.94,1460.18,1928.43,39.5,HICP_CITY_MODEL,COST_V2,2026-02-15
2016-06,FI,CITY_FI_0185,118.95,114.27,227.21,131.76,159.55,16.49,15.97,3386.76,4.15,-20.95,117.08,745.63,2447.87,49.17,EUROSTAT_HICP,COST_V3,2025-06-02
2016-07,LV,CITY_LV_0222,122.5,140.63,174.76,119.46,123.4,13.85,12.43,1560.32,-5.54,-7.88,114.33,1038.15,2178.86,28.14,URBAN_COST_SURVEY,COST_V1,2025-08-15
2016-08,RO,CITY_RO_0259,94.82,103.02,133.88,102.32,110.22,16.29,4.1,3744.13,-1.46,-20.17,112.9,656.9,2590.98,40.24,NATIONAL_PRICE_OBS,COST_V2,2025-07-17
2016-09,BG,CITY_BG_0296,106.67,122.33,207.1,117.94,108.38,12.49,12.25,1763.47,-0.65,-10.77,118.51,1314.12,4713.67,56.92,HICP_CITY_MODEL,COST_V3,2025-09-03
2016-10,FR,CITY_FR_0333,116.25,128.42,126.64,131.56,137.97,23.28,11.3,3217.18,-3.61,3.3,164.0,1893.91,3118.23,28.05,EUROSTAT_HICP,COST_V1,2024-09-13
2016-11,LT,CITY_LT_0370,90.78,96.28,161.68,85.51,104.01,16.87,4.76,2510.94,0.1,-32.03,124.76,1119.25,2636.67,15.92,URBAN_COST_SURVEY,COST_V2,2026-01-14
2016-12,SK,CITY_SK_0407,105.78,114.81,185.29,104.09,119.81,19.21,4.26,1697.19,3.46,-33.01,92.56,905.0,2170.9,22.55,NATIONAL_PRICE_OBS,COST_V3,2024-01-17
2017-01,HR,CITY_HR_0444,112.62,115.04,190.33,122.74,105.53,15.07,3.45,1022.04,2.37,-3.31,102.31,1513.0,4388.94,25.26,HICP_CITY_MODEL,COST_V1,2025-09-11
2017-02,DE,CITY_DE_0481,118.85,121.8,235.48,134.59,159.85,24.16,2.52,3469.46,0.39,-17.69,90.08,1063.09,4494.18,8.99,EUROSTAT_HICP,COST_V2,2024-08-17
2017-03,LU,CITY_LU_0518,122.68,134.91,166.62,127.25,161.97,9.45,11.3,1241.49,-5.23,-1.04,136.83,1062.72,4243.44,31.76,URBAN_COST_SURVEY,COST_V3,2025-09-04
2017-04,SI,CITY_SI_0555,87.35,83.95,144.78,101.82,82.1,19.26,4.25,2981.3,4.16,-19.84,123.41,1204.22,2916.84,12.42,NATIONAL_PRICE_OBS,COST_V1,2025-08-02
2017-05,CY,CITY_CY_0592,104.54,101.51,165.02,118.21,118.69,9.45,16.27,2149.64,-3.17,-10.15,118.49,544.34,2313.34,18.82,HICP_CITY_MODEL,COST_V2,2025-06-15
2017-06,GR,CITY_GR_0629,96.53,103.67,105.53,109.33,107.18,10.66,2.63,1879.44,3.87,5.17,96.35,764.71,3904.48,75.71,EUROSTAT_HICP,COST_V3,2024-07-08
2017-07,MT,CITY_MT_0666,119.68,134.11,175.7,138.54,127.54,13.01,6.13,3799.34,-1.07,-13.37,89.02,1060.74,1488.56,64.82,URBAN_COST_SURVEY,COST_V1,2024-11-27
2017-08,ES,CITY_ES_0703,86.6,97.61,96.5,95.13,80.96,22.68,13.06,1014.36,4.19,-19.31,113.32,560.42,4296.27,60.42,NATIONAL_PRICE_OBS,COST_V2,2024-12-27
2017-09,CZ,CITY_CZ_0740,108.71,123.51,196.9,123.29,114.25,8.39,2.68,2118.32,-4.94,-17.89,69.12,1592.71,3584.51,48.75,HICP_CITY_MODEL,COST_V3,2025-06-14
2017-10,HU,CITY_HU_0777,118.88,126.98,235.44,124.27,111.71,13.86,7.74,1329.04,1.45,-29.08,101.39,1276.52,3699.0,23.36,EUROSTAT_HICP,COST_V1,2024-07-10
