qol_cult_reference_year,qol_cult_country_iso2,qol_cult_region_nuts_code,qol_cult_cultural_venue_type_code,qol_cult_visits_per_capita,qol_cult_participation_rate_pct,qol_cult_public_spend_culture_eur_per_capita,qol_cult_employment_cultural_sector_pct,qol_cult_creative_industries_turnover_eur,qol_cult_libraries_per_100k,qol_cult_museums_per_100k,qol_cult_cinema_admissions_per_capita,qol_cult_festival_events_count,qol_cult_european_capital_of_culture_flag,qol_cult_cross_border_cultural_projects_count,qol_cult_digital_culture_consumption_pct,qol_cult_copyright_collecting_society_revenues_eur,qol_cult_data_source,qol_cult_methodology_version,qol_cult_data_extract_date
2006,AT,FI431,MUSEUM,8.72,62.83,283.1,3.42,2166440529.94,24.56,19.5,1.03,259,0,117,58.39,853088938.05,CULTURE_STATS_SURVEY,CULT_V1,2025-08-29
2007,EE,RO966,LIBRARY,4.74,56.17,63.78,3.64,6820609016.39,23.41,14.22,3.28,275,0,14,47.25,715498120.16,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-09-12
2008,IT,DE933,FESTIVAL_SITE,5.12,42.8,75.59,4.21,10158544242.51,9.28,8.61,4.41,233,1,123,39.87,1365693632.97,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-12-08
2009,PT,FR736,THEATRE,7.39,41.5,195.07,2.39,4651783056.74,15.62,6.57,1.31,210,0,64,22.47,905895784.92,EUROSTAT_CULT,CULT_V1,2025-05-04
2010,BE,HR336,CONCERT_HALL,5.67,50.15,73.74,4.05,19160291762.42,28.75,9.23,3.51,315,0,62,20.81,840050472.35,CULTURE_STATS_SURVEY,CULT_V3,2024-07-26
2011,FI,SE73,HERITAGE_SITE,8.67,73.76,100.88,1.38,15462003632.01,32.71,6.94,4.26,61,0,51,46.79,677896206.8,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-06-11
2012,LV,DE8,CINEMA,6.31,47.1,123.8,3.09,10996346873.67,26.44,9.93,5.29,65,0,19,42.31,249679825.21,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-12-30
2013,RO,SI8,CULTURAL_CENTRE,7.86,59.05,107.66,3.74,19600483852.01,13.02,6.4,3.82,69,1,82,29.08,421202702.04,EUROSTAT_CULT,CULT_V3,2024-05-25
2014,BG,HR666,MUSEUM,4.72,68.68,150.68,1.58,18635897735.39,12.96,3.81,4.83,190,0,45,63.89,65494249.07,CULTURE_STATS_SURVEY,CULT_V2,2025-02-14
2015,FR,HR642,LIBRARY,3.05,38.59,217.55,4.51,25363179844.6,20.69,16.67,1.83,317,0,138,52.66,578866832.13,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-06-30
2016,LT,HU80,FESTIVAL_SITE,8.18,29.35,166.98,2.51,11698651546.92,12.61,6.99,2.36,6,0,94,76.43,951706196.07,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-07-29
2017,SK,EE245,THEATRE,6.46,40.64,238.86,1.52,9588907966.25,12.89,17.07,3.78,366,0,31,68.09,463001010.89,EUROSTAT_CULT,CULT_V2,2025-02-14
2018,HR,RO605,CONCERT_HALL,3.17,35.62,114.64,3.32,2364042488.52,14.61,5.61,1.61,114,0,7,38.05,602947990.17,CULTURE_STATS_SURVEY,CULT_V1,2025-10-04
2019,DE,EE701,HERITAGE_SITE,10.18,49.5,108.07,4.33,13688737687.17,27.39,16.21,6.13,34,0,50,60.64,1499435306.92,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-09-03
2020,LU,HU3,CINEMA,3.37,49.1,54.23,3.41,14119536537.13,27.74,12.75,1.31,124,0,30,74.56,793859727.69,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-05-04
2021,SI,MT17,CULTURAL_CENTRE,4.05,50.07,184.83,1.95,15932873855.17,30.34,7.67,1.05,99,0,71,96.73,63357575.89,EUROSTAT_CULT,CULT_V1,2025-10-10
2022,CY,HU5,MUSEUM,10.59,36.79,235.06,1.17,3141677964.17,21.96,8.2,4.39,311,0,97,91.64,128301768.72,CULTURE_STATS_SURVEY,CULT_V3,2025-05-21
2023,GR,BG54,LIBRARY,5.2,73.4,108.7,2.78,24631591404.13,28.79,8.08,2.61,372,0,39,89.89,750664076.24,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-11-15
2024,MT,EE41,FESTIVAL_SITE,8.0,25.93,102.78,2.7,18096356257.32,17.75,8.54,4.33,144,0,44,70.89,412706253.99,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-10-21
2025,ES,RO20,THEATRE,10.62,50.92,182.11,4.21,14452559706.83,18.17,5.32,2.79,19,0,15,56.03,422521028.34,EUROSTAT_CULT,CULT_V3,2025-01-22
2006,CZ,DE390,CONCERT_HALL,10.09,49.13,138.75,1.71,18420879474.08,23.47,17.09,2.41,61,0,26,43.65,338589135.71,CULTURE_STATS_SURVEY,CULT_V2,2025-03-26
2007,HU,SE9,HERITAGE_SITE,5.65,41.92,192.91,1.71,10503999940.74,28.8,12.63,3.6,294,0,106,24.49,404419337.24,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-12-13
2008,NL,IE909,CINEMA,5.96,49.19,262.93,2.79,6317248406.01,23.38,5.19,3.15,59,0,61,56.75,1306402209.2,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-05-10
2009,SE,EE4,CULTURAL_CENTRE,3.71,73.03,111.31,1.74,5859429009.43,9.91,9.1,4.12,189,0,52,40.9,549449989.47,EUROSTAT_CULT,CULT_V2,2025-10-27
2010,DK,CZ782,MUSEUM,6.29,43.28,208.92,3.55,4950270220.9,11.49,6.2,5.13,344,0,113,20.76,664054086.98,CULTURE_STATS_SURVEY,CULT_V1,2024-04-15
2011,IE,BG24,LIBRARY,3.01,34.05,58.39,2.47,11673522942.19,28.73,11.55,6.32,328,1,49,19.88,832217972.73,CREATIVE_ECON_ACCOUNTS,CULT_V3,2026-01-19
2012,PL,PL2,FESTIVAL_SITE,6.07,41.51,121.86,3.01,9258848726.39,11.63,9.36,3.72,256,0,47,23.23,444261224.79,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-03-31
2013,AT,FI96,THEATRE,1.98,44.27,267.67,2.35,17192844429.27,21.29,16.48,2.89,131,0,167,44.24,560789389.11,EUROSTAT_CULT,CULT_V1,2024-12-08
2014,EE,HR548,CONCERT_HALL,7.71,66.49,227.86,1.5,11593360191.12,15.83,4.16,5.4,104,0,45,23.34,466536188.4,CULTURE_STATS_SURVEY,CULT_V3,2024-09-22
2015,IT,SI317,HERITAGE_SITE,3.37,82.15,78.93,1.33,19099991807.45,17.57,11.74,4.71,188,0,113,43.68,1355368031.45,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-11-25
