qol_green_reference_year,qol_green_city_id,qol_green_country_iso2,qol_green_population_city,qol_green_green_space_m2_per_capita,qol_green_tree_canopy_cover_pct,qol_green_park_access_10min_walk_pct,qol_green_active_mobility_infrastructure_index,qol_green_air_quality_index,qol_green_noise_exposure_index,qol_green_heat_island_index,qol_green_flood_risk_exposure_pct,qol_green_waste_recycling_rate_pct,qol_green_water_leakage_rate_pct,qol_green_public_transport_accessibility_index,qol_green_housing_energy_efficiency_index,qol_green_climate_neutral_city_mission_flag,qol_green_data_source,qol_green_last_update_date,qol_green_data_extract_date
2006,CITY_AT_0963,AT,3214147,11.01,29.82,73.9,40.91,64.95,54.69,49.56,18.77,71.04,20.95,58.71,55.81,0,URBAN_AUDIT,2022-06-27,2025-12-29
2007,CITY_CZ_1000,CZ,2772906,45.53,22.61,84.82,74.29,71.0,48.53,36.41,9.23,27.99,18.51,86.86,69.4,0,COPERNICUS_URBAN_ATLAS,2022-08-03,2024-12-16
2008,CITY_DE_1037,DE,7180608,33.19,10.31,80.11,48.15,49.68,48.25,15.77,15.75,66.93,23.63,87.96,46.93,0,CITY_ADMIN_DATA,2022-09-09,2025-11-26
2009,CITY_LV_1074,LV,4014902,10.29,18.05,84.87,28.98,64.24,33.55,71.58,8.99,26.77,8.81,41.35,77.33,0,EEA_CITY_ENV_EXPORT,2022-10-16,2025-12-01
2010,CITY_PL_1111,PL,2455947,21.09,25.34,49.92,58.11,74.62,83.78,27.7,5.6,32.9,21.35,50.32,31.61,0,URBAN_AUDIT,2022-11-22,2025-09-06
2011,CITY_ES_1148,ES,4098239,36.1,29.2,67.35,59.64,38.84,32.15,94.45,18.35,57.77,18.92,97.17,63.67,0,COPERNICUS_URBAN_ATLAS,2022-12-29,2025-01-31
2012,CITY_HR_1185,HR,4750813,17.14,20.03,94.32,59.17,54.38,30.43,51.07,16.33,53.72,20.15,44.17,39.9,0,CITY_ADMIN_DATA,2023-02-04,2024-04-25
2013,CITY_FI_1222,FI,704379,44.69,32.69,60.37,46.69,42.4,77.42,64.93,8.48,33.11,7.36,82.09,53.29,0,EEA_CITY_ENV_EXPORT,2023-03-13,2024-08-22
2014,CITY_IE_1259,IE,1373897,21.84,20.35,86.18,55.27,41.52,84.95,57.54,18.89,56.35,23.19,39.62,76.41,0,URBAN_AUDIT,2023-04-19,2025-08-07
2015,CITY_MT_1296,MT,2650423,29.51,30.43,51.08,49.85,56.04,78.66,44.95,5.81,24.1,11.84,58.69,55.37,0,COPERNICUS_URBAN_ATLAS,2023-05-26,2024-07-21
2016,CITY_SK_1333,SK,4592839,46.36,14.54,86.03,30.71,74.43,83.81,28.77,15.1,52.59,7.19,88.68,62.48,0,CITY_ADMIN_DATA,2023-07-02,2025-08-09
2017,CITY_BE_1370,BE,359787,27.27,24.29,90.12,36.57,55.94,70.96,18.04,11.48,68.69,26.23,61.88,65.79,0,EEA_CITY_ENV_EXPORT,2023-08-08,2025-02-18
2018,CITY_DK_1407,DK,4047203,14.46,26.96,62.62,42.28,96.97,23.17,22.71,8.55,55.7,6.01,63.24,71.77,0,URBAN_AUDIT,2023-09-14,2025-04-22
2019,CITY_GR_1444,GR,149335,22.6,18.86,94.25,64.69,55.95,49.53,45.95,11.49,44.6,7.72,80.57,79.46,0,COPERNICUS_URBAN_ATLAS,2023-10-21,2024-12-30
2020,CITY_LT_1481,LT,372417,19.6,32.13,78.56,78.2,41.83,22.77,13.2,12.96,30.77,19.51,74.32,57.11,0,CITY_ADMIN_DATA,2023-11-27,2025-06-08
2021,CITY_PT_1518,PT,1513380,11.39,25.06,49.53,57.4,62.3,78.36,91.3,7.8,56.98,23.63,50.14,74.67,0,EEA_CITY_ENV_EXPORT,2024-01-03,2024-11-13
2022,CITY_SE_1555,SE,6103760,45.23,22.21,93.95,50.89,85.19,41.08,18.56,4.79,61.31,25.3,62.33,68.75,0,URBAN_AUDIT,2024-02-09,2025-05-07
2023,CITY_CY_1592,CY,4966279,35.48,15.36,62.5,43.32,38.52,76.48,70.45,2.29,39.78,25.86,88.65,52.4,0,COPERNICUS_URBAN_ATLAS,2024-03-17,2026-02-05
2024,CITY_FR_1629,FR,2162491,37.32,35.47,65.11,34.05,45.53,34.78,46.68,17.27,36.21,23.58,78.44,59.89,0,CITY_ADMIN_DATA,2024-04-23,2024-10-05
2025,CITY_IT_1666,IT,1923499,58.82,14.45,85.21,35.4,66.43,42.27,66.61,10.47,48.42,6.43,89.5,65.76,1,EEA_CITY_ENV_EXPORT,2024-05-30,2025-01-24
2006,CITY_NL_1703,NL,669161,25.33,31.82,78.57,31.32,53.46,46.33,16.23,6.51,56.51,7.27,51.7,47.07,0,URBAN_AUDIT,2024-07-06,2024-10-31
2007,CITY_SI_1740,SI,1012388,51.53,15.67,53.47,70.11,37.95,55.16,27.6,12.19,19.5,20.5,96.34,45.07,0,COPERNICUS_URBAN_ATLAS,2024-08-12,2024-04-21
2008,CITY_BG_1777,BG,1318656,36.02,24.02,72.67,60.67,34.18,27.95,26.13,15.19,17.63,12.69,60.53,33.64,0,CITY_ADMIN_DATA,2024-09-18,2025-03-03
2009,CITY_EE_1814,EE,276204,20.22,11.78,58.5,29.7,77.08,45.78,61.58,5.35,35.34,6.11,86.15,42.41,0,EEA_CITY_ENV_EXPORT,2024-10-25,2025-03-19
2010,CITY_HU_1851,HU,2981840,41.7,18.95,93.58,52.68,85.16,52.0,71.19,1.21,21.56,12.71,43.13,76.59,0,URBAN_AUDIT,2024-12-01,2025-04-07
2011,CITY_LU_1888,LU,3423804,37.27,22.01,49.15,35.8,72.96,64.63,59.33,12.16,46.19,12.5,77.87,78.08,0,COPERNICUS_URBAN_ATLAS,2025-01-07,2025-01-15
2012,CITY_RO_1925,RO,3435662,22.43,17.87,65.21,55.91,61.58,75.9,18.61,15.28,36.1,7.06,56.92,36.91,0,CITY_ADMIN_DATA,2025-02-13,2025-06-24
2013,CITY_AT_1962,AT,1296584,43.96,28.77,79.93,55.07,56.74,27.53,17.89,3.91,71.0,6.55,45.35,44.24,0,EEA_CITY_ENV_EXPORT,2025-03-22,2025-03-04
2014,CITY_CZ_1999,CZ,3119455,54.24,35.93,55.52,42.46,37.63,45.49,41.13,16.68,23.16,26.59,50.79,50.29,0,URBAN_AUDIT,2025-04-28,2024-10-18
2015,CITY_DE_2036,DE,5240588,38.48,34.23,55.48,53.35,38.41,39.57,71.93,17.17,68.83,13.52,98.44,85.13,0,COPERNICUS_URBAN_ATLAS,2025-06-04,2025-04-30
2016,CITY_LV_2073,LV,1827242,35.09,17.53,82.77,61.92,77.11,36.12,74.86,9.41,17.58,16.2,64.76,50.38,0,CITY_ADMIN_DATA,2025-07-11,2026-01-12
2017,CITY_PL_2110,PL,6219025,25.63,25.3,55.91,65.25,46.9,53.54,74.17,1.29,34.69,8.41,68.8,33.15,0,EEA_CITY_ENV_EXPORT,2025-08-17,2024-03-11
2018,CITY_ES_2147,ES,4156998,46.78,15.99,75.09,48.42,45.44,29.98,51.05,17.84,38.4,21.04,61.43,66.17,0,URBAN_AUDIT,2025-09-23,2024-08-30
2019,CITY_HR_2184,HR,666224,32.08,16.6,61.51,71.63,41.92,52.0,54.56,17.3,56.14,29.99,95.72,57.26,0,COPERNICUS_URBAN_ATLAS,2025-10-30,2024-04-03
2020,CITY_FI_2221,FI,5013330,14.72,28.55,85.69,79.31,74.56,53.0,28.6,12.46,17.81,8.76,94.69,89.81,0,CITY_ADMIN_DATA,2025-12-06,2025-10-24
2021,CITY_IE_2258,IE,2682877,32.88,13.28,52.16,26.28,38.15,37.2,43.24,18.05,20.35,18.62,58.29,45.14,1,EEA_CITY_ENV_EXPORT,2026-01-12,2025-04-15
2022,CITY_MT_2295,MT,4427559,22.33,25.99,91.16,60.68,76.97,47.11,44.39,8.81,52.55,23.85,61.52,46.38,0,URBAN_AUDIT,2026-02-18,2024-04-08
2023,CITY_SK_2332,SK,1536903,29.05,15.67,56.75,45.08,68.02,27.94,18.88,1.85,53.68,17.95,42.61,88.04,0,COPERNICUS_URBAN_ATLAS,2010-01-30,2025-10-31
2024,CITY_BE_2369,BE,2505391,28.54,20.46,55.65,46.73,38.37,78.21,52.25,4.52,56.33,19.0,77.91,40.44,0,CITY_ADMIN_DATA,2010-03-08,2024-01-11
2025,CITY_DK_2406,DK,146465,9.83,17.72,83.87,70.12,46.99,45.78,63.56,3.7,48.34,23.6,48.95,61.49,0,EEA_CITY_ENV_EXPORT,2010-04-14,2025-09-13
