qol_reg_reference_year,qol_reg_country_iso2,qol_reg_region_nuts_code,qol_reg_gdp_per_capita_pps,qol_reg_employment_rate_pct,qol_reg_r_and_d_intensity_pct_gdp,qol_reg_broadband_coverage_pct,qol_reg_accessibility_index,qol_reg_health_outcomes_index,qol_reg_education_attainment_index,qol_reg_poverty_rate_pct,qol_reg_income_inequality_gini,qol_reg_air_quality_index,qol_reg_green_space_access_pct,qol_reg_public_services_quality_score,qol_reg_institutional_quality_index,qol_reg_cohesion_funds_per_capita_eur,qol_reg_just_transition_exposure_index,qol_reg_data_source,qol_reg_data_extract_date
2006,AT,FI431,196.81,64.78,1.19,88.81,38.7,88.3,72.63,22.84,24.24,58.96,38.0,6.25,72.29,530.12,51.38,EUROSTAT_REGIO,2025-12-05
2007,EE,RO966,127.5,67.61,1.56,81.79,36.24,67.0,63.77,16.53,28.2,84.29,88.47,5.56,55.72,2090.32,19.35,NATIONAL_STAT_EXPORT,2024-06-25
2008,IT,DE933,59.28,71.97,1.8,71.28,88.19,67.72,77.69,15.51,23.68,43.47,53.36,6.91,66.84,1691.2,44.3,COHESION_POLICY_DASHBOARD,2025-08-20
2009,PT,FR736,98.02,69.65,1.01,65.86,84.63,66.81,57.59,31.75,34.64,81.27,76.15,8.26,44.43,293.77,28.91,JRC_COMPOSITE,2024-07-31
2010,BE,HR336,161.4,77.51,2.14,92.9,48.1,93.68,81.19,18.32,28.01,54.0,34.45,9.04,35.22,187.7,7.71,EUROSTAT_REGIO,2024-02-21
2011,FI,SE73,114.38,64.97,1.74,67.23,42.19,77.99,77.45,10.5,24.14,70.16,29.28,7.05,64.77,767.7,14.69,NATIONAL_STAT_EXPORT,2024-03-22
2012,LV,DE8,92.81,56.58,0.87,81.57,52.95,73.21,60.03,9.31,27.0,67.01,44.67,5.93,64.95,1963.08,13.55,COHESION_POLICY_DASHBOARD,2025-07-30
2013,RO,SI8,138.6,64.47,1.44,79.51,76.41,53.81,45.9,13.86,35.9,51.12,75.71,5.39,42.89,755.2,45.29,JRC_COMPOSITE,2024-07-08
2014,BG,HR666,148.7,73.96,2.37,69.31,35.87,71.62,76.49,13.23,25.43,62.24,40.54,5.85,71.2,394.94,62.98,EUROSTAT_REGIO,2025-02-08
2015,FR,HR642,138.79,85.01,0.3,88.08,50.54,95.89,78.52,18.72,24.51,75.42,50.5,6.46,66.81,795.21,41.3,NATIONAL_STAT_EXPORT,2025-06-02
2016,LT,HU80,101.97,63.86,1.45,83.0,95.37,55.52,49.83,29.71,29.39,62.83,77.6,5.88,42.51,687.87,16.45,COHESION_POLICY_DASHBOARD,2025-09-04
2017,SK,EE245,66.21,66.78,2.3,93.72,48.84,51.51,94.34,17.32,24.81,46.46,58.1,5.69,59.99,2067.01,41.15,JRC_COMPOSITE,2025-08-30
2018,HR,RO605,169.2,62.62,1.08,70.33,60.81,82.44,59.59,22.81,27.83,53.44,83.94,4.78,68.51,1659.39,21.93,EUROSTAT_REGIO,2025-05-20
