qol_trust_reference_year,qol_trust_country_iso2,qol_trust_region_nuts_code,qol_trust_trust_in_parliament_score,qol_trust_trust_in_government_score,qol_trust_trust_in_police_score,qol_trust_trust_in_media_score,qol_trust_corruption_perception_score,qol_trust_satisfaction_with_democracy_score,qol_trust_sense_of_safety_night_pct,qol_trust_victimisation_rate_pct,qol_trust_social_capital_index,qol_trust_volunteering_rate_pct,qol_trust_civic_participation_rate_pct,qol_trust_hate_speech_exposure_rate_pct,qol_trust_disinformation_exposure_index,qol_trust_institutional_quality_index,qol_trust_survey_source,qol_trust_survey_weight,qol_trust_data_extract_date
2006,AT,FI431,4.25,5.75,5.77,5.88,74.91,6.03,60.81,11.11,33.14,9.64,32.91,10.74,47.11,84.12,EUROBAROMETER,4.7672,2024-08-20
2007,CZ,BG16,3.59,5.0,4.36,4.6,76.39,5.82,64.08,17.01,59.17,17.48,12.6,15.49,21.32,63.08,NATIONAL_TRUST_SURVEY,2.2033,2025-01-03
2008,DE,NL7,4.0,6.15,3.9,4.17,61.89,6.3,63.38,10.9,72.11,25.21,16.12,15.86,41.89,76.97,EUQLS,2.7637,2025-11-02
2009,LV,SI252,3.98,3.61,5.38,5.37,39.98,3.01,63.33,11.58,51.92,13.19,20.2,21.19,35.46,45.36,ESS,3.1639,2024-04-13
2010,PL,HR84,2.51,5.39,5.6,2.44,40.12,5.5,64.92,6.39,77.7,23.44,37.85,17.71,35.74,32.27,EUROBAROMETER,2.3712,2025-06-06
2011,ES,SI8,5.47,2.15,4.72,4.53,33.16,3.92,80.66,15.5,78.26,11.89,18.66,11.91,27.54,82.06,NATIONAL_TRUST_SURVEY,1.5614,2025-03-15
2012,HR,FR2,3.15,5.08,5.8,3.37,75.78,3.65,47.37,16.9,40.27,18.22,9.7,14.13,24.81,78.15,EUQLS,4.2024,2024-05-28
2013,FI,DE93,7.11,6.4,4.8,1.79,44.01,6.59,85.67,10.39,76.6,18.72,42.18,16.44,55.24,65.71,ESS,1.2428,2025-02-20
2014,IE,RO510,5.21,6.19,3.96,3.32,35.99,6.6,47.71,10.08,59.43,20.1,19.05,18.6,25.16,64.67,EUROBAROMETER,2.9301,2026-02-05
2015,MT,AT88,2.33,3.02,6.28,4.57,59.1,4.47,44.7,12.71,41.22,27.21,37.01,12.12,38.1,68.04,NATIONAL_TRUST_SURVEY,1.2175,2024-07-14
2016,SK,HU3,5.3,5.35,4.73,4.94,69.91,3.31,51.42,10.87,59.82,23.41,13.0,22.56,65.76,67.04,EUQLS,1.7018,2025-10-19
2017,BE,EE77,4.43,2.61,3.99,4.51,67.58,5.41,48.64,10.83,61.94,21.29,9.9,10.95,49.19,49.6,ESS,2.8054,2025-02-12
2018,DK,CY2,3.32,6.98,5.94,5.24,87.31,5.97,78.39,7.54,57.0,15.93,38.35,19.28,68.29,83.8,EUROBAROMETER,0.9686,2025-01-07
2019,GR,LV1,3.55,5.59,5.56,5.62,47.28,5.63,54.05,12.7,37.92,15.35,9.24,19.9,73.67,38.56,NATIONAL_TRUST_SURVEY,3.789,2024-06-01
2020,LT,NL280,3.28,2.89,6.65,4.91,67.46,4.26,80.16,19.4,45.77,15.23,16.67,6.39,32.77,50.99,EUQLS,4.6104,2025-05-26
2021,PT,SE9,3.12,2.14,4.38,4.14,61.13,7.01,57.78,8.33,46.69,21.56,20.26,18.3,42.21,69.91,ESS,4.5626,2026-01-15
2022,SE,GR496,6.81,3.42,4.41,2.66,87.87,8.65,64.21,13.64,59.25,20.63,33.21,5.73,46.97,91.6,EUROBAROMETER,2.7351,2024-05-02
2023,CY,SK944,5.87,5.79,5.72,4.36,37.59,3.68,47.34,14.78,32.66,25.25,37.22,13.44,56.37,69.76,NATIONAL_TRUST_SURVEY,1.5974,2024-10-18
2024,FR,FI33,3.99,4.28,4.2,3.88,78.34,5.26,85.48,11.05,52.76,9.01,26.38,6.38,60.46,52.69,EUQLS,0.9773,2024-07-11
2025,IT,ES179,3.51,5.16,4.33,4.45,69.3,3.91,43.4,16.13,36.85,16.06,21.24,17.09,27.41,81.14,ESS,0.5503,2025-12-03
2006,NL,HR548,3.79,5.43,5.14,4.47,54.31,4.29,51.7,10.82,72.09,9.25,40.46,22.55,37.86,46.66,EUROBAROMETER,3.4517,2024-07-12
2007,SI,PT41,5.09,4.74,6.17,3.0,47.74,5.37,69.74,16.92,40.63,22.02,28.22,18.31,44.2,45.71,NATIONAL_TRUST_SURVEY,0.7242,2025-01-24
2008,BG,SE58,4.22,2.57,6.03,4.17,41.31,6.49,76.54,11.5,67.99,20.31,23.17,13.69,24.79,36.48,EUQLS,2.3295,2025-10-14
2009,EE,DK953,3.6,3.43,6.61,2.86,50.66,3.51,79.32,9.95,79.47,23.45,24.28,21.94,36.18,45.4,ESS,4.6731,2025-10-08
2010,HU,SE4,4.75,2.76,7.81,1.9,45.03,6.43,59.04,10.14,56.36,22.27,34.05,25.0,32.63,51.01,EUROBAROMETER,4.0873,2024-01-28
