safe_crime_reference_year,safe_crime_country_iso2,safe_crime_region_nuts_code,safe_crime_offence_code,safe_crime_reported_cases_count,safe_crime_victim_age_group,safe_crime_victim_sex,safe_crime_suspect_age_group,safe_crime_suspect_sex,safe_crime_clearance_rate_pct,safe_crime_convictions_count,safe_crime_imprisonment_rate_per_100k,safe_crime_prison_population_count,safe_crime_alternative_sanctions_count,safe_crime_domestic_violence_flag,safe_crime_hate_crime_flag,safe_crime_eurostat_table_code,safe_crime_data_source,safe_crime_revision_round,safe_crime_data_extract_date
2006,AT,LT58,THEFT,5439,0_14,F,0_14,F,17.33,731,141.39,17729,269,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-19
2007,EE,ES7,VEHICLE_THEFT,4734,35_44,M,15_19,U,13.57,262,109.86,29730,54,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-07
2008,IT,SI985,CYBER_ENABLED_FRAUD,6133,UNKNOWN,X,20_24,X,43.49,1425,110.75,23250,1476,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-15
2009,PT,FR7,SEXUAL_VIOLENCE,4184,25_34,U,25_34,M,55.16,1567,159.4,76074,445,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-26
2010,BE,HR780,ROBBERY,479,65_PLUS,F,35_44,F,15.12,34,67.99,1188,52,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-02
2011,FI,PL8,HUMAN_TRAFFICKING,334,20_24,M,45_54,U,29.05,70,46.14,81931,93,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-09-17
2012,LV,LU5,PROPERTY_DAMAGE,7882,55_64,X,55_64,X,44.67,1761,158.69,75479,2134,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-13
2013,RO,AT625,DRUG_TRAFFICKING,1020,15_19,U,65_PLUS,M,49.43,362,228.88,21897,213,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-12-19
2014,BG,DK472,HOMICIDE,14,45_54,F,UNKNOWN,F,64.45,6,75.11,83795,7,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-03-17
2015,FR,PT7,BURGLARY,4939,0_14,M,0_14,U,29.81,793,98.82,119368,1274,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-07
2016,LT,LT8,DOMESTIC_VIOLENCE,16261,35_44,X,15_19,X,28.83,3485,72.66,56887,730,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-12
2017,SK,RO8,HATE_SPEECH,14677,UNKNOWN,U,20_24,M,12.39,698,82.39,83306,1145,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-03-27
2018,HR,CY8,FRAUD,6181,25_34,F,25_34,F,51.54,2211,90.5,114666,2703,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-04-26
2019,DE,FI6,ASSAULT,10351,65_PLUS,M,35_44,U,62.36,2518,176.51,34047,3258,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-30
2020,LU,FI8,THEFT,19568,20_24,X,45_54,X,24.13,2518,30.11,67243,1392,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-10
2021,SI,EE277,VEHICLE_THEFT,34,55_64,U,55_64,M,8.98,2,112.57,14682,2,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-24
2022,CY,SK58,CYBER_ENABLED_FRAUD,20985,15_19,F,65_PLUS,F,36.6,4297,108.85,65392,5320,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-09-04
2023,GR,DE8,SEXUAL_VIOLENCE,5338,45_54,M,UNKNOWN,U,28.71,590,46.35,100725,1018,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-09-19
2024,MT,NL72,ROBBERY,4208,0_14,X,0_14,X,17.12,322,147.32,61798,506,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-07-07
2025,ES,LV518,HUMAN_TRAFFICKING,448,35_44,U,15_19,M,47.63,88,64.83,47144,67,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-01
2006,CZ,GR92,PROPERTY_DAMAGE,6023,UNKNOWN,F,20_24,F,55.83,1295,149.02,37283,668,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-02-24
2007,HU,FI93,DRUG_TRAFFICKING,1970,25_34,M,25_34,U,28.02,215,157.24,7457,47,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-02-19
2008,NL,HU1,HOMICIDE,12,65_PLUS,X,35_44,X,55.87,3,204.62,96132,4,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-27
2009,SE,MT10,BURGLARY,6573,20_24,U,45_54,M,27.58,958,87.26,75836,1372,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-08-07
2010,DK,SI388,DOMESTIC_VIOLENCE,7747,55_64,F,55_64,F,53.09,2527,166.87,23696,1709,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-04-17
2011,IE,FI1,HATE_SPEECH,5441,15_19,M,65_PLUS,U,42.08,1080,30.51,13139,1808,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-09
2012,PL,HR7,FRAUD,26070,45_54,X,UNKNOWN,X,20.11,2127,133.77,51822,3639,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-11-23
2013,AT,GR82,ASSAULT,13111,0_14,U,0_14,M,57.32,4455,121.94,107613,3251,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-10
2014,EE,LT193,THEFT,22799,35_44,F,15_19,F,15.62,2801,161.0,36254,2920,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-02
2015,IT,LT48,VEHICLE_THEFT,16104,UNKNOWN,M,20_24,U,26.24,1564,81.31,8519,2081,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-26
2016,PT,DE2,CYBER_ENABLED_FRAUD,12296,25_34,X,25_34,X,18.1,954,177.71,99896,1418,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-08-15
2017,BE,DE919,SEXUAL_VIOLENCE,4028,65_PLUS,U,35_44,M,55.44,1581,48.86,112518,638,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-23
2018,FI,SK56,ROBBERY,5966,20_24,F,45_54,F,17.22,492,138.57,42976,775,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-25
2019,LV,LU81,HUMAN_TRAFFICKING,125,55_64,M,55_64,U,24.72,13,105.58,48620,8,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-28
2020,RO,NL6,PROPERTY_DAMAGE,13642,15_19,X,65_PLUS,X,44.36,4598,134.89,83977,4456,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-02-18
2021,BG,AT339,DRUG_TRAFFICKING,418,45_54,U,UNKNOWN,M,33.35,110,225.52,74198,144,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-15
2022,FR,IT17,HOMICIDE,69,0_14,F,0_14,F,65.96,38,99.55,59118,22,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-08
2023,LT,DK34,BURGLARY,5653,35_44,M,15_19,U,31.8,707,161.8,39637,252,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-04
2024,SK,PL2,DOMESTIC_VIOLENCE,1555,UNKNOWN,X,20_24,X,51.33,323,128.78,63291,520,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-26
2025,HR,DE786,HATE_SPEECH,5464,25_34,U,25_34,M,12.61,515,146.8,59714,249,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-09-19
2006,DE,CZ3,FRAUD,18440,65_PLUS,F,35_44,F,20.91,1992,163.69,53901,3002,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-06
2007,LU,SI7,ASSAULT,16893,20_24,M,45_54,U,66.13,6255,91.16,35512,6886,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-08-24
2008,SI,PL7,THEFT,7087,55_64,X,55_64,X,27.67,1586,30.14,83926,601,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-08-30
2009,CY,RO466,VEHICLE_THEFT,17935,15_19,U,65_PLUS,M,8.01,870,118.06,10835,676,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-08-29
2010,GR,LU61,CYBER_ENABLED_FRAUD,3006,45_54,F,UNKNOWN,F,20.11,436,104.04,63599,170,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-10-03
2011,MT,MT59,SEXUAL_VIOLENCE,879,0_14,M,0_14,U,23.15,135,129.52,19631,116,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-08-22
2012,ES,PL4,ROBBERY,3055,35_44,X,15_19,X,37.8,931,102.11,32379,857,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-02
2013,CZ,LT5,HUMAN_TRAFFICKING,337,UNKNOWN,U,20_24,M,21.82,60,217.86,50576,20,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-07-22
2014,HU,HR5,PROPERTY_DAMAGE,554,25_34,F,25_34,F,39.87,169,92.38,95721,183,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-09
2015,NL,SI371,DRUG_TRAFFICKING,1263,65_PLUS,M,35_44,U,53.29,270,98.7,64923,303,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-01-16
2016,SE,GR864,HOMICIDE,58,20_24,X,45_54,X,57.35,15,89.69,31365,24,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-21
2017,DK,HU863,BURGLARY,17219,55_64,U,55_64,M,9.59,856,48.31,138989,963,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-10-01
2018,IE,SI700,DOMESTIC_VIOLENCE,11186,15_19,F,65_PLUS,F,25.75,1431,112.98,69551,1354,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-23
2019,PL,ES82,HATE_SPEECH,13922,45_54,M,UNKNOWN,U,26.69,2961,117.87,27460,1025,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-18
2020,AT,SE964,FRAUD,1340,0_14,X,0_14,X,37.29,226,122.27,76606,391,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-03-28
2021,EE,SE18,ASSAULT,3436,35_44,U,15_19,M,51.2,1079,45.63,83845,1137,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-24
2022,IT,AT6,THEFT,9115,UNKNOWN,F,20_24,F,16.23,645,50.02,37649,937,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-16
2023,PT,ES385,VEHICLE_THEFT,24169,25_34,M,25_34,U,16.16,1507,52.71,30294,2117,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-18
