safe_cyber_reference_month,safe_cyber_reporting_country_iso2,safe_cyber_incident_type_code,safe_cyber_attack_vector_code,safe_cyber_targets_sector_code,safe_cyber_ransomware_flag,safe_cyber_phishing_flag,safe_cyber_ddos_flag,safe_cyber_financial_loss_eur_estimate,safe_cyber_crypto_payment_flag,safe_cyber_victims_count,safe_cyber_cross_border_component_flag,safe_cyber_europol_case_link_flag,safe_cyber_arrests_count,safe_cyber_takedowns_count,safe_cyber_data_breach_gdpr_notification_flag,safe_cyber_attribution_confidence_level,safe_cyber_data_source,safe_cyber_data_quality_flag,safe_cyber_data_extract_date
2016-01,AT,RANSOMWARE,EMAIL,PUBLIC_ADMIN,1,1,0,3764818.95,0,23252,0,0,3,76,0,LOW,EUROPOL_IOCTA,1,2024-07-06
2016-02,CZ,BUSINESS_EMAIL_COMPROMISE,INSIDER,MANUFACTURING,0,1,0,4038900.74,0,32385,1,0,21,173,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-03-02
2016-03,DE,SUPPLY_CHAIN,WEB_APP,ENERGY,1,0,0,2885592.29,1,45216,1,1,35,25,1,VERY_HIGH,NATIONAL_CSIRT,1,2024-04-30
2016-04,LV,PHISHING,USB_MEDIA,HEALTH,1,1,0,294459.67,0,16102,0,0,3,32,1,HIGH,SECTOR_REGULATOR,1,2025-06-21
2016-05,PL,DATA_BREACH,THIRD_PARTY,TELECOM,0,0,0,4458304.39,0,3917,1,0,5,44,1,MEDIUM,POLICE_CYBER_UNIT,1,2024-11-29
2016-06,ES,ACCOUNT_TAKEOVER,RDP_EXPOSED,TRANSPORT,0,1,0,4689873.29,0,46282,1,0,1,125,0,LOW,EUROPOL_IOCTA,1,2024-07-25
2016-07,HR,DDOS,CLOUD_MISCONFIG,FINANCE,1,0,1,4134567.46,0,48131,1,0,12,56,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-02-11
2016-08,FI,MALWARE,MALVERTISING,SME_MULTI,0,0,0,3708153.48,0,3762,0,0,8,60,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-04-01
2016-09,IE,RANSOMWARE,EMAIL,RETAIL,1,1,0,14808569.34,0,11818,0,0,28,103,0,HIGH,SECTOR_REGULATOR,1,2024-08-02
2016-10,MT,BUSINESS_EMAIL_COMPROMISE,INSIDER,EDUCATION,0,1,0,2332754.57,0,35159,1,0,15,16,1,MEDIUM,POLICE_CYBER_UNIT,1,2024-01-03
2016-11,SK,SUPPLY_CHAIN,WEB_APP,PUBLIC_ADMIN,1,0,0,863624.43,1,24103,1,1,31,135,1,LOW,EUROPOL_IOCTA,0,2024-04-13
2016-12,BE,PHISHING,USB_MEDIA,MANUFACTURING,0,1,0,6203588.86,0,89626,0,0,30,31,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-06-26
2017-01,DK,DATA_BREACH,THIRD_PARTY,ENERGY,0,0,0,2545956.31,0,30189,0,0,37,165,1,VERY_HIGH,NATIONAL_CSIRT,1,2025-09-04
2017-02,GR,ACCOUNT_TAKEOVER,RDP_EXPOSED,HEALTH,0,1,0,1095165.72,0,31846,1,1,74,100,0,HIGH,SECTOR_REGULATOR,1,2025-04-05
2017-03,LT,DDOS,CLOUD_MISCONFIG,TELECOM,0,0,1,1266023.07,0,92915,0,0,19,97,0,MEDIUM,POLICE_CYBER_UNIT,1,2024-09-12
2017-04,PT,MALWARE,MALVERTISING,TRANSPORT,0,0,0,373119.96,0,35655,0,0,9,41,0,LOW,EUROPOL_IOCTA,1,2025-06-19
2017-05,SE,RANSOMWARE,EMAIL,FINANCE,1,0,0,13723316.96,0,20901,0,0,27,163,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-08-02
2017-06,CY,BUSINESS_EMAIL_COMPROMISE,INSIDER,SME_MULTI,0,1,0,5717055.41,0,41541,0,0,35,183,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-06-14
2017-07,FR,SUPPLY_CHAIN,WEB_APP,RETAIL,0,0,0,4286514.0,0,42050,1,0,33,60,1,HIGH,SECTOR_REGULATOR,1,2024-07-10
2017-08,IT,PHISHING,USB_MEDIA,EDUCATION,1,1,0,558876.16,0,15967,0,0,43,276,1,MEDIUM,POLICE_CYBER_UNIT,1,2025-06-04
2017-09,NL,DATA_BREACH,THIRD_PARTY,PUBLIC_ADMIN,0,0,0,8681334.99,0,36138,1,0,42,167,1,LOW,EUROPOL_IOCTA,1,2026-02-02
2017-10,SI,ACCOUNT_TAKEOVER,RDP_EXPOSED,MANUFACTURING,1,1,1,3322098.92,0,16895,0,0,45,177,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-04-23
2017-11,BG,DDOS,CLOUD_MISCONFIG,ENERGY,0,0,1,1904571.98,0,68125,1,1,43,12,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-12-26
2017-12,EE,MALWARE,MALVERTISING,HEALTH,0,0,0,2499304.52,0,1474,0,0,13,223,0,HIGH,SECTOR_REGULATOR,1,2025-07-28
2018-01,HU,RANSOMWARE,EMAIL,TELECOM,1,0,0,19387.07,1,12204,0,0,17,69,1,MEDIUM,POLICE_CYBER_UNIT,1,2025-07-25
2018-02,LU,BUSINESS_EMAIL_COMPROMISE,INSIDER,TRANSPORT,0,1,0,4799869.25,0,25199,0,0,39,41,0,LOW,EUROPOL_IOCTA,1,2024-05-10
2018-03,RO,SUPPLY_CHAIN,WEB_APP,FINANCE,0,0,0,4378413.35,0,28463,0,0,35,55,1,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-07-21
2018-04,AT,PHISHING,USB_MEDIA,SME_MULTI,0,1,0,2545903.33,0,73158,0,0,15,9,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-11-05
2018-05,CZ,DATA_BREACH,THIRD_PARTY,RETAIL,0,1,0,3374949.68,0,29289,1,0,20,20,1,HIGH,SECTOR_REGULATOR,1,2025-10-15
2018-06,DE,ACCOUNT_TAKEOVER,RDP_EXPOSED,EDUCATION,0,1,0,445725.32,0,34629,0,0,7,91,0,MEDIUM,POLICE_CYBER_UNIT,1,2024-12-23
2018-07,LV,DDOS,CLOUD_MISCONFIG,PUBLIC_ADMIN,0,0,1,1810579.61,0,57756,1,0,39,98,1,LOW,EUROPOL_IOCTA,1,2025-01-27
2018-08,PL,MALWARE,MALVERTISING,MANUFACTURING,0,0,0,3523915.02,0,16214,1,0,23,271,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,0,2024-04-21
2018-09,ES,RANSOMWARE,EMAIL,ENERGY,1,0,0,15073193.11,0,44508,1,0,32,160,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-07-07
2018-10,HR,BUSINESS_EMAIL_COMPROMISE,INSIDER,HEALTH,0,1,0,6586394.71,0,45583,1,1,57,163,1,HIGH,SECTOR_REGULATOR,1,2024-08-29
2018-11,FI,SUPPLY_CHAIN,WEB_APP,TELECOM,0,0,0,2369047.66,0,29758,1,0,34,15,0,MEDIUM,POLICE_CYBER_UNIT,0,2024-04-14
2018-12,IE,PHISHING,USB_MEDIA,TRANSPORT,0,1,0,2277292.87,0,91098,1,0,31,72,0,LOW,EUROPOL_IOCTA,0,2024-07-11
2019-01,MT,DATA_BREACH,THIRD_PARTY,FINANCE,0,1,0,10003353.4,0,23252,1,1,55,13,1,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-09-24
2019-02,SK,ACCOUNT_TAKEOVER,RDP_EXPOSED,SME_MULTI,0,1,0,3773919.89,0,23093,0,0,0,65,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-06-28
2019-03,BE,DDOS,CLOUD_MISCONFIG,RETAIL,0,0,1,3759645.98,0,75690,1,0,24,119,1,HIGH,SECTOR_REGULATOR,1,2025-03-03
2019-04,DK,MALWARE,MALVERTISING,EDUCATION,0,0,0,825241.17,0,19612,0,1,7,205,0,MEDIUM,POLICE_CYBER_UNIT,1,2026-02-19
2019-05,GR,RANSOMWARE,EMAIL,PUBLIC_ADMIN,1,0,0,1361275.12,0,38523,1,0,42,2,1,LOW,EUROPOL_IOCTA,1,2025-09-12
2019-06,LT,BUSINESS_EMAIL_COMPROMISE,INSIDER,MANUFACTURING,0,1,1,8701619.41,0,44886,0,0,12,51,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2026-01-01
2019-07,PT,SUPPLY_CHAIN,WEB_APP,ENERGY,0,0,1,7695217.67,0,22111,0,0,11,52,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-04-02
