safe_emergency_reference_month,safe_emergency_country_iso2,safe_emergency_region_nuts_code,safe_emergency_call_type_code,safe_emergency_calls_received_count,safe_emergency_calls_answered_within_10s_pct,safe_emergency_dispatch_time_seconds_median,safe_emergency_response_time_minutes_median,safe_emergency_incident_location_type_code,safe_emergency_ambulance_dispatch_count,safe_emergency_fire_dispatch_count,safe_emergency_police_dispatch_count,safe_emergency_cross_border_assistance_flag,safe_emergency_major_incident_flag,safe_emergency_critical_care_transfers_count,safe_emergency_air_ambulance_missions_count,safe_emergency_emergency_alert_system_used_flag,safe_emergency_data_source,safe_emergency_data_quality_flag,safe_emergency_data_extract_date
2016-01,AT,LT58,MEDICAL,196753,71.91,295.48,19.94,URBAN,52741,17236,19855,0,0,3689,164,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-09-12
2016-02,EE,ES7,RESCUE,251950,57.04,357.92,30.2,INDUSTRIAL_ZONE,58292,92795,22075,0,0,483,198,0,NATIONAL_EMS_ADMIN,1,2025-03-24
2016-03,IT,SI985,FIRE,9692,73.23,261.76,9.41,MOUNTAIN,1132,817,989,0,0,1007,63,0,FIRE_SERVICE_REPORT,1,2024-08-21
2016-04,PT,FR7,PUBLIC_ORDER,993434,97.09,230.05,30.97,COASTAL,104558,62866,352537,0,0,1811,77,0,POLICE_DISPATCH_SYSTEM,1,2025-10-12
2016-05,BE,HR780,POLICE,838790,82.42,200.41,32.1,MOTORWAY,88706,65389,145039,0,0,622,36,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-10-12
2016-06,FI,PL8,OTHER,50587,71.48,297.14,20.14,RURAL,6609,5261,5553,0,0,1765,261,0,NATIONAL_EMS_ADMIN,1,2024-07-31
2016-07,LV,LU5,TRAFFIC_ACCIDENT,414555,86.79,61.79,21.4,SUBURBAN,168502,143788,137525,0,0,2918,103,0,FIRE_SERVICE_REPORT,1,2024-10-22
2016-08,RO,AT625,MEDICAL,184012,63.48,206.46,5.73,URBAN,56446,12106,16855,0,0,1754,202,0,POLICE_DISPATCH_SYSTEM,1,2025-08-06
2016-09,BG,DK472,RESCUE,57679,69.54,185.67,36.21,INDUSTRIAL_ZONE,22925,6503,7448,0,0,3113,8,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-11-05
2016-10,FR,PT7,FIRE,1167666,90.08,333.07,33.28,MOUNTAIN,248763,276512,88219,0,0,1424,338,0,NATIONAL_EMS_ADMIN,1,2024-06-23
2016-11,LT,LT8,PUBLIC_ORDER,54200,81.54,292.54,31.17,COASTAL,4467,5591,12714,0,0,931,177,0,FIRE_SERVICE_REPORT,1,2025-08-14
2016-12,SK,RO8,POLICE,608703,75.09,181.72,18.96,MOTORWAY,38423,23624,248114,0,0,958,52,0,POLICE_DISPATCH_SYSTEM,1,2024-04-30
2017-01,HR,CY8,OTHER,835263,97.81,214.92,22.04,RURAL,168039,37911,118921,0,0,1338,3,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-10-20
2017-02,DE,FI6,TRAFFIC_ACCIDENT,418110,86.69,72.58,34.38,SUBURBAN,201015,121377,143102,0,0,1188,225,0,NATIONAL_EMS_ADMIN,1,2025-12-09
2017-03,LU,FI8,MEDICAL,283174,98.33,343.68,34.89,URBAN,142446,29166,18664,0,0,4775,59,0,FIRE_SERVICE_REPORT,0,2024-12-30
2017-04,SI,EE277,RESCUE,510468,87.14,97.57,10.77,INDUSTRIAL_ZONE,123548,135760,81928,1,0,1608,231,0,POLICE_DISPATCH_SYSTEM,1,2025-10-23
2017-05,CY,SK58,FIRE,109228,89.82,183.36,42.56,MOUNTAIN,22439,42799,12283,0,0,1562,367,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-02-03
2017-06,GR,DE8,PUBLIC_ORDER,866880,95.28,355.33,6.46,COASTAL,144841,88528,221846,0,0,1119,344,0,NATIONAL_EMS_ADMIN,1,2025-08-29
