safe_terror_reference_year,safe_terror_country_iso2,safe_terror_attack_type_code,safe_terror_attack_count,safe_terror_fatalities_count,safe_terror_injuries_count,safe_terror_arrests_count,safe_terror_plot_disrupted_count,safe_terror_radicalisation_channel_code,safe_terror_online_propaganda_takedowns_count,safe_terror_foreign_fighter_returnees_count,safe_terror_financing_case_count,safe_terror_ct_policy_measure_code,safe_terror_public_alert_level_code,safe_terror_critical_infrastructure_threat_flag,safe_terror_cross_border_cooperation_flag,safe_terror_eu_agency_dataset,safe_terror_data_source,safe_terror_revision_round,safe_terror_data_extract_date
2006,AT,ATTACK_ATTEMPTED,5,0,38,190,17,ONLINE,12787,39,22,CT_STRATEGY_UPDATE,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-11-20
2007,CZ,STABBING,8,11,32,3,18,PRISON,790,74,5,FINANCIAL_SANCTIONS,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-04-06
2008,DE,FIREARM,6,26,10,177,25,IN_PERSON_NETWORK,3825,53,49,INTELLIGENCE_SHARING,HIGH,1,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-08-19
2009,LV,ATTACK_COMPLETED,1,1,3,93,6,FAMILY_PEER,1753,3,66,ONLINE_CONTENT_ACTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-07-02
2010,PL,VEHICLE_ATTACK,3,8,16,196,4,TRAVEL_RELATED,31,75,0,DERADICALISATION_PROGRAM,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-11-24
2011,ES,SABOTAGE,0,0,0,35,19,UNKNOWN,3638,11,19,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-01-19
2012,HR,ARSON,1,1,6,167,15,ONLINE,11824,56,6,CRITICAL_INFRA_PROTECTION,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-04-06
2013,FI,EXPLOSIVE_DEVICE,5,12,3,164,9,PRISON,1354,40,0,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-06-28
2014,IE,ATTACK_ATTEMPTED,1,0,5,10,17,IN_PERSON_NETWORK,2072,6,3,FINANCIAL_SANCTIONS,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-07-18
2015,MT,STABBING,4,4,23,9,22,FAMILY_PEER,3544,69,54,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-12-23
2016,SK,FIREARM,2,2,11,101,34,TRAVEL_RELATED,1472,26,31,ONLINE_CONTENT_ACTION,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-08
2017,BE,ATTACK_COMPLETED,4,2,9,213,33,UNKNOWN,3107,18,12,DERADICALISATION_PROGRAM,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-08-25
2018,DK,VEHICLE_ATTACK,6,10,72,32,20,ONLINE,7455,66,51,BORDER_SCREENING,HIGH,1,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-07-01
