safe_traffic_reference_year,safe_traffic_country_iso2,safe_traffic_region_nuts_code,safe_traffic_enforcement_type_code,safe_traffic_checks_count,safe_traffic_speed_cameras_count,safe_traffic_speeding_tickets_count,safe_traffic_dui_tickets_count,safe_traffic_phone_use_tickets_count,safe_traffic_seatbelt_tickets_count,safe_traffic_penalty_points_total,safe_traffic_fines_total_eur,safe_traffic_license_suspensions_count,safe_traffic_roadside_drug_tests_count,safe_traffic_vehicle_inspections_count,safe_traffic_tachograph_violations_count,safe_traffic_cross_border_enforcement_directive_flag,safe_traffic_data_source,safe_traffic_revision_round,safe_traffic_data_extract_date
2006,AT,LT58,SPEED_ENFORCEMENT,998201,4495,262260,19723,17660,16784,914561,77885993.09,14189,20672,59291,2990,1,ROAD_POLICING_AGENCY,FLASH,2025-08-03
2007,CZ,RO53,ROADWORTHINESS_INSPECTIONS,1629963,651,105571,31610,14349,21107,611241,48769161.01,18649,30710,35477,2099,1,INTERIOR_MINISTRY_STATS,FIRST,2024-06-02
2008,DE,DE754,COMMERCIAL_VEHICLE_CHECKS,700805,1287,65852,10863,2713,14809,264510,21379686.52,4795,2412,139144,2913,1,TRANSPORT_INSPECTORATE,SECOND,2024-12-12
2009,LV,PL324,DISTRACTED_DRIVING,2585318,870,411645,23752,26081,59435,1373557,111904969.66,25126,58543,119946,4484,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-01-25
2010,PL,DK4,SEATBELT_ENFORCEMENT,2658242,1332,171431,5934,11800,153154,513643,47232697.11,5840,56210,103351,11525,1,ROAD_POLICING_AGENCY,FLASH,2024-03-25
2011,ES,AT625,DUI_ENFORCEMENT,1157379,29,20941,20550,6341,9659,259440,47730754.51,5534,19770,26593,5340,0,INTERIOR_MINISTRY_STATS,FIRST,2024-10-05
2012,HR,LT649,SPEED_ENFORCEMENT,1154994,315,274406,18276,14860,32755,803919,67982075.99,8228,29863,15877,6775,1,TRANSPORT_INSPECTORATE,SECOND,2025-11-23
2013,FI,HU72,ROADWORTHINESS_INSPECTIONS,1369711,652,61564,15202,7649,32614,362801,30969863.19,8493,6133,161664,1014,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-10-08
2014,IE,DE546,COMMERCIAL_VEHICLE_CHECKS,1489219,1229,20597,5324,1899,14430,126591,8728242.41,2852,91343,183908,5681,0,ROAD_POLICING_AGENCY,FLASH,2024-07-02
2015,MT,AT79,DISTRACTED_DRIVING,2139242,164,222999,30912,76223,51187,668707,101380198.44,7182,15833,49958,2150,0,INTERIOR_MINISTRY_STATS,FIRST,2024-07-16
2016,SK,FI8,SEATBELT_ENFORCEMENT,2320694,123,95065,31153,25209,150298,619619,67303420.52,15466,24874,79190,346,1,TRANSPORT_INSPECTORATE,SECOND,2024-09-09
2017,BE,DK144,DUI_ENFORCEMENT,812265,205,85417,33424,1609,16056,518368,39817881.84,19930,61560,16020,1526,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-04-09
2018,DK,PL90,SPEED_ENFORCEMENT,5171,3652,1143,54,35,103,3263,231965.52,35,42,150,13,1,ROAD_POLICING_AGENCY,FLASH,2024-01-17
2019,GR,PT27,ROADWORTHINESS_INSPECTIONS,1214751,1331,128493,16098,1492,25080,357012,41820794.31,11165,5689,61043,2409,1,INTERIOR_MINISTRY_STATS,FIRST,2026-02-18
2020,LT,FR675,COMMERCIAL_VEHICLE_CHECKS,1914763,328,60175,29244,37762,19083,432755,59470123.5,16059,139856,361916,35310,0,TRANSPORT_INSPECTORATE,SECOND,2026-01-22
2021,PT,FI93,DISTRACTED_DRIVING,951511,1149,158057,17935,9845,17491,547294,47001606.62,6459,12104,42192,3545,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-10-21
2022,SE,NL371,SEATBELT_ENFORCEMENT,747841,290,76904,14552,3290,30791,449845,20632617.39,4683,9661,29221,2303,0,ROAD_POLICING_AGENCY,FLASH,2024-10-11
2023,CY,SK9,DUI_ENFORCEMENT,734152,1235,45694,35802,5151,18952,264482,65496342.12,16409,29448,23251,526,1,INTERIOR_MINISTRY_STATS,FIRST,2024-10-13
2024,FR,DE94,SPEED_ENFORCEMENT,999955,2650,90667,13761,19000,6649,308739,32723324.58,5106,12739,22923,2383,0,TRANSPORT_INSPECTORATE,SECOND,2025-08-29
2025,IT,ES466,ROADWORTHINESS_INSPECTIONS,103757,989,8890,1976,271,294,25954,4420832.57,1145,2698,10381,583,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-01-12
2006,NL,LT193,COMMERCIAL_VEHICLE_CHECKS,1309044,563,41638,12255,19950,15558,216187,32339439.4,5153,40051,172679,5052,1,ROAD_POLICING_AGENCY,FLASH,2024-07-05
2007,SI,IT533,DISTRACTED_DRIVING,1437050,1094,277750,23081,57941,1497,699283,87003736.23,10221,37742,35041,2211,1,INTERIOR_MINISTRY_STATS,FIRST,2024-05-04
2008,BG,AT725,SEATBELT_ENFORCEMENT,397024,1047,35237,3414,2281,12331,129505,8680130.37,1908,3106,14479,2363,0,TRANSPORT_INSPECTORATE,SECOND,2025-08-18
2009,EE,CY4,DUI_ENFORCEMENT,2440731,503,176903,122927,34973,7504,1459645,169054096.37,58159,49957,97262,7114,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-01-01
2010,HU,SI446,SPEED_ENFORCEMENT,1162264,3729,60536,22543,3828,17693,289938,43136097.46,12997,17654,26522,4200,0,ROAD_POLICING_AGENCY,FLASH,2025-07-29
2011,LU,AT339,ROADWORTHINESS_INSPECTIONS,1094256,1093,79922,8191,5947,22750,277761,24598815.28,5412,21531,160496,5651,0,INTERIOR_MINISTRY_STATS,FIRST,2024-07-23
2012,RO,AT41,COMMERCIAL_VEHICLE_CHECKS,1095474,58,82985,7492,6846,1615,234587,16945361.33,3748,85622,108773,32506,1,TRANSPORT_INSPECTORATE,SECOND,2025-12-22
2013,AT,RO31,DISTRACTED_DRIVING,980169,318,24966,11459,56599,1610,303578,38442839.09,5571,12651,13525,3713,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-06-07
2014,CZ,DK36,SEATBELT_ENFORCEMENT,2662109,171,61436,20178,22208,182822,717783,30634800.25,11029,54889,29451,5724,1,ROAD_POLICING_AGENCY,FLASH,2024-09-07
2015,DE,MT1,DUI_ENFORCEMENT,3026399,734,350839,14824,8090,46731,1279591,56933291.71,16878,346467,107955,16370,1,INTERIOR_MINISTRY_STATS,FIRST,2024-01-04
2016,LV,PL7,SPEED_ENFORCEMENT,4807,105,627,26,47,16,1389,86438.59,26,58,90,24,0,TRANSPORT_INSPECTORATE,SECOND,2025-11-15
2017,PL,HR790,ROADWORTHINESS_INSPECTIONS,985904,895,76182,3930,15351,15490,237549,16325985.77,3704,16485,116581,165,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-04-08
2018,ES,RO9,COMMERCIAL_VEHICLE_CHECKS,1043188,7,69925,13767,18077,28517,396633,44075832.52,8307,60126,203715,29408,1,ROAD_POLICING_AGENCY,FLASH,2025-04-25
2019,HR,RO7,DISTRACTED_DRIVING,425391,6,25665,3537,6589,11977,110119,10867785.04,1162,12621,15360,482,0,INTERIOR_MINISTRY_STATS,FIRST,2024-02-16
2020,FI,CY48,SEATBELT_ENFORCEMENT,410551,958,21884,4804,5697,26306,160436,14887894.86,1927,1395,4463,1266,1,TRANSPORT_INSPECTORATE,SECOND,2025-01-13
2021,IE,SI371,DUI_ENFORCEMENT,95057,924,4905,2583,790,1066,36918,2416271.53,1391,3605,465,476,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-05-07
2022,MT,BE65,SPEED_ENFORCEMENT,37672,3174,2291,142,483,814,8191,467379.54,121,124,1608,1,0,ROAD_POLICING_AGENCY,FLASH,2025-10-12
2023,SK,NL77,ROADWORTHINESS_INSPECTIONS,2707779,579,136735,51063,31601,54440,878538,74336959.33,18788,49270,460478,5879,0,INTERIOR_MINISTRY_STATS,FIRST,2025-11-02
