soc_esspros_reference_year,soc_esspros_country_iso2,soc_esspros_function_code,soc_esspros_benefit_type_code,soc_esspros_financing_source_code,soc_esspros_expenditure_total_eur,soc_esspros_expenditure_pct_gdp,soc_esspros_beneficiaries_count,soc_esspros_mean_benefit_eur,soc_esspros_admin_cost_eur,soc_esspros_in_kind_benefit_eur,soc_esspros_cash_benefit_eur,soc_esspros_means_tested_share_pct,soc_esspros_digital_application_rate_pct,soc_esspros_processing_time_days_median,soc_esspros_fraud_detected_amount_eur,soc_esspros_recovery_amount_eur,soc_esspros_eurostat_table_code,soc_esspros_methodology_version,soc_esspros_data_extract_date
2010,AT,SICKNESS_HEALTHCARE,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,10165672191.56,19.217,20359,499320.8,344006950.19,3947950400.21,6217721791.35,1.97,80.14,9,16837182.19,8697291.77,spr_exp_sum,ESSPROS_2019,2025-05-25
2011,EE,UNEMPLOYMENT,CASH_LUMP_SUM,GENERAL_TAX,20076645336.35,30.373,21408,937810.41,685797808.54,7154963371.68,12921681964.67,1.51,17.75,13,32240114.87,15298708.59,spr_ben_sum,ESSPROS_2025B,2024-06-01
2012,IT,OLD_AGE,IN_KIND,EMPLOYER,14900910274.96,21.966,20251,735811.08,693655287.51,2650400201.93,12250510073.03,27.05,52.0,8,5604180.9,1798957.6,spr_exp_oth,ESSPROS_2024A,2024-09-13
2013,PT,SOCIAL_EXCLUSION,TAX_RELIEF,HOUSEHOLD,6545278395.52,10.532,22783,287287.82,380110087.29,3124319050.37,3420959345.15,14.65,94.95,14,3138238.42,920126.98,spr_exp_fnct,ESSPROS_2023,2024-01-10
2014,BE,FAMILY_CHILDREN,MIXED,EU_FUNDS,9765425418.2,12.597,21578,452563.97,210402533.45,3323763809.1,6441661609.1,18.79,39.63,21,17693582.95,9491269.58,spr_finsum,ESSPROS_2021,2024-01-21
2015,FI,DISABILITY,CASH_PERIODIC,OTHER,23723964850.72,28.855,23323,1017191.82,1389259150.51,7826436671.25,15897528179.47,28.51,32.49,9,51217827.51,11513653.56,spr_exp_sum,ESSPROS_2019,2024-09-01
2016,LV,HOUSING,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,19920056509.27,30.23,22358,890958.78,1192339918.67,2553766043.96,17366290465.31,64.95,66.22,20,9117308.78,1595288.57,spr_ben_sum,ESSPROS_2025B,2024-05-07
2017,RO,SURVIVORS,IN_KIND,GENERAL_TAX,6117928237.38,7.65,21173,288949.52,338664742.56,865177052.09,5252751185.29,27.38,33.2,13,19894866.33,9038727.8,spr_exp_oth,ESSPROS_2024A,2025-04-11
2018,BG,SICKNESS_HEALTHCARE,TAX_RELIEF,EMPLOYER,23999897424.02,31.767,22116,1085182.56,1120627077.09,12788984075.72,11210913348.3,32.16,33.28,19,62106862.79,24388062.57,spr_exp_fnct,ESSPROS_2023,2025-06-01
2019,FR,UNEMPLOYMENT,MIXED,HOUSEHOLD,24648788345.71,30.39,22908,1075990.41,960017541.1,13153622207.38,11495166138.33,45.67,85.88,17,100884701.46,57638239.95,spr_finsum,ESSPROS_2021,2024-06-07
2020,LT,OLD_AGE,CASH_PERIODIC,EU_FUNDS,18780046111.63,22.892,22431,837236.24,270362426.0,8808234736.77,9971811374.86,48.84,84.86,24,76469115.41,24287144.18,spr_exp_sum,ESSPROS_2019,2024-11-27
2021,SK,SOCIAL_EXCLUSION,CASH_LUMP_SUM,OTHER,23858118287.39,24.189,24102,989881.27,887407259.84,5612202375.75,18245915911.64,34.74,92.95,20,83647344.11,49125616.75,spr_ben_sum,ESSPROS_2025B,2025-01-25
