soc_family_reference_year,soc_family_country_iso2,soc_family_region_nuts_code,soc_family_household_type_code,soc_family_children_count,soc_family_benefit_program_code,soc_family_beneficiaries_count,soc_family_mean_benefit_monthly_eur,soc_family_childcare_subsidy_flag,soc_family_parental_leave_weeks_entitled,soc_family_parental_leave_takeup_rate_pct,soc_family_birth_grant_flag,soc_family_housing_support_flag,soc_family_income_test_threshold_eur,soc_family_digital_application_rate_pct,soc_family_processing_time_days_median,soc_family_fertility_policy_index_score,soc_family_child_poverty_rate_pct,soc_family_eurostat_table_code,soc_family_data_extract_date
2010,AT,EE85,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6285,57.13,0,0,18.25,0,0,51013.86,79.55,5,0.876,19.77,spr_fam_sum,2024-10-17
2011,HR,FR513,OTHER,1,CHILDCARE_SUBSIDY,5279,194.89,1,40,33.41,0,0,32210.3,43.33,15,1.942,20.29,ilc_di07,2025-02-04
2012,DK,HU7,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5612,472.97,0,18,91.25,0,1,61088.49,70.48,10,1.303,21.19,spr_fam_ben,2024-12-19
2013,FR,HR866,GUARDIANSHIP,3,BIRTH_GRANT,6438,568.36,0,8,71.34,1,0,53054.3,83.9,12,2.104,22.06,ilc_lvho14,2024-02-13
2014,HU,FI68,EXTENDED_FAMILY,4,HOUSING_TOPUP,5682,621.13,0,52,55.7,0,1,78942.96,16.87,15,1.881,13.41,lfso_14a,2026-01-29
2015,LV,CY294,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5028,327.74,1,26,51.06,0,1,67005.35,33.54,21,1.929,13.97,spr_fam_sum,2024-03-03
2016,MT,BE580,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5419,180.1,0,14,66.5,0,0,13125.26,60.78,22,0.897,12.96,ilc_di07,2025-01-11
2017,PT,HU73,OTHER,1,CHILDCARE_SUBSIDY,6122,219.5,1,0,28.83,0,0,52018.25,27.14,14,2.064,17.5,spr_fam_ben,2025-02-27
2018,SI,LT344,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5317,677.43,0,40,39.74,0,1,47366.89,19.51,13,1.616,30.1,ilc_lvho14,2025-06-30
2019,AT,DE875,GUARDIANSHIP,3,BIRTH_GRANT,5744,171.56,0,18,66.23,1,0,54873.39,97.09,17,1.915,32.63,lfso_14a,2026-02-10
2020,HR,PT2,EXTENDED_FAMILY,4,HOUSING_TOPUP,6224,480.09,0,8,80.91,0,1,17158.97,66.62,15,1.833,28.37,spr_fam_sum,2024-03-09
2021,DK,SI3,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5926,169.98,0,52,75.0,1,0,28158.86,74.05,20,1.258,18.74,ilc_di07,2025-06-06
2022,FR,BG31,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6176,386.03,0,26,89.75,0,1,49989.78,22.0,26,1.007,25.99,spr_fam_ben,2024-02-17
2023,HU,RO4,OTHER,1,CHILDCARE_SUBSIDY,6415,135.58,1,14,29.98,1,0,41319.77,52.15,24,1.462,12.76,ilc_lvho14,2026-01-11
2024,LV,RO890,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5719,138.32,0,0,56.62,0,0,33945.09,27.51,22,1.013,33.27,lfso_14a,2024-05-03
2025,MT,EE6,GUARDIANSHIP,3,BIRTH_GRANT,6432,214.55,1,40,90.69,1,0,44599.64,28.54,32,1.395,14.37,spr_fam_sum,2025-12-28
2026,PT,DE39,EXTENDED_FAMILY,4,HOUSING_TOPUP,6227,607.61,1,18,55.92,0,1,24575.08,15.24,25,1.239,31.78,ilc_di07,2024-02-23
2010,SI,HR783,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6258,477.77,0,8,81.33,0,0,32004.18,93.32,24,1.779,16.82,spr_fam_ben,2024-03-09
2011,AT,BG469,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,5607,668.93,0,52,62.25,0,0,17212.91,44.46,31,1.892,31.8,ilc_lvho14,2025-07-24
2012,HR,EE585,OTHER,1,CHILDCARE_SUBSIDY,6328,620.07,1,26,43.99,0,0,74523.31,57.77,38,1.94,8.81,lfso_14a,2026-01-02
2013,DK,HR3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6123,60.68,1,14,23.83,0,1,47215.51,50.7,23,1.745,13.19,spr_fam_sum,2024-04-13
2014,FR,SK5,GUARDIANSHIP,3,BIRTH_GRANT,6018,135.47,1,0,54.94,1,0,73849.46,72.28,27,0.866,14.6,ilc_di07,2025-04-27
2015,HU,BE296,EXTENDED_FAMILY,4,HOUSING_TOPUP,5376,172.31,0,40,67.73,0,1,75472.77,67.14,38,1.189,13.96,spr_fam_ben,2025-08-28
2016,LV,ES23,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,5406,441.82,0,18,54.95,0,0,57658.43,64.55,29,1.079,9.3,ilc_lvho14,2024-12-05
2017,MT,RO253,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6219,123.9,0,8,55.75,0,1,50477.72,72.64,39,1.506,29.01,lfso_14a,2025-05-24
2018,PT,PL7,OTHER,1,CHILDCARE_SUBSIDY,5849,338.79,1,52,43.34,0,0,20864.04,76.81,36,0.952,30.17,spr_fam_sum,2025-03-16
2019,SI,DK3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,5178,724.41,0,26,58.47,1,0,73548.88,77.97,33,1.605,32.09,ilc_di07,2024-01-06
2020,AT,LT27,GUARDIANSHIP,3,BIRTH_GRANT,5427,436.09,0,14,15.06,1,0,70638.93,26.5,47,2.138,29.23,spr_fam_ben,2025-12-21
2021,HR,ES51,EXTENDED_FAMILY,4,HOUSING_TOPUP,5560,257.69,0,0,16.73,0,1,64631.16,58.22,36,1.68,11.1,ilc_lvho14,2024-10-19
2022,DK,RO73,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6443,552.75,0,40,62.24,0,0,80443.99,58.26,42,2.172,6.37,lfso_14a,2025-11-15
2023,FR,LT432,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6468,88.64,0,18,33.55,0,0,60548.96,70.73,44,2.192,27.3,spr_fam_sum,2025-10-03
2024,HU,SI6,OTHER,1,CHILDCARE_SUBSIDY,5359,464.01,1,8,28.33,0,0,31673.75,57.72,47,1.277,25.24,ilc_di07,2024-10-19
