soc_pensions_reference_year,soc_pensions_country_iso2,soc_pensions_pension_pillar_code,soc_pensions_beneficiary_age_group,soc_pensions_beneficiary_sex,soc_pensions_pension_type_code,soc_pensions_beneficiaries_count,soc_pensions_mean_benefit_eur,soc_pensions_median_benefit_eur,soc_pensions_replacement_rate_pct,soc_pensions_effective_retirement_age_years,soc_pensions_contribution_years_median,soc_pensions_indexation_rule_code,soc_pensions_old_age_poverty_rate_pct,soc_pensions_long_term_care_benefit_flag,soc_pensions_survivor_benefit_flag,soc_pensions_funded_assets_total_eur,soc_pensions_eurostat_table_code,soc_pensions_projection_scenario,soc_pensions_data_extract_date
2008,AT,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,33864,17383.34,16103.48,46.51,65.53,40.97,CPI,16.87,0,0,12057833045.35,spr_pns_ben,BASELINE,2025-09-04
2009,EE,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,30934,14111.66,13087.93,62.69,62.18,39.74,NONE,16.03,0,1,12311028091.76,proj_pens,LOW_MIGRATION,2024-03-21
2010,IT,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,31235,24372.72,20991.53,31.1,62.45,27.07,DISCRETIONARY,24.82,0,0,12564222767.88,spr_pns_mean,HIGH_MIGRATION,2026-01-27
2011,PT,MIXED,75-79,M,DISABILITY,30459,10987.74,10124.41,72.83,65.04,21.22,MIXED,14.74,1,0,12850587382.4,gov_10a_main,LOW_GROWTH,2024-09-25
2012,BE,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,35009,22051.69,18923.18,70.19,60.83,40.74,WAGE,10.81,0,0,13062863241.98,ilc_pnp1,HIGH_LONGEVITY,2025-11-22
2013,FI,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,32298,26345.82,20711.38,79.83,61.1,24.29,CPI,16.95,0,0,13433861212.78,spr_pns_ben,BASELINE,2025-05-13
2014,LV,PILLAR3_PERSONAL,55-64,M,SURVIVOR,33221,15186.72,13764.48,41.76,59.59,34.88,NONE,23.28,0,1,13581152719.06,proj_pens,LOW_MIGRATION,2025-10-21
2015,RO,MIXED,85+,F,EARLY_RETIREMENT,31754,21632.19,16080.78,44.84,67.39,37.07,DISCRETIONARY,24.31,0,0,13929448046.59,spr_pns_mean,HIGH_MIGRATION,2025-09-03
2016,BG,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,31015,20438.42,17145.38,35.15,67.22,17.45,MIXED,9.89,1,0,14178020996.4,gov_10a_main,LOW_GROWTH,2024-12-29
2017,FR,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,34230,22649.54,20712.92,37.22,67.3,37.2,WAGE,11.82,0,0,14446832825.68,ilc_pnp1,HIGH_LONGEVITY,2024-09-23
