soc_poverty_reference_year,soc_poverty_country_iso2,soc_poverty_region_nuts_code,soc_poverty_age_group,soc_poverty_sex,soc_poverty_equivalised_disposable_income_eur,soc_poverty_median_income_eur,soc_poverty_at_risk_of_poverty_rate_pct,soc_poverty_severe_material_deprivation_rate_pct,soc_poverty_low_work_intensity_rate_pct,soc_poverty_arope_rate_pct,soc_poverty_gini_coefficient,soc_poverty_in_work_poverty_rate_pct,soc_poverty_housing_cost_overburden_rate_pct,soc_poverty_energy_poverty_rate_pct,soc_poverty_social_transfer_impact_pp,soc_poverty_minimum_income_adequacy_index,soc_poverty_eurostat_table_code,soc_poverty_survey_weight,soc_poverty_data_extract_date
2010,AT,EE85,0-17,M,27023.7,30572.1,8.18,2.51,17.83,12.79,36.66,2.4,20.84,5.36,17.93,0.4646,ilc_peps01n,2.0594,2025-11-07
2011,CZ,BG947,25-49,F,33041.42,30476.75,7.73,11.66,5.96,11.68,22.6,10.0,16.89,22.2,15.49,0.7676,ilc_li02,2.3377,2026-01-27
2012,DE,HU69,65+,T,20440.32,31893.6,21.93,8.46,1.73,24.32,33.64,2.46,14.95,20.13,11.15,0.9293,ilc_lvho07,3.2879,2024-08-07
2013,LV,BG25,18-24,M,14629.46,20750.92,17.73,8.59,6.13,24.41,32.01,3.61,14.35,1.32,5.99,0.3858,ilc_di12,1.1745,2024-12-30
2014,PL,CZ843,50-64,F,13236.29,12587.62,6.01,1.57,13.73,10.85,25.84,14.43,8.87,8.8,3.41,0.9117,ilc_lvhl11,0.4916,2026-02-16
2015,ES,SI770,0-17,T,34216.05,25582.04,9.23,4.99,9.0,11.01,31.32,13.37,15.69,14.21,15.24,0.6769,ilc_peps01n,2.7593,2024-02-01
2016,HR,PT823,25-49,M,17264.02,13952.91,7.18,11.23,3.09,9.66,35.98,11.94,14.12,5.79,4.53,0.7284,ilc_li02,3.109,2025-05-26
2017,FI,SI3,65+,F,25384.58,33382.33,16.74,6.17,16.7,24.78,28.09,8.51,9.66,3.39,8.76,0.2015,ilc_lvho07,1.8762,2025-05-25
2018,IE,SI9,18-24,T,15408.79,16082.47,21.4,0.81,4.7,23.5,22.65,10.17,15.84,16.62,9.38,0.2621,ilc_di12,2.8081,2025-05-10
2019,MT,EE757,50-64,M,26371.4,22414.72,13.53,5.85,13.61,16.87,34.55,8.67,9.0,16.27,4.45,0.4113,ilc_lvhl11,1.2667,2026-01-20
2020,SK,CZ3,0-17,F,13525.91,17475.27,16.9,4.99,7.06,19.46,36.26,4.1,15.93,2.49,3.21,0.6537,ilc_peps01n,1.527,2025-08-19
2021,BE,GR75,25-49,T,20069.4,33772.25,31.97,11.64,12.57,37.48,25.2,3.9,18.84,17.28,4.39,0.5816,ilc_li02,2.4423,2024-08-15
2022,DK,IT4,65+,M,14758.26,19977.72,23.33,10.87,2.51,28.56,24.3,14.07,15.08,12.73,16.95,0.2003,ilc_lvho07,2.8642,2024-11-23
2023,GR,GR71,18-24,F,22095.33,27689.53,19.32,12.43,2.65,22.32,39.8,3.68,4.3,7.59,5.25,0.7583,ilc_di12,1.0564,2024-11-15
2024,LT,BE296,50-64,T,32258.08,32328.25,21.37,1.48,13.57,27.0,27.33,10.25,13.12,5.5,17.47,0.4846,ilc_lvhl11,1.6143,2025-03-17
2025,PT,PT51,0-17,M,32588.73,27520.15,18.42,5.67,10.86,22.57,39.66,13.33,14.76,2.3,7.57,0.1711,ilc_peps01n,3.2931,2025-05-03
2026,SE,PT43,25-49,F,17971.69,14841.32,30.4,4.52,6.56,31.26,39.12,5.27,18.82,18.78,3.99,0.4702,ilc_li02,1.0955,2024-08-28
2010,CY,DK143,65+,T,9004.38,15119.77,27.87,8.08,3.15,31.3,34.3,13.08,19.44,12.87,5.23,0.3722,ilc_lvho07,0.6972,2025-06-12
2011,FR,NL2,18-24,M,38465.56,33645.33,21.1,1.83,16.95,28.38,34.2,13.43,12.42,16.64,13.38,0.5383,ilc_di12,0.4074,2024-11-16
2012,IT,LU79,50-64,F,16929.48,19763.45,13.39,5.3,1.16,17.54,25.01,5.27,15.08,13.91,4.66,0.7882,ilc_lvhl11,0.7961,2024-06-04
2013,NL,BG49,0-17,T,12886.36,9942.31,14.49,12.49,7.21,20.55,38.59,2.57,18.63,12.34,14.8,0.2737,ilc_peps01n,3.5531,2024-02-15
2014,SI,IT744,25-49,M,33666.32,25045.14,18.24,7.01,12.36,25.73,22.7,7.7,13.24,1.5,5.12,0.8531,ilc_li02,3.3971,2025-04-28
2015,BG,CZ50,65+,F,13036.78,11214.27,22.37,12.48,10.22,27.12,32.29,14.94,9.22,2.88,10.5,0.4006,ilc_lvho07,2.3932,2024-01-18
2016,EE,SE7,18-24,T,16231.87,23344.05,12.42,4.93,7.36,14.07,26.46,2.63,7.34,11.01,16.08,0.2367,ilc_di12,3.0283,2024-03-05
2017,HU,LU1,50-64,M,22476.49,29388.59,19.96,0.78,9.19,20.98,29.03,7.6,10.36,10.73,11.36,0.4792,ilc_lvhl11,3.3905,2026-01-01
2018,LU,CY9,0-17,F,21855.09,21397.3,27.52,1.41,6.52,27.85,31.86,8.2,7.39,13.61,12.46,0.8993,ilc_peps01n,2.4224,2025-10-18
2019,RO,DE130,25-49,T,13212.21,15615.79,29.95,9.45,7.52,33.03,37.01,2.56,8.86,8.06,3.2,0.8328,ilc_li02,2.1683,2025-08-04
2020,AT,RO676,65+,M,22730.36,27965.89,25.74,3.34,7.9,27.02,31.39,2.5,15.77,5.79,7.01,0.9283,ilc_lvho07,1.9195,2025-12-04
2021,CZ,EE7,18-24,F,24449.49,26700.85,25.94,4.1,16.67,31.73,30.33,11.64,16.06,3.82,7.1,0.4054,ilc_di12,2.5724,2025-09-13
2022,DE,AT834,50-64,T,23357.03,27455.72,22.07,2.51,10.06,24.97,29.89,11.51,18.54,12.93,12.88,0.4237,ilc_lvhl11,2.2785,2025-02-17
2023,LV,ES80,0-17,M,12378.07,19406.56,26.83,1.43,8.76,30.96,26.43,12.81,15.31,2.96,3.03,0.4152,ilc_peps01n,1.8931,2024-12-25
2024,PL,MT882,25-49,F,16829.83,24678.73,14.14,1.3,12.59,17.44,25.73,13.69,18.32,14.25,3.05,0.6767,ilc_li02,1.5055,2025-04-17
2025,ES,NL4,65+,T,27736.44,31445.48,18.79,7.91,11.38,26.85,39.71,3.81,3.16,21.93,15.17,0.1892,ilc_lvho07,1.576,2024-06-09
2026,HR,ES22,18-24,M,31399.27,31281.34,24.05,1.45,6.95,27.56,28.63,7.41,8.44,1.71,8.29,0.5969,ilc_di12,1.7616,2026-01-11
2010,FI,AT22,50-64,F,16339.92,25283.32,16.83,11.45,1.33,18.86,38.59,4.95,14.79,10.28,8.6,0.7439,ilc_lvhl11,2.6507,2025-10-07
2011,IE,EE212,0-17,T,19110.52,16576.82,12.42,3.74,5.48,13.79,41.08,9.01,10.91,2.44,4.9,0.4616,ilc_peps01n,1.6762,2024-11-23
2012,MT,PL653,25-49,M,14882.06,11418.57,17.93,7.09,3.15,18.81,25.14,7.66,20.19,16.6,11.22,0.2243,ilc_li02,1.6095,2026-02-13
2013,SK,LT6,65+,F,15501.29,22322.75,7.17,12.31,4.58,11.55,32.96,6.17,6.13,14.65,15.62,0.5219,ilc_lvho07,2.011,2025-01-14
2014,BE,DK523,18-24,T,30414.42,27142.36,14.59,10.73,6.53,19.95,34.97,5.96,14.69,11.46,17.13,0.5703,ilc_di12,0.8252,2024-07-18
2015,DK,NL36,50-64,M,12700.5,10880.53,30.7,6.07,4.74,32.29,24.94,3.12,19.69,10.65,4.97,0.6761,ilc_lvhl11,1.1337,2024-09-03
2016,GR,GR843,0-17,F,14828.01,20666.18,29.13,11.42,7.38,36.26,28.08,14.85,14.6,19.32,3.57,0.8031,ilc_peps01n,2.7508,2025-11-25
2017,LT,HU85,25-49,T,42458.53,33901.47,21.37,7.64,11.59,27.29,39.09,10.37,11.64,2.16,8.73,0.1976,ilc_li02,1.1134,2024-01-10
2018,PT,PL71,65+,M,11053.68,12426.28,24.99,5.17,12.24,31.34,31.32,15.59,4.85,20.62,10.27,0.9,ilc_lvho07,0.6564,2025-09-17
2019,SE,SI640,18-24,F,37902.48,32346.51,30.99,6.87,14.63,38.86,22.8,13.03,15.7,15.87,7.75,0.2634,ilc_di12,0.943,2025-02-25
2020,CY,ES18,50-64,T,23650.37,33432.28,9.95,6.0,14.89,17.97,26.18,14.98,3.39,20.07,17.88,0.4074,ilc_lvhl11,2.4071,2025-11-11
2021,FR,ES190,0-17,M,25182.96,21671.27,30.98,2.98,12.44,33.25,37.11,9.05,9.07,16.93,15.3,0.6715,ilc_peps01n,2.3962,2025-12-23
2022,IT,HR409,25-49,F,32066.2,33353.3,10.87,7.98,3.1,15.66,21.25,11.46,5.53,5.24,13.97,0.6047,ilc_li02,2.6649,2024-10-06
2023,NL,SE73,65+,T,41363.93,33328.55,31.56,4.71,12.23,34.48,35.45,6.78,20.35,11.96,12.51,0.5964,ilc_lvho07,2.5414,2025-09-07
2024,SI,IT50,18-24,M,9962.83,11605.04,23.01,3.81,14.74,30.1,32.14,11.59,14.06,20.6,7.82,0.2939,ilc_di12,2.174,2024-01-12
2025,BG,SI24,50-64,F,14866.74,13307.21,20.38,6.51,14.06,26.14,38.95,12.07,17.24,9.2,5.96,0.7841,ilc_lvhl11,2.6175,2025-05-06
2026,EE,MT65,0-17,T,27549.96,29188.82,21.46,10.7,12.7,28.2,21.51,15.13,8.79,22.32,15.54,0.4571,ilc_peps01n,1.036,2025-11-26
2010,HU,DK38,25-49,M,12671.16,12769.38,29.67,3.44,13.39,35.64,20.41,3.95,10.14,22.98,11.5,0.8527,ilc_li02,2.0152,2025-06-02
2011,LU,RO8,65+,F,13528.93,23577.62,7.12,11.37,4.38,10.93,28.83,13.55,3.78,1.36,4.73,0.3663,ilc_lvho07,1.2581,2026-01-20
2012,RO,GR276,18-24,T,30863.86,30506.6,12.95,12.18,17.01,20.05,29.08,14.82,20.0,19.08,3.11,0.8362,ilc_di12,1.9218,2024-03-03
2013,AT,BG36,50-64,M,7295.76,12496.29,28.21,1.59,15.29,34.26,30.67,2.4,19.68,11.77,4.94,0.909,ilc_lvhl11,2.4519,2025-08-20
2014,CZ,SK1,0-17,F,19858.23,17317.15,11.83,1.49,15.95,13.99,40.66,3.66,17.07,12.19,6.39,0.3117,ilc_peps01n,3.3032,2025-10-12
2015,DE,CZ670,25-49,T,35946.96,33757.34,13.25,1.82,5.8,16.77,32.21,15.01,3.44,23.38,3.36,0.5595,ilc_li02,3.3417,2025-12-19
2016,LV,PT8,65+,M,32543.62,24870.63,30.66,0.94,16.65,36.36,40.99,6.7,3.37,5.75,12.22,0.6717,ilc_lvho07,1.0351,2025-03-23
2017,PL,BG934,18-24,F,24710.63,19458.13,6.67,6.95,4.77,11.08,26.59,7.95,7.37,7.63,3.86,0.3941,ilc_di12,1.0207,2025-04-30
2018,ES,DK48,50-64,T,19586.97,17955.58,29.83,8.74,9.11,36.27,29.54,3.22,9.49,13.2,10.01,0.4399,ilc_lvhl11,0.5373,2025-08-13
2019,HR,LU6,0-17,M,15321.15,26599.62,14.01,11.86,8.88,21.93,24.96,3.39,12.74,17.68,15.97,0.6637,ilc_peps01n,1.6435,2024-12-07
2020,FI,DK167,25-49,F,35743.09,26662.29,18.3,9.99,7.46,26.01,36.55,2.07,8.66,5.24,7.57,0.6276,ilc_li02,3.093,2025-11-06
2021,IE,MT272,65+,T,39098.68,30915.41,27.66,12.04,13.49,33.2,25.19,8.48,9.71,9.66,7.72,0.8777,ilc_lvho07,2.2512,2025-12-16
2022,MT,EE484,18-24,M,14316.28,13962.55,28.08,6.11,7.99,31.43,39.0,13.76,4.69,4.47,10.25,0.2611,ilc_di12,3.0049,2025-01-05
2023,SK,FI1,50-64,F,17255.81,16804.98,29.27,5.55,9.61,33.74,30.39,14.31,3.91,20.32,15.99,0.2898,ilc_lvhl11,3.0993,2026-02-03
2024,BE,PT342,0-17,T,16500.91,15839.06,9.14,5.67,3.22,12.29,36.26,11.53,3.07,9.51,6.1,0.83,ilc_peps01n,2.3451,2024-12-07
2025,DK,BG9,25-49,M,9562.77,14509.85,25.4,11.43,8.27,30.76,31.02,4.39,20.79,5.06,14.88,0.547,ilc_li02,2.6208,2025-01-06
2026,GR,AT5,65+,F,18558.64,31767.34,7.6,10.66,5.78,12.54,39.59,7.47,18.84,17.43,12.21,0.7545,ilc_lvho07,1.2926,2024-10-16
2010,LT,IE13,18-24,T,23902.47,18458.32,10.14,8.99,6.79,17.05,29.48,8.01,11.35,14.71,16.05,0.4394,ilc_di12,3.3978,2025-04-07
2011,PT,RO204,50-64,M,35077.79,33056.84,25.52,5.96,7.97,31.0,39.92,9.99,9.3,12.83,12.24,0.4494,ilc_lvhl11,0.7385,2024-05-19
2012,SE,DK96,0-17,F,14639.97,11686.98,12.11,9.17,14.6,20.29,37.64,10.14,5.37,1.6,10.12,0.4639,ilc_peps01n,2.5993,2024-04-05
2013,CY,PL8,25-49,T,14886.37,20069.12,11.09,2.24,12.39,12.61,30.64,6.79,16.21,6.84,15.27,0.6955,ilc_li02,3.527,2024-04-15
2014,FR,SI278,65+,M,31358.57,23367.32,11.49,2.13,8.49,15.14,36.57,5.08,4.78,4.76,6.46,0.9171,ilc_lvho07,1.3873,2024-01-16
2015,IT,PT588,18-24,F,13957.51,11776.75,11.03,10.77,7.55,17.18,34.69,12.58,14.09,23.0,10.99,0.1537,ilc_di12,1.0924,2025-09-07
2016,NL,NL96,50-64,T,15839.55,11806.06,26.38,8.18,6.75,30.27,37.55,10.12,18.73,11.99,15.41,0.69,ilc_lvhl11,3.3528,2025-08-05
2017,SI,NL891,0-17,M,21099.79,17779.38,30.92,5.89,16.78,39.13,26.7,8.21,12.2,7.38,7.82,0.4464,ilc_peps01n,3.4196,2025-02-02
2018,BG,MT20,25-49,F,31424.87,29799.69,10.63,2.34,16.89,13.48,33.61,11.43,20.77,20.54,4.19,0.3414,ilc_li02,2.7961,2025-07-21
2019,EE,PT57,65+,T,19357.49,30842.05,25.79,5.85,9.44,32.05,39.15,6.63,4.17,14.93,6.04,0.5471,ilc_lvho07,0.5,2024-04-09
2020,HU,BG55,18-24,M,18809.97,18174.18,30.62,8.19,6.89,36.0,23.46,15.99,14.3,22.56,16.28,0.5565,ilc_di12,3.093,2024-04-28
2021,LU,MT975,50-64,F,18944.14,31335.2,25.14,5.38,17.13,33.16,28.9,4.75,18.12,5.77,11.53,0.363,ilc_lvhl11,1.6643,2024-05-28
2022,RO,BG858,0-17,T,17027.31,17505.68,11.23,2.28,17.64,17.65,33.25,15.92,19.24,20.92,3.97,0.2525,ilc_peps01n,1.3191,2026-02-19
2023,AT,BE50,25-49,M,39621.83,30566.26,31.46,10.12,14.97,36.65,25.45,14.95,4.32,6.8,13.74,0.1619,ilc_li02,0.3223,2024-05-24
2024,CZ,SI8,65+,F,31936.81,24022.03,14.17,5.98,10.04,20.61,27.17,10.96,20.84,5.18,9.25,0.8682,ilc_lvho07,1.3499,2024-05-15
2025,DE,IT49,18-24,T,13181.98,15088.91,31.0,10.85,6.9,35.86,41.47,11.25,17.2,14.04,7.55,0.6326,ilc_di12,3.2039,2025-02-05
