soc_unemp_reference_month,soc_unemp_country_iso2,soc_unemp_region_nuts_code,soc_unemp_claimant_age_group,soc_unemp_claimant_sex,soc_unemp_benefit_scheme_code,soc_unemp_claims_open_count,soc_unemp_new_claims_count,soc_unemp_closed_claims_count,soc_unemp_average_duration_weeks,soc_unemp_replacement_rate_pct,soc_unemp_benefit_amount_mean_eur,soc_unemp_sanction_rate_pct,soc_unemp_active_labor_market_program_code,soc_unemp_participation_count,soc_unemp_training_completion_rate_pct,soc_unemp_job_placement_rate_pct,soc_unemp_digital_services_usage_rate_pct,soc_unemp_eurostat_table_code,soc_unemp_data_extract_date
2018-01,AT,EE85,15-24,M,UI_CONTRIBUTORY,835,99,71,11.21,43.34,755.38,4.37,TRAINING,240,47.2,17.71,40.43,lfsa_ugad,2024-11-02
2018-02,CZ,ES6,25-34,T,UI_ASSISTANCE,1029,95,77,45.1,60.88,1072.52,0.92,APPRENTICESHIP,219,52.73,49.74,73.42,lfsq_urgaed,2024-10-30
2018-03,DE,LU107,35-44,F,SHORT_TIME_WORK,1164,74,72,44.07,36.26,1232.39,9.41,ENTREPRENEUR_SUPPORT,76,63.14,22.02,81.42,lfsq_urgaed,2025-10-09
2018-04,LV,RO860,45-54,M,YOUTH_GUARANTEE,1102,80,42,50.77,46.99,1223.65,5.84,JOB_SEARCH_ASSIST,67,89.87,28.17,66.47,une_rt_m,2025-02-21
2018-05,PL,IT786,55-64,T,SELF_EMP_SUPPORT,1178,142,139,50.94,52.66,300.43,7.09,MOBILITY_GRANT,179,43.29,28.68,26.71,lfsi_long_q,2024-04-20
2018-06,ES,FR18,65+,F,MIXED,1069,167,121,57.55,42.63,1780.89,1.6,WAGE_SUBSIDY,87,86.97,22.25,15.92,lfsa_ugad,2025-10-28
2018-07,HR,DK777,15-24,M,UI_CONTRIBUTORY,1185,112,83,37.51,40.0,1621.71,1.08,PUBLIC_WORKS,208,75.42,27.71,55.04,lfsq_urgaed,2024-09-10
2018-08,FI,DE875,25-34,T,UI_ASSISTANCE,1232,145,77,15.49,38.85,1422.9,0.61,TRAINING,142,63.33,10.25,37.47,lfsq_urgaed,2026-01-04
2018-09,IE,IT70,35-44,F,SHORT_TIME_WORK,1290,136,124,17.86,42.83,1651.82,10.03,APPRENTICESHIP,92,81.81,19.94,60.78,une_rt_m,2025-09-21
2018-10,MT,IT250,45-54,M,YOUTH_GUARANTEE,960,168,103,46.37,48.47,1324.41,0.01,ENTREPRENEUR_SUPPORT,78,39.25,29.58,48.44,lfsi_long_q,2024-08-11
2018-11,SK,LT302,55-64,T,SELF_EMP_SUPPORT,851,119,64,12.82,64.5,655.0,2.94,JOB_SEARCH_ASSIST,62,39.53,45.48,44.35,lfsa_ugad,2025-10-30
2018-12,BE,EE757,65+,F,MIXED,1232,106,57,16.63,65.93,1095.15,1.9,MOBILITY_GRANT,77,35.21,39.58,15.04,lfsq_urgaed,2025-10-02
2019-01,DK,CZ21,15-24,M,UI_CONTRIBUTORY,1185,116,103,14.45,58.28,1838.73,4.58,WAGE_SUBSIDY,104,75.79,21.99,86.48,lfsq_urgaed,2026-02-25
2019-02,GR,NL567,25-34,T,UI_ASSISTANCE,1194,150,106,53.06,34.78,1358.59,11.3,PUBLIC_WORKS,288,36.88,48.79,27.67,une_rt_m,2025-01-14
2019-03,LT,BG469,35-44,F,SHORT_TIME_WORK,895,88,42,24.59,62.39,1752.56,10.34,TRAINING,72,56.83,12.52,77.6,lfsi_long_q,2024-04-07
2019-04,PT,LV464,45-54,M,YOUTH_GUARANTEE,1275,125,107,37.54,66.12,915.73,6.36,APPRENTICESHIP,67,90.21,25.85,64.12,lfsa_ugad,2024-03-25
2019-05,SE,FI471,55-64,T,SELF_EMP_SUPPORT,888,103,92,9.92,76.88,339.97,6.71,ENTREPRENEUR_SUPPORT,293,55.76,11.2,80.1,lfsq_urgaed,2024-09-05
2019-06,CY,SI51,65+,F,MIXED,1101,189,173,40.02,49.56,1121.94,3.52,JOB_SEARCH_ASSIST,255,93.59,59.86,88.51,lfsq_urgaed,2025-06-18
