tax_cit_reference_year,tax_cit_country_iso2,tax_cit_nace_section,tax_cit_enterprise_size_class,tax_cit_statutory_rate_pct,tax_cit_effective_average_rate_pct,tax_cit_tax_base_eur,tax_cit_tax_liability_eur,tax_cit_loss_carryforward_eur,tax_cit_r_and_d_tax_credit_eur,tax_cit_interest_limitation_rule_flag,tax_cit_pillar2_minimum_tax_flag,tax_cit_cfc_rules_flag,tax_cit_hybrid_mismatch_rules_flag,tax_cit_transfer_pricing_adjustments_eur,tax_cit_country_by_country_reporting_flag,tax_cit_state_aid_tax_ruling_flag,tax_cit_audit_rate_pct,tax_cit_data_source,tax_cit_data_extract_date
2010,AT,A,MICRO,14.38,12.71,1227848452.92,156059538.37,334838367.99,10295797.93,1,0,1,0,78254120.66,1,0,8.75,NATIONAL_CORPORATE_TAX_ADMIN,2024-06-16
2011,EE,F,LARGE,12.11,8.74,1262144685.74,110311445.53,260627063.01,19942842.57,0,1,1,1,-28007144.32,1,0,11.13,OECD_CBC_SUMMARY,2024-03-20
2012,IT,K,MEDIUM,21.57,16.79,1345970042.58,225988370.15,234753285.44,11258101.61,1,0,1,1,-44101113.88,1,0,10.69,EU_TAX_OBSERVATORY,2024-09-03
2013,PT,P,SMALL,33.73,21.01,1415957976.74,297492770.91,236232435.19,25815195.96,0,0,1,1,40244174.0,1,0,1.34,ACADEMIC_TAXPANEL,2024-06-21
2014,BE,U,MICRO,13.79,9.83,1508773245.78,148312410.06,516626843.59,7481062.82,1,0,1,0,112544593.91,1,0,0.66,NATIONAL_CORPORATE_TAX_ADMIN,2024-03-26
2015,FI,E,LARGE,12.06,10.91,1555528790.05,169708190.99,537612585.71,32196531.85,1,0,0,0,66862222.31,0,0,2.35,OECD_CBC_SUMMARY,2025-06-21
2016,LV,J,MEDIUM,11.48,6.42,1620625482.14,104044155.95,394412636.49,7228304.97,1,0,1,1,92289772.13,0,0,11.49,EU_TAX_OBSERVATORY,2026-01-10
2017,RO,O,SMALL,10.97,6.78,1746008199.22,118379355.91,128770106.79,24378405.05,0,0,1,1,95069159.99,1,0,8.19,ACADEMIC_TAXPANEL,2026-01-12
2018,BG,T,MICRO,27.13,17.84,1820790009.57,324828937.71,186418297.13,57164393.52,0,1,0,1,20839066.85,0,0,7.95,NATIONAL_CORPORATE_TAX_ADMIN,2024-09-23
2019,FR,D,LARGE,11.34,8.35,1857707688.77,155118592.01,381507435.52,22038810.42,0,0,0,1,12849410.45,1,0,3.93,OECD_CBC_SUMMARY,2024-03-20
2020,LT,I,MEDIUM,28.71,17.67,1975118442.61,349003428.81,475418687.87,58263049.64,1,0,1,1,-21094189.79,1,0,12.84,EU_TAX_OBSERVATORY,2025-01-08
2021,SK,N,SMALL,10.38,6.92,2043860172.98,141435123.97,443579270.94,12915149.44,1,1,1,1,19199666.45,0,0,9.86,ACADEMIC_TAXPANEL,2024-02-10
2022,HR,S,MICRO,10.92,10.28,2110671842.37,216977065.4,325003600.79,30322149.17,1,1,1,1,-152267.08,1,0,0.4,NATIONAL_CORPORATE_TAX_ADMIN,2025-11-17
2023,DE,C,LARGE,32.29,24.34,2148530775.7,522952390.81,689272626.24,18049313.8,0,0,1,0,111046862.11,1,1,10.79,OECD_CBC_SUMMARY,2024-06-11
2024,LU,H,MEDIUM,17.95,15.23,2219102418.34,337969298.31,176848443.13,33502533.27,1,1,1,1,23129068.85,0,0,2.83,EU_TAX_OBSERVATORY,2024-02-05
2025,SI,M,SMALL,12.8,12.04,2330737065.31,280620742.66,708750339.0,25485026.31,1,1,0,1,-15235522.3,1,1,7.1,ACADEMIC_TAXPANEL,2024-01-19
