tax_customs_reference_month,tax_customs_country_iso2,tax_customs_customs_office_code,tax_customs_partner_country_iso2,tax_customs_hs2_code,tax_customs_tariff_rate_pct,tax_customs_customs_value_eur,tax_customs_duty_collected_eur,tax_customs_antidumping_duty_flag,tax_customs_sanctions_goods_flag,tax_customs_risk_channel_code,tax_customs_phytosanitary_control_flag,tax_customs_security_safety_declaration_flag,tax_customs_clearance_time_hours_median,tax_customs_post_clearance_audit_flag,tax_customs_infringement_case_count,tax_customs_aep_authorised_economic_operator_flag,tax_customs_import_one_stop_shop_ioss_flag,tax_customs_data_source,tax_customs_data_extract_date
2018-01,AT,ATCUST001,US,01,12.035,198917.93,16219.26,0,0,GREEN,0,0,13.73,0,24,0,1,NATIONAL_CUSTOMS_ADMIN,2025-01-23
2018-02,HR,HRCUST002,CA,12,8.041,244186.24,12027.33,0,0,YELLOW,1,1,29.15,1,26,0,0,ICS2_AGGREGATE,2025-10-01
2018-03,DK,DKCUST003,AU,23,0.465,302164.81,702.52,0,0,RED,0,0,96.84,0,23,1,1,TARIC_ANALYTICS,2025-11-18
2018-04,FR,FRCUST004,DK,34,8.79,375086.72,34748.57,1,0,GREEN,0,1,16.0,1,38,0,0,FRAUD_RISK_SYSTEM,2024-11-02
2018-05,HU,HUCUST005,IE,45,12.236,407495.76,49478.85,0,0,YELLOW,0,1,39.98,0,7,0,0,NATIONAL_CUSTOMS_ADMIN,2025-02-24
2018-06,LV,LVCUST006,PL,56,9.947,469273.24,30448.16,0,0,RED,1,1,93.6,1,0,0,1,ICS2_AGGREGATE,2025-10-08
2018-07,MT,MTCUST007,US,67,13.936,546953.77,77177.94,0,0,GREEN,0,1,4.29,1,14,1,1,TARIC_ANALYTICS,2024-01-19
2018-08,PT,PTCUST008,CA,78,6.118,580167.68,28068.09,0,0,YELLOW,0,1,10.25,0,33,0,0,FRAUD_RISK_SYSTEM,2025-03-23
2018-09,SI,SICUST009,AU,89,15.168,650914.05,63052.94,0,0,RED,0,1,103.75,0,33,0,1,NATIONAL_CUSTOMS_ADMIN,2025-03-28
2018-10,AT,ATCUST010,DK,01,15.658,690533.64,109077.65,0,1,GREEN,0,1,23.09,0,31,0,1,ICS2_AGGREGATE,2025-03-29
2018-11,HR,HRCUST011,IE,12,14.613,726501.27,63656.7,0,0,YELLOW,0,1,55.16,0,15,0,0,TARIC_ANALYTICS,2025-02-10
2018-12,DK,DKCUST012,PL,23,1.138,812602.53,9534.28,0,0,RED,0,1,69.38,0,16,1,1,FRAUD_RISK_SYSTEM,2025-02-07
2019-01,FR,FRCUST013,US,34,9.455,862130.41,50284.04,0,0,GREEN,0,1,3.43,0,34,0,1,NATIONAL_CUSTOMS_ADMIN,2025-07-30
2019-02,HU,HUCUST014,CA,45,0.399,927408.28,3499.79,1,0,YELLOW,0,1,57.32,0,5,0,1,ICS2_AGGREGATE,2024-06-30
2019-03,LV,LVCUST015,AU,56,0.65,989184.17,3674.72,0,0,RED,0,1,96.93,1,43,0,1,TARIC_ANALYTICS,2024-05-05
2019-04,MT,MTCUST016,DK,67,8.94,1006712.82,46456.49,0,0,GREEN,1,1,24.43,1,20,0,0,FRAUD_RISK_SYSTEM,2024-09-05
2019-05,PT,PTCUST017,IE,78,12.593,1091871.26,88060.08,0,0,YELLOW,1,1,23.33,0,17,0,1,NATIONAL_CUSTOMS_ADMIN,2024-12-24
2019-06,SI,SICUST018,PL,89,3.652,1122304.71,43027.17,0,1,RED,0,1,106.64,1,37,0,0,ICS2_AGGREGATE,2025-04-20
2019-07,AT,ATCUST019,US,01,9.36,1176580.99,88704.22,0,0,GREEN,1,1,52.66,1,29,1,0,TARIC_ANALYTICS,2024-11-01
2019-08,HR,HRCUST020,CA,12,8.669,1232753.03,95145.26,1,0,YELLOW,1,1,88.53,0,11,1,0,FRAUD_RISK_SYSTEM,2024-11-01
2019-09,DK,DKCUST021,AU,23,6.045,1320703.46,45688.6,0,1,RED,0,1,14.21,1,36,0,0,NATIONAL_CUSTOMS_ADMIN,2025-05-31
2019-10,FR,FRCUST022,DK,34,13.509,1338166.52,113470.33,0,0,GREEN,0,0,67.29,1,2,0,0,ICS2_AGGREGATE,2024-02-14
2019-11,HU,HUCUST023,IE,45,0.592,1391522.89,4551.27,0,0,YELLOW,0,1,10.74,0,18,0,0,TARIC_ANALYTICS,2024-08-07
2019-12,LV,LVCUST024,PL,56,2.36,1463743.69,26639.52,1,0,RED,0,1,92.6,1,39,0,0,FRAUD_RISK_SYSTEM,2024-02-12
2020-01,MT,MTCUST025,US,67,3.254,1540191.59,38621.19,0,0,GREEN,0,1,66.52,0,41,0,0,NATIONAL_CUSTOMS_ADMIN,2024-02-29
2020-02,PT,PTCUST026,CA,78,10.104,1586586.76,121487.94,0,0,YELLOW,0,0,28.78,0,25,0,0,ICS2_AGGREGATE,2024-09-13
2020-03,SI,SICUST027,AU,89,8.356,1644158.23,137937.94,0,0,RED,0,1,64.44,0,9,0,0,TARIC_ANALYTICS,2024-09-15
2020-04,AT,ATCUST028,DK,01,5.203,1695437.01,56033.57,0,1,GREEN,0,1,44.41,1,26,0,0,FRAUD_RISK_SYSTEM,2025-05-17
2020-05,HR,HRCUST029,IE,12,9.338,1727137.33,98865.42,0,0,YELLOW,0,0,51.77,0,6,0,0,NATIONAL_CUSTOMS_ADMIN,2025-06-09
2020-06,DK,DKCUST030,PL,23,16.718,1777898.18,264073.43,0,0,RED,1,0,50.5,1,21,0,0,ICS2_AGGREGATE,2024-03-01
2020-07,FR,FRCUST031,US,34,1.462,1835946.61,19458.33,0,0,GREEN,0,1,25.86,0,27,1,0,TARIC_ANALYTICS,2026-02-16
2020-08,HU,HUCUST032,CA,45,1.078,1921793.87,17694.54,0,0,YELLOW,0,0,25.49,1,19,0,0,FRAUD_RISK_SYSTEM,2024-10-03
2020-09,LV,LVCUST033,AU,56,13.818,1983362.29,208030.62,0,0,RED,0,1,77.84,0,37,0,1,NATIONAL_CUSTOMS_ADMIN,2026-01-29
2020-10,MT,MTCUST034,DK,67,16.936,1996638.71,247525.98,0,0,GREEN,0,1,42.93,1,30,0,0,ICS2_AGGREGATE,2024-02-27
2020-11,PT,PTCUST035,IE,78,14.957,2087050.97,255044.23,0,0,YELLOW,0,1,17.37,1,26,0,0,TARIC_ANALYTICS,2024-09-30
2020-12,SI,SICUST036,PL,89,8.736,2125056.48,113705.06,0,0,RED,1,1,21.71,0,4,0,0,FRAUD_RISK_SYSTEM,2026-01-19
2021-01,AT,ATCUST037,US,01,0.941,2181084.29,17129.17,0,0,GREEN,0,1,47.96,1,9,0,0,NATIONAL_CUSTOMS_ADMIN,2025-05-05
2021-02,HR,HRCUST038,CA,12,1.946,2231084.75,42500.51,1,0,YELLOW,0,1,41.57,1,15,0,1,ICS2_AGGREGATE,2025-04-14
2021-03,DK,DKCUST039,AU,23,4.127,2275975.96,43916.35,0,0,RED,1,1,89.39,0,14,1,0,TARIC_ANALYTICS,2024-12-25
2021-04,FR,FRCUST040,DK,34,0.386,2335012.01,6612.5,0,0,GREEN,0,1,34.03,1,27,0,1,FRAUD_RISK_SYSTEM,2025-03-13
2021-05,HU,HUCUST041,IE,45,7.656,2380705.69,120412.87,0,0,YELLOW,0,1,19.8,0,1,1,0,NATIONAL_CUSTOMS_ADMIN,2025-02-25
