tax_env_reference_year,tax_env_country_iso2,tax_env_tax_type_code,tax_env_tax_base_unit,tax_env_tax_rate_value,tax_env_tax_revenue_eur,tax_env_tax_revenue_pct_gdp,tax_env_ets_auction_revenue_eur,tax_env_ets_allowances_auctioned_count,tax_env_cbam_revenue_eur,tax_env_energy_tax_revenue_eur,tax_env_transport_tax_revenue_eur,tax_env_pollution_tax_revenue_eur,tax_env_resource_tax_revenue_eur,tax_env_revenue_recycled_to_households_flag,tax_env_green_budget_tagging_flag,tax_env_fossil_fuel_subsidy_eur,tax_env_policy_reference_fit55_flag,tax_env_data_source,tax_env_data_extract_date
2010,AT,ENERGY,EUR_PER_TCO2,157.9359,87505636.81,0.1466,1439768426.45,172756,97019644.17,29827886.23,12253932.34,10194898.14,35228920.1,0,0,6382393799.44,0,EUROSTAT_ENV_TAX,2024-10-27
2011,CZ,POLLUTION,EUR_PER_MWH,104.4709,148054187.99,0.2392,2912455098.36,151770,29403730.4,24123764.72,23920013.39,44652836.15,55357573.73,0,1,3894185770.21,0,ETS_AUCTION_PLATFORM,2025-03-16
2012,DE,CARBON,EUR_PER_LITRE,17.8448,8813507.31,0.0134,2795718811.29,373338,117425425.41,5308117.58,733647.0,1300674.76,1471067.97,0,1,4767852717.26,0,NATIONAL_ENV_MINISTRY,2025-09-08
2013,LV,TRANSPORT,EUR_PER_TONNE,119.4232,9258148.94,0.0137,1317788028.83,403151,365241.16,1339691.71,1506403.82,1050961.32,5361092.09,1,1,7007676800.95,0,BUDGET_REPORTING,2024-07-29
2014,PL,RESOURCE,EUR_PER_VEHICLE,116.2248,160427114.02,0.2268,1632375621.96,310506,47993399.57,11865534.0,20591761.72,3847702.07,124122116.23,1,0,4335880822.69,0,EUROSTAT_ENV_TAX,2025-02-11
2015,ES,ENERGY,EUR_PER_TCO2,35.457,18155616.84,0.0246,1982176147.69,435062,156597238.19,11140664.82,2141450.54,485700.17,4387801.31,1,1,3463858705.48,0,ETS_AUCTION_PLATFORM,2024-11-18
2016,HR,POLLUTION,EUR_PER_MWH,148.8383,264051202.68,0.3481,585955613.78,341790,12277179.07,61851719.81,20603094.91,90634505.79,90961882.17,1,0,315284300.41,0,NATIONAL_ENV_MINISTRY,2024-03-29
2017,FI,CARBON,EUR_PER_LITRE,49.2621,77342237.48,0.0986,598409816.69,382233,70852673.15,46664250.9,11210498.31,3531306.51,15936181.76,0,1,203429588.59,0,BUDGET_REPORTING,2025-04-28
2018,IE,TRANSPORT,EUR_PER_TONNE,1.5351,463896.18,0.0006,2290715410.05,489839,183322545.71,44267.24,106647.71,42617.25,270363.98,0,1,4740763013.38,0,EUROSTAT_ENV_TAX,2024-05-18
2019,MT,RESOURCE,EUR_PER_VEHICLE,110.1463,80430966.26,0.0957,819520006.57,574682,2420529.16,10901396.28,11660126.89,8631253.21,49238189.88,0,0,951270727.47,0,ETS_AUCTION_PLATFORM,2025-05-11
