tax_excise_reference_month,tax_excise_country_iso2,tax_excise_product_category_code,tax_excise_excise_rate_unit,tax_excise_excise_rate_value,tax_excise_clearances_quantity,tax_excise_excise_revenue_eur,tax_excise_illicit_trade_seizures_count,tax_excise_illicit_trade_seizures_value_eur,tax_excise_track_and_trace_flag,tax_excise_energy_tax_component_eur,tax_excise_carbon_price_component_eur,tax_excise_minimum_excise_compliance_flag,tax_excise_cross_border_purchases_estimate,tax_excise_health_policy_link_flag,tax_excise_retail_price_index,tax_excise_eu_directive_reference,tax_excise_data_source,tax_excise_revision_round,tax_excise_data_extract_date
2018-01,AT,ENERGY_FUELS,EUR_PER_1000_L,609.8817,9521366.79,5843207467.19,874,2941319.55,0,4050830219.75,1205012194.14,1,2036135.69,0,70.856,2003_96_EC,NATIONAL_EXCISE_ADMIN,FLASH,2025-12-15
2018-02,CZ,VAPING_LIQUIDS,EUR_PER_L,0.2573,5755816.2,1632510.34,383,8068288.27,0,112748.51,124715.51,1,497766.43,1,70.922,NATIONAL_ONLY,EMCS_AGGREGATE,FIRST,2024-05-06
2018-03,DE,TOBACCO_FINECUT,EUR_PER_KG,55.3414,1121930.75,53659485.35,921,14579910.5,1,1366255.77,806041.38,1,206821.81,1,70.822,2020_262_EU,EUROSTAT_TAX,SECOND,2024-09-28
2018-04,LV,TOBACCO_CIGARETTES,EUR_PER_1000_CIG,318.3953,19905476.3,6772357583.86,737,22852495.41,1,530711566.09,445386918.09,1,856279.21,1,71.01,92_84_EEC,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2025-09-29
2018-05,PL,ALCOHOL_WINE,EUR_PER_1000_L,63.5306,345663.61,22328362.21,209,3066884.28,1,406989.76,739025.41,1,16997.36,1,72.854,92_83_EEC,NATIONAL_EXCISE_ADMIN,FLASH,2026-02-16
2018-06,ES,ALCOHOL_BEER,EUR_PER_1000_L,120.6483,489279.74,52643148.69,533,11130711.57,0,5894546.74,155581.23,0,56538.39,1,71.803,2011_64_EU,EMCS_AGGREGATE,FIRST,2025-07-16
2018-07,HR,ALCOHOL_SPIRITS,EUR_PER_HLPA,1978.7354,85202.02,181289597.78,486,2786859.48,0,2990725.03,3160315.56,1,8119.24,1,72.275,2003_96_EC,EUROSTAT_TAX,SECOND,2024-08-15
2018-08,FI,ELECTRICITY,EUR_PER_MWH,5.2904,9599510.45,53384968.23,588,1255848.94,0,31256184.91,9285856.43,1,1964427.07,0,73.832,NATIONAL_ONLY,CUSTOMS_SEIZURE_REPORTS,BENCHMARK,2024-12-31
2018-09,IE,ENERGY_FUELS,EUR_PER_1000_L,314.9988,14872583.9,4531408822.88,540,11039857.73,0,2560173285.38,602480879.39,0,2121014.67,0,74.034,2020_262_EU,NATIONAL_EXCISE_ADMIN,FLASH,2026-01-05
2018-10,MT,VAPING_LIQUIDS,EUR_PER_L,0.5072,13243752.24,6319229.19,897,36613892.55,1,211478.56,496387.65,1,479001.49,1,75.485,92_84_EEC,EMCS_AGGREGATE,FIRST,2025-06-09
