tax_vat_reference_year,tax_vat_country_iso2,tax_vat_region_nuts_code,tax_vat_vat_rate_standard_pct,tax_vat_vat_rate_reduced_pct,tax_vat_tax_base_eur,tax_vat_net_vat_revenue_eur,tax_vat_gross_vat_revenue_eur,tax_vat_refunds_eur,tax_vat_vies_transactions_count,tax_vat_one_stop_shop_oss_flag,tax_vat_e_invoicing_mandate_flag,tax_vat_vat_gap_eur,tax_vat_vat_gap_pct,tax_vat_compliance_rate_pct,tax_vat_audit_yield_eur,tax_vat_late_payment_interest_eur,tax_vat_carousel_fraud_cases_count,tax_vat_data_source,tax_vat_data_extract_date
2010,AT,HU9,27.23,16.78,4941446109.37,907046453.94,1144110636.19,237064182.25,56934,1,1,201541243.37,18.18,81.82,152073706.61,27594767.25,36,EUROFISC,2024-07-11
2011,CZ,BE4,25.89,18.65,5195924083.54,1151518154.95,1359756851.53,208238696.58,67657,1,0,103132264.48,8.22,91.78,15454909.25,23898324.18,42,VIES_AGGREGATE,2025-01-03
2012,DE,IE9,25.87,18.89,5410915690.36,1035863112.01,1185793961.91,149930849.9,62070,1,0,117274049.31,10.17,89.83,152257114.51,27449276.0,65,EU_COMMISSION_VAT_GAP_STUDY,2025-06-16
2013,LV,FI43,21.84,15.25,5521613689.78,918668000.03,1163677571.85,245009571.82,61632,1,0,149426407.63,13.99,86.01,12250610.32,23790541.1,108,NATIONAL_TAX_AUTHORITY,2025-06-14
2014,PL,SE521,26.96,17.05,5702976832.51,1284467371.57,1664672295.23,380204923.66,66411,1,1,146215822.42,10.22,89.78,207960804.87,22744050.63,83,EUROFISC,2024-11-03
2015,ES,HR87,22.83,16.28,5844910836.05,1026041632.81,1168068155.88,142026523.07,69785,0,1,143369847.49,12.26,87.74,133091479.93,13142021.11,92,VIES_AGGREGATE,2025-03-08
2016,HR,EE2,24.83,16.74,6073652712.19,1131624353.99,1322559441.56,190935087.57,84532,1,1,282729294.3,19.99,80.01,21958457.71,7265045.57,85,EU_COMMISSION_VAT_GAP_STUDY,2024-05-26
2017,FI,SI534,22.75,16.68,6224024618.16,1227447819.17,1379046779.29,151598960.12,79498,0,0,62836864.07,4.87,95.13,36502166.33,11445949.2,24,NATIONAL_TAX_AUTHORITY,2025-04-29
2018,IE,IE7,20.01,11.22,6427324014.29,995782658.41,1260243475.91,264460817.5,79133,0,0,155544267.72,13.51,86.49,116241151.77,30111587.92,73,EUROFISC,2024-01-14
2019,MT,CY903,22.0,13.86,6573557415.99,1082038508.24,1407198265.48,325159757.24,92319,0,1,232231512.7,17.67,82.33,201076043.79,26275380.73,97,VIES_AGGREGATE,2025-12-26
2020,SK,DK5,25.88,17.57,6827488489.5,1507062320.1,1742595676.46,235533356.36,89693,0,0,130336984.66,7.96,92.04,20313823.57,17477189.91,124,EU_COMMISSION_VAT_GAP_STUDY,2025-03-22
2021,BE,GR71,20.02,9.65,6934616834.93,992966255.48,1260321555.7,267355300.22,88000,0,0,152852179.19,13.34,86.66,20953278.72,35610805.05,18,NATIONAL_TAX_AUTHORITY,2025-11-04
2022,DK,BG703,25.87,19.67,7131233236.63,1631286040.84,1916111288.89,284825248.05,94946,1,0,34481385.73,2.07,97.93,106156525.49,12657929.79,145,EUROFISC,2025-03-01
2023,GR,DK966,24.03,12.12,7349117523.23,1293655483.27,1521204763.91,227549280.64,85562,1,0,155169114.42,10.71,89.29,96773992.46,16835495.4,109,VIES_AGGREGATE,2026-01-23
2024,LT,DE35,24.87,17.64,7502151191.16,1366492827.9,1723078855.01,356586027.11,89000,0,1,272577374.69,16.63,83.37,26382300.2,32696583.82,157,EU_COMMISSION_VAT_GAP_STUDY,2024-03-01
2025,PT,DE566,19.85,9.22,7751741106.33,1386331254.55,1824520899.81,438189645.26,93633,0,0,36130529.31,2.54,97.46,92952454.96,22916428.05,131,NATIONAL_TAX_AUTHORITY,2024-07-25
2026,SE,FI63,17.98,8.38,7927244563.66,1184622486.22,1400226422.39,215603936.17,103544,1,0,97714043.58,7.62,92.38,19747906.34,7165421.02,125,EUROFISC,2024-08-29
2010,CY,FR83,22.96,14.05,8057674125.78,1466907534.46,1671616047.3,204708512.84,93224,0,0,202879072.78,12.15,87.85,78523596.42,34002134.72,157,VIES_AGGREGATE,2025-04-05
2011,FR,RO4,19.11,9.23,8197024332.64,1376623517.55,1769966154.0,393342636.45,100935,0,1,124929184.84,8.32,91.68,86473563.61,10099856.16,82,EU_COMMISSION_VAT_GAP_STUDY,2025-03-18
2012,IT,FI716,23.02,14.64,8371234246.18,1309751581.26,1608921306.31,299169725.05,104948,1,0,361063039.56,21.61,78.39,151816355.38,1011053.74,73,NATIONAL_TAX_AUTHORITY,2025-04-08
2013,NL,ES862,25.2,13.64,8624683673.72,1650266563.45,2154105672.11,503839108.66,111628,1,0,405371906.22,19.72,80.28,305112369.02,40968444.87,63,EUROFISC,2024-05-17
2014,SI,HR107,23.12,15.72,8763720560.99,1694107488.01,2044332356.22,350224868.21,118669,1,1,79827054.41,4.5,95.5,39239402.82,18651163.66,156,VIES_AGGREGATE,2024-12-13
2015,BG,CZ25,21.1,10.26,9006936239.75,1431287408.58,1851136124.73,419848716.15,111270,1,1,278120699.12,16.27,83.73,312151811.89,2704555.34,82,EU_COMMISSION_VAT_GAP_STUDY,2024-11-16
2016,EE,CY26,25.09,18.48,9092890708.48,2081656367.65,2723078418.4,641422050.75,122059,1,1,102204697.86,4.68,95.32,90374030.53,5031740.51,70,NATIONAL_TAX_AUTHORITY,2024-11-20
2017,HU,LV65,23.82,11.58,9282071416.01,1541953887.81,1981956540.31,440002652.5,119321,0,1,315821880.63,17.0,83.0,269905987.6,35054237.36,54,EUROFISC,2024-11-05
2018,LU,FR7,21.08,7.6,9468696677.55,1381432460.33,1750386923.06,368954462.73,120799,0,1,299755881.31,17.83,82.17,227055003.33,18489400.85,106,VIES_AGGREGATE,2024-09-23
2019,RO,NL6,17.0,10.73,9622664615.28,1324070790.97,1659383264.11,335312473.14,126940,0,0,210194320.24,13.7,86.3,20753626.93,36394512.91,45,EU_COMMISSION_VAT_GAP_STUDY,2025-03-21
