tech_cyber_incident_date,tech_cyber_reporting_country_iso2,tech_cyber_sector_nis2_code,tech_cyber_entity_size_class,tech_cyber_incident_type_code,tech_cyber_attack_vector_code,tech_cyber_ransomware_flag,tech_cyber_service_disruption_hours,tech_cyber_records_exposed_count,tech_cyber_data_breach_gdpr_notification_flag,tech_cyber_time_to_detect_hours_median,tech_cyber_time_to_recover_hours_median,tech_cyber_financial_loss_eur_estimate,tech_cyber_incident_severity_level,tech_cyber_csirt_involved_flag,tech_cyber_cross_border_impact_flag,tech_cyber_enisa_reporting_flag,tech_cyber_sanctions_imposed_flag,tech_cyber_data_source,tech_cyber_data_extract_date
2018-02-01,AT,ENERGY,MICRO,RANSOMWARE,EMAIL,1,126.7,158760,1,60.87,200.68,25850706.65,LOW,0,0,1,0,CSIRT_REPORTING,2025-07-13
2018-02-12,EE,DRINKING_WATER,LARGE,INSIDER,THIRD_PARTY,0,92.64,84498,0,51.21,91.72,2182566.91,CRITICAL,1,0,0,0,SECTORAL_REGULATOR,2025-03-15
2018-02-23,IT,POSTAL,MEDIUM,MALWARE,USB,0,211.42,200762,0,2.21,202.02,3448242.52,HIGH,1,0,1,0,ENISA_PORTAL,2025-04-18
2018-03-06,PT,TRANSPORT,SMALL,PHISHING,WEB_APP,0,217.72,34856,0,116.68,238.97,10423778.18,MEDIUM,0,0,0,0,INSURANCE_CLAIMS_DB,2025-05-23
2018-03-17,BE,DIGITAL_INFRA,MICRO,SUPPLY_CHAIN,VULNERABILITY,0,14.8,247952,0,153.26,183.26,13630887.38,LOW,0,0,1,0,NATIONAL_AUTHORITY,2024-12-27
2018-03-28,FI,WASTE_WATER,LARGE,DATA_BREACH,RDP,1,119.57,62350,1,10.59,126.11,19740857.89,CRITICAL,0,0,0,0,CSIRT_REPORTING,2025-05-31
2018-04-08,LV,BANKING,MEDIUM,DDOS,CLOUD_MISCONFIG,0,87.21,31312,0,86.13,240.79,12607245.52,HIGH,1,0,1,0,SECTORAL_REGULATOR,2026-01-31
2018-04-19,RO,ICT_SERVICE,SMALL,RANSOMWARE,EMAIL,1,83.18,68658,1,115.53,469.91,21864000.81,MEDIUM,0,0,0,0,ENISA_PORTAL,2025-03-14
2018-04-30,BG,FOOD,MICRO,INSIDER,THIRD_PARTY,0,15.75,27300,0,72.68,134.14,2327769.96,LOW,0,0,1,0,INSURANCE_CLAIMS_DB,2025-09-21
2018-05-11,FR,FIN_MARKETS,LARGE,MALWARE,USB,0,67.74,177556,0,99.32,6.15,16414405.28,CRITICAL,0,0,1,0,NATIONAL_AUTHORITY,2024-03-03
