tech_opendata_reference_year,tech_opendata_country_iso2,tech_opendata_open_data_maturity_score,tech_opendata_open_by_default_policy_flag,tech_opendata_public_sector_info_directive_compliance_flag,tech_opendata_high_value_datasets_published_count,tech_opendata_api_endpoints_count,tech_opendata_machine_readable_share_pct,tech_opendata_metadata_dc_at_ap_compliance_pct,tech_opendata_licensing_standard_code,tech_opendata_reuse_cases_count,tech_opendata_digital_identity_eidas_level,tech_opendata_eudi_wallet_ready_flag,tech_opendata_cross_border_service_usage_count,tech_opendata_interoperability_framework_adoption_pct,tech_opendata_data_spaces_participation_flag,tech_opendata_gaia_x_alignment_flag,tech_opendata_data_governance_act_compliance_flag,tech_opendata_data_act_compliance_flag,tech_opendata_data_extract_date
2014,AT,31.07,1,1,72,233,85.76,47.52,CC_BY_4_0,468,LOW,1,2937,79.96,1,1,0,0,2025-05-16
2015,CZ,72.35,0,1,86,102,78.4,82.35,ODC_BY,289,HIGH,1,1075,56.27,1,0,0,0,2025-04-25
2016,DE,39.66,1,1,34,93,79.53,59.39,OTHER,192,SUBSTANTIAL,1,2656,81.49,0,0,1,1,2025-08-31
2017,LV,24.14,0,1,46,74,50.66,49.13,CC0_1_0,262,LOW,0,1802,85.58,0,0,1,1,2025-04-21
2018,PL,50.83,0,1,39,63,48.36,92.1,EU_PSI_STANDARD,310,HIGH,0,186,81.87,0,1,1,0,2025-12-28
2019,ES,49.84,0,1,78,21,88.57,54.14,CC_BY_4_0,151,SUBSTANTIAL,1,1270,70.38,0,0,1,1,2024-05-24
2020,HR,69.11,1,0,78,261,43.82,79.65,ODC_BY,349,LOW,1,2869,46.89,0,0,0,0,2025-07-21
2021,FI,89.56,1,1,79,53,68.16,83.31,OTHER,298,HIGH,0,2210,19.94,0,0,1,0,2025-07-26
2022,IE,66.4,0,1,49,146,67.97,46.21,CC0_1_0,287,SUBSTANTIAL,1,1573,89.44,0,0,0,1,2025-12-08
2023,MT,85.34,0,0,71,31,62.8,51.34,EU_PSI_STANDARD,172,LOW,0,1184,80.13,1,0,0,1,2025-01-26
