tech_platforms_reference_year,tech_platforms_platform_id_hash,tech_platforms_platform_type_code,tech_platforms_vlop_vlose_flag,tech_platforms_member_state_digital_coordinator_iso2,tech_platforms_dsa_risk_assessment_submitted_flag,tech_platforms_content_moderation_actions_count,tech_platforms_notice_and_action_processing_time_hours_median,tech_platforms_illegal_content_removal_rate_pct,tech_platforms_ad_transparency_repository_flag,tech_platforms_recommender_system_optout_flag,tech_platforms_dark_pattern_finding_flag,tech_platforms_dma_gatekeeper_flag,tech_platforms_interoperability_obligation_flag,tech_platforms_data_portability_support_flag,tech_platforms_user_complaints_count,tech_platforms_sanctions_amount_eur,tech_platforms_audit_report_published_flag,tech_platforms_source_regulator_dataset,tech_platforms_data_extract_date
2021,c98770ad70e490ab87cfc57e,SOCIAL_NETWORK,0,AT,1,2775,34.9,81.15,0,1,1,0,0,0,153,537642240.19,0,DSA_TRANSPARENCY_DB,2024-11-09
2022,ebc2a22a704c35adf8dba4a4,AD_TECH,0,CZ,1,702,13.6,62.04,1,0,0,1,0,1,175,52661373.09,0,NATIONAL_DSC_REPORTING,2025-03-03
2023,547f6134469ab36f87ca6c28,CLOUD_PLATFORM,0,DE,1,1151,31.6,85.27,1,1,1,0,0,0,270,530340519.47,1,COMMISSION_ENFORCEMENT,2024-12-13
2024,a558a14a174c382c5d8e41d0,MESSAGING,0,LV,1,1131,71.8,57.59,0,1,0,0,0,1,206,446148938.45,0,REGULATOR_AUDIT_PORTAL,2025-02-13
2025,aeb3baf9160cd1a571d61037,APP_STORE,1,PL,1,2193,57.94,86.51,1,1,0,1,0,1,257,62457491.46,1,PLATFORM_SELF_REPORT,2024-08-30
2026,2daae2c40b0bb9db86691861,SEARCH_ENGINE,1,ES,1,1312,5.22,74.6,0,1,0,1,1,1,157,97591589.54,0,DSA_TRANSPARENCY_DB,2024-05-05
2021,34c3736adec815884732e6c6,ONLINE_MARKETPLACE,0,HR,1,1434,42.87,63.04,1,1,1,1,0,1,268,157615465.08,0,NATIONAL_DSC_REPORTING,2024-04-12
2022,fa21b7acc4f603f4b4853f6b,VIDEO_SHARING,0,FI,1,1212,29.68,39.73,0,1,0,0,0,1,125,279652144.26,1,COMMISSION_ENFORCEMENT,2024-02-01
2023,f144ba43f9a9e9bd059ae802,SOCIAL_NETWORK,1,IE,0,1174,3.55,66.43,1,1,0,0,0,0,81,155335149.36,0,REGULATOR_AUDIT_PORTAL,2024-02-26
2024,62020230e602447011f5dbf5,AD_TECH,0,MT,1,908,88.01,57.68,1,0,0,0,0,1,235,332069004.57,0,PLATFORM_SELF_REPORT,2025-01-23
2025,ff2e35ec363386d28dced83a,CLOUD_PLATFORM,0,SK,1,2502,52.1,76.19,1,1,0,0,0,1,395,105813393.23,1,DSA_TRANSPARENCY_DB,2024-02-26
