tech_skills_reference_year,tech_skills_country_iso2,tech_skills_region_nuts_code,tech_skills_age_group,tech_skills_sex,tech_skills_basic_digital_skills_pct,tech_skills_above_basic_digital_skills_pct,tech_skills_ict_specialists_pct_employment,tech_skills_ict_graduates_per_1k,tech_skills_advanced_programming_skills_pct,tech_skills_ai_skills_training_participants,tech_skills_cybersecurity_skills_pct,tech_skills_remote_work_prevalence_pct,tech_skills_digital_public_services_usage_pct,tech_skills_enterprise_cloud_adoption_pct,tech_skills_enterprise_bigdata_adoption_pct,tech_skills_gender_gap_ict_specialists_pp,tech_skills_desi_component_score,tech_skills_survey_weight,tech_skills_data_extract_date
2014,AT,LT6,16-24,M,38.56,22.64,2.053,0.881,9.19,479,16.6,26.6,13.38,48.32,19.1,-1.54,43.54,1.3013,2026-01-09
2015,HR,IT961,65-74,T,46.97,29.54,4.17,3.017,24.71,569,6.99,24.62,25.13,59.08,22.56,0.71,23.89,2.8766,2024-07-24
2016,DK,PL61,55-64,F,79.08,38.34,7.621,5.99,20.98,253,4.05,11.33,45.06,14.61,22.42,3.04,65.85,1.1561,2025-09-29
2017,FR,GR8,45-54,M,48.12,18.9,2.008,6.902,22.57,602,21.45,14.67,53.81,77.07,26.38,3.02,39.17,0.6525,2024-01-31
2018,HU,AT76,35-44,T,40.39,33.42,5.878,6.648,27.05,384,15.47,32.05,89.15,64.12,48.57,4.72,36.57,3.2718,2024-06-08
2019,LV,RO8,25-34,F,39.19,22.06,7.361,0.442,14.48,116,11.09,13.33,43.69,9.66,39.88,8.74,37.59,0.8799,2024-06-20
2020,MT,DE63,16-24,M,41.96,26.92,8.716,7.176,9.05,613,3.83,42.14,88.06,24.63,9.56,7.94,28.52,2.7784,2025-11-19
2021,PT,DE4,65-74,T,74.89,49.54,1.861,4.333,22.26,356,12.52,44.77,27.05,48.48,37.81,9.3,55.62,3.0358,2024-04-30
2022,SI,LV543,55-64,F,75.67,51.74,6.209,3.235,5.98,191,16.56,39.31,64.44,52.56,17.59,-1.49,59.3,2.685,2025-06-19
2023,AT,IE18,45-54,M,91.59,41.67,2.105,6.718,18.63,438,8.31,34.4,49.87,65.65,29.6,-2.17,33.61,0.3894,2024-10-02
2024,HR,LT9,35-44,T,90.79,72.29,2.656,8.203,11.08,54,10.09,7.0,91.07,35.03,7.1,-2.29,24.37,0.5841,2024-08-03
2025,DK,CZ589,25-34,F,82.15,38.29,5.336,3.549,24.77,360,3.0,6.64,13.23,71.76,6.67,8.44,72.82,1.8457,2025-07-01
2026,FR,PT9,16-24,M,88.02,53.86,8.282,4.577,14.26,65,7.44,4.92,25.0,52.68,50.5,1.16,31.29,3.3156,2025-12-29
2014,HU,MT58,65-74,T,84.48,39.15,3.216,3.443,8.55,263,8.24,38.49,26.41,45.37,37.4,1.02,33.45,1.0331,2024-11-17
2015,LV,IT39,55-64,F,84.52,60.31,3.226,7.746,14.68,246,11.04,13.05,25.86,26.84,18.45,3.25,65.2,2.7865,2024-10-07
2016,MT,SK77,45-54,M,51.76,37.45,9.004,6.731,27.18,357,4.66,38.81,33.43,47.79,32.0,5.68,82.23,2.3559,2024-09-26
2017,PT,FR2,35-44,T,47.66,36.82,1.847,3.336,21.72,74,4.54,6.02,57.34,39.65,4.07,6.94,68.39,3.042,2025-11-30
2018,SI,DE6,25-34,F,64.26,40.73,5.334,0.786,14.91,402,14.7,34.15,40.69,56.33,28.42,-1.25,28.97,1.8131,2025-02-08
2019,AT,AT1,16-24,M,58.15,21.61,1.847,1.185,6.6,110,18.44,38.73,28.82,33.14,49.98,-1.79,75.83,2.2358,2024-03-21
2020,HR,HR83,65-74,T,53.05,36.54,4.507,2.751,22.04,617,7.25,29.06,54.63,35.8,3.66,0.18,80.18,0.635,2025-08-15
2021,DK,SE49,55-64,F,58.46,28.84,8.995,7.201,13.44,119,8.88,41.58,49.67,61.31,48.33,4.39,66.57,1.4468,2024-03-17
2022,FR,MT22,45-54,M,27.88,16.64,7.644,5.132,5.25,493,13.28,24.38,77.41,40.6,13.94,2.94,22.09,2.1566,2026-01-25
2023,HU,BE603,35-44,T,63.06,39.68,3.918,1.289,24.36,534,7.55,16.09,55.13,19.06,37.42,7.41,52.78,2.7846,2024-03-14
2024,LV,CY558,25-34,F,58.33,34.75,7.311,5.175,15.45,390,7.41,39.9,30.36,52.23,47.42,5.08,75.32,0.4973,2025-01-18
