trans_air_reference_month,trans_air_airport_code,trans_air_country_iso2,trans_air_route_pair_code,trans_air_flights_count,trans_air_passengers_count,trans_air_cargo_tonnes,trans_air_delay_minutes_avg,trans_air_cancellation_rate_pct,trans_air_saf_blend_pct,trans_air_co2e_emissions_tonnes,trans_air_ets_covered_flag,trans_air_eu261_claims_count,trans_air_noise_exposure_index,trans_air_ultra_fine_particles_index,trans_air_air_traffic_management_flow_delay_min,trans_air_eurocontrol_network_manager_flag,trans_air_data_source,trans_air_revision_round,trans_air_data_extract_date
2016-01,AMS,AT,AMS-AMS,11332,1317407,135389.12,3.82,7.083,0.359,236616.0,1,8666,0.9417,2.035,6434.97,1,EUROCONTROL_STATFOR,FLASH,2025-06-16
2016-02,FCO,EE,FCO-WAW,3371,320969,262122.01,25.24,2.311,0.659,56605.42,1,2700,1.0053,2.0994,7644.9,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-09-26
2016-03,OSL,DK,OSL-MAN,41687,2742962,106361.81,12.89,2.002,0.362,807071.51,1,24399,1.2286,1.2684,656.51,1,EASA_ENV_REPORT,SECOND,2025-05-28
2016-04,ATH,FR,ATH-FRA,65754,8438132,126447.23,20.7,7.061,0.176,812713.39,1,61907,1.4582,0.654,5186.42,1,CORSIA_REPORTING,BENCHMARK,2026-02-22
2016-05,LHR,HU,LHR-VIE,30907,1218294,16909.98,13.74,2.647,0.22,583797.04,1,5870,1.6927,0.8528,6060.94,0,EUROCONTROL_STATFOR,FLASH,2025-05-31
2016-06,BER,FI,BER-SXF,83656,11678482,7403.72,4.54,3.003,0.301,1398978.81,1,20442,1.5678,0.7357,6444.99,1,AIRPORT_OPERATOR_REPORT,FIRST,2025-03-25
2016-07,OTP,MT,OTP-BCN,29751,1283601,133943.26,15.67,3.585,0.158,632996.5,1,5587,0.3676,1.4225,1753.82,1,EASA_ENV_REPORT,SECOND,2024-06-10
2016-08,BCN,RO,BCN-ATH,25715,2761666,217839.58,10.3,6.699,0.134,280518.32,1,691,1.1182,0.1913,1876.69,0,CORSIA_REPORTING,BENCHMARK,2025-07-15
2016-09,ARN,SI,ARN-MUC,67963,5237466,158817.44,9.49,4.208,0.334,1454720.8,1,51073,1.2244,1.5263,1842.68,1,EUROCONTROL_STATFOR,FLASH,2025-10-26
2016-10,BRU,AT,BRU-MXP,44890,7075041,21688.97,26.11,5.541,0.59,672105.7,1,21032,1.2133,1.4027,11364.32,1,AIRPORT_OPERATOR_REPORT,FIRST,2024-12-19
