trans_mar_reference_month,trans_mar_port_code,trans_mar_country_iso2,trans_mar_ship_type_code,trans_mar_gross_tonnage_total,trans_mar_cargo_tonnes_total,trans_mar_container_teu_total,trans_mar_passengers_count,trans_mar_vessel_calls_count,trans_mar_port_dwell_time_hours_median,trans_mar_congestion_index,trans_mar_fuel_type_code,trans_mar_sulphur_cap_compliance_flag,trans_mar_ghg_intensity_index,trans_mar_shore_power_available_flag,trans_mar_eu_mrv_reporting_flag,trans_mar_accident_incidents_count,trans_mar_customs_clearance_time_hours_median,trans_mar_data_source,trans_mar_data_extract_date
2016-01,ATPORT001,AT,CONTAINER,80117274.37,130236605.99,9465329,1222899,25426,51.71,2.0067,VLSFO,1,1.2226,0,1,0,52.5,EMSA_PORT_STAT,2024-01-12
2016-02,CZPORT002,CZ,OFFSHORE_SUPPORT,72748433.34,87337865.99,3243584,443813,12715,84.46,1.7456,HFO_SCRUBBER,1,0.501,1,0,10,36.58,PORT_AUTHORITY_REPORT,2024-04-30
2016-03,DEPORT003,DE,FERRY,73075175.17,232017428.14,1577616,3434089,19873,89.5,0.8896,AMMONIA_PILOT,1,0.3498,0,1,2,2.37,EU_MRV_DATABASE,2024-07-05
2016-04,LVPORT004,LV,GENERAL_CARGO,19684823.37,10796007.55,968654,1356375,16220,58.12,2.0311,METHANOL,0,1.1944,0,0,2,47.25,CUSTOMS_ADMIN_DATA,2025-10-02
2016-05,PLPORT005,PL,CRUISE,55165869.1,323103492.22,1243057,8188018,15561,10.47,2.5033,LNG,1,0.5422,1,1,12,72.86,EMSA_PORT_STAT,2025-03-05
2016-06,ESPORT006,ES,RORO,77684410.13,105232366.67,2973893,12667538,6407,32.18,1.79,MGO,1,1.961,0,1,2,59.16,PORT_AUTHORITY_REPORT,2025-01-08
2016-07,HRPORT007,HR,TANKER,85088196.17,149336778.49,1773747,1302643,17358,5.07,1.1529,VLSFO,1,0.408,1,1,65,39.53,EU_MRV_DATABASE,2026-01-19
2016-08,FIPORT008,FI,BULK_CARRIER,94435143.16,91665599.47,1532447,1799206,18642,77.38,2.2024,HFO_SCRUBBER,1,2.4133,0,1,25,57.23,CUSTOMS_ADMIN_DATA,2024-04-18
2016-09,IEPORT009,IE,CONTAINER,86939699.34,95962912.65,13147777,362359,1080,15.47,2.1179,AMMONIA_PILOT,1,0.781,1,1,1,75.66,EMSA_PORT_STAT,2026-02-02
2016-10,MTPORT010,MT,OFFSHORE_SUPPORT,117962943.61,270733401.25,992533,2156504,2156,5.25,2.3751,METHANOL,1,0.6886,0,1,62,75.91,PORT_AUTHORITY_REPORT,2024-01-20
