trans_rail_reference_month,trans_rail_country_iso2,trans_rail_operator_code,trans_rail_origin_station_code,trans_rail_destination_station_code,trans_rail_passenger_km_million,trans_rail_freight_tonne_km_million,trans_rail_on_time_performance_pct,trans_rail_delay_minutes_avg,trans_rail_cancelled_services_count,trans_rail_ticket_price_index,trans_rail_capacity_train_km_million,trans_rail_electrified_network_share_pct,trans_rail_ertms_equipped_km,trans_rail_cross_border_service_flag,trans_rail_night_train_service_flag,trans_rail_rail_freight_corridor_code,trans_rail_data_source,trans_rail_data_quality_flag,trans_rail_data_extract_date
2016-01,AT,AT_RAIL_OP001,ATST001,ATST001,4127.18,1879.83,94.93,7.37,394,137.41,125.945,91.03,8233.06,1,1,RFC1_RHINE_ALPINE,EUROSTAT_RAIL,1,2024-08-10
2016-02,CZ,CZ_RAIL_OP002,CZST002,EEST002,5747.86,1757.34,80.75,12.54,286,121.4,118.847,97.7,9664.94,1,0,RFC2_NSEA_MED,ERA_PERFORMANCE_REPORT,1,2025-09-22
2016-03,DE,DE_RAIL_OP003,DEST003,ITST003,2499.51,2130.67,89.62,8.69,587,113.77,75.383,43.88,5235.36,1,0,RFC3_SCAND_MED,INFRA_MANAGER_DATA,1,2025-10-23
2016-04,LV,LV_RAIL_OP004,LVST004,PTST004,2938.45,3735.56,86.27,6.93,194,93.35,28.156,68.68,9316.66,1,0,RFC4_ATLANTIC,OPERATOR_REPORTING,1,2024-08-31
2016-05,PL,PL_RAIL_OP005,PLST005,BEST005,3174.49,5434.26,80.57,8.8,565,85.47,65.747,97.35,8275.16,0,0,RFC5_BALTIC_ADRIATIC,EUROSTAT_RAIL,1,2025-01-28
2016-06,ES,ES_RAIL_OP006,ESST006,FIST006,2007.58,254.32,85.37,7.36,18,135.66,127.533,94.37,8699.23,1,0,RFC6_MEDITERRANEAN,ERA_PERFORMANCE_REPORT,1,2025-09-09
2016-07,HR,HR_RAIL_OP007,HRST007,LVST007,222.89,3507.44,91.1,14.28,243,105.38,71.6,97.59,3541.69,1,0,RFC7_ORIENT_EASTMED,INFRA_MANAGER_DATA,1,2024-04-22
2016-08,FI,FI_RAIL_OP008,FIST008,ROST008,6037.0,2716.14,90.6,3.76,289,85.17,56.361,48.92,5086.97,0,0,RFC8_NORTH_SEA_BALTIC,OPERATOR_REPORTING,1,2025-05-20
2016-09,IE,IE_RAIL_OP009,IEST009,BGST009,845.38,2277.56,95.23,5.28,143,116.25,78.002,52.28,2040.42,1,0,RFC9_RHINE_DANUBE,EUROSTAT_RAIL,1,2024-07-16
2016-10,MT,MT_RAIL_OP010,MTST010,FRST010,1072.38,1219.32,81.13,5.45,19,129.87,75.232,59.55,4191.65,1,0,RFC10_ALPINE_WEST_BALKANS,ERA_PERFORMANCE_REPORT,1,2026-01-21
