trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2005,AT,PT975,PASSENGER_CAR,9339164,1522004,18.58,7.61,57081.06,1.9216,1086,4884,28305,17054,62439,16479300.34,38.48,CARE_ROAD_SAFETY_DB,FLASH,2024-09-17
2006,CZ,NL8,MOPED,9388588,941802,6.91,5.42,53190.31,0.522,453,4439,55079,5178,22368,13283918.27,56.1,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-01-19
2007,DE,ES6,MOTORCYCLE,11366701,1422240,34.82,14.95,1644.75,0.8678,85,857,95932,16874,35744,376161.58,14.51,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-09
2008,LV,LU80,BUS_COACH,11069326,419296,5.67,6.11,29109.29,1.4722,1215,12039,10037,2627,49367,2288147.24,38.22,POLICE_ADMIN_DATA,BENCHMARK,2024-09-21
2009,PL,SE1,HEAVY_TRUCK,1724273,125223,17.22,9.12,37824.09,2.098,1897,13082,80925,23530,41810,2449289.26,5.3,CARE_ROAD_SAFETY_DB,FLASH,2025-07-01
2010,ES,EE84,LIGHT_COMMERCIAL,4839469,429786,10.35,11.39,66694.94,0.5935,534,4334,11426,18093,60114,10453572.42,52.58,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-26
2011,HR,IE71,PASSENGER_CAR,10696603,241169,30.55,9.84,71653.79,0.9446,1319,8305,3072,13270,50851,9586739.13,27.51,EEA_TRANSPORT_EMISSIONS,SECOND,2024-06-07
2012,FI,LT35,MOPED,12804856,746616,18.03,5.91,33328.36,1.5599,800,8746,65688,14880,31501,5025110.79,9.48,POLICE_ADMIN_DATA,BENCHMARK,2024-07-31
2013,IE,NL12,MOTORCYCLE,2521001,131933,15.86,10.07,56981.68,2.2404,2579,10196,83149,19535,7698,11916827.55,40.6,CARE_ROAD_SAFETY_DB,FLASH,2025-08-20
2014,MT,SK946,BUS_COACH,7953880,968364,36.15,13.47,35195.41,1.3463,1215,10654,144107,29716,46460,2660888.0,9.99,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-18
