trans_urban_reference_year,trans_urban_city_id,trans_urban_country_iso2,trans_urban_population_city,trans_urban_modal_share_public_transport_pct,trans_urban_modal_share_car_pct,trans_urban_modal_share_walk_pct,trans_urban_modal_share_bike_pct,trans_urban_pt_service_km_per_capita,trans_urban_pt_fare_affordability_index,trans_urban_bike_lane_km,trans_urban_shared_mobility_trips_per_capita,trans_urban_vision_zero_policy_flag,trans_urban_zero_emission_bus_share_pct,trans_urban_air_quality_low_emission_zone_flag,trans_urban_urban_logistics_plan_flag,trans_urban_congestion_charge_flag,trans_urban_data_source,trans_urban_data_quality_flag,trans_urban_data_extract_date
2006,AT_CITY_001,AT,776259,24.2,27.84,32.07,15.89,28.603,1.5054,3169.92,16.6,1,37.83,1,1,1,URBAN_AUDIT,1,2024-01-28
2007,EE_CITY_002,EE,2198859,36.42,38.01,25.26,0.31,27.334,0.5961,495.75,29.55,1,45.02,1,0,1,MODEL_ESTIMATE,1,2025-08-29
2008,IT_CITY_003,IT,8685539,32.63,35.16,15.16,17.05,29.173,1.1015,255.8,124.26,1,4.09,1,1,0,NATIONAL_URBAN_STAT,1,2024-06-26
2009,PT_CITY_004,PT,5125031,11.04,45.39,19.64,23.93,49.271,1.536,3193.25,99.07,0,24.16,1,1,0,CITY_MOBILITY_SURVEY,0,2025-10-16
2010,BE_CITY_005,BE,8688469,11.45,47.27,35.83,5.45,48.504,1.455,2068.75,36.64,0,31.06,0,1,1,URBAN_AUDIT,1,2024-05-06
2011,FI_CITY_006,FI,6664317,30.85,50.54,6.16,12.45,28.567,1.2535,2310.34,140.31,1,53.58,0,1,0,MODEL_ESTIMATE,1,2024-05-29
2012,LV_CITY_007,LV,6230464,29.84,38.46,28.28,3.42,64.885,1.0877,1066.92,40.89,0,33.39,0,0,0,NATIONAL_URBAN_STAT,1,2025-05-24
2013,RO_CITY_008,RO,1016451,15.28,66.37,17.89,0.46,78.038,0.4193,420.54,24.92,0,23.81,0,1,0,CITY_MOBILITY_SURVEY,1,2025-04-06
2014,BG_CITY_009,BG,6671194,54.52,32.79,12.25,0.44,71.684,1.3069,598.96,49.29,1,32.49,1,0,1,URBAN_AUDIT,1,2024-01-19
2015,FR_CITY_010,FR,8202891,55.84,14.33,21.14,8.69,10.845,0.949,2312.94,127.78,0,6.95,1,0,0,MODEL_ESTIMATE,1,2024-05-11
2016,LT_CITY_011,LT,6349622,35.24,33.01,19.16,12.59,49.516,1.2327,1690.39,114.52,0,44.14,0,0,0,NATIONAL_URBAN_STAT,1,2024-01-24
2017,SK_CITY_012,SK,3889082,43.61,30.43,20.76,5.2,76.954,1.0725,1061.25,0.77,0,33.14,1,1,1,CITY_MOBILITY_SURVEY,1,2025-07-20
2018,HR_CITY_013,HR,42707,37.31,30.88,27.7,4.11,47.466,1.0332,1035.59,236.04,0,5.09,1,0,0,URBAN_AUDIT,0,2025-03-02
2019,DE_CITY_014,DE,2067438,34.21,30.49,20.35,14.95,69.337,1.5494,1512.08,13.44,0,42.64,0,1,1,MODEL_ESTIMATE,1,2024-12-12
2020,LU_CITY_015,LU,4388189,20.37,44.49,21.37,13.77,34.967,1.0231,3095.78,94.56,0,56.03,0,0,0,NATIONAL_URBAN_STAT,1,2024-10-08
2021,SI_CITY_016,SI,2063871,12.15,63.68,22.08,2.09,40.623,1.221,487.96,204.93,0,95.56,0,0,0,CITY_MOBILITY_SURVEY,1,2024-03-08
2022,CY_CITY_017,CY,4621797,13.48,54.17,16.71,15.64,54.74,1.048,3021.47,18.06,1,38.03,1,1,0,URBAN_AUDIT,1,2024-07-21
2023,GR_CITY_018,GR,3936664,33.01,20.66,32.34,13.99,21.448,1.4166,1076.46,86.64,0,62.22,0,0,0,MODEL_ESTIMATE,1,2025-07-30
