travel_passenger_reference_month,travel_passenger_mode_code,travel_passenger_origin_airport_station_code,travel_passenger_destination_airport_station_code,travel_passenger_origin_country_iso2,travel_passenger_destination_country_iso2,travel_passenger_intra_eu_flag,travel_passenger_schengen_flag,travel_passenger_passenger_count,travel_passenger_seat_capacity_count,travel_passenger_load_factor_pct,travel_passenger_avg_fare_eur,travel_passenger_delay_minutes_avg,travel_passenger_cancellation_rate_pct,travel_passenger_co2e_kg_per_passenger,travel_passenger_operator_code,travel_passenger_regulation_261_claims_count,travel_passenger_data_provider,travel_passenger_data_quality_flag,travel_passenger_data_extract_date
2018-01,AIR,AFJ,DMU,AT,EE,1,1,578,966,59.83,278.65,22.4,1.06,69.689,OPATEE000,18,EUROCONTROL,OK,2025-02-18
2018-02,RAIL,FMOY,KVBP,CZ,IT,1,1,337,489,68.92,103.34,6.88,2.19,9.257,OPCZIT001,3,ERA,REVISED,2024-08-20
2018-03,AIR,GTF,JAQ,DE,PT,1,1,590,970,60.82,265.01,21.75,0.27,62.894,OPDEPT002,17,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-08-12
2018-04,RAIL,PEOG,UNBX,LV,BE,1,1,259,349,74.21,45.3,8.52,2.22,7.756,OPLVBE003,12,AIRLINE_REPORTING,FLAGGED,2024-10-04
2018-05,AIR,MHB,POM,PL,FI,1,1,575,876,65.64,374.25,23.02,2.38,89.973,OPPLFI004,11,RAIL_OPERATOR_REPORTING,IMPUTED,2025-11-15
2018-06,RAIL,ZWOO,EFBF,ES,LV,1,0,615,1062,57.91,71.81,11.05,2.21,7.998,OPESLV005,14,EUROCONTROL,OK,2026-01-19
2018-07,AIR,SVX,VCI,HR,RO,1,1,487,737,66.08,317.84,5.31,2.53,55.613,OPHRRO006,13,ERA,REVISED,2025-05-06
2018-08,RAIL,JOOW,OXBN,FI,BG,1,1,496,563,88.1,124.66,8.53,1.8,5.88,OPFIBG007,16,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-08-27
2018-09,AIR,YJT,BQE,IE,FR,1,0,597,1035,57.68,121.03,5.83,3.47,49.075,OPIEFR008,18,AIRLINE_REPORTING,FLAGGED,2025-08-03
2018-10,RAIL,TGOE,YPBV,MT,LT,1,1,537,606,88.61,131.67,17.78,1.54,13.227,OPMTLT009,14,RAIL_OPERATOR_REPORTING,IMPUTED,2024-05-27
2018-11,AIR,EXP,HEA,SK,AT,1,1,588,839,70.08,374.46,41.77,6.2,74.697,OPSKAT010,34,EUROCONTROL,OK,2025-06-20
2018-12,RAIL,DYOM,IHBD,BE,HR,1,0,239,277,86.28,49.27,17.9,3.07,13.529,OPBEHR011,21,ERA,REVISED,2025-08-20
2019-01,AIR,KLL,NSW,DK,DE,1,1,272,315,86.35,157.68,32.61,4.99,38.395,OPDKDE012,30,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-02-17
2019-02,RAIL,NQOU,SZBL,GR,LU,1,1,522,771,67.7,106.3,21.74,0.83,4.126,OPGRLU013,15,AIRLINE_REPORTING,FLAGGED,2025-09-09
2019-03,AIR,QZH,TGS,LT,SI,1,1,276,347,79.54,69.11,8.33,6.07,88.776,OPLTSI014,18,RAIL_OPERATOR_REPORTING,IMPUTED,2025-10-20
2019-04,RAIL,XIOC,CRBT,PT,CY,1,1,295,450,65.56,71.98,15.3,2.49,6.549,OPPTCY015,20,EUROCONTROL,OK,2024-08-23
2019-05,AIR,WND,ZUO,SE,GR,1,0,275,481,57.17,38.38,17.45,1.96,64.573,OPSEGR016,16,ERA,REVISED,2024-09-27
2019-06,RAIL,HAOK,MJBB,CY,MT,1,0,434,566,76.68,18.23,0.28,2.69,2.229,OPCYMT017,21,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-10-28
2019-07,AIR,CBZ,FIK,FR,ES,1,1,355,488,72.75,328.06,39.42,0.08,27.89,OPFRES018,39,AIRLINE_REPORTING,FLAGGED,2025-06-22
2019-08,RAIL,RSOS,WBBJ,IT,CZ,1,1,602,1070,56.26,85.65,15.35,3.49,3.186,OPITCZ019,28,RAIL_OPERATOR_REPORTING,IMPUTED,2025-08-21
2019-09,AIR,IPV,LWG,NL,HU,1,1,615,911,67.51,345.24,17.37,0.33,78.042,OPNLHU020,42,EUROCONTROL,OK,2025-04-27
2019-10,RAIL,BKOA,GTBR,SI,NL,1,1,299,512,58.4,141.08,21.81,0.42,8.579,OPSINL021,29,ERA,REVISED,2026-02-05
2019-11,AIR,ODR,RKC,BG,SE,1,0,496,747,66.4,66.85,46.85,0.1,16.014,OPBGSE022,37,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-07-19
2019-12,RAIL,LCOI,QLBZ,EE,DK,1,1,591,741,79.76,40.9,11.88,1.99,10.532,OPEEDK023,27,AIRLINE_REPORTING,FLAGGED,2024-07-10
2020-01,AIR,URN,XYY,HU,IE,1,1,325,391,83.12,62.5,5.45,3.78,60.881,OPHUIE024,34,RAIL_OPERATOR_REPORTING,IMPUTED,2024-04-13
2020-02,RAIL,VUOQ,ADBH,LU,PL,1,1,669,1046,63.96,25.26,19.94,3.3,11.156,OPLUPL025,33,EUROCONTROL,OK,2025-12-18
2020-03,AIR,AFJ,DMU,RO,AT,1,1,449,702,63.96,403.07,4.57,3.3,23.14,OPROAT026,47,ERA,REVISED,2025-01-01
2020-04,RAIL,FMOY,KVBP,AT,EE,1,1,618,693,89.18,155.85,15.56,2.48,3.057,OPATEE027,33,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-02-09
2020-05,AIR,GTF,JAQ,CZ,IT,1,1,630,750,84.0,158.93,45.87,0.82,45.659,OPCZIT028,38,AIRLINE_REPORTING,FLAGGED,2024-06-03
2020-06,RAIL,PEOG,UNBX,DE,PT,1,1,574,1014,56.61,11.04,20.88,0.65,7.337,OPDEPT029,29,RAIL_OPERATOR_REPORTING,IMPUTED,2024-12-06
2020-07,AIR,MHB,POM,LV,BE,1,0,458,500,91.6,389.32,50.13,6.7,79.666,OPLVBE030,51,EUROCONTROL,OK,2024-10-01
2020-08,RAIL,ZWOO,EFBF,PL,FI,1,0,533,682,78.15,88.05,16.55,2.93,6.221,OPPLFI031,40,ERA,REVISED,2025-08-14
2020-09,AIR,SVX,VCI,ES,LV,1,0,624,745,83.76,331.34,38.33,2.65,75.554,OPESLV032,48,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-04-10
2020-10,RAIL,JOOW,OXBN,HR,RO,1,0,322,394,81.73,88.15,12.8,0.93,6.035,OPHRRO033,33,AIRLINE_REPORTING,FLAGGED,2024-11-06
2020-11,AIR,YJT,BQE,FI,BG,1,1,630,968,65.08,244.64,18.87,1.4,9.782,OPFIBG034,54,RAIL_OPERATOR_REPORTING,IMPUTED,2026-01-09
2020-12,RAIL,TGOE,YPBV,IE,FR,1,1,499,656,76.07,138.2,12.23,2.71,3.541,OPIEFR035,40,EUROCONTROL,OK,2025-12-10
2021-01,AIR,EXP,HEA,MT,LT,1,1,325,574,56.62,208.66,52.54,5.73,39.645,OPMTLT036,59,ERA,REVISED,2025-04-10
2021-02,RAIL,DYOM,IHBD,SK,AT,1,1,618,1084,57.01,152.61,19.0,1.48,7.565,OPSKAT037,43,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-11-19
2021-03,AIR,KLL,NSW,BE,HR,1,1,344,380,90.53,250.78,43.16,1.97,23.256,OPBEHR038,58,AIRLINE_REPORTING,FLAGGED,2025-04-25
2021-04,RAIL,NQOU,SZBL,DK,DE,1,1,385,472,81.57,135.98,1.84,1.02,3.147,OPDKDE039,45,RAIL_OPERATOR_REPORTING,IMPUTED,2025-05-17
2021-05,AIR,QZH,TGS,GR,LU,1,1,693,852,81.34,18.39,40.87,6.3,27.872,OPGRLU040,59,EUROCONTROL,OK,2025-03-01
2021-06,RAIL,XIOC,CRBT,LT,SI,1,1,583,903,64.56,49.55,11.03,0.88,11.256,OPLTSI041,47,ERA,REVISED,2024-04-26
2021-07,AIR,WND,ZUO,PT,CY,1,1,370,533,69.42,355.21,14.26,6.27,56.317,OPPTCY042,61,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-09-19
2021-08,RAIL,HAOK,MJBB,SE,GR,1,1,499,669,74.59,162.29,0.95,0.49,10.872,OPSEGR043,53,AIRLINE_REPORTING,FLAGGED,2024-10-07
2021-09,AIR,CBZ,FIK,CY,MT,1,1,425,589,72.16,278.2,29.48,7.2,28.069,OPCYMT044,63,RAIL_OPERATOR_REPORTING,IMPUTED,2025-09-26
2021-10,RAIL,RSOS,WBBJ,FR,ES,1,1,438,517,84.72,114.94,3.89,0.31,3.545,OPFRES045,46,EUROCONTROL,OK,2025-12-11
2021-11,AIR,IPV,LWG,IT,CZ,1,1,686,1188,57.74,233.05,9.36,2.18,68.941,OPITCZ046,67,ERA,REVISED,2025-04-01
2021-12,RAIL,BKOA,GTBR,NL,HU,1,1,369,588,62.76,161.73,21.8,2.65,4.919,OPNLHU047,57,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-12-22
2022-01,AIR,ODR,RKC,SI,NL,1,1,594,889,66.82,138.06,43.85,2.58,47.589,OPSINL048,52,AIRLINE_REPORTING,FLAGGED,2024-02-14
2022-02,RAIL,LCOI,QLBZ,BG,SE,1,0,440,548,80.29,115.56,3.95,1.02,5.338,OPBGSE049,50,RAIL_OPERATOR_REPORTING,IMPUTED,2026-01-04
2022-03,AIR,URN,XYY,EE,DK,1,1,374,657,56.93,229.8,49.41,0.56,50.139,OPEEDK050,75,EUROCONTROL,OK,2026-01-15
2022-04,RAIL,VUOQ,ADBH,HU,IE,1,0,740,1297,57.05,110.95,13.93,2.78,5.195,OPHUIE051,54,ERA,REVISED,2025-03-04
2022-05,AIR,AFJ,DMU,LU,PL,1,0,650,779,83.44,239.64,51.48,0.41,41.942,OPLUPL052,76,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-11-29
2022-06,RAIL,FMOY,KVBP,RO,AT,1,1,574,696,82.47,16.9,12.71,2.32,11.899,OPROAT053,59,AIRLINE_REPORTING,FLAGGED,2025-01-29
2022-07,AIR,GTF,JAQ,AT,EE,1,1,386,486,79.42,182.17,14.69,6.54,16.481,OPATEE054,72,RAIL_OPERATOR_REPORTING,IMPUTED,2025-02-03
2022-08,RAIL,PEOG,UNBX,CZ,IT,1,1,632,806,78.41,128.59,4.58,2.14,8.853,OPCZIT055,59,EUROCONTROL,OK,2025-06-15
2022-09,AIR,MHB,POM,DE,PT,1,1,696,816,85.29,36.79,28.93,4.94,47.248,OPDEPT056,71,ERA,REVISED,2025-01-06
2022-10,RAIL,ZWOO,EFBF,LV,BE,1,1,524,745,70.34,154.13,5.11,0.73,2.636,OPLVBE057,62,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-08-16
2022-11,AIR,SVX,VCI,PL,FI,1,0,682,954,71.49,270.59,47.23,7.49,15.024,OPPLFI058,65,AIRLINE_REPORTING,FLAGGED,2024-03-17
2022-12,RAIL,JOOW,OXBN,ES,LV,1,1,629,894,70.36,115.24,2.12,0.71,2.177,OPESLV059,67,RAIL_OPERATOR_REPORTING,IMPUTED,2025-12-07
2023-01,AIR,YJT,BQE,HR,RO,1,1,530,621,85.35,133.84,1.17,3.02,40.082,OPHRRO060,71,EUROCONTROL,OK,2025-04-13
2023-02,RAIL,TGOE,YPBV,FI,BG,1,1,436,544,80.15,65.35,18.6,1.45,6.109,OPFIBG061,64,ERA,REVISED,2025-05-26
2023-03,AIR,EXP,HEA,IE,FR,1,1,772,1345,57.4,83.0,12.12,1.59,22.987,OPIEFR062,68,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-05-02
2023-04,RAIL,DYOM,IHBD,MT,LT,1,0,665,803,82.81,38.68,24.35,0.32,3.97,OPMTLT063,63,AIRLINE_REPORTING,FLAGGED,2025-12-02
2023-05,AIR,KLL,NSW,SK,AT,1,0,668,1115,59.91,311.81,32.59,2.94,74.509,OPSKAT064,81,RAIL_OPERATOR_REPORTING,IMPUTED,2024-09-27
2023-06,RAIL,NQOU,SZBL,BE,HR,1,0,407,654,62.23,143.03,11.68,0.5,7.277,OPBEHR065,4,EUROCONTROL,OK,2024-11-29
2023-07,AIR,QZH,TGS,DK,DE,1,1,645,752,85.77,174.84,5.51,7.5,18.36,OPDKDE066,7,ERA,REVISED,2025-09-09
2023-08,RAIL,XIOC,CRBT,GR,LU,1,1,700,1104,63.41,14.37,7.49,3.13,13.611,OPGRLU067,4,NATIONAL_AVIATION_AUTH,ESTIMATED,2025-10-27
2023-09,AIR,WND,ZUO,LT,SI,1,1,581,1006,57.75,41.7,6.78,7.09,37.847,OPLTSI068,17,AIRLINE_REPORTING,FLAGGED,2025-02-11
2023-10,RAIL,HAOK,MJBB,PT,CY,1,1,640,1004,63.75,144.73,4.47,3.01,6.348,OPPTCY069,12,RAIL_OPERATOR_REPORTING,IMPUTED,2025-09-10
2023-11,AIR,CBZ,FIK,SE,GR,1,1,418,487,85.83,294.04,42.25,3.33,33.575,OPSEGR070,30,EUROCONTROL,OK,2025-08-27
2023-12,RAIL,RSOS,WBBJ,CY,MT,1,0,536,656,81.71,60.75,24.08,0.43,12.843,OPCYMT071,16,ERA,REVISED,2025-12-25
2024-01,AIR,IPV,LWG,FR,ES,1,1,468,570,82.11,343.27,37.52,1.5,62.419,OPFRES072,19,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-07-11
2024-02,RAIL,BKOA,GTBR,IT,CZ,1,1,437,726,60.19,70.25,17.35,1.73,5.971,OPITCZ073,17,AIRLINE_REPORTING,FLAGGED,2024-02-17
2024-03,AIR,ODR,RKC,NL,HU,1,1,544,598,90.97,141.03,14.73,3.38,66.117,OPNLHU074,29,RAIL_OPERATOR_REPORTING,IMPUTED,2025-09-27
2024-04,RAIL,LCOI,QLBZ,SI,NL,1,1,705,994,70.93,29.88,22.81,2.38,5.753,OPSINL075,15,EUROCONTROL,OK,2025-05-11
2024-05,AIR,URN,XYY,BG,SE,1,1,672,1086,61.88,120.84,2.95,4.0,32.366,OPBGSE076,30,ERA,REVISED,2025-07-18
2024-06,RAIL,VUOQ,ADBH,EE,DK,1,1,550,772,71.24,94.92,23.97,1.3,10.486,OPEEDK077,18,NATIONAL_AVIATION_AUTH,ESTIMATED,2024-08-17
