travel_tourism_reference_month,travel_tourism_destination_nuts_code,travel_tourism_country_iso2,travel_tourism_accommodation_type_code,travel_tourism_visitor_residency_country_iso2,travel_tourism_domestic_inbound_outbound_code,travel_tourism_nights_spent_count,travel_tourism_arrivals_count,travel_tourism_avg_length_of_stay_nights,travel_tourism_occupancy_rate_pct,travel_tourism_spend_total_eur,travel_tourism_spend_per_night_eur,travel_tourism_seasonality_index,travel_tourism_airbnb_like_listings_count,travel_tourism_short_term_rental_regulatory_flag,travel_tourism_sustainable_tourism_label_flag,travel_tourism_over_tourism_pressure_index,travel_tourism_eurostat_table_code,travel_tourism_data_collection_wave,travel_tourism_data_extract_date
2018-01,HR98,HR,HOTEL,LU,DOMESTIC,716,156,4.59,20.78,124617.38,194.58,0.718,90,0,0,0.8724,tour_occ_nim,2022W1,2025-02-13
2018-02,HU65,HU,OTHER,BA,INBOUND,1344,286,4.7,22.36,220639.67,158.52,0.995,400,1,0,0.9202,tour_dem_ttac,2026W4,2024-04-10
2018-03,IE868,IE,SHORT_TERM_RENTAL,IR,OUTBOUND,1456,244,5.97,41.33,48407.99,33.05,0.861,181,0,0,0.6292,tour_occ_toor,2026W3,2026-01-09
2018-04,PT94,PT,HOSTEL,RS,DOMESTIC,1112,390,2.85,35.76,76956.33,68.34,1.455,378,1,1,0.3017,tour_occ_arm,2026W2,2024-06-05
2018-05,RO88,RO,CAMPING,HR,INBOUND,1624,297,5.47,65.77,129989.82,93.43,0.854,290,0,1,0.5166,tour_cap_nat,2026W1,2024-04-02
2018-06,HR7,HR,APARTHOTEL,IT,OUTBOUND,623,159,3.92,81.26,117880.49,218.85,0.759,121,1,1,0.6542,tour_occ_nim,2025W4,2025-08-13
2018-07,EE39,EE,HOTEL,ES,DOMESTIC,844,321,2.63,80.22,97929.69,129.71,0.99,147,1,0,0.8971,tour_dem_ttac,2025W3,2024-06-11
2018-08,BG6,BG,OTHER,GH,INBOUND,763,269,2.84,43.04,131039.21,164.4,1.391,290,0,1,0.8533,tour_occ_toor,2025W2,2024-10-26
2018-09,EE286,EE,SHORT_TERM_RENTAL,NG,OUTBOUND,1621,417,3.89,54.81,213999.66,131.79,0.99,175,1,0,0.2064,tour_occ_arm,2025W1,2024-08-24
2018-10,IE7,IE,HOSTEL,AT,DOMESTIC,1134,481,2.36,63.3,131943.55,127.52,1.031,129,0,0,0.8625,tour_cap_nat,2024W4,2025-08-09
2018-11,IT668,IT,CAMPING,GR,INBOUND,1552,329,4.72,33.66,189066.63,143.02,1.075,325,1,1,0.5181,tour_occ_nim,2024W3,2024-11-26
2018-12,HR26,HR,APARTHOTEL,RO,OUTBOUND,1075,196,5.48,61.61,283726.77,231.74,0.849,325,0,1,0.4185,tour_dem_ttac,2024W2,2024-02-13
2019-01,IE70,IE,HOTEL,EG,DOMESTIC,787,292,2.7,75.21,147013.86,185.34,0.913,202,1,1,0.9565,tour_occ_toor,2024W1,2026-02-13
2019-02,PT74,PT,OTHER,MD,INBOUND,1708,390,4.38,70.63,122535.63,63.25,1.256,301,0,1,0.657,tour_occ_arm,2023W4,2025-08-11
2019-03,CY694,CY,SHORT_TERM_RENTAL,UA,OUTBOUND,1631,297,5.49,82.31,74085.45,48.95,1.164,373,0,1,0.7151,tour_cap_nat,2023W3,2024-08-22
2019-04,LU74,LU,HOSTEL,FI,DOMESTIC,1592,286,5.57,19.62,240402.29,135.33,1.539,246,1,0,0.0955,tour_occ_nim,2023W2,2025-11-19
2019-05,CY753,CY,CAMPING,NL,INBOUND,864,168,5.14,26.94,130308.59,139.63,1.191,388,1,1,0.381,tour_dem_ttac,2023W1,2025-01-25
2019-06,BG68,BG,APARTHOTEL,CH,OUTBOUND,1124,420,2.68,85.09,62265.78,52.27,1.266,194,0,0,0.5259,tour_occ_toor,2022W4,2024-02-09
2019-07,FI19,FI,HOTEL,JP,DOMESTIC,662,139,4.76,33.22,172526.46,258.6,0.749,478,0,0,0.7873,tour_occ_arm,2022W3,2024-08-08
2019-08,AT9,AT,OTHER,SY,INBOUND,868,306,2.84,93.59,129074.84,144.87,0.895,370,1,0,0.8463,tour_cap_nat,2022W2,2025-04-02
2019-09,LU457,LU,SHORT_TERM_RENTAL,CZ,OUTBOUND,1225,217,5.65,67.92,62465.55,48.13,1.117,429,0,0,0.2199,tour_occ_nim,2022W1,2026-02-11
2019-10,SI79,SI,HOSTEL,LT,DOMESTIC,729,197,3.7,78.57,30945.03,37.09,0.775,210,0,1,0.6278,tour_dem_ttac,2026W4,2025-04-07
2019-11,MT76,MT,CAMPING,AL,INBOUND,771,126,6.12,73.99,138693.25,172.04,1.298,176,0,1,0.9075,tour_occ_toor,2026W3,2025-12-02
2019-12,DE1,DE,APARTHOTEL,IQ,OUTBOUND,1055,346,3.05,69.49,76099.08,66.57,1.294,105,0,1,0.2669,tour_occ_arm,2026W2,2025-06-04
2020-01,BG789,BG,HOTEL,PK,DOMESTIC,1709,516,3.31,45.05,294158.65,164.64,0.922,242,0,0,0.7701,tour_cap_nat,2026W1,2025-06-07
2020-02,CY8,CY,OTHER,BG,INBOUND,1713,427,4.01,49.97,346776.23,182.44,1.357,457,0,0,0.3173,tour_occ_nim,2025W4,2026-01-02
2020-03,PT62,PT,SHORT_TERM_RENTAL,IE,OUTBOUND,1150,188,6.12,53.81,154275.32,148.97,1.348,156,1,0,0.3912,tour_dem_ttac,2025W3,2025-05-23
2020-04,LU656,LU,HOSTEL,SI,DOMESTIC,784,148,5.3,38.2,16865.73,18.73,1.269,484,1,0,0.9469,tour_occ_toor,2025W2,2024-01-21
2020-05,IE880,IE,CAMPING,GE,INBOUND,1297,242,5.36,52.25,311759.69,231.08,1.05,487,0,1,0.1216,tour_occ_arm,2025W1,2025-11-15
2020-06,IE732,IE,APARTHOTEL,MK,OUTBOUND,852,354,2.41,59.2,153814.23,175.14,1.283,491,1,0,0.4094,tour_cap_nat,2024W4,2025-09-24
2020-07,SI6,SI,HOTEL,VN,DOMESTIC,900,174,5.17,41.85,98999.98,124.61,0.977,482,0,0,0.0514,tour_occ_nim,2024W3,2025-10-21
2020-08,ES9,ES,OTHER,DE,INBOUND,1536,278,5.53,44.66,130050.78,90.41,1.26,362,0,1,0.3576,tour_dem_ttac,2024W2,2025-04-13
2020-09,BG891,BG,SHORT_TERM_RENTAL,PT,OUTBOUND,795,145,5.48,21.72,34300.35,41.93,0.934,302,0,0,0.6047,tour_occ_toor,2024W1,2024-05-24
2020-10,RO46,RO,HOSTEL,DZ,DOMESTIC,1523,329,4.63,57.39,76559.29,53.95,1.464,377,0,0,0.1164,tour_occ_arm,2023W4,2025-01-23
2020-11,IT5,IT,CAMPING,MA,INBOUND,1650,319,5.17,34.13,431254.36,251.74,0.762,413,0,0,0.4663,tour_cap_nat,2023W3,2024-07-30
2020-12,ES70,ES,APARTHOTEL,TR,OUTBOUND,797,159,5.01,56.79,30753.85,41.69,1.423,519,1,0,0.8478,tour_occ_nim,2023W2,2024-08-21
2021-01,SE137,SE,HOTEL,EE,DOMESTIC,1873,807,2.32,24.94,291810.52,181.11,1.492,137,0,0,0.3206,tour_dem_ttac,2023W1,2024-04-25
2021-02,GR9,GR,OTHER,MT,INBOUND,1525,638,2.39,89.81,204947.18,144.78,1.401,278,1,0,0.7736,tour_occ_toor,2022W4,2026-01-28
2021-03,RO6,RO,SHORT_TERM_RENTAL,BY,OUTBOUND,1824,406,4.49,56.31,163008.13,81.53,0.957,517,1,1,0.4781,tour_occ_arm,2022W3,2024-10-13
2021-04,NL348,NL,HOSTEL,IS,DOMESTIC,1663,513,3.24,24.37,43834.03,23.67,1.052,303,1,0,0.812,tour_cap_nat,2022W2,2025-06-19
2021-05,FR7,FR,CAMPING,RU,INBOUND,1824,447,4.08,80.09,369666.06,237.29,1.233,386,1,1,0.6423,tour_occ_nim,2022W1,2024-02-16
2021-06,SK57,SK,APARTHOTEL,CY,OUTBOUND,1018,171,5.95,21.84,242369.95,248.64,0.766,386,1,1,0.3356,tour_dem_ttac,2026W4,2024-02-14
2021-07,HU557,HU,HOTEL,LV,DOMESTIC,1529,253,6.04,92.44,312494.68,186.14,1.029,149,1,1,0.8164,tour_occ_toor,2026W3,2025-01-11
2021-08,RO984,RO,OTHER,SE,INBOUND,1727,318,5.43,84.07,214244.79,132.39,0.951,477,0,1,0.9174,tour_occ_arm,2026W2,2025-12-28
2021-09,LT6,LT,SHORT_TERM_RENTAL,IN,OUTBOUND,1488,432,3.44,86.75,108610.3,71.66,0.689,430,1,1,0.4883,tour_cap_nat,2026W1,2026-01-09
2021-10,PL21,PL,HOSTEL,NO,DOMESTIC,1731,641,2.7,38.54,76910.67,43.52,1.43,261,0,1,0.5796,tour_occ_nim,2025W4,2025-10-24
2021-11,LV20,LV,CAMPING,BE,INBOUND,1727,597,2.89,30.14,105394.06,59.67,1.5,339,1,1,0.443,tour_dem_ttac,2025W3,2024-01-08
2021-12,IE18,IE,APARTHOTEL,HU,OUTBOUND,1099,295,3.73,33.99,38026.65,34.23,1.436,197,1,0,0.1289,tour_occ_toor,2025W2,2025-08-29
2022-01,PT76,PT,HOTEL,SK,DOMESTIC,1480,301,4.92,33.37,209285.03,133.8,1.045,358,1,0,0.9193,tour_occ_arm,2025W1,2025-09-15
2022-02,NL5,NL,OTHER,GB,INBOUND,1824,427,4.27,30.64,83858.5,41.08,0.862,424,0,0,0.8611,tour_cap_nat,2024W4,2024-06-25
2022-03,BE31,BE,SHORT_TERM_RENTAL,ME,OUTBOUND,1544,699,2.21,60.18,32971.07,23.09,0.791,452,0,1,0.3495,tour_occ_nim,2024W3,2024-08-09
2022-04,PL396,PL,HOSTEL,US,DOMESTIC,1674,293,5.71,66.33,258705.85,143.92,0.896,522,1,0,0.252,tour_dem_ttac,2024W2,2024-06-18
2022-05,GR20,GR,CAMPING,FR,INBOUND,978,329,2.97,82.09,55090.43,59.35,1.002,360,0,0,0.7013,tour_occ_toor,2024W1,2024-10-26
2022-06,FI264,FI,APARTHOTEL,PL,OUTBOUND,1731,764,2.27,22.3,239910.54,150.25,1.161,256,0,0,0.7663,tour_occ_arm,2023W4,2024-04-30
2022-07,DK24,DK,HOTEL,CN,DOMESTIC,2000,581,3.44,35.3,336903.18,154.97,0.845,488,0,0,0.1511,tour_cap_nat,2023W3,2025-07-08
2022-08,SK405,SK,OTHER,KE,INBOUND,990,188,5.27,25.63,142457.65,142.4,0.979,431,0,0,0.607,tour_occ_nim,2023W2,2025-03-28
2022-09,HU6,HU,SHORT_TERM_RENTAL,TN,OUTBOUND,2010,404,4.98,53.85,111613.0,51.13,1.287,256,1,1,0.9016,tour_dem_ttac,2023W1,2025-08-29
2022-10,SI56,SI,HOSTEL,DK,DOMESTIC,1049,302,3.47,80.9,43950.97,43.28,1.187,376,1,0,0.7182,tour_occ_toor,2022W4,2025-10-23
2022-11,NL87,NL,CAMPING,LU,INBOUND,1239,313,3.96,30.46,297025.21,221.88,1.348,332,0,1,0.8402,tour_occ_arm,2022W3,2024-08-30
2022-12,NL504,NL,APARTHOTEL,BA,OUTBOUND,1726,440,3.92,68.23,312381.7,164.86,0.909,222,1,0,0.9553,tour_cap_nat,2022W2,2025-11-15
2023-01,AT152,AT,HOTEL,IR,DOMESTIC,1242,234,5.31,43.41,102314.76,80.44,1.376,272,0,0,0.1633,tour_occ_nim,2022W1,2025-01-12
2023-02,FR45,FR,OTHER,RS,INBOUND,1550,276,5.62,93.07,392641.46,230.85,1.166,340,1,0,0.4129,tour_dem_ttac,2026W4,2024-02-20
2023-03,CY80,CY,SHORT_TERM_RENTAL,HR,OUTBOUND,1626,542,3.0,39.74,58838.12,41.38,0.673,286,0,0,0.9163,tour_occ_toor,2026W3,2024-04-12
2023-04,AT775,AT,HOSTEL,IT,DOMESTIC,1063,175,6.07,83.82,247164.67,206.63,0.799,534,0,1,0.4234,tour_occ_arm,2026W2,2024-05-02
2023-05,HR36,HR,CAMPING,ES,INBOUND,1313,303,4.33,46.43,164557.36,122.45,1.452,293,1,0,0.5135,tour_cap_nat,2026W1,2024-02-29
2023-06,CZ470,CZ,APARTHOTEL,GH,OUTBOUND,1718,592,2.9,73.92,377758.74,205.07,1.253,367,0,0,0.2719,tour_occ_nim,2025W4,2025-05-09
2023-07,HU663,HU,HOTEL,NG,DOMESTIC,1167,504,2.32,88.05,170050.57,129.5,1.142,373,0,0,0.1397,tour_dem_ttac,2025W3,2024-04-01
2023-08,DK42,DK,OTHER,AT,INBOUND,1792,807,2.22,74.52,217372.39,108.66,1.253,286,1,0,0.1172,tour_occ_toor,2025W2,2026-01-28
2023-09,FI2,FI,SHORT_TERM_RENTAL,GR,OUTBOUND,1948,383,5.09,73.28,280579.73,159.2,0.713,300,0,0,0.3816,tour_occ_arm,2025W1,2025-08-19
2023-10,AT338,AT,HOSTEL,RO,DOMESTIC,1554,630,2.47,67.6,315907.22,191.9,0.699,550,1,1,0.0812,tour_cap_nat,2024W4,2024-03-19
2023-11,FR5,FR,CAMPING,EG,INBOUND,1875,514,3.65,51.87,424789.93,252.82,1.443,290,1,0,0.4104,tour_occ_nim,2024W3,2025-07-30
2023-12,BE81,BE,APARTHOTEL,MD,OUTBOUND,1339,330,4.06,70.76,232113.75,174.88,0.988,211,1,0,0.2767,tour_dem_ttac,2024W2,2024-02-10
2024-01,AT744,AT,HOTEL,UA,DOMESTIC,1516,632,2.4,78.8,276962.91,172.26,1.127,256,1,0,0.0933,tour_occ_toor,2024W1,2025-06-26
2024-02,LV920,LV,OTHER,FI,INBOUND,1403,570,2.46,87.37,163927.62,134.43,1.046,495,0,0,0.8246,tour_occ_arm,2023W4,2024-04-25
2024-03,LT52,LT,SHORT_TERM_RENTAL,NL,OUTBOUND,1345,604,2.23,41.94,108031.4,83.5,1.339,381,0,0,0.5479,tour_cap_nat,2023W3,2025-11-02
2024-04,FR77,FR,HOSTEL,CH,DOMESTIC,1879,791,2.38,25.25,244904.86,122.12,0.865,407,1,1,0.202,tour_occ_nim,2023W2,2024-12-29
2024-05,GR129,GR,CAMPING,JP,INBOUND,1288,436,2.95,64.63,193139.47,142.35,1.163,539,0,0,0.4849,tour_dem_ttac,2023W1,2025-01-27
2024-06,BG5,BG,APARTHOTEL,SY,OUTBOUND,1685,357,4.72,74.32,50277.33,27.87,1.349,291,1,1,0.304,tour_occ_toor,2022W4,2024-02-02
2024-07,IT295,IT,HOTEL,CZ,DOMESTIC,1693,281,6.02,56.97,199370.96,128.98,0.69,461,0,0,0.2806,tour_occ_arm,2022W3,2024-11-14
2024-08,PT6,PT,OTHER,LT,INBOUND,2047,358,5.72,91.78,292050.36,142.53,0.966,335,1,0,0.1325,tour_cap_nat,2022W2,2024-12-12
2024-09,HR95,HR,SHORT_TERM_RENTAL,AL,OUTBOUND,1161,304,3.82,40.31,207883.64,199.3,1.294,264,1,1,0.3904,tour_occ_nim,2022W1,2025-07-21
2024-10,AT661,AT,HOSTEL,IQ,DOMESTIC,2300,468,4.91,51.41,352317.0,174.41,0.673,467,1,0,0.6167,tour_dem_ttac,2026W4,2024-08-27
2024-11,IT86,IT,CAMPING,PK,INBOUND,2060,522,3.95,44.81,509443.42,230.3,1.252,566,1,1,0.361,tour_occ_toor,2026W3,2024-02-07
2024-12,PT56,PT,APARTHOTEL,BG,OUTBOUND,1177,204,5.77,60.73,111079.5,95.98,1.414,277,0,0,0.3503,tour_occ_arm,2026W2,2025-03-23
2025-01,CY680,CY,HOTEL,IE,DOMESTIC,1389,284,4.89,47.82,147416.82,108.77,0.655,419,0,0,0.5743,tour_cap_nat,2026W1,2024-11-01
