ag_crops_crop_year,ag_crops_district_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_inr_unit,ag_crops_revenue_per_acre_inr,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2013,100000,RICE,3720.67,2877.82,23.63,68003,10.25,BT_70,2013-01-23,2013-08-22,1813,0.03,73.41,6.06,2.65,2231.63,52733.42,38.99,0
2017,100001,OILSEEDS,2966.87,2797.25,8.73,24420,80.58,BT_55,2017-03-29,2017-08-07,1173,0.957,107.61,1.11,9.67,6901.96,60254.11,36.22,0
2024,100002,TEA,667.89,652.32,16.83,10979,29.32,BT_80,2024-04-02,2024-10-26,1261,0.07,201.77,9.28,98.52,6958.29,117108.02,51.99,1
2024,100003,SPICES,4178.85,3129.11,47.79,149540,67.02,BT_88,2024-06-14,2024-08-31,2262,0.171,221.45,1.96,37.95,7924.57,378715.2,38.4,0
2020,100004,RICE,1183.79,840.05,43.33,36399,26.77,OPV_73,2020-03-21,2020-07-13,2373,0.396,275.22,5.51,26.49,2575.72,111605.95,33.68,1
2023,100005,COFFEE,2027.03,1552.29,119.72,185840,50.95,HYB_97,2023-01-13,2023-04-11,1167,0.16,207.34,7.16,38.48,5090.4,609422.69,28.08,1
2010,100006,SPICES,3617.57,3272.14,68.14,222964,26.68,BT_44,2010-01-29,2010-06-13,1843,0.454,286.61,10.51,26.34,4404.22,300103.55,10.72,0
2019,100007,SPICES,2562.93,1946.99,49.88,97116,16.15,ORG_68,2019-01-01,2019-08-02,1578,0.019,279.44,10.54,83.17,3014.1,150343.31,3.48,0
2012,100008,WHEAT,3672.94,3470.22,117.53,407855,53.27,OPV_17,2012-06-17,2012-12-15,3072,0.165,163.03,7.28,96.44,7488.18,880085.8,45.32,0
2019,100009,SUGARCANE,4975.99,4453.33,57.07,254152,51.76,HYB_32,2019-02-27,2019-05-14,1611,0.588,76.73,2.64,7.1,5343.94,304978.66,13.74,0
