ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_inr,ag_econ_operating_expenses_inr,ag_econ_net_farm_income_inr,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_inr,ag_econ_land_rent_paid_inr,ag_econ_machinery_depreciation_inr,ag_econ_labor_hired_cost_inr,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_inr,ag_econ_crop_insurance_indemnities_inr,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2017,FPO,14549332.73,7903033.71,6646299.02,0.28,1574976.69,654603.75,1167936.03,2741532.01,80.61,135.86,115.62,100.45,2236131.87,1532094.65,2.059,0.371,61.32,0
2024,FPO,15781428.01,8448942.0,7332486.02,0.632,912366.43,1817034.61,569543.08,1648909.43,149.5,129.16,177.89,71.65,278918.59,1491678.67,1.999,0.046,65.54,0
2013,MEDIUM,17205264.72,14345530.87,2859733.87,0.44,1232068.04,2873727.34,710172.32,4675229.39,125.81,202.83,170.32,81.63,1063674.81,1333825.76,1.876,0.161,53.43,0
2017,SMALLHOLDER,2796207.73,1633114.6,1163093.16,0.583,499183.99,707971.49,270895.47,3761151.54,174.18,154.47,174.33,129.06,90431.32,134085.69,4.25,0.095,36.45,0
2021,FPO,17229225.71,11767300.34,5461925.41,0.794,1150765.71,3244638.75,331531.96,3113646.0,189.59,154.48,71.0,66.18,1840087.07,1715072.27,2.151,-0.034,91.82,0
2025,MEDIUM,22987099.37,13067194.18,9919905.24,0.076,1699127.33,864513.38,437611.12,4897586.17,96.52,90.27,199.18,124.91,2100172.55,380958.05,3.026,-0.022,45.49,1
2018,LARGE,8565100.64,7689998.06,875102.64,0.661,258812.71,1524285.32,993194.9,3090072.61,126.24,182.62,140.18,95.52,2125540.4,555890.42,2.963,-0.134,70.94,0
2013,FPO,20068293.69,12372055.99,7696237.77,0.757,1716523.67,177876.29,850628.0,2080031.3,187.9,174.59,134.09,213.95,2407848.62,9054.82,0.804,0.144,65.28,1
2017,AGRI_STARTUP,10330600.4,5844580.12,4486020.36,0.878,1714183.41,167725.09,696514.53,2040710.16,160.29,191.16,122.06,208.19,477750.59,1586155.51,2.564,0.398,82.77,0
2013,SMALLHOLDER,18354167.57,11761128.81,6593038.85,0.541,1815607.86,1308467.32,1193718.08,232627.07,129.15,171.51,135.46,195.79,1589818.9,1508805.17,0.516,0.366,88.46,0
