biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_nic_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2016,6703e65a4580054a,2ae757ffa2634f64,17,5-9,765987,6,3,54,39,192,18,19.14,77.65,62.02,0,0,sole_prop,554974.87,0
2023,1305dd89e9771364,5953fd609640c1fc,52,50-99,448951,5,1,75,2,14,24,23.91,79.71,43.27,0,0,pvt_ltd,483703.51,0
2021,a2f5635858736dbf,8bd10bf4476c2dc8,41,20-49,647707,4,3,16,6,14,21,20.89,93.38,44.46,0,0,llp,1785574.12,0
2024,5f2651d0cf2c7b1a,51740f8d911d6f16,31,5-9,693128,7,6,91,78,98,72,7.52,100.0,28.56,0,1,producer_company,1133044.74,0
2023,105d787094b345ab,02bc6f105a03805f,58,5-9,212547,6,2,36,34,30,16,22.69,99.9,30.14,1,0,government,401752.53,1
2012,26e6687bb09b2fe8,2bef6e1cf506df0e,7,1-4,539430,8,3,136,33,198,30,0.0,69.97,44.93,0,0,sole_prop,456650.54,0
2025,c3fc7d117d1c4b1b,f6af086574c70ac8,66,5-9,545101,4,8,56,136,8,55,13.13,69.86,10.23,0,0,pvt_ltd,495036.69,0
2025,9929ba821b177693,d4364db4a45105d4,59,20-49,103051,6,4,54,56,20,81,19.2,79.41,50.32,0,0,producer_company,160136.39,0
2016,026250b36e9cc7a3,90af6e546bb45e61,75,1-4,612153,2,7,26,77,20,36,25.56,90.66,50.66,0,0,producer_company,1897306.28,0
2014,652ffd152b118987,4e5bd8205b932f24,34,20-49,453824,3,3,33,51,182,40,25.78,93.44,50.16,0,0,producer_company,1142081.21,0
2012,22d97c06f2f3a8a6,87f812ecd7679bb7,22,250-499,500573,7,2,77,18,126,81,32.96,94.88,35.77,0,0,pvt_ltd,780710.46,0
2021,1bb67ad732b791f1,d035379bcb76675c,4,500-999,138102,9,0,90,0,70,35,22.99,84.28,44.82,1,0,public_ltd,318673.37,0
2020,608216e93ae0bf85,b6177265f97ec169,60,1-4,256542,4,2,12,24,60,36,17.85,67.97,44.72,1,1,llp,487935.72,0
2010,e3576f04d8ce017e,7f4610d9b0137bd2,40,250-499,891267,5,5,30,60,45,60,11.28,72.01,13.14,0,1,cooperative,413317.56,0
2015,82542648f02820f1,4078b926f8240efa,48,50-99,932972,3,2,21,6,81,5,20.72,77.86,65.59,0,0,llp,371591.25,0
2018,a14c9a154376455e,244e8cdc77e1c18d,56,20-49,581680,8,4,32,56,11,30,30.41,79.16,62.69,0,0,cooperative,626098.47,0
2024,b2e3eeb5d9d0ddc8,32e35d0c16951a30,24,5-9,357218,10,6,140,30,10,63,36.74,66.98,69.18,0,0,partnership,338043.92,0
2020,83c1204c3ce95567,8684e4c1bb68f4cf,13,250-499,489593,3,2,18,14,60,77,24.81,71.8,33.95,0,0,partnership,895961.82,0
2023,d949ea806150affa,15df7adfc92025c5,7,100-249,570951,4,4,16,16,35,54,26.44,84.54,31.89,0,0,cooperative,595819.39,0
2012,c312180a3ff23f6f,2a889edd3cfa6e47,13,50-99,341983,8,4,120,64,15,33,14.55,82.95,54.61,0,0,sole_prop,337611.5,0
2023,238ba23ed74e5c98,e980f279d3a28407,33,500-999,446699,3,2,39,6,8,16,28.31,82.65,36.6,0,0,producer_company,1712590.3,0
2010,34b815720df942ea,61484f7c3f8cad94,14,5-9,957756,6,4,84,44,63,72,10.92,80.87,47.48,0,1,government,889358.48,0
2023,c28ed343bccdd705,2954f71e1c0d97c5,45,5-9,976906,6,5,30,70,78,77,9.53,72.87,47.56,0,0,producer_company,1071849.03,0
2022,74149b176ce9a6d0,32d49abf4c84051e,74,50-99,566725,4,3,64,33,117,117,11.63,84.61,52.13,1,0,cooperative,1503320.72,0
2011,cebcf7892c609a0b,92a44ee038028645,50,20-49,910874,5,2,10,4,130,24,18.88,89.3,36.33,0,0,partnership,315719.52,0
2023,00135f1fa5f7c6f9,631a16198251a58e,58,1-4,687518,2,2,30,8,108,21,9.12,95.52,59.04,1,0,pvt_ltd,1454377.55,1
2015,5f1128fdec027d18,644765f9a56cdc2d,80,50-99,626861,12,2,24,16,42,90,3.97,72.55,59.58,0,0,partnership,584393.14,0
2011,9394cc1debafa485,c0fe727037963a89,61,20-49,610585,6,1,18,17,30,55,30.96,93.7,29.94,0,0,partnership,853591.03,0
2011,807ecf391588ae22,853e84fe2666fcf0,41,250-499,997048,4,4,16,28,60,72,15.18,80.43,47.7,0,0,public_ltd,472410.41,0
2012,7524042b101e469a,748401459fea8364,16,500-999,767542,1,1,13,4,8,99,28.84,88.29,47.17,1,0,cooperative,456919.22,0
2015,1e4f14979e1054c7,89d291cdd01a8f1d,9,10-19,729661,8,3,128,27,14,30,13.86,92.09,79.48,0,0,cooperative,463245.77,0
2016,3ca4d8bdecc5ed9a,ca4316b24d692c2f,56,100-249,216953,2,5,12,75,27,40,16.81,71.41,37.85,0,1,pvt_ltd,907196.39,1
2019,a577c53d67dc16b5,f3ea7776260b4fac,47,50-99,212217,7,5,63,70,140,56,19.0,80.3,30.52,1,0,partnership,328604.5,0
2014,b1574f65467f976f,5f9a82a0cbc30eed,1,10-19,542061,5,5,35,45,13,55,12.81,82.81,39.45,0,1,producer_company,333203.51,0
2021,a1405084868bf297,b0a0b956d454cc0f,45,20-49,244097,1,7,15,56,112,72,13.53,81.77,68.48,0,0,llp,570332.51,0
2010,6d00b245e9444baf,4aaa5cd8072ffc3a,63,500-999,338260,7,3,98,18,90,55,20.74,82.57,53.55,0,0,government,817001.32,0
2019,934dbf3eef2ddc7a,1626120b08e6b1d1,32,50-99,998792,5,3,35,18,88,84,30.03,86.77,41.69,0,0,producer_company,608541.32,0
2010,0992bb1ce680da16,8b405813049abe75,44,20-49,128380,7,6,70,18,121,77,23.2,93.67,40.53,0,0,cooperative,2715697.95,0
