biz_innov_filing_year,biz_innov_patent_application_id_hash,biz_innov_technology_class_code,biz_innov_inventor_count,biz_innov_assignee_type_code,biz_innov_university_assignee_flag,biz_innov_small_entity_flag,biz_innov_citation_count_5yr,biz_innov_forward_citation_velocity,biz_innov_claims_count,biz_innov_family_size_count,biz_innov_international_filing_flag,biz_innov_grant_lag_months,biz_innov_licensing_revenue_estimate,biz_innov_r_and_d_tax_credit_claim_flag,biz_innov_venture_funding_round_flag,biz_innov_startup_spinout_flag,biz_innov_tech_transfer_office_id,biz_innov_innovation_cluster_score,biz_innov_commercialization_stage_code
2021,0d904ce78aa68821b908,TC724,5,university,1,0,29,0.413,18,7,1,18,2642308.35,0,0,0,TTO602233,42.69,open_source
2012,5e29c0c5bd60d472fe57,TC316,7,govt_lab,1,0,11,2.299,15,2,0,22,10477589.83,0,0,0,TTO381630,49.57,scale
2025,7873cbc410d52304b858,TC598,7,individual,0,1,13,0.358,22,2,1,36,4244048.03,0,0,0,,70.54,open_source
2023,9df0efe045a1d17b4b19,TC869,3,startup,0,0,21,3.853,20,2,0,18,3906925.48,1,0,0,,43.5,acquired
2009,28cf59ad3e9bf212451d,TC540,5,corp,0,0,14,0.346,15,2,0,25,789244.59,1,1,0,,72.06,licensed
2017,307427f1e9c478c98c53,TC115,4,govt_lab,0,1,23,2.493,14,2,0,14,567282.6,0,1,0,,61.45,market_entry
2025,b578a5f32361c626f3ce,TC477,9,startup,0,1,24,2.182,14,3,1,26,20069427.23,0,0,0,,51.43,licensed
2023,7b1b5eb902c026daea4d,TC225,10,university,1,0,11,0.819,21,3,0,37,5436733.17,0,0,0,TTO712219,46.33,prototype
2025,14409c5419eb312a7c05,TC728,8,individual,0,1,18,0.258,17,4,0,39,9621120.75,1,0,0,,38.42,internal_use
2018,ff7dbc56d957a65f8a7e,TC283,1,corp,0,0,14,0.416,15,2,1,28,21198744.35,0,0,0,,61.3,open_source
2021,5a824e8eade5640e18aa,TC682,4,govt_lab,1,1,11,0.704,20,8,1,16,7301558.29,1,0,0,TTO245531,88.52,licensed
2021,d0572fabf407d1e072ae,TC424,2,corp,0,0,18,2.581,11,4,1,22,14066754.79,0,0,0,,22.18,pilot
2020,98bcb92fd6bb46b49582,TC226,7,individual,0,1,20,4.132,21,3,0,19,45434436.57,0,0,0,,29.93,licensed
2012,c31ff46d2a1ea7e3159a,TC945,9,startup,0,1,15,4.092,22,3,0,26,5876871.42,0,0,0,,35.93,open_source
2010,842ad0e6c3fb2a0e130f,TC684,5,startup,0,1,26,2.83,16,7,1,12,19568563.75,0,0,0,,54.23,prototype
2009,a62350a5fd058eb35dcf,TC531,6,university,1,1,9,0.0,17,2,1,20,4269055.31,0,0,0,TTO880730,28.95,licensed
2018,12502a0321adcc143d3e,TC283,9,university,1,0,15,0.691,11,1,0,31,10245571.26,0,0,1,TTO260563,58.04,pilot
2013,9f417d35e64461eef445,TC494,8,govt_lab,0,0,16,1.188,22,5,1,20,10154821.64,0,0,0,,38.94,idea
2017,2276a1fab999595ad1c7,TC306,5,psu,0,1,19,1.354,24,3,1,27,5414500.69,0,0,0,,24.71,open_source
2022,d1d4ce45c445c8a6c0b4,TC866,4,individual,0,1,19,0.743,12,7,1,24,3210271.95,0,0,0,,39.86,market_entry
2024,54c447e2bd25f74e335e,TC931,5,psu,0,1,19,3.001,19,2,1,33,1531290.68,1,1,0,,27.31,acquired
2025,8a1ccc5f8190b02f4b18,TC848,3,corp,0,0,20,2.695,17,3,0,6,8457875.18,1,0,0,,51.43,pilot
2012,d989e116e2eaa7a1e648,TC109,3,university,1,0,15,1.847,13,3,1,24,7955290.19,0,0,0,TTO185271,37.66,scale
2012,4e2821589635b07ad546,TC921,5,govt_lab,0,0,25,0.736,17,2,1,39,5582457.16,0,0,0,,61.22,licensed
2023,0cf46679616562003c7d,TC983,2,university,1,1,19,2.206,17,5,0,21,6055539.51,0,0,0,TTO489769,65.08,acquired
2011,0d7c80c11fb65f13ce51,TC250,3,govt_lab,0,0,16,1.466,21,2,0,23,4124536.11,0,0,1,,73.49,open_source
2023,104230f085ed21ec4420,TC101,6,individual,0,0,18,3.305,18,4,0,37,2104350.58,0,0,0,,38.9,idea
2024,017d58327304d7f403d2,TC740,4,university,1,1,15,1.187,26,3,1,35,1949824.4,0,0,0,TTO926455,50.88,prototype
2015,99b79c6a573f2ef7961d,TC833,9,govt_lab,0,1,18,0.924,11,2,1,19,20290333.42,0,0,0,,67.22,prototype
2022,9c1ff1eecaadbb039912,TC308,2,corp,0,0,18,2.5,20,3,0,17,4982446.83,0,0,0,,73.62,open_source
2024,96bfe5043629b1623af8,TC183,8,individual,0,0,19,1.634,16,1,0,38,9294263.9,1,0,0,,36.09,idea
2010,bd5776249ee34fb7bef3,TC188,4,startup,0,1,15,1.645,15,3,1,37,7030386.79,0,0,1,,53.67,open_source
2025,35f75bd21a360277e133,TC878,2,corp,0,0,19,0.0,18,5,0,22,2251765.35,0,0,0,,32.86,licensed
2013,f48f45c653fb1f790bf8,TC408,1,govt_lab,0,0,12,1.536,10,4,0,35,10706834.53,0,0,0,,53.98,scale
2010,e3319eba65c63798ef75,TC707,2,psu,0,0,11,1.705,16,2,0,22,1075025.01,0,0,0,,33.26,open_source
2018,67dd4ef9123316749d2b,TC421,1,startup,0,1,21,1.857,19,3,1,33,18490517.6,0,0,0,,64.66,market_entry
2021,a171e8aad536f1427bce,TC227,10,govt_lab,0,0,22,2.653,16,4,0,21,788648.1,0,0,0,,75.37,idea
2019,0b4b6d34387147adae37,TC249,4,individual,0,0,14,0.0,18,2,0,26,2553760.78,1,0,0,,87.88,prototype
2010,2fb56b3835798e9cfbbd,TC875,7,govt_lab,0,0,24,2.209,17,2,0,32,12422541.5,0,1,1,,36.44,licensed
2021,aef7a07af2a98b28ccc1,TC540,5,university,1,0,14,2.195,13,4,0,28,5476190.09,0,0,0,TTO809270,57.11,market_entry
2022,6083325d1ff8801569d2,TC596,2,startup,0,1,17,1.984,13,6,0,27,8835882.27,0,0,0,,98.87,idea
2014,d1fba5f650d6b0e30f7f,TC857,1,individual,0,0,14,0.726,18,2,0,25,17870319.85,0,0,0,,69.48,open_source
