biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_inr,biz_output_new_orders_value_inr,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_inr,biz_output_r_and_d_spend_inr,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2019Q1,CL2577,90316879389.18,10917400850.47,77.68,104.37,10.94,13.85,84.66,88.97,27.84,29261844201.08,1742301935.08,38.53,0.2168,2.86,0.3274,15736.22,0.4221,domestic_focused
2026Q2,CL5254,11945990313.49,3060288580.27,65.59,96.16,21.37,32.14,83.33,92.71,56.83,27947810753.51,2569028454.69,0.0,0.2087,30.1,0.5268,37759.55,0.2721,domestic_focused
2023Q2,CL1295,98619551733.59,25964676390.31,69.68,100.15,2.83,7.69,99.14,86.08,72.41,18577925634.91,14141374809.33,15.78,0.4573,73.21,0.1332,34219.62,0.4241,tier1_metros
2022Q2,CL6998,68393297721.1,15531735227.2,67.26,100.56,19.67,28.51,81.57,105.62,39.53,3271472900.91,21528652452.33,55.16,0.3523,34.87,0.7217,21430.6,0.2393,export_oriented
2023Q2,CL8447,21977599880.3,7173410086.43,79.83,80.88,23.2,12.77,69.86,111.17,58.7,124786388494.7,3142525391.65,40.5,0.2276,38.16,0.4359,69598.23,0.4497,tier2_cities
2020Q4,CL7275,60102073269.45,14427820369.42,73.95,106.82,17.86,10.62,78.67,99.54,11.97,37417184123.18,3425317191.48,56.54,0.2773,42.8,0.3627,105195.21,0.0439,tier2_cities
2019Q4,CL1618,239504713382.14,43825588459.19,78.05,103.63,35.28,13.9,59.18,114.87,21.88,8835228877.62,550569917.76,42.96,0.2215,49.2,0.3873,68891.95,0.4691,domestic_focused
2021Q3,CL4212,38401029710.75,8945371285.38,72.49,102.08,21.09,32.53,73.08,87.41,18.92,1361458263.71,2630015038.01,40.07,0.0937,23.79,0.1896,13499.19,0.3535,east
2016Q3,CL9419,51357745508.1,10636917079.26,76.68,111.02,22.35,38.39,77.54,112.94,48.71,12838842366.67,675910144.09,40.3,0.5319,30.27,0.5352,16610.57,0.0534,west
2024Q1,CL7832,105403890228.11,12355774370.91,70.37,72.88,26.56,20.4,76.2,107.99,15.92,34178171555.35,560328644.81,82.15,0.7037,53.15,0.3871,35343.98,0.0978,tier2_cities
