biz_small_application_date,biz_small_entity_type_code,biz_small_founder_demographic_category,biz_small_home_based_business_flag,biz_small_industry_intent_nic,biz_small_expected_first_payroll_date,biz_small_expected_hiring_count,biz_small_expected_revenue_bracket,biz_small_financing_source_code,biz_small_loan_approval_flag,biz_small_loan_amount_inr,biz_small_credit_score_band,biz_small_business_license_required_flag,biz_small_permit_complexity_score,biz_small_incubator_participation_flag,biz_small_mentor_hours_received,biz_small_online_presence_score,biz_small_ecommerce_enablement_flag,biz_small_closure_within_1yr_flag,biz_small_growth_intent_score
2024-05-06,partnership,obc,1,8674,2025-02-28,7,10L-50L,vc,0,0.0,300-599,0,65.31,0,23.46,64.64,0,0,85.31
2020-07-19,pvt_ltd,st,0,3768,2021-03-29,7,50L-2Cr,govt_grant,1,667118.81,700-749,1,46.55,0,162.77,66.42,1,0,72.94
2024-08-29,pvt_ltd,women,1,9932,2024-11-25,5,0-10L,invoice_finance,0,0.0,NA,0,49.05,0,34.85,80.97,1,0,87.17
2025-12-19,llp,veteran,0,6522,2026-09-09,4,2Cr-10Cr,nbfc,0,0.0,300-599,1,0.0,0,13.53,73.51,1,0,61.38
2025-01-02,section8,minority,1,5528,2025-08-01,3,10Cr+,nbfc,0,0.0,600-649,0,48.44,1,4.7,57.45,0,0,78.51
2022-03-30,proprietorship,differently_abled,0,9710,2022-10-03,5,0-10L,govt_grant,0,0.0,600-649,1,23.38,0,16.19,67.59,0,0,65.03
2023-01-03,producer_company,sc,1,4860,2023-08-20,8,50L-2Cr,invoice_finance,0,0.0,300-599,0,78.69,0,10.5,46.54,0,0,41.32
2025-06-14,opc,differently_abled,0,2618,2026-05-13,5,10L-50L,angel,1,1594500.36,750-900,1,70.7,0,74.26,72.37,0,1,35.66
2024-09-05,partnership,veteran,0,2215,2025-06-29,10,2Cr-10Cr,bank_loan,1,1979018.44,650-699,0,15.5,1,20.02,60.73,0,0,66.05
2021-05-08,partnership,differently_abled,0,4119,2022-01-19,15,2Cr-10Cr,govt_grant,0,0.0,600-649,1,12.5,0,23.14,28.87,0,0,100.0
2020-01-10,producer_company,obc,0,7896,2020-12-29,5,10L-50L,bank_loan,1,2466554.68,NA,1,35.59,0,61.24,39.04,1,0,71.17
2019-09-10,producer_company,veteran,1,9714,2019-11-22,5,0-10L,invoice_finance,0,0.0,300-599,1,70.83,0,56.09,31.36,1,0,72.49
2020-02-20,opc,sc,0,8297,2021-02-11,8,2Cr-10Cr,nbfc,1,1299976.12,650-699,0,83.81,1,50.33,80.13,1,0,65.48
2020-11-24,pvt_ltd,sc,0,3221,2021-03-16,5,10Cr+,bank_loan,0,0.0,600-649,1,42.13,0,20.11,49.5,0,0,49.42
2022-12-07,section8,differently_abled,0,6391,2023-01-06,9,50L-2Cr,invoice_finance,1,1785053.67,NA,1,76.9,0,34.7,34.27,1,0,57.43
2022-05-11,producer_company,women,0,7036,2022-07-29,13,0-10L,angel,0,0.0,NA,1,100.0,0,21.85,37.72,0,0,62.87
2023-12-13,opc,women,1,1768,2024-08-09,2,10L-50L,nbfc,0,0.0,300-599,0,14.73,0,15.98,69.73,0,0,51.36
2021-09-09,opc,general,1,1913,2022-02-17,13,2Cr-10Cr,invoice_finance,0,0.0,NA,1,56.97,0,10.95,59.63,0,0,72.18
2023-06-03,partnership,minority,0,2990,2023-10-05,29,50L-2Cr,vc,1,1191004.31,700-749,0,18.98,0,161.5,15.51,1,0,82.38
2025-09-13,producer_company,minority,1,5383,2025-11-03,2,0-10L,self_funded,1,1327829.78,750-900,1,29.46,1,4.88,19.66,0,0,80.76
2022-06-05,opc,differently_abled,0,8792,2022-07-12,2,10L-50L,vc,0,0.0,NA,1,37.0,0,7.37,49.0,1,0,67.7
2021-11-24,llp,first_time_founder,0,3349,2021-12-14,18,0-10L,self_funded,0,0.0,600-649,1,32.45,0,40.26,49.11,1,0,36.14
2023-11-04,opc,minority,0,4508,2024-10-10,7,0-10L,vc,0,0.0,NA,1,17.73,0,57.08,71.36,1,1,36.27
2023-07-03,partnership,differently_abled,0,5495,2024-04-16,8,10Cr+,family_friends,1,1661363.11,NA,1,35.63,0,25.76,66.24,1,0,72.83
2020-02-03,llp,differently_abled,0,1653,2020-02-28,4,2Cr-10Cr,family_friends,1,2829710.11,700-749,1,27.66,0,9.98,39.02,0,0,49.61
2023-04-02,opc,obc,0,3771,2024-02-05,13,10L-50L,invoice_finance,0,0.0,NA,1,65.91,0,8.69,91.17,1,0,61.17
