biz_trade_shipment_month,biz_trade_port_of_entry_code,biz_trade_hs_code_6,biz_trade_trade_direction_code,biz_trade_trade_value_inr,biz_trade_trade_weight_kg,biz_trade_country_partner_code,biz_trade_transport_mode_code,biz_trade_containerized_flag,biz_trade_freight_rate_index,biz_trade_customs_clearance_hours,biz_trade_inspection_rate_pct,biz_trade_tariff_rate_effective_pct,biz_trade_trade_remedy_flag,biz_trade_origin_supply_chain_risk,biz_trade_destination_demand_index,biz_trade_seasonality_factor,biz_trade_re_export_flag,biz_trade_trade_finance_constraint_flag,biz_trade_data_release_version
2022-09,INBRU,923000,import,390209569.58,15732.48,KOR,air,1,115.96,11.5,11.98,19.72,0,66.09,63.34,1.174,0,0,v2025_06
2019-11,INJOR,935371,reexport,1038695516.1,402023.18,AUS,road,0,101.77,12.78,12.42,4.2,0,57.88,54.21,0.76,0,0,v2026_02
2018-09,INQSV,733843,reexport,122657465.48,13136.27,RUS,sea,0,106.43,8.43,4.11,15.75,0,43.21,17.89,1.193,0,0,v2025_12
2023-02,INJBY,261393,export,152496261.08,36017.12,IND,rail,1,176.25,35.12,0.0,7.59,0,47.65,47.24,0.556,0,0,v2024_12
2025-10,INRDC,684395,import,155685344.89,90068.44,JPN,sea,0,90.6,36.61,8.28,16.89,0,30.3,62.05,1.059,0,0,v2025_06
2023-01,INSLB,343684,import,116436467.38,8746.13,MYS,rail,1,82.72,28.26,22.38,3.2,0,70.85,37.61,0.656,0,0,v2024_12
2018-11,INDJV,699359,export,442665313.58,11550.85,CHN,road,0,136.09,23.63,17.75,7.2,0,50.12,68.11,0.754,0,0,v2025_06
2020-01,INQWJ,957816,export,100466465.76,102143.34,JPN,air,1,104.08,17.43,14.57,14.87,0,73.17,70.42,0.979,0,1,v2024_12
2023-10,INXLR,101289,reexport,295943644.23,5766.54,NPL,road,1,56.9,62.23,5.21,14.11,0,2.82,82.21,0.898,0,0,v2025_12
2022-09,INCHA,360350,reexport,779921327.5,35023.89,SAU,rail,1,124.84,17.6,0.0,10.62,0,20.16,53.58,0.5,0,0,v2025_06
2018-08,INHEL,955348,import,277216462.95,1614.33,NPL,road,1,136.01,40.59,11.79,14.41,0,47.08,59.79,1.356,0,0,v2025_12
2025-03,INHQG,198318,import,469794763.69,21796.5,AUS,road,1,139.28,52.04,15.53,8.06,0,41.88,71.37,1.07,0,0,v2026_02
2026-04,INNZS,575857,import,782954181.37,66344.75,BGD,road,1,122.69,46.63,7.23,0.0,0,40.46,83.11,0.5,0,0,v2026_02
2023-08,INGAC,550349,import,551157936.56,92971.4,BRA,rail,1,155.1,27.4,0.38,3.3,0,45.75,41.06,1.113,0,0,v2025_06
2020-05,INDSW,834438,import,813755074.48,8412.96,ARE,sea,0,50.0,22.48,12.4,2.06,0,55.47,69.56,1.126,0,0,v2026_02
2024-02,INWIN,567643,import,161697626.0,76419.15,JPN,air,1,104.93,14.06,8.61,6.36,0,13.97,46.5,1.15,0,0,v2025_12
2020-01,INPFB,724318,reexport,275296309.12,64481.82,JPN,road,0,188.02,11.76,9.68,3.61,0,11.93,54.02,1.137,0,0,v2025_12
2022-10,INGZC,676037,export,485446614.78,10729.08,USA,air,1,110.76,47.37,0.0,11.86,0,56.86,49.35,0.953,0,0,v2025_12
2026-06,INITE,467028,import,808669957.84,70341.85,VNM,sea,0,114.26,56.4,19.3,17.23,0,23.36,46.97,1.309,0,0,v2025_12
2020-10,INCGG,707522,import,264824314.07,21441.42,JPN,air,1,111.68,31.42,0.0,0.0,0,40.0,49.1,1.106,0,0,v2025_12
2021-05,INAFY,115280,import,131481989.55,1444.44,IDN,rail,1,101.73,23.35,3.88,15.66,0,31.33,45.15,1.06,0,0,v2025_12
2023-08,INBCE,854463,export,560185909.98,32499.28,RUS,air,1,154.66,71.99,11.89,0.0,0,61.91,76.05,1.056,0,0,v2026_02
2018-09,INGSV,448099,export,57233794.13,60611.15,THA,road,1,152.19,38.67,9.1,13.32,0,66.96,70.43,1.083,0,0,v2025_06
2020-10,INFHQ,984854,import,75790214.38,4607.52,NPL,sea,1,191.44,27.57,6.0,15.5,0,39.91,49.02,0.94,0,0,v2024_12
2022-05,INBPN,482620,import,437641943.46,7587.96,NPL,sea,1,168.43,18.53,0.0,5.72,0,41.87,25.91,0.83,0,0,v2024_12
2026-07,INRWA,515315,export,263672813.22,10012.32,IND,road,1,119.76,7.99,2.87,2.81,0,39.87,33.15,0.944,0,0,v2026_02
2022-01,INVNH,844067,export,1805083677.22,14028.79,MYS,air,1,100.67,21.82,13.76,3.46,0,68.39,72.78,1.102,0,0,v2024_12
2026-03,INOZB,519139,import,197691213.33,10910.39,SAU,air,1,100.69,8.43,7.64,7.85,0,34.74,44.33,1.086,0,0,v2025_06
2021-01,INZEP,278644,export,272049890.62,195494.06,SAU,sea,0,150.26,17.25,8.8,11.57,0,64.84,59.56,0.818,0,0,v2025_12
