care_capacity_snapshot_date,care_capacity_facility_npi,care_capacity_facility_type_code,care_capacity_service_line_code,care_capacity_licensed_beds_count,care_capacity_staffed_beds_count,care_capacity_icu_beds_count,care_capacity_ed_bays_count,care_capacity_operating_rooms_count,care_capacity_imaging_units_mri,care_capacity_imaging_units_ct,care_capacity_primary_care_fte,care_capacity_nurse_fte,care_capacity_specialist_fte,care_capacity_patient_to_nurse_ratio,care_capacity_avg_wait_time_minutes,care_capacity_appointment_availability_days,care_capacity_closure_risk_score,care_capacity_rural_critical_access_flag,care_capacity_licensure_state_code
2023-09-12,FAC-78110304833,Clinic,Orthopedics,594,364,13,52,5,7,4,123.69,1191.54,183.78,4.53,61,45,21.57,Y,IN-AP
2024-05-10,FAC-60030226926,DiagnosticCenter,Oncology,1493,1352,108,14,11,4,9,2.66,1755.67,135.91,4.97,97,74,66.93,Y,IN-JH
2021-06-26,FAC-94156575142,Clinic,Oncology,605,379,108,69,31,5,10,84.31,440.19,356.21,2.97,45,62,49.99,Y,IN-AN
2023-08-05,FAC-84859926066,MedicalCollege,Trauma,290,66,51,73,11,6,11,204.31,1623.99,317.8,4.04,89,2,63.88,Y,IN-ML
2021-05-11,FAC-73093268640,DiagnosticCenter,Oncology,1297,1205,119,65,33,5,10,120.72,1599.5,39.84,0.77,21,73,2.65,N,IN-KA
2022-05-17,FAC-94564900443,MedicalCollege,Cardiology,1449,1289,30,42,23,2,2,154.15,1564.12,56.22,3.73,227,88,20.05,N,IN-AR
2024-06-14,FAC-15497171370,CHC,Dialysis,721,524,54,66,25,3,2,169.59,424.02,201.15,1.09,133,26,13.59,N,IN-AS
2024-07-21,FAC-21073525780,DiagnosticCenter,Orthopedics,1282,1160,108,63,16,4,10,28.18,732.33,300.82,13.34,105,36,12.58,N,IN-KA
2024-08-15,FAC-66001822350,Clinic,Dialysis,1705,1592,232,62,4,7,1,165.06,1596.16,265.51,12.26,80,59,32.91,Y,IN-UP
2023-09-21,FAC-28680268203,PHC,Trauma,1565,1465,206,54,13,3,3,123.76,2052.0,313.94,9.9,146,6,19.67,Y,IN-GJ
2024-09-21,FAC-56301779159,CHC,Cardiology,218,218,25,17,14,3,5,142.84,1531.46,373.8,0.53,202,22,64.53,Y,IN-PY
2021-09-01,FAC-35794266704,PrivateHospital,Surgery,1250,1099,111,41,27,6,9,45.05,873.54,167.34,1.35,124,48,69.31,Y,IN-LD
