care_costs_billing_year,care_costs_drg_code,care_costs_allowed_amount_avg,care_costs_paid_amount_avg,care_costs_patient_responsibility_avg,care_costs_charge_amount_avg,care_costs_cost_to_charge_ratio,care_costs_denial_rate_pct,care_costs_prior_auth_required_flag,care_costs_appeal_overturn_rate,care_costs_collection_rate_pct,care_costs_charity_care_share_pct,care_costs_bad_debt_share_pct,care_costs_price_transparency_file_flag,care_costs_shoppable_service_code,care_costs_site_of_care_shift_index,care_costs_contracted_rate_index,care_costs_out_of_network_rate_index,care_costs_surprise_bill_incidence_rate,care_costs_inflation_adjustment_base
2019,DRG839,124769.52,91681.98,33087.54,328786.76,0.233,29.14,Y,16.78,73.6,0.51,12.31,N,SHOP-870,15.64,0.599,1.467,0.114,CPI_Urban
2018,DRG593,64004.81,61189.58,2815.23,111566.57,0.444,11.93,N,85.83,56.6,10.86,6.17,Y,SHOP-177,25.1,0.94,1.554,3.314,CPI_Rural
2023,DRG102,21890.94,20659.47,1231.47,27822.0,0.501,25.47,Y,68.43,57.22,3.14,17.61,Y,SHOP-873,17.65,1.225,2.155,2.069,CPI_Rural
2023,DRG506,173983.93,132803.95,41179.98,435168.51,0.689,7.54,N,4.12,72.03,9.38,5.93,Y,SHOP-960,29.29,0.685,1.909,5.687,CPI_Rural
2025,DRG341,119576.82,109286.46,10290.36,148118.43,0.753,4.17,Y,77.88,39.05,14.89,7.79,Y,SHOP-547,68.32,1.494,1.717,3.897,WPI
2018,DRG129,103773.97,80537.46,23236.51,237330.94,0.249,2.56,Y,10.32,98.64,12.27,13.41,Y,SHOP-308,1.21,1.094,1.945,1.523,WPI
2024,DRG225,220435.7,202256.67,18179.03,267188.1,1.093,11.31,Y,72.43,83.71,10.62,10.77,Y,SHOP-173,76.31,0.521,1.281,1.981,WPI
2017,DRG557,185698.54,120627.87,65070.67,396585.56,0.197,8.56,N,9.21,73.0,9.15,3.87,Y,SHOP-667,78.24,1.279,1.73,0.288,CPI_Rural
2020,DRG135,131452.95,109073.39,22379.56,345553.0,0.707,17.18,N,12.36,81.24,11.5,9.01,Y,SHOP-220,56.76,1.371,2.002,6.235,CPI_Rural
2018,DRG171,212948.75,142703.42,70245.33,305763.62,0.941,27.16,Y,25.37,74.61,4.1,2.44,Y,SHOP-270,34.73,0.514,1.333,5.051,GDP_Deflator
2021,DRG560,186103.95,160594.88,25509.07,357318.74,0.428,20.87,Y,70.86,69.16,1.5,7.66,N,SHOP-427,52.72,0.697,1.771,6.275,GDP_Deflator
2017,DRG327,234457.88,168665.95,65791.93,478190.7,0.967,31.78,Y,69.91,53.37,19.36,11.63,N,SHOP-453,67.21,1.235,1.006,1.42,WPI
2023,DRG871,9124.22,7553.71,1570.51,10831.2,0.923,28.41,Y,31.95,77.26,18.1,3.62,N,SHOP-510,40.93,0.607,0.97,2.771,CPI_Rural
2017,DRG309,169991.89,153854.94,16136.95,425655.57,0.825,6.01,N,66.44,87.93,6.65,17.15,Y,SHOP-120,78.86,1.298,1.98,0.19,GDP_Deflator
2023,DRG637,143550.29,127767.99,15782.3,217779.76,1.096,5.55,N,64.21,89.86,10.72,3.09,Y,SHOP-256,49.31,0.621,1.084,3.427,GDP_Deflator
2023,DRG130,197583.73,173788.69,23795.04,284106.97,0.865,20.87,N,51.21,62.37,18.41,7.62,N,SHOP-483,83.38,1.271,1.891,7.567,WPI
2020,DRG930,135987.18,94060.38,41926.8,164702.21,0.306,17.13,N,76.71,81.48,18.55,16.11,N,SHOP-219,59.41,1.42,1.319,0.219,WPI
2016,DRG884,71686.39,50550.67,21135.72,133539.55,0.589,2.6,N,43.6,61.13,18.5,19.77,Y,SHOP-525,19.88,0.758,0.821,1.834,GDP_Deflator
2020,DRG810,56138.64,43721.06,12417.58,120342.01,0.485,12.0,N,25.09,57.04,17.03,13.72,Y,SHOP-496,16.5,1.236,1.827,5.673,GDP_Deflator
2023,DRG545,131409.51,97746.82,33662.69,172143.36,1.094,9.01,N,75.9,80.59,6.71,24.51,N,SHOP-844,23.08,0.657,1.556,7.568,GDP_Deflator
2023,DRG925,48793.6,36908.42,11885.18,104054.19,0.757,14.19,Y,38.78,85.36,4.43,21.02,Y,SHOP-592,39.2,0.596,0.811,5.105,CPI_Urban
2020,DRG194,150978.19,88877.57,62100.62,270399.31,0.903,19.69,N,27.1,36.59,16.64,5.97,N,SHOP-984,19.99,0.525,1.972,1.959,CPI_Urban
2020,DRG697,58286.51,34101.57,24184.94,61310.54,0.635,18.99,N,78.67,61.97,19.34,17.11,N,SHOP-525,59.93,1.104,1.719,2.897,WPI
