care_coverage_coverage_year,care_coverage_state_ut_code,care_coverage_district_lgd_code,care_coverage_scheme_type_code,care_coverage_pmjay_beneficiary_count,care_coverage_abha_id_linked_share_pct,care_coverage_premium_benchmark_inr,care_coverage_deductible_individual_inr,care_coverage_oop_max_individual_inr,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_esic_enrollment,care_coverage_cghs_enrollment,care_coverage_employer_covered_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status,care_coverage_data_source_agency
2024,IN-MZ,LGD-D-9386150,Mixed,3079006,64.56,28099.51,8692.03,124144.4,Open,5686706,29.33,833938,679592,47.9,47.38,29.12,122180,Approved,IRDAI
2023,IN-GJ,LGD-D-3618550,StateScheme,1227776,41.01,21216.34,19944.85,145093.82,Tiered,11454501,22.43,3080965,325272,28.44,18.3,15.77,170993,PendingDocs,CGHS
2024,IN-SK,LGD-D-1217246,PMJAY,559870,12.72,23553.26,1756.6,88480.77,Tiered,2687274,13.26,1420987,650340,27.37,84.3,5.4,86414,NotApplicable,StateHealthDept
2016,IN-AR,LGD-D-6748782,PMJAY,643758,9.41,33600.47,1578.75,93515.13,Tiered,9458111,13.46,4087007,540364,7.25,39.46,30.91,136234,PendingDocs,NIC
2019,IN-ML,LGD-D-1415033,CGHS,2833526,43.04,29702.88,9854.42,1765.19,Restricted,2479799,18.3,5522655,312977,46.57,51.53,28.72,224834,UnderReview,StateHealthDept
2016,IN-DH,LGD-D-1858597,PMJAY,1326962,38.3,11503.51,23970.43,48252.65,Tiered,8781651,34.97,4838034,105322,27.52,71.31,7.72,187158,UnderReview,CGHS
2019,IN-GJ,LGD-D-8216966,Mixed,3440386,11.95,22762.51,4267.75,94636.97,Tiered,6785363,8.81,5823991,380986,26.77,84.01,17.32,193189,NotApplicable,CGHS
2024,IN-AR,LGD-D-6731968,PMJAY,948794,7.89,34771.29,16321.68,57617.65,Tiered,9159487,17.24,4397290,644378,41.95,19.23,21.07,207894,Approved,MoHFW
2019,IN-DH,LGD-D-6585372,PrivateGroup,3235991,28.93,26830.03,3714.28,15101.34,Preferred,3923405,34.2,3050253,338739,11.03,27.71,12.14,113829,PendingDocs,CGHS
2016,IN-UK,LGD-D-2853361,CommunityBased,327102,38.17,33881.49,18534.07,128980.91,Restricted,8084110,20.15,2932857,146640,50.23,9.54,19.92,55631,Rejected,IRDAI
2017,IN-TN,LGD-D-5060100,PMJAY,3220340,3.66,9444.17,19392.13,36950.67,Tiered,8631077,30.02,5302416,438945,17.11,49.5,34.1,126477,Approved,IRDAI
2023,IN-BR,LGD-D-1124315,CGHS,1058375,80.17,29849.18,9631.58,75684.94,Open,2244068,29.17,4688935,382286,14.29,78.61,8.17,126259,Approved,IRDAI
2020,IN-GA,LGD-D-6621595,StateScheme,2353110,63.37,29610.73,22579.49,63041.14,Tiered,2003481,22.97,1814155,479953,19.98,24.26,30.79,118938,UnderReview,CGHS
2017,IN-OD,LGD-D-8769027,Mixed,2168072,84.42,26378.06,14047.15,97026.57,Open,8325733,28.75,371587,639413,41.99,48.68,2.48,238590,Approved,StateHealthDept
2025,IN-OD,LGD-D-9707768,Mixed,2883297,12.8,21221.46,22752.02,37544.61,Preferred,11400846,11.18,5032695,337160,21.8,36.25,21.33,3604,Approved,NHA
2020,IN-MP,LGD-D-9092716,PMJAY,1032572,70.05,19619.57,15074.46,101611.62,Open,7257781,18.05,4297789,699731,47.82,43.06,19.22,83650,Approved,NHA
2019,IN-RJ,LGD-D-2324536,PMJAY,2026307,9.98,27590.14,21767.22,79545.95,Restricted,4062535,33.42,4779102,347348,28.17,2.19,3.9,8896,Rejected,IRDAI
2025,IN-GJ,LGD-D-7058049,StateScheme,677381,79.88,28242.78,13986.68,20519.09,Restricted,2387113,20.71,885542,304900,40.02,27.81,8.29,173480,NotApplicable,CGHS
2016,IN-MH,LGD-D-9698258,Mixed,2091003,35.94,23771.48,16658.58,139699.46,EHS_Network,7981375,12.25,1347358,475889,53.11,75.49,2.62,50418,UnderReview,ESIC
2019,IN-CH,LGD-D-3932238,CGHS,1186342,79.9,7099.89,6194.41,30278.72,Preferred,1083948,5.34,3666284,172627,19.26,29.56,19.57,110751,PendingDocs,IRDAI
2025,IN-GA,LGD-D-4578470,PrivateGroup,954127,86.04,11488.52,572.46,28094.22,Preferred,1414327,29.11,1882851,345616,4.29,66.56,12.4,249234,Approved,CGHS
2017,IN-TS,LGD-D-8410399,ESIC,3177755,89.16,28362.5,5012.14,114063.23,Preferred,9794572,33.47,5867371,409612,25.86,36.42,10.83,194881,Rejected,NIC
2021,IN-MH,LGD-D-1852175,PMJAY,3461603,56.37,17691.28,21842.08,66164.0,Preferred,4101955,29.44,5705043,84004,0.94,18.41,12.58,189720,NotApplicable,IRDAI
2021,IN-AS,LGD-D-3293224,PrivateGroup,528730,59.52,5277.33,3823.49,82561.56,Tiered,9944322,4.91,2260849,526539,35.44,33.72,22.66,206117,Rejected,ESIC
2022,IN-AP,LGD-D-2829968,PrivateGroup,2843546,38.67,4991.25,22548.51,76391.11,Open,2570358,23.56,991167,17015,27.38,14.16,34.92,156554,NotApplicable,IRDAI
2021,IN-WB,LGD-D-4855117,ESIC,1468635,26.13,1605.1,15629.7,127252.65,EHS_Network,3518267,17.32,3547608,255883,38.09,66.63,3.63,90025,PendingDocs,StateHealthDept
2023,IN-UK,LGD-D-2131110,StateScheme,774502,35.95,28709.29,22698.02,117186.23,Preferred,2831793,20.79,5515433,672634,52.82,82.85,5.98,180171,Rejected,NIC
2020,IN-DL,LGD-D-9884242,PrivateGroup,3051946,71.9,27523.83,13085.42,35364.4,Restricted,8774308,10.04,182937,31504,49.07,4.99,6.23,117333,PendingDocs,IRDAI
