care_quality_reporting_period,care_quality_measure_id,care_quality_numerator_count,care_quality_denominator_count,care_quality_risk_adjustment_model,care_quality_star_rating_value,care_quality_hospital_acquired_infection_rate,care_quality_surgical_complication_rate,care_quality_mortality_30day_rate,care_quality_patient_experience_score,care_quality_timely_effective_care_score,care_quality_medication_error_rate,care_quality_falls_with_injury_rate,care_quality_pressure_injury_rate,care_quality_sepsis_bundle_compliance,care_quality_stroke_bundle_compliance,care_quality_readmission_observed_expected,care_quality_equity_stratification_applied,care_quality_public_reporting_flag,care_quality_data_validation_status
2023-07,QMEAS-153,9958,50322,DRG,2.18,0.567,2.281,2.796,93.41,49.84,20.824,9.418,9.586,76.26,53.6,1.315,Y,Y,FailedChecks
2025-10,QMEAS-758,16278,75510,CustomRA,1.88,4.323,0.34,3.312,18.56,30.23,3.083,0.471,11.282,62.52,46.85,0.705,N,Y,FailedChecks
2021-02,QMEAS-801,46978,61795,HCC,1.71,6.991,6.951,7.673,13.01,72.95,0.796,5.96,10.381,60.2,55.52,0.836,N,N,Validated
2023-04,QMEAS-946,17044,18212,HCC,2.07,9.879,6.376,10.776,36.25,33.63,0.814,0.156,13.528,62.26,84.55,1.283,N,Y,Validated
2020-01,QMEAS-396,23127,78189,CustomRA,1.94,3.049,17.503,9.31,51.14,93.5,11.664,0.06,0.155,96.5,64.55,0.395,N,N,Validated
2024-03,QMEAS-340,30032,43320,HCC,2.36,5.629,6.198,5.566,89.06,55.81,0.764,6.543,9.472,20.06,74.55,2.05,Y,N,Validated
2022-06,QMEAS-419,13169,98494,CustomRA,3.71,1.804,13.37,3.736,86.76,53.73,12.362,0.61,13.319,87.38,91.16,2.184,N,N,Validated
2025-09,QMEAS-556,24758,20599,None,3.78,6.653,14.529,13.247,38.22,22.53,9.561,0.838,6.661,22.02,27.56,2.171,N,N,FailedChecks
2024-11,QMEAS-852,32208,104411,APRDRG,3.33,6.798,17.247,17.816,97.8,28.08,4.427,0.459,12.701,42.17,55.19,0.922,Y,N,Validated
2021-10,QMEAS-867,6269,82302,APRDRG,3.65,10.09,5.663,13.989,15.88,45.52,7.816,8.303,8.412,44.08,26.11,0.453,Y,Y,Validated
2025-11,QMEAS-353,30345,4519,HCC,4.97,9.241,12.029,17.835,57.76,26.31,22.616,7.419,14.64,97.54,22.58,0.575,N,Y,Provisional
2021-07,QMEAS-868,14568,89881,DRG,1.08,1.411,17.199,12.703,92.26,98.79,14.796,7.104,7.334,85.87,86.58,0.892,Y,Y,FailedChecks
2025-02,QMEAS-177,49736,27551,CustomRA,1.46,8.93,16.163,5.539,86.58,42.12,18.655,1.765,8.94,45.26,43.21,1.992,N,N,Validated
2020-10,QMEAS-992,45842,87256,APRDRG,2.33,4.161,3.652,1.556,33.58,9.58,5.187,3.281,8.471,71.65,22.61,1.561,N,Y,Provisional
2021-09,QMEAS-641,25481,1494,None,4.0,5.493,0.118,17.319,15.63,80.97,20.608,5.638,10.871,74.23,41.51,1.365,N,Y,Provisional
2023-04,QMEAS-538,48055,74840,APRDRG,1.36,5.392,15.814,6.935,94.49,49.04,21.82,9.895,9.954,53.86,29.06,1.234,N,Y,Validated
2025-10,QMEAS-407,42064,58196,DRG,2.54,1.645,15.899,3.461,32.19,64.73,20.997,6.527,1.889,61.13,72.54,1.673,N,Y,NotSubmitted
2022-04,QMEAS-259,46474,105311,HCC,4.09,6.439,14.344,7.002,69.08,66.97,9.582,5.852,3.826,23.81,37.94,2.128,Y,Y,Provisional
2022-11,QMEAS-505,23270,51307,HCC,1.59,0.592,6.388,20.609,22.34,23.12,4.171,0.687,11.942,78.44,65.07,1.99,Y,N,NotSubmitted
2024-07,QMEAS-939,14065,105525,None,3.22,2.212,4.987,7.811,61.51,13.45,7.792,9.354,7.364,97.16,26.87,1.404,N,N,Validated
2021-12,QMEAS-761,30459,85309,HCC,4.88,1.234,17.561,21.145,11.86,18.47,3.456,1.217,0.869,69.23,64.91,0.877,N,N,FailedChecks
2024-09,QMEAS-364,17486,109692,DRG,2.35,5.715,4.04,13.1,64.17,91.97,20.094,0.986,2.165,60.55,94.62,0.443,Y,N,Provisional
2023-02,QMEAS-190,42714,75962,None,3.42,8.84,15.674,19.568,68.73,40.89,6.742,3.733,13.984,91.4,23.29,0.867,N,N,Provisional
2021-08,QMEAS-574,36622,64275,None,2.89,8.157,14.428,15.24,77.92,53.43,19.998,3.154,9.578,69.95,26.97,1.419,Y,Y,Provisional
2025-01,QMEAS-221,19055,83921,HCC,2.46,0.004,1.778,16.797,41.15,79.23,23.309,3.12,13.7,44.86,86.46,1.909,Y,N,Validated
2020-01,QMEAS-540,2643,5479,DRG,2.85,7.253,12.61,21.059,47.97,48.49,12.813,6.252,13.774,27.72,47.86,0.498,Y,N,Validated
2025-11,QMEAS-453,33851,106955,HCC,2.19,0.784,11.999,13.438,46.67,56.01,5.26,9.353,9.628,47.56,75.86,1.845,N,N,Validated
2023-10,QMEAS-547,38477,53413,DRG,2.04,5.769,4.671,10.435,26.38,0.38,0.564,3.823,10.156,81.99,24.79,1.998,Y,N,Validated
2023-01,QMEAS-487,24633,115413,APRDRG,1.37,1.761,12.281,12.559,72.9,93.81,7.929,2.587,7.713,85.55,69.87,0.385,Y,Y,Provisional
2023-02,QMEAS-590,7137,77716,CustomRA,1.96,3.627,13.278,10.161,44.2,51.45,16.556,5.066,10.297,65.96,64.77,1.93,Y,Y,NotSubmitted
2025-10,QMEAS-689,8510,30994,CustomRA,4.93,1.864,16.906,10.432,42.93,80.55,7.259,7.157,10.596,92.07,65.56,2.13,Y,N,FailedChecks
2024-06,QMEAS-106,20466,69675,DRG,1.18,9.56,11.403,1.042,9.54,99.02,5.446,7.882,7.932,75.39,97.1,1.352,Y,N,FailedChecks
2023-11,QMEAS-412,44224,50345,None,1.59,1.18,4.951,8.422,57.96,94.11,24.385,2.665,10.883,80.57,39.94,0.762,N,N,Provisional
2020-04,QMEAS-371,34341,55600,APRDRG,4.58,9.813,10.194,8.757,12.4,89.55,7.328,7.234,8.404,84.94,26.86,1.554,N,Y,Provisional
2024-04,QMEAS-688,36524,73130,None,4.76,5.403,6.105,18.382,63.29,48.44,5.042,5.341,5.849,75.45,34.66,2.108,Y,N,NotSubmitted
2020-03,QMEAS-549,11505,36992,APRDRG,3.25,2.148,12.991,19.26,25.59,9.51,4.572,8.612,4.693,85.04,30.93,0.42,Y,Y,Provisional
