care_util_claim_month,care_util_place_of_service_code,care_util_procedure_code,care_util_diagnosis_group_code,care_util_member_months,care_util_visit_count,care_util_admission_count,care_util_readmission_30day_rate,care_util_ed_visit_rate,care_util_preventive_visit_rate,care_util_telehealth_visit_rate,care_util_high_cost_claimant_share,care_util_generic_fill_rate,care_util_imaging_rate_per_1k,care_util_lab_rate_per_1k,care_util_post_acute_utilization_rate,care_util_home_health_utilization_rate,care_util_pmpm_cost_total,care_util_pmpm_cost_inpatient,care_util_pmpm_cost_outpatient
2022-09,IPD,PROC-8679,DXG-322,512334,136866,7493,21.47,467.53,31.8,191.92,4.23,78.41,205.05,1083.92,11.59,26.22,2776.89,3010.61,387.45
2021-01,ER,PROC-2729,DXG-234,1818185,139527,32785,21.19,539.25,732.03,477.92,11.05,83.26,107.94,105.97,39.46,28.67,4279.17,2307.51,226.08
2021-10,OPD,PROC-4368,DXG-102,574226,245703,77812,30.4,244.38,226.18,150.84,9.08,90.51,263.13,742.87,30.84,5.34,1672.23,2558.97,322.76
2020-11,DayCare,PROC-5253,DXG-854,745435,294283,72693,8.71,58.1,447.22,372.18,3.35,70.5,271.41,138.99,31.42,0.72,1112.03,1772.96,790.22
2022-05,OPD,PROC-5137,DXG-235,1003837,31771,78781,5.51,225.16,344.12,121.74,8.77,60.73,30.82,719.25,4.1,14.06,1356.86,2409.88,2115.05
2023-01,HomeHealth,PROC-9251,DXG-422,1494831,305536,69478,17.65,170.16,790.03,403.52,0.22,66.22,259.3,153.54,28.73,18.41,1635.45,2389.03,859.04
2022-06,Tele,PROC-6440,DXG-475,710484,34966,10466,19.63,582.54,7.15,536.12,7.62,89.7,310.89,230.18,6.15,28.31,4246.34,1518.07,2171.23
2024-08,Tele,PROC-3771,DXG-459,133229,278464,74637,7.69,246.61,122.02,513.69,2.35,64.39,60.41,887.46,23.84,22.35,4332.82,1703.96,782.56
2022-05,ER,PROC-1934,DXG-112,523573,258153,38273,32.8,236.19,457.37,279.18,11.19,68.65,25.59,384.89,24.43,27.32,776.58,1904.67,742.6
2022-07,IPD,PROC-1187,DXG-68,19400,213149,3794,27.31,150.81,26.04,590.5,2.27,83.28,284.94,1168.82,15.47,3.5,697.78,2845.55,1306.18
2025-01,ER,PROC-2141,DXG-522,327979,208900,56438,14.67,416.48,677.14,352.98,1.95,73.74,313.67,1049.95,17.19,5.17,4037.22,2432.78,1143.11
2023-06,ER,PROC-4235,DXG-294,689281,14513,69551,18.17,13.47,887.19,499.5,5.9,77.93,63.94,1252.49,33.05,12.6,2472.01,2562.48,177.01
2021-05,HomeHealth,PROC-2210,DXG-898,719122,120337,55224,15.1,250.65,439.75,427.1,7.74,49.99,362.25,1043.36,37.71,26.08,3105.65,1609.45,235.15
2022-04,IPD,PROC-2251,DXG-760,1394475,306815,56914,7.15,102.15,370.68,287.36,8.15,67.96,417.07,725.34,35.87,34.99,882.75,259.62,1149.63
2020-05,Tele,PROC-8310,DXG-701,1428138,92345,35249,16.08,547.88,760.38,436.54,8.19,95.52,299.63,1378.31,10.56,33.92,299.39,953.5,1379.48
2025-06,HomeHealth,PROC-4851,DXG-540,188309,316112,68910,32.63,134.21,399.94,199.32,2.89,88.78,374.75,1428.82,17.81,32.48,4195.69,2564.21,1115.73
2023-02,HomeHealth,PROC-4038,DXG-13,653497,26502,5990,25.6,35.31,855.41,648.84,6.85,70.47,167.93,699.4,19.05,25.02,1640.47,1880.16,816.19
2020-12,PHC,PROC-4017,DXG-265,1047187,25395,56614,12.67,504.97,200.85,603.39,7.74,78.91,1.75,538.45,24.73,12.66,1299.63,1150.58,1407.29
2025-08,HomeHealth,PROC-4978,DXG-982,1318806,4780,73462,17.84,94.92,140.62,441.68,1.71,79.18,410.44,1148.34,20.6,8.45,3911.48,2069.1,1357.11
2021-06,OPD,PROC-6400,DXG-704,1523934,15178,22587,11.52,552.47,219.47,397.97,4.89,63.22,122.28,273.51,24.11,23.79,3021.49,2372.66,2235.11
2023-01,PHC,PROC-7123,DXG-41,1573666,380034,66392,20.67,68.07,477.51,244.93,0.72,97.97,417.55,180.51,5.3,8.44,3546.16,1107.67,199.23
2025-06,ER,PROC-3022,DXG-655,15471,232547,6587,30.29,152.63,12.64,538.27,11.99,75.65,320.33,1578.51,38.17,6.07,3690.16,2497.02,150.15
2023-08,PHC,PROC-3968,DXG-72,718846,92195,20918,32.53,325.28,308.65,145.16,2.32,63.33,280.15,470.37,21.95,17.94,1257.98,2504.75,483.31
2021-10,DayCare,PROC-8065,DXG-317,1383721,28111,12929,5.56,465.52,344.45,260.44,9.39,93.56,236.64,1126.38,8.3,30.72,4027.72,865.48,1093.74
2023-08,HomeHealth,PROC-8561,DXG-955,1701467,176728,16134,29.99,473.69,288.11,365.9,11.87,50.04,208.95,1224.9,28.16,0.13,4445.52,494.75,2139.39
2025-04,OPD,PROC-1567,DXG-744,1151631,381911,47781,9.54,406.44,692.47,494.66,8.87,79.09,100.77,188.19,15.94,18.88,4384.61,2652.36,196.2
2020-01,IPD,PROC-1002,DXG-804,1619216,207157,561,8.51,565.3,381.58,233.06,10.27,70.7,67.15,631.79,0.88,15.67,3277.0,1836.37,1475.29
2024-08,DayCare,PROC-7548,DXG-640,176811,224004,5845,0.18,3.06,314.27,616.95,3.1,59.99,165.1,1329.12,28.99,32.77,555.61,905.39,1411.92
2020-04,IPD,PROC-1027,DXG-641,1375286,336156,63497,17.47,70.89,265.14,264.31,11.67,41.64,260.22,341.94,34.55,9.22,3282.79,2865.65,451.74
2023-05,OPD,PROC-1591,DXG-625,396049,134400,69992,23.87,373.55,565.56,419.55,1.64,57.66,411.69,374.71,33.43,17.4,627.18,956.17,1572.85
2020-09,Tele,PROC-2408,DXG-692,728997,212707,60862,0.67,20.44,745.74,136.45,1.56,54.15,157.91,848.69,21.49,9.69,2287.14,2958.2,1986.79
2024-06,ER,PROC-9492,DXG-794,84301,33103,43475,1.28,15.74,382.04,104.11,5.81,52.45,37.74,863.06,17.1,0.97,1948.55,1777.15,1112.1
2025-06,PHC,PROC-5616,DXG-590,221977,318938,6722,20.12,484.88,441.01,267.11,3.11,87.63,183.91,1289.19,23.06,11.34,1112.77,2461.42,252.4
2025-07,Tele,PROC-1928,DXG-84,1804393,40237,50696,16.14,22.31,584.2,621.93,0.85,86.21,388.0,695.15,33.37,17.53,3954.27,3096.73,1107.79
2024-12,OPD,PROC-6136,DXG-982,1637050,280603,78254,28.2,511.83,781.58,44.16,5.42,84.76,213.85,1008.51,20.98,17.18,3544.73,2702.92,1872.85
2021-02,OPD,PROC-2629,DXG-46,1310789,232214,49083,25.19,264.12,172.84,259.33,10.85,93.54,3.22,879.76,25.26,18.36,3044.91,619.62,2382.05
2020-01,PHC,PROC-4101,DXG-415,823200,134019,52211,3.8,326.63,495.2,119.27,10.23,54.78,283.87,1335.57,31.06,17.23,3086.13,1071.08,814.52
2023-01,Tele,PROC-1268,DXG-408,212554,64101,1962,21.59,374.36,82.92,619.52,10.52,65.02,380.09,935.86,13.17,32.5,1571.38,2690.03,1895.41
2020-11,Tele,PROC-4807,DXG-448,828392,268696,10380,33.99,368.3,876.53,554.42,5.05,41.2,80.34,660.64,21.28,29.17,534.12,1700.93,641.61
2022-08,Tele,PROC-8701,DXG-840,1105156,119465,32894,5.62,141.81,174.5,574.49,2.02,95.01,252.02,1549.1,28.42,10.34,248.48,434.41,897.8
2022-01,DayCare,PROC-2336,DXG-174,163505,123344,48776,20.97,523.35,405.25,53.06,6.64,50.43,59.16,1401.54,10.91,5.27,3087.7,1350.51,221.06
2022-02,Tele,PROC-4698,DXG-349,1963559,254352,30506,17.19,364.98,446.89,119.67,10.0,48.82,184.23,945.83,24.76,20.13,2300.67,2952.99,542.26
2020-01,PHC,PROC-3956,DXG-166,1012534,246678,53828,3.08,125.17,711.16,47.4,9.17,46.15,375.25,589.9,1.45,26.24,3192.11,2536.56,1071.85
2020-01,OPD,PROC-1084,DXG-116,1153420,36367,72239,7.2,100.24,400.09,378.32,8.44,58.42,381.22,763.14,34.58,33.9,1294.36,1681.4,1708.46
2023-06,IPD,PROC-1030,DXG-322,657841,143426,66550,3.03,116.38,725.64,200.39,10.69,94.83,270.25,796.01,30.23,23.3,3143.03,1886.19,161.63
2025-08,HomeHealth,PROC-9406,DXG-60,694755,139706,48594,19.37,394.61,20.16,337.72,8.22,79.6,29.32,1108.24,8.56,14.62,3028.41,495.34,340.26
2025-08,ER,PROC-1669,DXG-477,706931,144415,37653,28.74,168.2,781.68,592.74,7.9,99.08,121.58,1201.16,30.34,5.99,104.23,2007.12,1511.9
2020-03,Tele,PROC-8441,DXG-243,177878,130081,45433,30.94,378.5,670.15,117.08,1.69,96.92,45.3,1287.1,4.51,2.8,2732.65,67.85,510.59
2023-05,PHC,PROC-8215,DXG-238,969209,103320,79815,23.61,539.9,526.21,56.72,2.71,93.3,75.78,613.83,31.47,26.31,1329.72,2620.23,182.31
2020-08,OPD,PROC-4872,DXG-662,1799384,359451,51174,15.35,127.55,412.59,400.89,10.83,93.12,188.08,1284.69,31.78,17.35,2908.28,435.23,730.36
2022-01,DayCare,PROC-5301,DXG-712,743239,159913,5322,19.25,540.08,478.29,87.06,9.63,68.6,326.22,1213.9,9.65,13.27,1730.89,2075.64,1923.51
2021-05,IPD,PROC-1266,DXG-991,519971,398431,32952,26.02,510.83,575.13,597.95,10.89,60.72,61.85,505.25,14.68,16.49,3335.6,2168.91,2176.93
2021-11,HomeHealth,PROC-9705,DXG-97,736302,395240,45826,26.83,316.38,72.69,114.03,6.09,63.88,365.3,1422.63,27.98,29.74,181.24,1545.92,1027.78
2022-11,Tele,PROC-9088,DXG-597,1590303,389771,61411,14.06,490.94,122.16,117.95,3.53,89.83,394.97,183.02,8.42,25.74,4100.26,2067.91,353.34
2021-10,DayCare,PROC-2417,DXG-751,1644267,181581,53169,4.54,482.92,493.06,397.42,0.88,74.76,368.86,136.2,28.66,6.18,2222.68,1871.44,1109.9
2023-06,PHC,PROC-1885,DXG-343,237889,32010,60521,4.98,77.89,847.22,202.46,7.73,47.46,60.3,1311.08,9.27,10.17,809.11,1495.54,504.74
2020-10,ER,PROC-1919,DXG-802,630688,279563,72285,24.99,354.5,211.78,500.64,3.95,49.0,82.76,928.5,36.75,21.39,1823.22,1013.48,1300.15
2022-05,DayCare,PROC-6474,DXG-385,1132150,208384,57885,7.09,219.34,642.74,365.37,10.38,50.3,12.26,826.25,22.42,31.37,4498.19,659.1,1438.07
2025-10,OPD,PROC-7659,DXG-894,973424,311139,69706,13.79,205.4,747.05,118.07,8.07,46.69,205.84,493.62,25.27,3.77,1815.71,715.83,257.83
2021-01,PHC,PROC-9700,DXG-723,1066436,153250,74566,1.32,304.81,349.46,39.73,8.55,68.92,237.03,1568.7,8.61,23.25,2347.78,2960.37,2373.61
2023-06,ER,PROC-4809,DXG-497,1376585,122380,47927,11.32,531.76,373.38,501.89,7.64,77.27,261.01,748.48,15.33,19.83,4314.99,2010.88,2130.1
2025-05,DayCare,PROC-6669,DXG-372,1899885,162759,8712,21.8,596.02,643.38,86.62,6.12,98.35,330.76,937.01,35.44,25.76,95.51,2953.19,310.04
2021-02,Tele,PROC-4484,DXG-108,1357454,255955,73378,12.59,363.67,619.7,395.96,6.12,75.56,392.71,1216.12,20.09,6.04,1469.24,1617.58,613.86
2023-01,IPD,PROC-3693,DXG-447,1094521,59068,60686,33.05,218.29,539.86,511.04,2.76,70.61,293.47,424.99,19.38,9.64,3752.23,2402.49,1673.8
2024-05,ER,PROC-7068,DXG-288,1823518,88465,32333,15.71,391.93,364.53,327.3,3.46,65.42,324.11,782.0,3.89,10.85,1157.41,1525.8,1219.79
2024-03,IPD,PROC-2228,DXG-222,235521,182694,74546,11.64,4.01,867.95,485.97,5.68,40.81,332.86,312.53,30.94,28.04,2868.39,1091.31,1730.74
2025-01,DayCare,PROC-2820,DXG-88,1702,375882,20222,26.0,69.42,8.37,312.45,6.73,79.86,234.98,1402.67,17.61,2.41,2644.68,1394.18,1370.83
2023-02,Tele,PROC-1718,DXG-170,73275,84064,64287,7.86,297.34,754.1,492.14,0.87,89.96,153.96,1540.44,3.36,17.91,4061.84,1969.36,14.92
2020-01,ER,PROC-4959,DXG-564,868613,392084,26172,17.34,112.17,313.88,550.34,6.63,44.28,329.57,1306.61,6.8,33.47,702.88,2766.28,1276.61
2020-10,PHC,PROC-7948,DXG-289,1157339,320929,27199,17.9,256.31,546.22,593.73,3.34,75.98,297.23,1244.75,28.86,9.7,2175.67,2870.21,1295.82
2024-10,ER,PROC-9090,DXG-207,723060,209584,25309,3.18,44.17,136.27,299.43,8.0,70.42,246.16,1263.71,1.08,28.41,3519.67,1516.75,1684.59
2022-07,Tele,PROC-9292,DXG-330,615513,131542,54397,10.94,340.28,706.76,455.33,11.42,81.82,393.91,563.94,6.91,30.84,2189.16,490.65,609.32
2023-05,ER,PROC-7489,DXG-60,356734,390930,71781,9.03,160.77,290.1,85.4,10.17,50.28,39.13,120.57,22.12,16.75,2808.55,3164.12,1370.98
2024-06,PHC,PROC-8459,DXG-197,5176,113501,49865,1.51,450.71,777.06,148.31,8.21,80.51,175.34,776.36,29.08,22.27,2595.58,84.37,1291.73
2023-06,IPD,PROC-9245,DXG-92,1824274,164779,61422,18.52,324.86,241.79,123.2,9.24,66.42,170.87,1271.64,5.33,32.11,2534.09,2103.06,371.58
2023-08,HomeHealth,PROC-5920,DXG-514,1951396,159110,73690,27.98,590.91,129.12,227.5,10.18,48.32,142.7,1130.34,33.68,33.97,2208.9,2530.97,2155.85
2025-04,Tele,PROC-7812,DXG-551,1903452,367084,28982,11.12,459.87,436.37,363.26,11.82,50.66,307.65,1567.54,7.66,10.67,2888.99,2951.15,1219.29
2022-10,OPD,PROC-1661,DXG-294,236316,136324,42721,31.7,281.86,588.36,169.13,2.1,67.57,395.01,711.74,19.29,0.89,1439.26,795.1,927.25
2022-03,PHC,PROC-9172,DXG-417,1766325,187638,12085,35.0,228.42,574.03,316.32,0.17,75.05,305.3,321.91,1.14,25.57,4346.05,327.71,874.53
2020-03,PHC,PROC-6353,DXG-779,1345509,366107,15416,17.3,572.44,8.88,157.13,8.45,82.1,370.8,1586.54,26.31,24.89,4035.05,603.71,395.76
2020-11,ER,PROC-1629,DXG-54,286968,356128,79374,21.49,599.35,30.42,343.09,1.84,82.12,143.38,1314.05,22.37,15.34,3697.63,901.17,2164.96
2021-03,ER,PROC-7033,DXG-429,62006,329423,20039,19.07,103.94,164.75,299.97,3.74,94.97,143.75,582.48,1.83,16.96,1453.77,2537.35,941.49
2025-09,OPD,PROC-3116,DXG-449,1679225,180408,31213,18.45,126.47,421.81,68.54,10.4,65.81,96.79,1555.29,6.65,34.98,1790.38,1850.55,742.25
2020-06,OPD,PROC-3615,DXG-647,425936,144140,52722,34.03,354.06,252.31,374.61,1.51,43.93,230.98,83.98,11.03,18.04,3032.11,1145.35,1557.8
2020-03,ER,PROC-2275,DXG-352,1913136,192878,18811,16.45,115.86,530.82,512.71,10.73,45.38,322.53,1094.9,0.91,28.62,3058.25,2817.26,172.55
2022-03,IPD,PROC-4481,DXG-981,682690,329498,65159,32.05,84.71,855.14,244.45,0.59,91.35,227.93,1383.74,23.44,30.89,448.38,2816.6,1541.89
2024-09,DayCare,PROC-8651,DXG-212,577327,251994,17551,11.78,369.73,892.21,466.81,10.83,96.26,33.42,473.11,9.57,5.51,2816.94,3.31,2260.43
2021-10,IPD,PROC-2172,DXG-78,1746886,91016,33232,19.3,151.67,794.07,466.11,3.88,88.54,67.45,311.78,35.94,32.55,577.51,651.68,1461.75
2024-03,HomeHealth,PROC-2903,DXG-344,1807295,178113,49958,28.11,17.59,358.39,27.3,5.13,68.08,320.63,856.33,11.91,16.93,2575.14,2458.09,774.28
2022-09,Tele,PROC-9605,DXG-663,1069934,250483,51262,5.58,72.7,519.44,199.28,9.07,89.68,64.98,487.38,7.54,34.77,2593.87,1635.36,1649.12
