civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_inr,civic_ballot_campaign_spend_oppose_inr,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2024,BM2024-00001,REFERENDUM,INFRA,INFRA_MEASURE_6QPJ,68953,74243,QUALIFIED,72542230,4313797,4,4,1067,50.17,46.68,403856,420415,0,2025-07-02,0
2022,BM2022-00002,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_2Y4L,220547,197979,FAILED,41509481,41776805,8,5,719,34.17,58.4,363400,292600,1,2024-03-11,0
2017,BM2017-00003,INITIATIVE,TAX,TAX_MEASURE_QTCD,127847,103563,FAILED,33980442,7501234,13,5,546,58.15,34.15,213622,190469,1,2018-05-13,0
2016,BM2016-00004,REFERENDUM,ENV,ENV_MEASURE_JXN7,53337,38994,FAILED,65643093,52259140,7,2,1584,59.48,20.65,574180,564560,1,2017-08-03,0
2023,BM2023-00005,STATE_POLICY,ENV,ENV_MEASURE_RWMO,122096,87776,PENDING,15972041,71917321,7,4,468,39.6,27.43,425729,566430,0,2025-07-28,0
2024,BM2024-00006,REFERENDUM,ENV,ENV_MEASURE_GPCP,52593,64929,QUALIFIED,28288421,44357119,4,7,32,57.32,41.31,82808,70958,1,2025-08-07,0
2022,BM2022-00007,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_1SOF,117848,130045,QUALIFIED,20707426,57861139,14,3,1788,54.11,39.87,156804,220029,0,2023-09-21,0
2022,BM2022-00008,STATE_POLICY,TAX,TAX_MEASURE_VOEO,171016,194335,PENDING,27699323,47643516,7,9,365,69.13,22.15,153321,96048,1,2022-10-10,0
2017,BM2017-00009,STATE_POLICY,INFRA,INFRA_MEASURE_T7NR,96183,107398,QUALIFIED,27734493,42990101,6,6,371,59.49,40.45,302144,124638,1,2017-06-02,0
2018,BM2018-00010,STATE_POLICY,EDU,EDU_MEASURE_H4S0,131320,136943,QUALIFIED,55995825,4069918,6,2,493,30.85,37.46,503927,691860,0,2018-03-31,0
2014,BM2014-00011,REFERENDUM,TAX,TAX_MEASURE_0HXZ,101362,102910,QUALIFIED,25865408,23846038,10,4,601,48.92,29.87,408352,219103,1,2015-08-24,0
2020,BM2020-00012,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_NCKO,37516,32860,PENDING,66678283,46182808,11,6,1522,33.8,43.05,415761,253984,1,2022-03-06,0
2020,BM2020-00013,STATE_POLICY,TAX,TAX_MEASURE_RHHK,136156,155691,QUALIFIED,31394502,39834510,8,7,154,48.77,21.21,660696,449717,1,2022-10-26,0
2025,BM2025-00014,REFERENDUM,EDU,EDU_MEASURE_2ODK,176450,146975,PENDING,35466548,1043141,10,4,442,33.58,30.18,56751,24888,1,2026-06-06,0
