civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN2023-SFR5HG,2023,506,PANCHAYAT_WARD,1602347,-4.03,1105629,1070239,21.86,0.594,0.638,1,0,4,1,70.7,10.46,88.5,17,0
PLAN2019-AEJT70,2019,69,VIDHANSABHA,798111,-4.35,587375,540567,24.97,0.298,0.186,1,3,2,1,29.1,-6.66,57.6,22,0
PLAN2017-54AGCS,2017,318,PANCHAYAT_WARD,1173675,3.66,864010,831842,5.01,0.448,0.341,1,3,1,1,89.0,9.33,54.4,16,0
PLAN2020-6MOUZE,2020,194,MUNICIPAL_WARD,181022,0.86,132855,129388,14.32,0.103,0.253,1,0,2,1,10.9,2.76,32.5,18,1
PLAN2018-VW9B0M,2018,65,PANCHAYAT_WARD,646042,2.74,415936,388486,35.1,0.131,0.582,0,1,3,1,25.7,-13.19,2.0,15,0
PLAN2014-6W0P1Z,2014,128,VIDHANSABHA,2062362,2.78,1424288,1408580,42.79,0.639,0.389,0,2,4,1,64.2,11.15,82.1,20,0
PLAN2023-0V3SFA,2023,423,MUNICIPAL_WARD,2012129,3.47,1553354,1526442,6.06,0.189,0.291,1,0,2,1,46.0,-12.01,84.3,18,0
PLAN2017-YQLG0K,2017,15,LOKSABHA,1082291,-3.57,702095,657645,33.74,0.443,0.261,1,0,2,1,82.5,-11.73,26.6,10,0
PLAN2020-IRBSSS,2020,446,PANCHAYAT_WARD,861722,-1.64,630651,584568,4.84,0.302,0.29,1,0,5,1,70.4,1.54,88.9,16,0
PLAN2021-KN18B8,2021,152,VIDHANSABHA,828157,-1.76,557518,521278,40.55,0.32,0.471,1,2,6,1,50.7,14.28,54.0,20,0
PLAN2025-PK5LMF,2025,483,MUNICIPAL_WARD,1362015,-0.73,868135,851354,35.89,0.398,0.383,1,0,5,0,34.0,11.02,83.1,22,0
