civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_ncoial_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2023,UP-CA1195,18.73,19.81,11.34,8.76,15.56,0.72,DAILY,37.4,49.4,4.76,72.9,3.11,28.6,8.61,16.43,12.44,54.1,11.08
2025,JK-CA1470,29.79,10.89,7.88,15.28,17.26,0.92,WEEKLY,67.2,43.18,1.93,66.48,6.01,20.9,4.77,5.88,9.18,64.86,24.42
2020,JK-CA1571,29.77,18.64,8.19,18.51,23.57,1.17,MONTHLY,66.6,49.07,3.78,47.93,3.82,75.4,9.31,19.17,9.75,44.77,14.71
2016,MZ-CA0877,18.99,17.52,14.79,13.89,21.9,8.32,WEEKLY,51.8,34.18,6.26,58.34,6.44,35.5,3.21,17.56,14.22,41.34,17.32
2019,GA-CA0491,14.58,16.8,17.49,14.92,12.66,0.67,RARE,64.9,12.74,8.23,73.26,7.34,64.2,9.35,10.51,9.55,55.06,2.92
2019,TS-CA1368,32.53,9.66,6.45,15.11,12.24,7.12,3X_WEEK,94.2,16.38,11.44,71.18,3.83,54.3,4.07,15.23,8.38,72.44,33.47
2015,JH-CA0341,23.32,14.48,5.5,9.49,26.9,6.53,DAILY,78.4,38.99,7.98,26.84,4.02,27.6,3.27,26.97,10.47,81.1,17.0
2024,HP-CA1896,5.37,3.03,3.44,19.11,12.28,0.29,RARE,88.9,41.28,7.01,34.77,6.39,37.9,7.28,20.93,4.38,50.3,27.74
2016,MN-CA0553,9.25,21.75,1.76,2.74,13.13,2.32,3X_WEEK,24.6,50.08,2.38,39.75,4.59,18.8,3.62,15.54,4.08,64.05,27.92
2024,MP-CA0439,27.65,21.97,4.94,6.29,9.19,2.91,3X_WEEK,28.1,47.09,2.37,44.13,5.89,81.5,3.82,19.52,12.01,89.09,36.94
2023,NL-CA1208,21.98,8.82,16.34,4.92,14.7,7.24,DAILY,57.9,32.78,6.43,25.18,3.06,85.6,7.82,12.9,3.06,71.33,15.08
2025,TR-CA0276,4.62,10.71,1.12,13.97,24.36,5.59,RARE,50.4,8.41,9.24,37.05,4.96,28.3,6.81,19.22,8.82,39.6,38.23
2015,MN-CA0059,34.03,2.73,13.18,3.14,34.99,4.0,3X_WEEK,44.2,24.54,4.7,33.73,7.93,64.8,5.23,13.0,1.54,59.1,31.13
2020,GJ-CA0961,19.33,5.71,3.61,14.41,24.79,6.31,RARE,77.9,28.4,1.93,52.3,3.72,69.9,7.2,10.05,12.62,90.43,28.11
2015,UP-CA0555,24.34,8.66,6.83,10.31,12.99,7.26,MONTHLY,30.6,9.41,6.6,47.97,4.4,83.7,6.34,24.01,11.17,67.65,34.01
2020,JK-CA1486,26.17,15.11,16.78,9.68,19.48,1.36,WEEKLY,45.9,5.88,4.24,50.11,2.42,68.0,5.85,5.56,6.59,44.06,34.0
2023,AP-CA1819,23.55,9.11,7.28,5.39,27.87,0.33,DAILY,61.4,13.74,10.23,58.8,2.87,49.4,6.09,27.55,9.11,81.35,29.58
2022,CH-CA1244,11.16,16.7,7.06,7.0,29.86,2.99,WEEKLY,23.5,45.46,1.32,34.78,2.6,20.2,8.03,21.21,9.61,81.82,22.62
2021,TN-CA1221,23.56,12.68,4.07,10.9,11.14,7.72,WEEKLY,82.8,21.14,11.47,44.6,8.32,60.2,4.03,14.3,5.25,84.34,32.31
2015,RJ-CA1026,7.03,2.99,16.51,5.22,15.0,5.13,WEEKLY,91.2,38.54,4.17,57.16,8.58,19.6,4.3,18.93,0.8,88.77,17.27
2016,KL-CA1414,26.49,5.89,12.03,7.13,9.96,6.54,MONTHLY,69.3,52.82,10.49,32.83,5.82,32.3,5.56,8.5,7.23,54.62,29.32
2023,HR-CA0805,28.08,12.06,1.64,13.09,17.25,4.42,MONTHLY,51.7,7.98,2.7,66.21,7.84,67.3,4.3,20.45,5.61,77.68,31.57
2021,RJ-CA1244,20.71,19.08,7.53,7.89,9.73,8.06,DAILY,47.3,6.03,9.04,69.87,7.53,36.7,9.08,26.75,9.07,93.76,29.97
2015,KL-CA1404,25.77,17.58,2.59,4.21,24.16,0.42,RARE,91.2,38.68,9.95,65.73,7.15,32.9,5.06,17.36,3.97,58.8,33.09
2014,AR-CA1230,26.67,3.37,12.25,3.63,4.47,8.25,RARE,29.2,12.43,2.86,41.2,2.1,41.6,3.35,4.45,6.21,77.74,18.76
2019,OD-CA0184,33.33,3.11,10.08,3.34,27.23,3.1,MONTHLY,22.6,28.85,7.08,70.31,7.81,74.5,3.26,16.47,11.34,90.9,24.7
2022,UK-CA1139,15.64,8.66,9.74,12.55,34.11,1.12,DAILY,85.8,31.29,0.59,54.23,6.58,43.8,5.39,22.32,6.65,38.31,3.41
2019,LD-CA1688,31.87,12.79,17.72,7.53,9.48,9.26,WEEKLY,64.2,39.13,1.32,59.65,3.75,42.0,7.97,19.25,13.04,79.63,17.57
2022,MZ-CA0342,25.56,6.19,9.27,2.48,17.86,2.57,WEEKLY,88.4,43.5,1.59,64.69,6.09,57.1,4.19,22.33,8.03,53.82,10.68
2016,WB-CA0583,5.96,14.4,17.82,18.46,33.98,7.43,MONTHLY,34.0,53.14,10.84,37.08,7.41,47.7,7.33,11.7,2.54,76.05,5.72
2015,PY-CA1804,11.73,18.94,8.51,10.13,24.25,9.03,3X_WEEK,69.7,52.8,1.24,67.22,6.56,55.8,4.43,11.25,2.45,67.95,27.73
2017,MZ-CA1420,6.88,11.39,3.9,14.74,26.23,8.65,DAILY,92.1,37.41,8.7,38.3,8.77,53.8,4.36,14.96,5.64,59.8,25.64
2022,AR-CA1832,11.06,21.45,11.07,11.05,3.3,6.84,3X_WEEK,94.9,38.6,8.77,26.47,7.99,85.2,8.62,21.6,3.36,47.13,30.1
2023,KA-CA1553,9.87,19.73,11.67,4.87,6.31,2.52,DAILY,66.8,25.77,1.56,49.16,2.75,48.5,3.77,15.42,14.17,63.66,13.46
2025,ML-CA1382,7.19,18.98,2.93,12.41,6.89,2.11,MONTHLY,56.8,8.03,8.8,45.05,4.52,44.2,3.27,7.68,4.82,85.46,27.0
2014,HP-CA0718,19.15,6.77,11.03,5.04,23.49,7.29,MONTHLY,27.8,50.36,10.43,72.98,3.2,87.7,9.35,13.35,1.84,90.47,8.79
2023,UK-CA0040,21.18,12.12,11.85,5.34,13.58,3.64,RARE,41.1,54.67,10.38,67.32,4.61,58.8,3.42,8.42,14.25,61.26,20.3
2021,CG-CA1587,34.26,19.81,13.89,11.81,20.45,5.66,DAILY,80.7,54.66,2.61,68.94,6.9,46.0,4.75,6.49,2.72,70.22,6.16
2023,TR-CA1669,13.94,16.96,9.66,10.77,27.44,8.38,DAILY,60.1,5.07,4.39,33.07,6.48,27.1,3.12,16.11,12.41,88.12,31.24
2014,LA-CA1561,35.27,14.57,5.32,1.18,6.73,5.17,DAILY,44.7,38.47,6.62,54.28,2.73,70.6,8.44,15.87,3.79,70.17,19.85
2022,TN-CA0137,26.47,15.76,2.87,18.8,26.17,5.32,WEEKLY,62.8,25.12,10.06,54.65,3.17,70.2,6.5,17.7,10.15,69.41,2.05
2025,PB-CA1675,25.34,10.09,6.59,2.07,30.1,0.35,RARE,47.8,15.19,1.56,53.13,5.62,88.8,3.97,23.71,11.34,64.75,4.47
2015,KL-CA0165,14.46,12.51,5.83,3.12,28.12,2.77,3X_WEEK,26.5,15.41,4.34,62.37,8.54,39.3,7.96,7.51,14.19,47.13,27.02
2022,AR-CA0189,31.44,16.98,5.83,2.52,16.98,0.66,MONTHLY,23.8,46.61,6.72,29.87,8.43,63.5,8.28,19.66,12.37,51.28,13.74
2018,GA-CA0661,23.52,5.33,11.94,19.13,30.89,2.86,DAILY,55.9,32.49,7.77,59.65,7.08,78.3,3.61,24.51,4.27,55.2,11.29
2018,TS-CA1982,12.89,15.14,6.84,14.44,28.95,5.04,RARE,70.8,50.78,10.49,43.8,7.5,56.2,4.78,13.22,8.57,73.36,35.97
2015,RJ-CA1052,15.8,6.7,2.74,4.2,13.68,6.21,MONTHLY,74.9,29.84,1.53,63.62,5.51,75.2,4.62,10.54,3.42,47.41,20.62
2024,BR-CA1128,9.41,21.9,9.2,7.71,30.2,8.18,MONTHLY,37.5,47.15,3.76,28.38,2.23,56.5,5.17,22.34,8.0,83.29,28.11
2014,WB-CA1972,20.37,8.77,4.1,13.5,20.25,7.14,RARE,78.7,37.58,9.91,35.61,8.13,35.7,5.13,7.01,2.97,78.69,7.58
2019,CG-CA1754,36.07,3.37,14.42,8.18,28.83,0.85,MONTHLY,66.8,40.86,10.24,69.43,2.08,73.3,3.94,16.84,5.7,48.89,13.52
2020,MH-CA1847,28.87,3.95,6.7,10.21,12.62,6.61,RARE,33.4,24.52,11.43,53.11,6.85,44.3,8.22,12.17,3.24,60.82,10.61
2015,RJ-CA0347,7.3,16.28,16.37,17.78,26.64,3.57,3X_WEEK,93.3,44.31,11.38,53.68,7.63,35.6,5.36,19.75,1.24,43.53,38.73
2022,JH-CA1323,13.58,12.29,3.15,5.3,6.69,0.91,MONTHLY,49.0,29.32,0.72,32.8,6.8,58.7,4.6,12.51,2.67,91.53,36.19
2024,JK-CA1958,33.07,11.54,14.81,12.09,13.45,4.09,WEEKLY,25.0,15.62,5.11,47.82,2.33,54.1,8.48,7.69,4.16,85.03,31.51
2022,BR-CA1594,28.05,4.4,17.58,4.25,4.81,9.68,DAILY,48.2,19.37,3.85,25.73,6.57,74.3,5.84,9.14,6.81,93.4,8.14
2015,AR-CA1468,16.15,20.13,7.3,14.74,4.21,3.52,WEEKLY,63.9,30.88,6.86,46.16,6.18,79.2,3.52,13.32,10.6,84.04,25.68
2024,UK-CA0658,12.99,11.86,6.86,13.82,25.85,5.39,WEEKLY,80.5,11.15,10.69,31.32,6.65,47.7,5.86,26.19,7.95,44.71,28.92
