civic_results_election_id,civic_results_contest_id,civic_results_office_type_code,civic_results_district_code,civic_results_polling_station_reporting_status,civic_results_vote_total_candidate_1,civic_results_vote_total_candidate_2,civic_results_vote_total_candidate_3,civic_results_vote_total_writein,civic_results_vote_total_overvotes,civic_results_vote_total_undervotes,civic_results_margin_votes,civic_results_margin_pct,civic_results_swing_from_prior_pct,civic_results_incumbent_flag,civic_results_party_primary_flag,civic_results_ranked_choice_rounds_count,civic_results_recount_trigger_flag,civic_results_certification_date,civic_results_result_source_file_hash
IN-2024-MUNICIPAL-00001,CT2024000001,MAYOR,AN-57,FINAL,2175,2312,1809,38,17,65,137,2.18,11.06,1,1,1,0,2024-11-15,4143487841297576bbd9c685
IN-2018-LOKSABHA-00002,CT2018000002,SARPANCH,GJ-52,FINAL,3401,1031,245,11,12,76,2370,50.67,3.65,1,0,1,0,2018-06-15,d6332a49887a91b2100dda1e
IN-2021-BYE-00003,CT2021000003,MLA,PY-08,FINAL,770,1489,3297,4,0,54,1808,32.54,-6.1,0,0,1,0,2021-04-30,70ab7415ab7e07e79e03e8c7
IN-2021-MUNICIPAL-00004,CT2021000004,MLA,KA-28,FINAL,1118,2790,4349,36,17,29,1559,18.88,0.9,1,0,1,0,2021-06-30,4d988092e63281317499415d
IN-2014-VIDHANSABHA-00005,CT2014000005,WARD_MEMBER,GJ-55,FINAL,726,2886,207,8,23,13,2160,56.56,9.87,0,0,1,0,2014-10-14,cea38d42269a4f306877a7ef
IN-2025-BYE-00006,CT2025000006,MP,ML-05,PARTIAL,1096,575,199,9,28,30,521,27.86,5.24,1,0,1,0,2026-02-07,ca44e74232b538764479d3fc
IN-2014-LOKSABHA-00007,CT2014000007,MLA,DL-27,FINAL,457,1492,280,14,3,33,1035,46.43,3.35,1,0,1,0,2014-03-28,80d60bf06741905b523e6679
IN-2025-PANCHAYAT-00008,CT2025000008,WARD_MEMBER,MZ-76,FINAL,1905,2055,689,21,12,47,150,3.23,4.75,0,1,1,0,2026-02-05,de558c8fff55fc89a7a9c4c6
IN-2020-VIDHANSABHA-00009,CT2020000009,WARD_MEMBER,GA-25,PARTIAL,2797,1772,4799,40,5,70,2002,21.37,-1.88,1,1,1,0,2020-08-14,2bcab54b5526e833ebf08805
IN-2020-VIDHANSABHA-00010,CT2020000010,SARPANCH,MN-28,FINAL,4290,4561,2431,45,30,33,271,2.4,8.92,1,0,1,0,2020-10-29,02fa58bf231887f7528f6631
IN-2018-LOKSABHA-00011,CT2018000011,MAYOR,DN-59,FINAL,3276,562,220,42,27,48,2714,66.88,-4.35,0,0,1,0,2018-05-22,4dd1403034cf55212919497b
IN-2020-LOKSABHA-00012,CT2020000012,MLA,RJ-31,FINAL,893,255,133,41,6,80,638,49.8,-4.92,0,0,1,0,2020-10-02,52d3bf8637bb20c458b122c5
IN-2020-PANCHAYAT-00013,CT2020000013,WARD_MEMBER,LD-59,FINAL,3834,4375,205,43,11,50,541,6.43,2.92,1,0,1,0,2020-04-06,5b689666ead8d6acd76eecea
IN-2014-PANCHAYAT-00014,CT2014000014,SARPANCH,JH-74,FINAL,3601,489,2559,24,2,20,1042,15.67,-8.41,0,1,1,0,2014-06-14,b0a6fa20c2f495c8f0083107
IN-2022-PANCHAYAT-00015,CT2022000015,WARD_MEMBER,SK-34,FINAL,3817,5926,1216,30,1,31,2109,19.24,-8.44,1,0,1,0,2022-06-11,8e97fd2c4aa32475d003c003
IN-2020-MUNICIPAL-00016,CT2020000016,MLA,TR-10,PENDING,5517,3155,869,5,21,75,2362,24.76,4.43,0,1,1,0,2020-04-29,864e1038a7c409f85e6a0c68
IN-2022-PANCHAYAT-00017,CT2022000017,MP,LA-58,FINAL,1636,2257,3441,8,21,57,1184,16.14,6.87,0,0,1,0,2022-11-11,8b1a752e87fd9012ba715517
IN-2019-PANCHAYAT-00018,CT2019000018,WARD_MEMBER,MH-55,FINAL,1827,2548,3871,18,6,40,1323,16.04,-7.21,0,0,1,0,2019-06-02,58a37615ec26784afe33c936
IN-2020-BYE-00019,CT2020000019,MP,CG-79,FINAL,5437,2834,1197,45,6,72,2603,27.49,-1.56,1,0,1,0,2020-06-01,f2af610b3f8caf9b046354b6
IN-2014-BYE-00020,CT2014000020,MAYOR,PB-06,FINAL,3000,2484,2630,13,3,17,370,4.56,-0.78,0,0,1,0,2014-12-15,521378869f79610932161f26
IN-2025-BYE-00021,CT2025000021,MAYOR,ML-27,FINAL,2474,1499,108,25,0,23,975,23.89,-5.57,0,1,1,0,2025-06-10,7fc8d1c5fce59ac1df416a9d
IN-2025-MUNICIPAL-00022,CT2025000022,MAYOR,CG-69,FINAL,2835,3626,244,46,0,37,791,11.8,-4.85,0,0,1,0,2025-05-10,9ec425aff578082f064fd87a
IN-2019-MUNICIPAL-00023,CT2019000023,SARPANCH,NL-47,FINAL,1458,1818,57,40,10,65,360,10.8,-11.49,0,0,1,0,2019-12-19,90251f1c090e7956d5a8eba0
IN-2017-PANCHAYAT-00024,CT2017000024,MLA,HR-77,FINAL,2957,4085,198,33,13,70,1128,15.58,10.99,1,1,1,0,2017-08-31,54b67ab2278081bd9a7dc5e4
IN-2021-BYE-00025,CT2021000025,MAYOR,GJ-13,PARTIAL,2549,5026,2080,39,10,43,2477,25.66,-6.57,1,1,1,0,2021-05-03,58b994a1b7a2cb853f28c32c
IN-2015-MUNICIPAL-00026,CT2015000026,SARPANCH,AN-45,FINAL,303,1442,59,27,0,38,1139,63.14,-9.5,0,0,1,0,2015-04-18,170b8c21dc372cd0fe6bf232
IN-2024-LOKSABHA-00027,CT2024000027,MP,AN-03,PARTIAL,1225,370,2424,37,21,51,1199,29.83,-7.19,1,1,1,1,2024-11-26,5b41938e335d7ab852941acc
IN-2023-PANCHAYAT-00028,CT2023000028,MP,TR-73,FINAL,2117,6897,348,7,16,7,4780,51.06,7.46,1,0,1,0,2023-10-01,14d003c69bd5a0fd93814f06
IN-2019-LOKSABHA-00029,CT2019000029,WARD_MEMBER,MN-12,FINAL,1541,1495,645,24,26,53,46,1.25,10.34,0,0,1,1,2019-10-26,7e949b2fbc694f1aa71a2dc0
IN-2015-VIDHANSABHA-00030,CT2015000030,MAYOR,KA-33,FINAL,95,1294,258,11,2,14,1036,62.9,9.73,0,0,1,0,2015-08-01,5e74c339a1db369f3e4d0ae9
IN-2017-VIDHANSABHA-00031,CT2017000031,MP,AP-42,FINAL,877,679,2757,23,17,10,1880,43.59,8.63,1,1,1,0,2017-12-22,9dcce056da1e1c8847d18f77
IN-2018-BYE-00032,CT2018000032,MP,AS-19,FINAL,6573,932,945,22,5,25,5628,66.6,5.85,0,1,1,0,2018-12-23,e738e2a12b08fa8419993c86
IN-2018-BYE-00033,CT2018000033,MLA,DN-60,FINAL,5828,2410,3700,6,15,43,2128,17.83,-0.38,0,0,1,0,2018-04-14,1b2a997f3712b5d3278eb107
IN-2024-LOKSABHA-00034,CT2024000034,MP,DD-25,PARTIAL,2761,1368,1326,23,13,52,1393,25.54,-7.99,1,0,1,0,2024-10-12,41a3210df2a79aab8cd164f0
IN-2018-PANCHAYAT-00035,CT2018000035,SARPANCH,GJ-49,FINAL,3710,1057,1303,31,14,33,2407,39.65,-10.97,0,0,1,0,2018-03-08,f27af0b12adca86a50b1db47
IN-2025-LOKSABHA-00036,CT2025000036,MLA,KA-54,FINAL,332,1830,1650,29,9,57,180,4.72,-6.5,1,0,1,0,2025-02-20,547189f3dc5866549190aded
IN-2022-MUNICIPAL-00037,CT2022000037,WARD_MEMBER,BR-49,FINAL,2094,2418,907,48,26,58,324,5.98,11.82,0,0,1,0,2022-11-27,fababa8313c723188f4c2b22
IN-2018-PANCHAYAT-00038,CT2018000038,MAYOR,PB-43,FINAL,274,341,610,40,22,4,269,21.96,1.39,1,1,1,0,2018-12-16,949eb093f569229b4eeb5823
IN-2019-MUNICIPAL-00039,CT2019000039,MAYOR,GA-41,FINAL,932,283,544,12,19,16,388,22.06,1.91,0,0,1,0,2019-02-08,cc28f90462b3721210a0d1b6
IN-2018-LOKSABHA-00040,CT2018000040,MAYOR,AS-07,FINAL,1554,1493,1651,4,7,25,97,2.06,5.55,0,0,1,0,2018-09-22,36903931b65b79552eb6fa3c
IN-2020-PANCHAYAT-00041,CT2020000041,WARD_MEMBER,ML-27,FINAL,1405,3635,1674,44,28,26,1961,29.21,-6.39,0,0,1,1,2020-09-06,b94abe5d9835b2235c456acb
IN-2017-LOKSABHA-00042,CT2017000042,MAYOR,KA-09,FINAL,430,847,452,25,28,37,395,22.85,3.54,1,1,3,0,2017-12-19,020b7577bcb8de4ff2a1d4ce
IN-2023-VIDHANSABHA-00043,CT2023000043,WARD_MEMBER,BR-19,FINAL,2096,767,4391,24,9,64,2295,31.64,1.35,1,1,1,0,2023-09-11,14bfb838a96a56414a43bcc5
IN-2014-PANCHAYAT-00044,CT2014000044,MLA,NL-20,FINAL,1865,531,333,2,0,37,1334,48.88,2.82,1,0,1,0,2014-02-01,0cd2b639dc0512604e17338a
IN-2019-VIDHANSABHA-00045,CT2019000045,WARD_MEMBER,CG-02,FINAL,3583,2184,1642,18,9,54,1399,18.88,-3.93,0,0,1,0,2019-10-18,9c2957d55796603180c3e16e
IN-2020-VIDHANSABHA-00046,CT2020000046,SARPANCH,PB-38,FINAL,2578,5741,862,29,27,28,3163,34.45,0.26,0,0,1,0,2020-06-14,ff2082a70f19efbb875a8d4a
IN-2023-VIDHANSABHA-00047,CT2023000047,SARPANCH,CG-58,PARTIAL,1763,161,597,36,14,35,1166,46.25,7.54,0,0,1,0,2023-07-24,437827c3d940e91ad96e141a
IN-2017-PANCHAYAT-00048,CT2017000048,MAYOR,CG-28,FINAL,5134,596,63,32,24,47,4538,78.34,10.75,0,0,1,0,2017-09-12,0820891db5e8360a1966a4e0
IN-2018-LOKSABHA-00049,CT2018000049,MP,BR-05,FINAL,3658,1980,227,44,7,17,1678,28.61,2.12,0,0,1,0,2018-10-08,9c2d15ae168673586372c969
IN-2017-BYE-00050,CT2017000050,MAYOR,PY-76,FINAL,1805,2147,530,15,4,45,342,7.63,-2.95,1,0,1,0,2017-07-25,2cb8d3de9ee3f4986d429e8e
IN-2025-LOKSABHA-00051,CT2025000051,WARD_MEMBER,DL-68,FINAL,992,1963,590,8,23,22,971,27.39,-7.45,0,0,1,0,2025-06-07,06cd60cf1b41c1575683d769
IN-2022-LOKSABHA-00052,CT2022000052,MP,MZ-17,FINAL,1043,1269,1707,17,20,21,438,10.9,-1.09,0,0,1,0,2022-12-19,6ffcc7698fe59b4a4959bc12
IN-2020-MUNICIPAL-00053,CT2020000053,MLA,ML-75,FINAL,5091,3722,2854,12,17,21,1369,11.73,-3.86,0,0,1,0,2020-11-23,2b6e5a76f84921ae42ce70b2
IN-2023-PANCHAYAT-00054,CT2023000054,SARPANCH,AN-04,PARTIAL,2922,2196,5876,47,27,71,2954,26.87,-4.46,1,0,1,0,2023-01-24,b86de1212b92ebf48c5a9e6c
IN-2025-BYE-00055,CT2025000055,WARD_MEMBER,SK-02,FINAL,2219,5420,4104,39,22,35,1316,11.21,-3.65,0,0,1,0,2025-01-31,b1a4136ca0db4b00f7038d2f
IN-2017-PANCHAYAT-00056,CT2017000056,WARD_MEMBER,BR-22,FINAL,4144,4286,1662,3,1,76,142,1.41,2.4,1,1,1,0,2017-11-26,1be08f5778f6002dd973a78a
IN-2020-BYE-00057,CT2020000057,MLA,AN-16,FINAL,4590,2872,322,24,25,50,1718,22.07,-11.27,1,0,1,0,2020-09-23,8c74d9ef327c8667d1adb30b
IN-2019-PANCHAYAT-00058,CT2019000058,WARD_MEMBER,DN-65,FINAL,644,539,855,5,20,3,211,10.35,-10.31,0,1,1,0,2019-09-02,a96a062de3beb74cddf8536a
IN-2024-BYE-00059,CT2024000059,SARPANCH,MN-27,FINAL,3335,1727,1934,23,27,68,1401,20.03,-6.6,1,0,1,0,2024-04-15,9d026358212edef3a87bccf2
IN-2015-MUNICIPAL-00060,CT2015000060,MAYOR,NL-27,FINAL,1100,931,767,47,0,78,169,6.04,-4.11,0,0,1,0,2015-10-08,bd8df25717ef83b087becb70
IN-2023-LOKSABHA-00061,CT2023000061,MP,MP-50,FINAL,2972,3190,1129,43,24,62,218,2.99,-9.38,0,0,1,0,2023-08-07,1818e4d33c467bda3f16ff27
IN-2023-BYE-00062,CT2023000062,MAYOR,CH-44,FINAL,2190,3108,3137,2,9,7,29,0.34,1.78,0,0,1,0,2023-05-27,71562c2e5365f324e3a6c31f
IN-2024-PANCHAYAT-00063,CT2024000063,MAYOR,HR-27,FINAL,3727,5349,1880,14,25,52,1622,14.8,-0.37,0,1,1,0,2024-07-10,a6ca5989075eb867d5544224
IN-2023-VIDHANSABHA-00064,CT2023000064,SARPANCH,AR-46,PARTIAL,1178,832,254,47,28,55,346,15.28,7.94,0,0,1,0,2023-04-22,22fa10d011c785a6bf1ed84c
IN-2024-PANCHAYAT-00065,CT2024000065,MLA,LD-59,FINAL,2765,1625,555,37,2,12,1140,23.05,-11.24,0,1,1,0,2024-03-05,b052a9b642ca7a84515d8bb1
IN-2014-PANCHAYAT-00066,CT2014000066,MP,MN-75,FINAL,7712,2024,1201,46,29,49,5688,52.01,4.86,1,0,1,0,2014-10-04,b1e68731634e46aabd7c8bcd
IN-2019-PANCHAYAT-00067,CT2019000067,MP,PY-01,FINAL,659,529,96,35,6,23,130,10.12,5.89,0,1,1,0,2019-10-25,251a681d2c5391233cf482c7
IN-2022-VIDHANSABHA-00068,CT2022000068,MLA,AR-73,FINAL,2518,3091,86,3,1,48,573,10.06,-7.16,1,0,1,0,2022-12-19,fa936bff2e69680d9794a434
IN-2021-VIDHANSABHA-00069,CT2021000069,MP,JK-40,FINAL,4145,4101,401,24,11,55,44,0.51,11.37,0,0,1,0,2021-04-21,73f5c1307cf4baffdc5665ce
IN-2016-PANCHAYAT-00070,CT2016000070,WARD_MEMBER,BR-70,FINAL,5518,2371,3597,46,26,57,1921,16.72,8.01,0,0,1,0,2016-04-29,b73a5dd8018483786d513eba
IN-2025-BYE-00071,CT2025000071,MAYOR,TN-07,FINAL,685,1156,146,33,1,8,471,23.7,11.33,0,0,1,0,2025-04-09,220ddd4603362ce215c5171b
IN-2023-BYE-00072,CT2023000072,WARD_MEMBER,AP-71,FINAL,1319,2864,873,29,10,79,1545,30.56,-5.01,1,1,1,0,2023-12-22,4c623d8544a7f69e5404f16b
IN-2020-LOKSABHA-00073,CT2020000073,MAYOR,AS-36,PARTIAL,3069,3667,505,39,29,41,598,8.26,-4.79,1,0,1,0,2020-03-14,027a719a59f1597c97faee7c
IN-2022-MUNICIPAL-00074,CT2022000074,MP,NL-61,FINAL,443,5399,2082,39,18,18,3317,41.86,1.56,0,1,1,0,2022-10-17,1b01635554822cccfbe3737e
IN-2016-LOKSABHA-00075,CT2016000075,MLA,TR-08,FINAL,1093,1334,920,20,28,57,241,7.2,-3.03,0,0,1,0,2016-08-31,4769673c800e52ef16ab098c
IN-2025-PANCHAYAT-00076,CT2025000076,SARPANCH,DL-49,FINAL,5136,5170,328,24,26,21,34,0.32,1.56,0,0,1,1,2025-03-21,d329fc83480312bddf2b8ae1
IN-2025-BYE-00077,CT2025000077,MLA,BR-47,FINAL,617,830,405,11,19,19,213,11.5,4.25,0,0,1,0,2025-12-09,387785e7214be6570f0d7ae0
IN-2014-LOKSABHA-00078,CT2014000078,MLA,TN-77,FINAL,1923,638,2335,14,18,53,412,8.42,7.86,1,0,1,0,2015-01-26,6fbb1bab367aa351f5044385
IN-2016-LOKSABHA-00079,CT2016000079,WARD_MEMBER,AR-74,PARTIAL,1514,1043,5237,9,11,4,3723,47.77,-9.94,0,0,1,0,2016-03-31,5c11390144e5f008849e36e5
IN-2019-VIDHANSABHA-00080,CT2019000080,MLA,AN-06,FINAL,560,529,481,30,23,14,31,1.97,9.28,1,0,1,0,2019-09-20,a9fa161423746fde6f269bdb
IN-2025-VIDHANSABHA-00081,CT2025000081,MP,LD-72,FINAL,916,369,38,47,22,36,547,41.35,4.66,0,0,1,0,2025-09-25,d6ee92f6b89a49b94563ce87
IN-2022-LOKSABHA-00082,CT2022000082,WARD_MEMBER,GA-47,FINAL,2444,985,2725,27,22,73,281,4.57,-5.42,0,0,1,0,2023-02-10,903c03e57bc284f1899e7517
IN-2015-BYE-00083,CT2015000083,MP,CG-64,FINAL,578,1383,1292,21,17,64,91,2.8,-0.37,0,0,1,0,2015-02-20,26fe4ef79d72743c38a6697a
IN-2014-LOKSABHA-00084,CT2014000084,WARD_MEMBER,JH-07,FINAL,910,1418,1087,17,17,30,331,9.69,5.29,1,0,1,0,2014-09-29,79a21c052f9aa77adc4e4f99
IN-2018-LOKSABHA-00085,CT2018000085,MLA,PB-73,FINAL,1850,3018,2089,30,15,21,929,13.35,-10.33,1,0,1,0,2018-11-10,79d866eaa182ce2083a08342
IN-2016-MUNICIPAL-00086,CT2016000086,WARD_MEMBER,MH-76,FINAL,1998,317,399,39,10,61,1599,58.92,4.84,1,0,1,0,2016-05-19,018dfcba02167b01f3f03e50
IN-2017-LOKSABHA-00087,CT2017000087,SARPANCH,UK-12,FINAL,2682,1983,4153,42,15,30,1471,16.68,3.24,0,0,1,0,2017-01-23,5fa34c7c3cfcd2ff703b16aa
IN-2014-VIDHANSABHA-00088,CT2014000088,MAYOR,HP-12,FINAL,5482,270,1738,27,28,50,3744,49.99,-4.01,0,1,1,0,2014-10-10,0ff5c6b1155c7b074aec330f
IN-2019-LOKSABHA-00089,CT2019000089,SARPANCH,GJ-29,PARTIAL,1059,640,90,43,30,55,419,23.42,-4.96,1,1,1,0,2019-09-03,c78e162eeefdb45eac235708
IN-2025-MUNICIPAL-00090,CT2025000090,MP,DN-24,FINAL,580,480,3024,22,16,76,2444,59.84,1.5,1,0,1,0,2025-07-15,52c532b2cd8e60816f878d72
IN-2016-MUNICIPAL-00091,CT2016000091,MLA,OD-32,FINAL,7592,3395,783,8,27,68,4197,35.66,10.86,0,1,1,0,2016-02-22,c9ed252df7d27e537cddd93e
IN-2024-VIDHANSABHA-00092,CT2024000092,MAYOR,UP-26,FINAL,4693,989,2460,31,15,47,2233,27.43,1.67,1,0,1,0,2024-05-08,83ed15350ad88b5ceb9d282f
IN-2022-VIDHANSABHA-00093,CT2022000093,WARD_MEMBER,JK-11,FINAL,4036,950,42,1,14,19,3086,61.38,-11.52,0,1,1,0,2022-06-29,5b49559fbc5b70b23041886a
IN-2019-BYE-00094,CT2019000094,MP,DD-24,FINAL,2064,1716,409,37,18,16,348,8.31,7.83,0,0,1,0,2019-07-19,ff9b68ab711f5499adeee3c5
IN-2019-LOKSABHA-00095,CT2019000095,SARPANCH,MZ-20,PENDING,5477,1648,1661,19,16,77,3816,43.43,-10.83,0,1,1,0,2019-02-01,c2dfe4af473d1706ca422c2d
IN-2018-VIDHANSABHA-00096,CT2018000096,MP,TN-10,FINAL,118,561,3366,28,24,39,2805,69.34,-6.09,0,0,1,0,2018-11-03,043272fe2206e7691e4dfd3b
IN-2015-LOKSABHA-00097,CT2015000097,MP,AN-20,FINAL,3653,1742,5534,44,23,55,1881,17.21,-8.47,1,0,1,0,2015-10-10,c480131ccec9aced5bef73aa
IN-2016-VIDHANSABHA-00098,CT2016000098,MP,LA-24,FINAL,1185,555,447,28,1,52,630,28.81,-1.62,1,1,3,0,2016-11-22,688cd4c40b312067f13e6ec7
