civic_turnout_election_date,civic_turnout_election_type_code,civic_turnout_jurisdiction_polling_station_id,civic_turnout_registered_voters_count,civic_turnout_ballots_cast_count,civic_turnout_turnout_rate_pct,civic_turnout_early_vote_count,civic_turnout_mail_ballot_count,civic_turnout_election_day_vote_count,civic_turnout_provisional_ballot_count,civic_turnout_rejected_ballot_count,civic_turnout_cure_rate_pct,civic_turnout_same_day_registration_flag,civic_turnout_new_registrations_count,civic_turnout_inactive_to_active_reinstatements,civic_turnout_polling_place_wait_minutes_avg,civic_turnout_accessibility_compliance_flag,civic_turnout_language_assistance_provided,civic_turnout_voter_id_required_flag,civic_turnout_post_election_audit_type
2016-05-10,LOKSABHA,AP-15-PS3773,1644,850,51.7,22,18,808,2,2,91.58,0,23,2,3.1,1,1,1,FULL_RECOUNT
2020-08-30,VIDHANSABHA,JH-64-PS1185,1059,755,71.29,11,28,716,0,0,75.19,0,27,15,14.3,0,1,1,RANDOM_SAMPLE
2019-03-15,LOKSABHA,UK-55-PS1268,1431,931,65.06,18,36,873,4,0,53.12,1,13,17,22.4,0,0,1,EVM_VVPAT_AUDIT
2018-01-18,BYE,PB-44-PS2557,1375,639,46.47,16,13,607,3,1,81.8,0,5,9,32.1,0,1,1,EVM_VVPAT_AUDIT
2014-06-11,LOKSABHA,CH-74-PS1982,1595,1128,70.72,7,14,1102,5,6,75.0,1,20,15,41.6,1,1,1,RANDOM_SAMPLE
2015-01-15,VIDHANSABHA,TS-41-PS2063,664,303,45.63,7,8,288,0,2,89.14,0,34,2,42.9,0,1,1,EVM_VVPAT_AUDIT
2022-06-27,BYE,HR-07-PS0201,1379,817,59.25,23,22,768,4,2,78.38,0,34,0,22.3,1,1,1,NONE
2016-10-25,VIDHANSABHA,PY-14-PS0871,1394,941,67.5,25,14,901,1,3,55.18,0,38,16,18.7,1,1,1,FULL_RECOUNT
2018-08-06,LOKSABHA,GA-43-PS1060,1124,543,48.31,1,18,523,1,4,64.19,0,27,11,11.9,1,1,1,NONE
2018-03-10,MUNICIPAL,KL-62-PS1307,1232,988,80.19,5,2,979,2,8,73.27,0,23,14,10.9,1,1,1,RANDOM_SAMPLE
2024-04-21,VIDHANSABHA,ML-62-PS1292,1736,892,51.38,26,16,850,0,1,74.13,0,36,0,35.6,1,1,1,EVM_VVPAT_AUDIT
2021-08-09,LOKSABHA,MZ-32-PS1734,846,625,73.88,16,10,594,5,4,80.35,0,10,15,44.3,1,1,1,EVM_VVPAT_AUDIT
2020-11-16,MUNICIPAL,MN-03-PS0660,1363,1010,74.1,25,18,965,2,2,66.74,0,40,0,23.1,1,1,1,FULL_RECOUNT
2018-12-08,LOKSABHA,RJ-57-PS4062,862,633,73.43,15,25,593,0,3,75.42,0,11,4,49.7,1,0,1,EVM_VVPAT_AUDIT
2022-09-06,PANCHAYAT,CH-19-PS2256,1754,1435,81.81,32,53,1347,3,10,94.91,0,39,19,32.8,1,1,1,FULL_RECOUNT
2020-01-10,BYE,MP-18-PS4434,1421,913,64.25,0,35,875,3,0,73.71,0,7,6,40.2,1,1,1,RANDOM_SAMPLE
2016-08-12,LOKSABHA,AR-22-PS1694,637,555,87.13,7,18,528,2,2,88.15,0,27,14,28.1,1,1,1,RANDOM_SAMPLE
2022-07-18,MUNICIPAL,CH-17-PS1244,757,651,86.0,5,20,624,2,3,50.74,0,30,2,54.0,0,0,1,RANDOM_SAMPLE
2022-02-23,LOKSABHA,MZ-33-PS3328,727,444,61.07,14,9,416,5,1,94.64,0,31,14,54.5,1,1,1,FULL_RECOUNT
2017-11-10,PANCHAYAT,MP-17-PS3176,845,511,60.47,2,9,499,1,0,79.35,0,6,3,44.3,1,1,1,RANDOM_SAMPLE
2021-05-25,MUNICIPAL,MN-76-PS1167,1715,1199,69.91,22,31,1141,5,2,72.35,0,21,16,4.0,1,1,1,RANDOM_SAMPLE
2020-10-27,MUNICIPAL,BR-08-PS3125,1603,1387,86.53,3,38,1341,5,3,69.74,0,39,19,9.0,1,1,1,RANDOM_SAMPLE
2018-08-10,BYE,JK-17-PS0120,1430,910,63.64,4,25,880,1,4,53.88,0,11,20,5.1,1,1,1,RANDOM_SAMPLE
2015-07-14,PANCHAYAT,MZ-01-PS3344,1812,1390,76.71,21,4,1361,4,6,52.29,0,36,13,6.9,0,0,1,FULL_RECOUNT
2022-05-18,BYE,JH-69-PS2960,817,636,77.85,6,20,607,3,0,72.3,0,9,4,49.0,1,0,1,FULL_RECOUNT
2024-03-19,LOKSABHA,JH-58-PS1632,1368,933,68.2,15,3,914,1,0,91.63,0,19,11,22.6,1,1,1,EVM_VVPAT_AUDIT
2021-07-01,MUNICIPAL,NL-43-PS3914,1666,890,53.42,11,12,862,5,1,51.87,0,22,16,36.8,1,1,1,FULL_RECOUNT
2022-05-28,LOKSABHA,HP-34-PS0115,1216,807,66.37,23,10,771,3,0,88.57,0,9,4,41.8,1,1,1,FULL_RECOUNT
2025-03-03,VIDHANSABHA,TN-36-PS2144,1262,1073,85.02,11,36,1026,0,6,86.04,0,40,16,30.3,1,1,1,NONE
2015-11-30,PANCHAYAT,DL-19-PS0396,1044,876,83.91,8,11,854,3,5,82.48,0,15,20,6.9,1,1,1,FULL_RECOUNT
2023-12-16,VIDHANSABHA,JK-23-PS1168,1168,583,49.91,9,20,553,1,1,71.19,0,10,17,53.3,1,1,1,FULL_RECOUNT
2023-02-07,BYE,PB-07-PS1192,769,477,62.03,4,1,468,4,0,61.19,0,0,19,14.5,1,1,1,NONE
2019-01-02,MUNICIPAL,JH-70-PS3487,1044,639,61.21,9,6,623,1,2,55.34,0,12,17,26.8,0,0,1,RANDOM_SAMPLE
2016-06-13,BYE,TN-39-PS3073,986,691,70.08,16,24,651,0,0,60.73,1,31,12,4.3,1,1,1,EVM_VVPAT_AUDIT
2025-10-08,LOKSABHA,DN-36-PS1251,646,466,72.14,14,13,439,0,0,83.45,0,22,10,16.9,1,1,1,RANDOM_SAMPLE
2022-04-08,VIDHANSABHA,PB-24-PS0668,972,553,56.89,7,3,542,1,3,78.02,0,40,3,54.3,1,1,1,EVM_VVPAT_AUDIT
2020-11-13,PANCHAYAT,MZ-29-PS2957,1876,1603,85.45,24,46,1532,1,9,94.77,0,4,0,43.2,1,1,1,NONE
2025-05-21,BYE,KA-59-PS4001,704,442,62.78,4,0,433,5,3,89.02,1,37,2,31.4,1,1,1,EVM_VVPAT_AUDIT
2025-06-10,LOKSABHA,UK-17-PS2049,650,369,56.77,0,3,366,0,3,79.67,0,7,6,37.6,1,1,1,FULL_RECOUNT
2024-11-06,MUNICIPAL,DN-50-PS4364,1677,1453,86.64,29,29,1393,2,8,78.32,0,22,14,43.6,1,1,1,FULL_RECOUNT
2019-11-21,PANCHAYAT,GA-38-PS1330,697,504,72.31,1,14,486,3,0,74.67,0,29,9,47.7,1,0,1,NONE
2023-07-05,LOKSABHA,KA-74-PS2833,1583,744,47.0,20,5,718,1,4,60.04,0,10,18,30.5,1,1,1,RANDOM_SAMPLE
2023-06-08,BYE,CG-16-PS0900,959,719,74.97,2,24,691,2,2,82.04,0,18,20,11.0,1,0,1,FULL_RECOUNT
2015-06-08,BYE,HR-46-PS2594,1701,1007,59.2,8,26,972,1,8,73.09,0,29,10,50.8,0,0,1,RANDOM_SAMPLE
2019-08-18,MUNICIPAL,GA-52-PS2767,902,550,60.98,13,21,515,1,3,67.71,0,25,13,9.8,1,1,1,EVM_VVPAT_AUDIT
2016-07-07,BYE,MH-18-PS1907,1638,811,49.51,9,27,775,0,0,60.15,0,24,16,20.2,1,1,1,NONE
2014-08-21,LOKSABHA,DN-18-PS2159,827,563,68.08,14,1,548,0,3,56.12,0,5,19,36.2,1,1,1,FULL_RECOUNT
2016-05-26,MUNICIPAL,JK-70-PS3813,1261,690,54.72,22,5,660,3,5,58.96,0,30,8,6.3,1,1,1,EVM_VVPAT_AUDIT
2021-02-08,VIDHANSABHA,WB-24-PS0006,1067,925,86.69,14,3,903,5,5,62.38,0,1,14,30.4,1,1,1,EVM_VVPAT_AUDIT
2017-02-15,LOKSABHA,TN-68-PS1811,1323,884,66.82,14,11,859,0,1,86.85,0,10,3,19.0,1,1,1,EVM_VVPAT_AUDIT
2019-08-02,BYE,DD-10-PS0261,771,414,53.7,1,7,403,3,0,56.66,0,8,10,27.1,1,1,1,RANDOM_SAMPLE
2017-01-23,PANCHAYAT,UP-49-PS1605,917,707,77.1,13,17,673,4,2,95.04,0,34,0,41.3,1,1,1,RANDOM_SAMPLE
2024-07-17,MUNICIPAL,TR-14-PS1315,1324,702,53.02,13,18,670,1,5,67.22,0,24,17,45.3,1,1,1,NONE
2024-04-20,VIDHANSABHA,UK-38-PS2191,1592,875,54.96,14,32,828,1,5,53.2,0,38,18,24.9,1,1,1,RANDOM_SAMPLE
2019-07-29,MUNICIPAL,NL-27-PS0420,756,390,51.59,12,0,374,4,2,85.71,0,21,1,42.4,1,0,1,FULL_RECOUNT
2021-10-24,PANCHAYAT,TR-13-PS3229,1884,1242,65.92,11,3,1224,4,1,50.59,0,35,3,40.0,1,1,1,NONE
2023-02-08,LOKSABHA,JK-74-PS2920,1149,629,54.74,14,22,592,1,5,79.52,0,39,17,34.4,0,1,1,RANDOM_SAMPLE
2023-09-02,LOKSABHA,ML-68-PS2936,726,374,51.52,9,11,354,0,1,53.71,0,40,10,25.9,0,1,1,EVM_VVPAT_AUDIT
2018-07-04,BYE,UP-36-PS1206,1582,1338,84.58,39,53,1242,4,8,85.72,0,25,8,8.1,1,1,1,RANDOM_SAMPLE
2015-01-21,BYE,JH-07-PS3282,1074,824,76.72,10,16,796,2,3,93.81,0,24,6,10.8,0,0,1,EVM_VVPAT_AUDIT
2025-12-29,LOKSABHA,AS-63-PS2714,755,409,54.17,6,16,387,0,3,72.03,0,21,7,28.6,1,0,1,RANDOM_SAMPLE
2020-03-12,LOKSABHA,AR-51-PS0952,1322,794,60.06,16,29,745,4,4,72.66,0,17,0,43.1,1,1,1,FULL_RECOUNT
2019-12-02,LOKSABHA,TS-38-PS0947,1430,707,49.44,22,7,676,2,1,63.0,0,32,17,48.0,1,1,1,RANDOM_SAMPLE
2020-10-26,MUNICIPAL,TN-72-PS3311,1852,976,52.7,27,32,916,1,2,61.67,0,15,3,52.1,1,1,1,RANDOM_SAMPLE
2016-04-02,BYE,DD-48-PS4426,1374,1053,76.64,18,20,1011,4,2,77.99,0,1,0,45.3,1,0,1,NONE
2017-11-10,VIDHANSABHA,SK-67-PS3191,995,803,80.7,8,29,765,1,4,64.13,1,21,11,9.4,1,1,1,NONE
2025-07-25,VIDHANSABHA,CG-14-PS2600,836,521,62.32,10,8,498,5,3,56.35,0,33,4,3.0,1,0,1,EVM_VVPAT_AUDIT
2014-02-10,PANCHAYAT,MN-38-PS2082,1640,1024,62.44,11,37,972,4,5,56.57,0,5,7,15.3,1,1,1,NONE
2022-02-01,PANCHAYAT,RJ-45-PS3473,1521,949,62.39,27,1,916,5,2,58.85,0,25,20,46.4,1,1,1,EVM_VVPAT_AUDIT
2014-07-06,LOKSABHA,AS-39-PS1251,697,433,62.12,7,4,422,0,1,51.5,0,34,19,4.7,1,1,1,NONE
2015-04-27,MUNICIPAL,CG-73-PS0154,672,324,48.21,0,0,324,0,0,83.04,0,38,2,45.4,1,1,1,RANDOM_SAMPLE
2023-09-20,VIDHANSABHA,HR-12-PS2323,1667,1329,79.72,16,48,1264,1,8,71.41,0,15,18,40.8,1,1,1,NONE
2020-08-18,VIDHANSABHA,PB-80-PS0710,1823,1016,55.73,11,24,979,2,8,95.31,0,9,15,51.0,1,1,1,RANDOM_SAMPLE
2025-11-24,MUNICIPAL,RJ-07-PS3854,934,700,74.95,18,8,673,1,2,95.32,0,29,19,46.8,1,1,1,RANDOM_SAMPLE
2017-03-28,LOKSABHA,PY-24-PS2668,787,517,65.69,4,2,509,2,1,84.79,0,14,16,30.5,1,1,1,EVM_VVPAT_AUDIT
2025-04-04,LOKSABHA,UK-42-PS1132,1493,940,62.96,9,34,896,1,5,50.01,0,17,2,5.7,0,0,1,EVM_VVPAT_AUDIT
2019-07-26,LOKSABHA,JK-62-PS0245,1347,970,72.01,29,9,932,0,6,75.08,0,2,12,20.8,1,0,1,RANDOM_SAMPLE
2015-03-08,PANCHAYAT,TN-65-PS2633,998,614,61.52,3,23,585,3,2,95.6,0,5,6,48.6,1,1,1,NONE
2019-02-12,VIDHANSABHA,NL-25-PS0885,1866,1251,67.04,33,9,1209,0,9,51.76,1,5,4,5.1,1,1,1,EVM_VVPAT_AUDIT
2022-09-06,VIDHANSABHA,MZ-20-PS1914,1018,790,77.6,16,29,743,2,2,60.77,0,24,8,49.4,1,1,1,EVM_VVPAT_AUDIT
2021-05-06,PANCHAYAT,KA-29-PS1219,1520,1241,81.64,8,41,1192,0,4,85.29,0,14,5,15.8,1,1,1,NONE
2014-02-06,MUNICIPAL,PB-60-PS1712,1572,1312,83.46,16,12,1283,1,7,92.38,0,2,7,37.9,1,0,1,NONE
2017-07-09,VIDHANSABHA,HR-19-PS2384,1791,995,55.56,24,12,955,4,3,79.69,0,6,4,48.7,1,0,1,FULL_RECOUNT
2021-06-12,VIDHANSABHA,AS-53-PS3742,681,546,80.18,12,13,517,4,3,50.31,0,26,16,31.7,0,1,1,EVM_VVPAT_AUDIT
2016-10-04,MUNICIPAL,AS-70-PS2515,1013,464,45.8,15,8,440,1,2,68.82,0,36,3,11.2,1,1,1,EVM_VVPAT_AUDIT
2016-11-06,BYE,SK-12-PS0918,1000,700,70.0,21,0,678,1,2,90.92,1,28,11,41.7,1,1,1,RANDOM_SAMPLE
2014-01-29,LOKSABHA,TS-11-PS3105,1478,976,66.04,22,10,943,1,1,63.13,1,16,2,25.9,1,1,1,EVM_VVPAT_AUDIT
2020-01-14,VIDHANSABHA,BR-75-PS1824,1753,1371,78.21,21,19,1329,2,10,91.67,1,27,20,50.2,1,1,1,EVM_VVPAT_AUDIT
2018-08-10,VIDHANSABHA,NL-57-PS3964,1533,841,54.86,23,24,791,3,1,91.49,0,7,13,12.8,0,0,1,EVM_VVPAT_AUDIT
2016-11-16,BYE,JK-46-PS3634,798,574,71.93,2,11,558,3,0,50.06,0,19,3,31.6,1,0,1,EVM_VVPAT_AUDIT
2014-04-27,BYE,CH-02-PS0584,994,868,87.32,7,16,841,4,1,82.66,0,30,5,17.5,1,1,1,NONE
2025-06-29,BYE,WB-41-PS0779,813,628,77.24,16,8,601,3,0,77.4,0,21,19,20.3,1,1,1,FULL_RECOUNT
2014-01-02,MUNICIPAL,HP-33-PS4045,1188,575,48.4,6,21,547,1,1,83.09,0,33,9,10.9,0,1,1,FULL_RECOUNT
2015-09-27,VIDHANSABHA,KA-06-PS2057,1373,982,71.52,31,30,921,0,1,94.89,1,27,19,20.0,1,0,1,NONE
2014-07-27,VIDHANSABHA,LD-04-PS3462,621,400,64.41,8,2,387,3,1,71.05,0,11,11,10.5,1,0,1,NONE
2023-12-18,MUNICIPAL,BR-45-PS1928,908,666,73.35,11,18,636,1,5,84.52,0,31,8,28.1,0,1,1,EVM_VVPAT_AUDIT
2014-12-19,PANCHAYAT,WB-07-PS3889,1461,1261,86.31,19,23,1215,4,3,85.3,0,23,17,48.0,1,1,1,EVM_VVPAT_AUDIT
2024-06-08,LOKSABHA,UK-66-PS2383,1531,967,63.16,2,11,950,4,1,80.31,0,34,7,23.5,1,1,1,RANDOM_SAMPLE
2015-06-10,BYE,KA-78-PS0002,974,611,62.73,12,5,594,0,5,54.67,0,13,6,21.0,1,0,1,RANDOM_SAMPLE
2022-01-17,MUNICIPAL,BR-28-PS2114,1786,1308,73.24,39,0,1266,3,7,69.04,0,30,10,48.8,1,0,1,RANDOM_SAMPLE
2021-12-01,MUNICIPAL,LA-01-PS2361,1175,710,60.43,10,27,669,4,4,75.61,0,27,14,48.0,1,0,1,RANDOM_SAMPLE
2024-10-28,PANCHAYAT,UK-78-PS0969,1110,610,54.95,2,0,603,5,4,94.83,0,13,11,9.9,1,1,1,FULL_RECOUNT
2014-05-06,BYE,TR-50-PS3869,1808,1265,69.97,42,46,1176,1,6,82.01,0,15,17,12.7,1,1,1,EVM_VVPAT_AUDIT
2014-05-09,BYE,LD-08-PS1519,685,383,55.91,6,0,376,1,2,82.8,0,16,7,47.8,1,0,1,EVM_VVPAT_AUDIT
2022-05-31,VIDHANSABHA,KA-19-PS3125,1692,1181,69.8,1,27,1152,1,5,65.27,0,24,15,41.9,0,0,1,EVM_VVPAT_AUDIT
2017-09-09,LOKSABHA,UP-04-PS1638,618,493,79.77,12,17,464,0,2,91.71,0,6,20,19.2,1,1,1,RANDOM_SAMPLE
2016-07-05,MUNICIPAL,LA-19-PS2876,1204,774,64.29,16,16,740,2,3,50.7,0,7,13,36.1,1,1,1,RANDOM_SAMPLE
2024-08-01,MUNICIPAL,HP-72-PS2864,1053,888,84.33,25,28,835,0,3,57.15,0,14,11,27.3,1,1,1,FULL_RECOUNT
2020-12-20,BYE,TN-43-PS1005,620,331,53.39,4,6,318,3,2,61.69,0,14,3,51.5,1,0,1,FULL_RECOUNT
2016-08-21,LOKSABHA,CH-52-PS2542,1350,916,67.85,15,7,893,1,3,84.45,0,12,3,45.6,1,0,1,NONE
2022-09-15,MUNICIPAL,AR-74-PS3655,1558,773,49.61,9,9,752,3,3,73.21,0,0,11,4.3,1,1,1,EVM_VVPAT_AUDIT
