demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2024,8176227ba2ac,Parent,Single_person,Separated,5,N,Y,N,0.91,15.7,2.38,3,Both,Punjabi,Any,19,2073,N,Rural
2022,b23a5a85eb8d,Other,Joint,Never_married,5,Y,N,N,3.8,56.5,3.13,2,Both,Bengali,None,59,10366,Y,Town
2023,f13c4063a086,Sibling,Extended,Widowed,2,N,N,N,4.9,4.5,2.33,0,Both,Malayalam,None,51,16806,N,Rural
2024,52fba9585fc5,Other,Single_person,Divorced,1,Y,N,Y,1.36,33.9,4.51,2,None,Other,None,77,11143,Y,Town
2020,8ab11f7103dd,Other,Nuclear,Divorced,5,N,Y,Y,1.0,33.5,2.37,2,Mobile_broadband,Assamese,Any,43,18900,N,Metro
2024,df5eff528347,Sibling,Single_person,Married,6,N,N,N,1.62,56.7,3.19,4,Both,Telugu,None,21,2829,N,Urban
2020,cefabdbb4616,Child,Joint,Separated,3,Y,Y,Y,1.17,21.1,1.01,3,None,Kannada,Any,47,1434,N,Town
2020,fcba36152de1,Other,Nuclear,Divorced,4,N,Y,Y,2.99,37.3,4.71,4,Fixed_broadband,Assamese,None,2,11243,N,Town
2024,b5de3c52fc7c,Other,Extended,Widowed,2,Y,N,Y,3.05,9.6,0.92,1,Fixed_broadband,Kannada,Any,41,319,N,Urban
2021,90e292e9ff3f,Parent,Nuclear,Married,3,Y,N,N,3.93,54.2,1.75,1,Both,Malayalam,None,60,4261,Y,Rural
2020,37ee943f3402,Sibling,Single_person,Divorced,0,N,Y,N,4.3,65.6,4.2,1,Mobile_broadband,Marathi,None,24,10280,N,Urban
