demo_migflow_move_year,demo_migflow_origin_lgd_code,demo_migflow_destination_lgd_code,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_km_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2021,60149462,47397234,INTRASTATE,12,7,Climate,Rented,Informal,2830,-34,6L_10L,gt_10L,Graduate,OCI,N,2564,4797,2.981,W1
2017,64495816,96792094,INTERNATIONAL,64,5,Family,Owned,Informal,876,114,6L_10L,3L_6L,Graduate,Indian_Citizen,N,3236,252,3.384,W1
2021,79850460,52830344,INTRASTATE,59,5,Climate,Rented,Informal,1963,32,6L_10L,lt_1L,No_schooling,Other,Y,4256,427,0.142,W3
2018,71542038,54355681,INTERNATIONAL,6,6,Education,Employer,Rented,1302,140,6L_10L,gt_10L,Secondary,Indian_Citizen,N,1300,3118,1.402,W4
2025,41705115,21074638,INTERSTATE,42,2,Marriage,Rented,Other,1450,-44,6L_10L,1L_3L,Secondary,Indian_Citizen,Y,245,801,4.704,W1
2017,46349409,76790681,INTRASTATE,43,3,Marriage,Owned,Other,789,112,gt_10L,lt_1L,Higher_secondary,Other,N,710,2951,3.018,W5
2018,19470510,49292065,INTERNATIONAL,57,7,Employment,Employer,Owned,2834,115,lt_1L,gt_10L,Graduate,Other,N,785,3350,3.114,W5
2020,52067129,39280228,INTERNATIONAL,83,1,Education,Rented,Other,1805,173,3L_6L,1L_3L,Secondary,Indian_Citizen,Y,2503,4047,2.538,W5
2025,85368135,17296521,INTRASTATE,11,10,Family,Other,Owned,2487,31,3L_6L,lt_1L,Primary,Foreign_National,N,365,3750,4.278,W5
2019,43149741,53383622,INTRASTATE,33,4,Family,Informal,Informal,2143,171,6L_10L,3L_6L,No_schooling,OCI,N,4695,2841,2.558,W2
2025,69041509,59659649,INTERNATIONAL,89,7,Education,Owned,Owned,2315,169,lt_1L,3L_6L,No_schooling,Foreign_National,Y,2550,4269,3.318,W1
2018,65045116,51213567,INTERNATIONAL,52,4,Employment,Owned,Rented,1926,163,gt_10L,6L_10L,Postgraduate,Other,N,3548,1848,3.037,W1
2021,14911929,76875864,INTERNATIONAL,73,1,Housing,Rented,Owned,1772,67,gt_10L,lt_1L,Postgraduate,OCI,Y,1335,792,4.639,W5
2025,92046643,33843135,INTRASTATE,27,3,Other,Owned,Owned,1935,50,3L_6L,lt_1L,Graduate,Other,Y,809,1319,3.801,W1
2025,73263657,39320576,INTRASTATE,23,7,Other,Employer,Rented,264,79,lt_1L,1L_3L,No_schooling,Foreign_National,N,3084,7,3.475,W4
2019,66684389,45577270,INTERNATIONAL,85,3,Employment,Other,Other,856,136,gt_10L,6L_10L,Graduate,OCI,Y,2882,4580,2.528,W2
2018,88700301,29057644,INTERNATIONAL,69,8,Other,Employer,Owned,603,121,1L_3L,1L_3L,Primary,OCI,N,1725,4877,1.608,W2
2020,14996476,56221009,INTERSTATE,79,3,Climate,Rented,Other,470,62,3L_6L,1L_3L,Higher_secondary,OCI,N,486,3011,4.123,W5
2025,72849442,60134426,INTERSTATE,78,1,Marriage,Owned,Owned,1174,111,3L_6L,3L_6L,Secondary,OCI,N,3337,964,4.022,W2
2020,48184827,68582027,INTERNATIONAL,17,7,Education,Informal,Employer,2095,176,6L_10L,lt_1L,Graduate,OCI,N,4501,341,1.936,W5
2024,85039255,41996704,INTERSTATE,60,4,Employment,Informal,Rented,1727,129,1L_3L,1L_3L,No_schooling,Foreign_National,Y,4715,2488,2.735,W2
2022,99538174,53922318,INTERSTATE,55,3,Climate,Owned,Employer,1160,-57,6L_10L,gt_10L,Higher_secondary,Foreign_National,Y,914,3000,1.842,W4
2019,91548479,17687868,INTERNATIONAL,62,9,Marriage,Informal,Employer,1009,143,3L_6L,1L_3L,No_schooling,Other,Y,4475,4456,2.957,W5
2025,18330066,98307489,INTERSTATE,71,10,Marriage,Other,Employer,2790,7,1L_3L,3L_6L,Higher_secondary,OCI,N,4462,4476,3.794,W2
2016,37690966,49526628,INTERSTATE,2,5,Family,Rented,Other,2499,-18,1L_3L,1L_3L,Higher_secondary,OCI,Y,1421,1507,2.289,W2
2025,34920975,13137952,INTERSTATE,19,6,Family,Rented,Rented,1974,-42,3L_6L,3L_6L,Graduate,Other,Y,3962,2734,2.163,W4
2022,77692039,85567886,INTERNATIONAL,4,10,Housing,Informal,Other,909,-30,3L_6L,gt_10L,Secondary,Indian_Citizen,N,1261,1710,0.333,W5
2024,68374122,63068271,INTERSTATE,34,6,Marriage,Rented,Employer,523,166,1L_3L,6L_10L,Postgraduate,Indian_Citizen,Y,824,563,4.552,W4
2016,88014428,81702766,INTERSTATE,2,7,Other,Employer,Informal,331,61,1L_3L,gt_10L,Higher_secondary,OCI,Y,2552,3385,3.795,W5
2025,41404623,74771460,INTERSTATE,67,6,Housing,Informal,Informal,1579,165,3L_6L,6L_10L,Higher_secondary,OCI,Y,3812,2813,3.251,W5
2019,42824726,56133536,INTERNATIONAL,7,2,Employment,Informal,Owned,89,106,gt_10L,6L_10L,Secondary,Indian_Citizen,Y,3297,2737,2.49,W3
2022,16710808,25436961,INTRASTATE,90,8,Employment,Owned,Rented,883,96,3L_6L,gt_10L,No_schooling,Indian_Citizen,Y,512,2463,4.417,W4
2018,62895191,71788357,INTERNATIONAL,13,10,Education,Employer,Rented,432,154,lt_1L,6L_10L,Secondary,Foreign_National,N,1486,1296,3.112,W5
2025,46429307,67651888,INTERSTATE,76,6,Employment,Employer,Other,329,64,3L_6L,3L_6L,Graduate,OCI,Y,1736,2724,0.88,W3
2024,14459393,21974672,INTERSTATE,12,10,Education,Rented,Owned,1399,-55,gt_10L,6L_10L,No_schooling,Indian_Citizen,N,4750,1326,0.249,W5
2017,78040069,60175479,INTERNATIONAL,20,5,Other,Rented,Informal,1365,14,1L_3L,3L_6L,Higher_secondary,Other,Y,3878,1771,0.315,W2
2019,53578037,53444461,INTERNATIONAL,84,8,Housing,Owned,Employer,2708,72,1L_3L,lt_1L,Postgraduate,OCI,Y,4269,3608,2.233,W2
2020,71145551,63245743,INTRASTATE,75,5,Housing,Employer,Informal,1571,61,lt_1L,3L_6L,Higher_secondary,Indian_Citizen,Y,304,2044,2.613,W3
2019,93866076,43212181,INTRASTATE,50,10,Family,Informal,Owned,2028,114,3L_6L,gt_10L,No_schooling,Indian_Citizen,N,2973,4087,1.882,W2
2019,45530182,85567427,INTERSTATE,20,1,Employment,Rented,Rented,1049,16,lt_1L,1L_3L,Postgraduate,OCI,Y,2467,730,3.419,W4
2019,70244029,19332441,INTRASTATE,46,8,Employment,Employer,Other,2327,69,lt_1L,6L_10L,Secondary,Indian_Citizen,N,1058,3007,2.785,W3
2022,27098545,38317544,INTERSTATE,35,4,Family,Informal,Other,581,130,1L_3L,lt_1L,Higher_secondary,Foreign_National,N,2774,3229,4.599,W4
2016,20177040,19027636,INTERNATIONAL,55,3,Family,Owned,Employer,644,104,6L_10L,gt_10L,Higher_secondary,Indian_Citizen,N,2236,3811,1.262,W5
2020,20341348,26022951,INTERSTATE,65,6,Climate,Other,Other,942,19,lt_1L,lt_1L,Higher_secondary,Other,N,870,3756,1.422,W3
2025,69093702,11734479,INTRASTATE,23,5,Education,Other,Informal,639,-24,3L_6L,6L_10L,Postgraduate,Foreign_National,Y,2397,2749,2.448,W1
2024,71182397,29786014,INTRASTATE,41,9,Employment,Informal,Informal,1778,116,6L_10L,lt_1L,Higher_secondary,Other,Y,342,2353,3.928,W4
2017,35048872,57593660,INTERSTATE,0,3,Housing,Other,Rented,1182,178,gt_10L,6L_10L,Graduate,Other,Y,4328,732,0.16,W1
2024,63417681,80297938,INTRASTATE,20,2,Employment,Informal,Other,1563,-22,3L_6L,6L_10L,No_schooling,Indian_Citizen,N,2301,3663,4.617,W1
