demo_nativity_estimate_year,demo_nativity_subdistrict_lgd_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2019,68137858,Interstate_migrant,Pakistan,2020,OCI,Intermediate,Malayalam,Odia,Bengali,Kannada,1,49071,29743,0.401,Work,Y,Y,Y,0.484
2023,77213800,International_migrant,India,1999,Resident,Intermediate,Marathi,Tamil,Tamil,Gujarati,9,82382,676,0.411,Work,Y,Y,N,0.337
2021,27072282,International_migrant,India,1999,Resident,Basic,Hindi,Marathi,Marathi,Hindi,1,195361,12984,0.403,Family,Y,Y,N,0.404
2022,85723657,International_migrant,Bhutan,2014,Resident,None,Other,Gujarati,Tamil,Tamil,5,51347,13894,0.542,Work,Y,N,N,0.924
2025,29964007,Interstate_migrant,Bangladesh,2020,Citizen,Intermediate,Bengali,Assamese,Other,Marathi,9,172209,35759,0.849,Tourist,N,N,Y,0.736
2018,90458502,Interstate_migrant,Myanmar,2015,Citizen,Intermediate,Assamese,Kannada,Kannada,Hindi,0,79055,37289,0.076,Refugee,N,N,Y,0.612
2022,14859130,Native,Pakistan,2014,Other,Intermediate,Telugu,Gujarati,Odia,Odia,6,120336,14104,0.981,Work,N,Y,Y,0.719
2022,98919087,Native,Nepal,2010,Citizen,Advanced,Bengali,Telugu,Tamil,Marathi,9,50355,11132,0.903,Refugee,Y,Y,N,0.179
2023,53054516,Interstate_migrant,Nepal,2004,Resident,None,Assamese,Hindi,Assamese,Kannada,8,49826,21995,0.435,Refugee,Y,Y,Y,0.474
2018,82191392,Native,Other,2001,Citizen,Basic,Tamil,Punjabi,Tamil,Other,10,160267,25067,0.28,Study,Y,Y,N,0.852
2020,88133971,Native,Myanmar,1996,Other,Basic,Hindi,Assamese,Malayalam,Assamese,10,112249,32628,0.971,Family,N,N,Y,0.128
2019,51961362,Interstate_migrant,India,1997,Other,None,Urdu,Tamil,Odia,Tamil,6,153517,19928,0.82,Tourist,Y,N,Y,0.069
2021,71520906,Native,Pakistan,2017,Citizen,None,Telugu,Gujarati,Other,Kannada,3,103888,161,0.338,Tourist,N,Y,N,0.605
2021,69190744,Native,Myanmar,2015,Resident,Intermediate,Punjabi,Kannada,Other,Telugu,4,25746,11864,0.363,Tourist,Y,N,N,0.501
2019,64945507,Interstate_migrant,Other,2010,Other,Basic,Marathi,Gujarati,Assamese,Assamese,0,24491,1330,0.782,Work,Y,N,N,0.127
2021,39729222,International_migrant,Myanmar,2015,Other,None,Bengali,Other,Bengali,Odia,7,180333,30303,0.63,Study,N,N,N,0.735
2023,77646796,Interstate_migrant,Nepal,2008,Resident,Intermediate,Gujarati,Assamese,Marathi,Other,4,80191,8728,0.943,Tourist,N,N,N,0.302
2021,83543924,Interstate_migrant,India,2016,Resident,Advanced,Malayalam,Marathi,Hindi,Assamese,3,90314,896,0.143,Study,N,N,N,0.166
2023,31463499,Native,Nepal,2004,OCI,Advanced,Marathi,Gujarati,Telugu,Other,2,77301,33785,0.377,Tourist,N,N,N,0.741
2021,73978812,International_migrant,Sri_Lanka,2016,OCI,Advanced,Odia,Malayalam,Marathi,Telugu,0,121077,4456,0.611,Work,Y,N,N,0.855
2019,63260763,International_migrant,India,1996,OCI,Intermediate,Hindi,Punjabi,Malayalam,Assamese,4,165790,26380,0.926,Study,Y,N,Y,0.227
2023,41832819,Interstate_migrant,Nepal,2001,Other,Advanced,Urdu,Kannada,Urdu,Punjabi,2,102987,15202,0.497,Tourist,Y,Y,Y,0.475
2018,48998352,International_migrant,Nepal,1997,OCI,None,Tamil,Hindi,Bengali,Odia,0,143988,20749,0.014,Other,Y,N,N,0.952
2021,26903283,Native,Other,2009,Citizen,Basic,Odia,Other,Assamese,Tamil,7,35613,17222,0.148,Study,N,N,N,0.958
2024,67156810,International_migrant,Bangladesh,2005,Other,Advanced,Malayalam,Punjabi,Odia,Marathi,6,89128,31719,0.344,Tourist,N,N,N,0.135
