demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2030,31509047,85+,X,OBC,1870540,1806199,1646008,1989202,4301,18106,4625,-4541,268607,45149,0.896,1.79,0.0102,2019-Q%q,HYBRID
2027,69768363,65-69,M,Other,554000,573305,527459,603981,15011,176,11667,-5221,499676,37635,0.9217,2.92,-0.0186,2021-Q%q,TREND
2033,45836753,15-19,F,Other,817323,817504,769247,874351,21435,27917,17284,-3589,243180,25626,0.9546,2.84,0.0323,2021-Q%q,BAYES
2024,42777399,35-39,X,ST,964915,1198624,1134485,1299525,14213,21076,31642,-3931,254790,19046,0.891,2.42,-0.0035,2023-Q%q,COHORTCOMP
2030,48906890,75-79,X,ST,490951,601942,550032,634585,27535,39140,-1579,2589,387623,45185,0.9164,1.39,0.0204,2019-Q%q,COHORTCOMP
2040,37021317,70-74,F,General,720431,711410,639993,771352,66710,19800,16230,-8452,238563,19455,0.9716,1.48,-0.0178,2021-Q%q,CENSUS_ADJ
2039,29515090,15-19,F,General,1364577,1511913,1413888,1610375,30487,1263,-27757,2261,517443,42590,0.8895,3.24,0.0358,2025-Q%q,CENSUS_ADJ
2024,69015103,65-69,M,OBC,1496270,1697838,1530533,1810700,30727,275,-20200,-9372,554161,41097,0.9763,3.37,-0.0123,2025-Q%q,CENSUS_ADJ
2034,72829877,25-29,F,SC,866983,870503,792783,961520,1332,38877,-44851,5620,467090,47020,0.9617,3.58,0.0278,2018-Q%q,TREND
2035,69141525,80-84,F,ST,939632,1132044,1030939,1190481,40777,31202,37657,1684,406235,23967,0.9162,2.75,0.0221,2026-Q%q,TREND
2034,58850202,10-14,M,OBC,1726433,1972532,1836040,2102255,3019,32084,922,4283,562121,45146,0.9748,3.48,0.0023,2020-Q%q,BAYES
2028,73097878,10-14,F,Other,593349,676498,615026,739805,25929,24651,-17138,-4270,588345,8177,0.8884,1.94,0.0458,2021-Q%q,COHORTCOMP
2025,22270656,00-04,M,ST,152511,145494,129852,162502,17748,1063,-32947,-3268,113980,36884,0.9913,1.67,0.0138,2025-Q%q,BAYES
2034,51998662,10-14,F,SC,1994647,2143071,1966481,2280536,35623,49214,1329,-5713,26205,42491,0.924,2.89,0.0261,2019-Q%q,TREND
2028,37783481,35-39,M,SC,1370051,1205565,1054032,1344226,1475,30990,29238,4821,494330,20676,0.9275,2.31,0.0023,2021-Q%q,COHORTCOMP
2041,95325836,50-54,M,Other,1011862,1064248,958838,1130221,10651,51908,5675,4918,205037,40748,0.9271,1.92,0.0158,2019-Q%q,TREND
2038,47319684,35-39,F,SC,205113,208440,189975,223954,77901,741,31654,6755,299433,37154,0.8877,2.65,0.0283,2018-Q%q,BAYES
2030,11455218,30-34,M,SC,579602,699273,641163,761529,29025,16607,-42005,1901,81249,9777,0.955,1.35,-0.0007,2019-Q%q,BAYES
2033,46711914,60-64,M,OBC,675347,619933,543784,679098,47504,35532,-21398,-7321,51792,41516,0.8836,3.35,-0.006,2022-Q%q,HYBRID
2031,54460562,85+,M,SC,1607517,1608864,1500907,1750082,19529,8534,41887,-7971,155686,23215,0.9889,3.06,0.0361,2023-Q%q,BAYES
2035,51587901,55-59,X,SC,724171,882558,831959,922990,37486,15287,4778,-4325,229297,30362,0.8811,2.73,0.0437,2022-Q%q,HYBRID
2036,52614881,35-39,M,Other,1379818,1671976,1565425,1763533,14769,49862,-21149,4358,281781,29139,0.9262,2.14,-0.0056,2021-Q%q,BAYES
2033,55088876,45-49,X,SC,389484,394478,370793,436358,32859,54125,9578,-7380,362364,16737,0.9877,2.74,0.0275,2022-Q%q,TREND
2026,33307839,75-79,M,General,1514859,1721567,1634371,1846798,13785,2827,30173,-8142,539884,3099,0.9525,1.94,-0.0145,2021-Q%q,COHORTCOMP
2030,30826029,15-19,X,General,1949951,2244146,2138654,2372226,57545,16861,-25130,-2213,202814,38679,0.9409,3.1,-0.0141,2022-Q%q,COHORTCOMP
2038,62956720,40-44,M,ST,1975595,2360687,2162921,2555131,72579,26585,32939,6400,181807,45411,0.9538,3.06,-0.0097,2019-Q%q,COHORTCOMP
2036,41836931,80-84,M,ST,1364857,1518909,1447400,1598072,26375,12038,27095,-9481,271670,38168,0.8896,3.41,0.0221,2019-Q%q,COHORTCOMP
2040,74057792,85+,F,Other,759598,868243,815505,919108,12591,39226,-3807,9081,416345,37901,0.8903,2.39,0.0437,2018-Q%q,CENSUS_ADJ
2039,58887300,85+,M,SC,948696,1058603,1007422,1170410,31731,39976,14374,-9224,412772,17723,0.9361,1.34,0.0394,2025-Q%q,HYBRID
2035,33167992,25-29,X,General,1535153,1346370,1251453,1459689,66127,22695,-42399,-6531,202841,18309,0.9344,3.62,0.0023,2024-Q%q,COHORTCOMP
2023,85352297,00-04,M,General,1653001,2024774,1881583,2109517,79857,39193,35263,-3431,39487,13437,0.8991,1.72,0.005,2024-Q%q,BAYES
2022,66785402,60-64,F,SC,1691514,1807832,1690730,1931030,15258,36929,-34353,1847,300871,46246,0.8927,1.47,0.0483,2020-Q%q,CENSUS_ADJ
2021,61128553,50-54,X,SC,1367344,1660281,1497714,1766073,70850,11745,-16229,-9872,556790,47092,0.9512,2.42,0.0204,2021-Q%q,TREND
2036,16547628,85+,X,SC,353587,338064,301822,379045,78903,34720,18888,1186,181180,37328,0.9118,2.66,0.0406,2024-Q%q,TREND
2027,29823294,30-34,X,OBC,452523,495869,464945,525378,68108,40011,-25040,-830,353551,46231,0.9675,2.59,0.0129,2025-Q%q,BAYES
2041,83864101,20-24,M,Other,128655,147630,134862,154559,41621,50092,15183,-3721,340789,6206,0.9183,1.81,0.0097,2022-Q%q,COHORTCOMP
2021,29280403,85+,X,OBC,1238928,1506661,1392151,1621707,20023,7675,-11203,-4788,26100,14017,0.9871,1.43,0.0235,2018-Q%q,BAYES
2021,44914523,80-84,X,OBC,1441338,1421592,1249172,1526752,2078,42508,-456,3636,269896,27277,0.9029,1.83,-0.0158,2021-Q%q,CENSUS_ADJ
2038,47727705,40-44,F,SC,927951,1082992,1018564,1149214,18951,3692,24163,8199,439551,2693,0.9236,3.06,-0.0134,2021-Q%q,BAYES
2037,38336979,50-54,X,ST,1081079,1330786,1232529,1399423,14416,23653,-39521,9029,505605,37914,0.9346,3.4,0.0172,2018-Q%q,CENSUS_ADJ
2021,77796349,05-09,M,Other,526759,575594,532095,618944,1362,24810,-37856,8269,254275,13238,0.9152,3.67,0.0344,2024-Q%q,COHORTCOMP
2031,94644057,35-39,M,SC,750894,910206,832363,957135,30248,48974,27223,7282,467057,9355,0.9073,3.25,0.0226,2022-Q%q,CENSUS_ADJ
2030,44770495,80-84,X,ST,304575,380079,349227,411297,18334,11662,43362,6440,5112,11701,0.9153,2.38,0.0077,2021-Q%q,TREND
2038,64780268,00-04,X,Other,1882801,2328186,2212542,2513268,48399,24123,-9639,-863,399826,16407,0.9936,2.76,0.0461,2022-Q%q,TREND
