econ_compare_comparison_year,econ_compare_region_grouping_scheme,econ_compare_region_a_code,econ_compare_region_b_code,econ_compare_metric_name,econ_compare_metric_value_region_a,econ_compare_metric_value_region_b,econ_compare_absolute_difference,econ_compare_percent_difference,econ_compare_rank_region_a,econ_compare_rank_region_b,econ_compare_percentile_region_a,econ_compare_percentile_region_b,econ_compare_inequality_gini_estimate,econ_compare_cost_of_living_index,econ_compare_housing_affordability_index,econ_compare_tax_burden_index,econ_compare_job_growth_rate_pct,econ_compare_population_growth_rate_pct,econ_compare_composite_score
2024,METRO_TIER,REG_A_00000,REG_B_00000,HOUSING_AFFORD,51.31,85.206,-33.896,-39.781,80,35,1.97,11.22,0.3905,78.602,52.174,18.098,19.932,4.475,83.392
2024,COASTAL_INLAND,REG_A_00001,REG_B_00001,POP_GROWTH,40.866,4.96,35.906,723.911,38,94,66.37,74.64,0.2224,162.728,78.337,13.174,9.707,3.579,91.315
2025,METRO_TIER,REG_A_00002,REG_B_00002,INFLATION_CPI,39.99,72.874,-32.884,-45.124,47,33,89.68,54.64,0.3264,166.021,73.804,18.131,-7.392,11.842,75.302
2019,REGION_ZONE,REG_A_00003,REG_B_00003,INFLATION_CPI,11.551,90.788,-79.237,-87.277,89,95,65.21,99.83,0.3871,77.024,86.909,23.688,12.829,10.22,4.077
2025,REGION_ZONE,REG_A_00004,REG_B_00004,INFLATION_CPI,4.324,97.583,-93.259,-95.569,92,88,13.03,84.05,0.5355,129.056,84.632,29.997,9.557,13.13,38.847
2022,STATE_UT,REG_A_00005,REG_B_00005,STARTUP_DENSITY,40.511,43.508,-2.997,-6.888,8,47,69.03,4.82,0.2516,169.337,119.16,31.056,-7.075,9.625,84.535
2016,STATE_UT,REG_A_00006,REG_B_00006,UNEMP_RATE,41.402,26.867,14.535,54.1,36,19,20.47,44.14,0.3741,122.739,85.311,9.299,15.909,7.425,59.167
2021,DISTRICT_CLUSTER,REG_A_00007,REG_B_00007,POP_GROWTH,99.536,25.454,74.082,291.043,3,48,70.67,64.51,0.2836,145.531,63.328,22.886,18.886,-0.263,8.084
2023,DISTRICT_CLUSTER,REG_A_00008,REG_B_00008,INFLATION_CPI,5.196,5.467,-0.271,-4.957,12,24,20.75,54.59,0.318,87.33,52.326,27.841,8.838,4.084,55.438
2025,METRO_TIER,REG_A_00009,REG_B_00009,HOUSING_AFFORD,1.898,16.724,-14.826,-88.651,42,30,3.46,54.25,0.2259,146.008,42.771,34.68,1.105,-4.48,52.503
2017,COASTAL_INLAND,REG_A_00010,REG_B_00010,WAGE_GROWTH,17.085,20.537,-3.452,-16.809,84,35,47.48,74.29,0.5334,83.841,53.579,27.156,13.258,-4.899,33.655
2025,REGION_ZONE,REG_A_00011,REG_B_00011,INFLATION_CPI,22.727,75.111,-52.384,-69.742,41,56,45.45,48.66,0.2096,98.682,57.645,15.644,13.301,10.536,34.314
