econ_consumer_transaction_week,econ_consumer_merchant_category_code,econ_consumer_payment_channel_type,econ_consumer_spend_amount_inr,econ_consumer_transaction_count,econ_consumer_unique_cardholders,econ_consumer_median_ticket_size,econ_consumer_share_online_pct,econ_consumer_share_instore_pct,econ_consumer_refund_rate_pct,econ_consumer_chargeback_rate_pct,econ_consumer_new_customer_share_pct,econ_consumer_repeat_customer_share_pct,econ_consumer_income_segment,econ_consumer_age_segment,econ_consumer_device_type,econ_consumer_daypart_peak,econ_consumer_holiday_effect_flag,econ_consumer_weather_sensitivity_score,econ_consumer_privacy_aggregation_level
2020-W15,8062,CashOnDelivery,17220058.49,176390,10340,3617.33,29.99,70.01,0.49,0.157,23.29,72.12,Lower_Middle,25_34,POS,Morning,N,0.4737,National
2020-W22,4511,CashOnDelivery,47162638.94,5884,41541,1920.82,74.09,25.91,5.57,2.985,10.41,78.21,Low,35_44,iOS,Evening,Y,0.8104,City
2019-W32,4789,NetBanking,25283520.67,218483,116568,2805.06,52.28,47.72,10.58,1.104,38.13,95.11,High,35_44,Web,Morning,N,0.9853,City
2023-W48,5999,UPI,264835.94,211772,4864,4426.67,46.03,53.97,5.17,2.709,27.65,57.09,Lower_Middle,45_54,iOS,Evening,Y,0.8784,District
2019-W37,5732,Wallet,29334755.75,151378,95403,580.46,25.44,74.56,2.4,0.456,29.97,81.78,Low,35_44,iOS,Midday,Y,0.1596,District
2025-W46,5999,CashOnDelivery,58596829.15,136589,58382,3190.56,12.38,87.62,3.14,2.649,24.08,73.96,High,35_44,POS,Night,N,0.8365,PinCodeCluster
2020-W18,5912,Wallet,42208978.33,224133,99522,3402.57,51.79,48.21,10.12,0.418,13.03,56.17,Upper_Middle,55_64,Web,Night,N,0.5426,District
2021-W52,5311,NetBanking,33582990.13,18202,58376,1463.79,65.61,34.39,8.21,0.731,33.88,75.82,Upper_Middle,35_44,iOS,Evening,N,0.3891,National
2023-W27,4722,Wallet,18090608.55,65681,105907,378.21,44.76,55.24,6.42,1.194,6.35,57.09,Upper_Middle,35_44,Web,Morning,N,0.3975,District
2020-W34,5411,Wallet,27156566.97,221717,25481,3991.83,39.31,60.69,7.58,0.495,38.64,42.67,Middle,65_plus,Web,Morning,Y,0.65,State
2022-W03,5411,Wallet,12098371.71,15327,50076,3412.06,7.9,92.1,8.98,1.127,35.51,85.08,Upper_Middle,18_24,Web,Midday,N,0.9326,City
2021-W16,8062,BNPL,73822.55,44413,100950,1995.45,33.97,66.03,10.91,1.494,38.83,64.78,High,65_plus,Android,Morning,Y,0.47,PinCodeCluster
2019-W21,5999,NetBanking,39747365.68,244412,115274,1004.64,39.46,60.54,7.84,0.022,9.03,83.1,Upper_Middle,65_plus,Web,Evening,N,0.2721,State
2021-W13,5541,Card,39680837.57,228996,80825,4471.95,74.1,25.9,10.12,0.32,7.65,90.74,Middle,55_64,FeaturePhone,Night,N,0.6636,PinCodeCluster
2023-W33,5912,CashOnDelivery,19893181.91,161378,3647,477.95,64.33,35.67,2.61,2.842,28.6,53.41,Middle,65_plus,FeaturePhone,Evening,N,0.4735,National
2025-W19,4789,NetBanking,36538091.17,249377,102215,2767.11,86.64,13.36,1.94,0.074,34.17,62.93,Lower_Middle,55_64,FeaturePhone,Morning,N,0.9911,State
2025-W39,5999,Card,58990257.78,128008,89863,2672.5,42.88,57.12,10.67,1.465,15.44,12.96,Low,35_44,POS,Morning,N,0.7849,State
2020-W41,5812,UPI,2631996.48,151327,52211,3846.54,89.29,10.71,10.24,1.275,28.51,11.73,High,25_34,iOS,Evening,N,0.2638,PinCodeCluster
2023-W21,4900,CashOnDelivery,7787523.69,145448,86453,3244.85,40.76,59.24,4.39,1.816,4.03,39.96,Middle,45_54,Android,Night,Y,0.0747,District
2021-W29,5541,Wallet,32052927.59,27029,67509,3366.06,76.09,23.91,7.68,0.532,10.66,50.7,Low,45_54,FeaturePhone,Night,N,0.3037,City
2023-W31,4111,UPI,42729861.49,144874,85425,4103.42,40.13,59.87,4.71,1.296,37.54,71.64,Upper_Middle,18_24,Web,Night,N,0.9124,District
2020-W17,4722,Wallet,40435664.42,69536,10850,2573.84,34.98,65.02,8.12,0.533,21.0,24.09,Middle,25_34,FeaturePhone,Evening,Y,0.0617,PinCodeCluster
2023-W29,5999,UPI,14610773.07,177274,71415,1459.79,14.66,85.34,1.8,2.667,38.59,37.6,Lower_Middle,65_plus,Web,Night,Y,0.9742,PinCodeCluster
2025-W10,8062,Wallet,48647747.42,103114,44530,2300.88,26.91,73.09,6.45,0.969,33.46,72.38,Lower_Middle,35_44,Web,Morning,N,0.4439,District
2024-W36,4814,CashOnDelivery,55992175.73,121212,88806,1660.65,23.23,76.77,0.43,1.689,18.05,80.28,Lower_Middle,25_34,Android,Midday,Y,0.3168,State
2025-W40,5732,UPI,43601630.08,202560,98165,941.32,16.77,83.23,9.36,0.36,31.85,45.56,Low,25_34,FeaturePhone,Midday,N,0.307,PinCodeCluster
2023-W15,4722,UPI,14123501.21,79010,79996,450.12,69.67,30.33,9.16,2.454,24.26,43.6,Low,18_24,iOS,Midday,Y,0.7457,PinCodeCluster
2019-W48,5311,Wallet,34395870.73,26929,49015,3569.85,84.05,15.95,4.8,0.518,23.32,18.6,Lower_Middle,45_54,Android,Morning,Y,0.968,City
2024-W01,8062,Wallet,17645157.52,172341,66685,3091.23,56.47,43.53,5.21,0.044,5.87,38.51,High,55_64,Android,Morning,Y,0.6578,City
2022-W22,4814,BNPL,49967980.6,168300,30137,3349.68,82.34,17.66,0.32,1.106,26.27,53.44,Lower_Middle,18_24,Android,Midday,N,0.7883,PinCodeCluster
2019-W47,5411,UPI,2646361.97,56344,475,4241.31,61.07,38.93,3.81,2.235,31.75,91.74,High,45_54,Web,Evening,N,0.4203,State
2022-W15,5411,CashOnDelivery,42975514.02,20055,45026,1853.24,48.58,51.42,4.66,2.607,36.07,95.91,Middle,45_54,Android,Evening,Y,0.0864,District
2022-W24,4789,Wallet,8479983.13,215124,38876,1458.03,59.63,40.37,6.1,1.552,21.01,40.47,Middle,45_54,POS,Morning,N,0.574,PinCodeCluster
2022-W43,8062,BNPL,53677107.98,100568,108973,1397.69,19.5,80.5,8.41,0.261,3.11,58.87,Upper_Middle,55_64,Web,Midday,N,0.4998,City
2024-W35,4722,CashOnDelivery,49458506.94,108485,15553,853.77,54.27,45.73,0.26,0.536,31.67,55.15,Middle,55_64,POS,Morning,Y,0.2365,City
2023-W47,4722,Card,9779146.8,128072,37066,2110.44,60.35,39.65,5.63,0.894,7.11,61.91,Middle,65_plus,Android,Evening,N,0.6016,PinCodeCluster
