econ_output_mospi_release_quarter,econ_output_district_cluster_code,econ_output_industry_nic_2,econ_output_gross_output_current_inr,econ_output_gross_output_real_chain,econ_output_value_added_current_inr,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_ncoial_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2025-Q2,DCL100000,94,167354081775.81,131851582734.94,40066628304.92,76576774041.24,89338481389.74,175851.95,10537106646.57,27983873408.68,4617679894.87,14211184023.54,11103633942.38,3222150645.01,168.28,1501932,121.502,R2,2011
2018-Q4,DCL100001,33,153283120550.2,437406932.94,103312463284.89,24456794465.94,43467547952.83,284952.53,64111868571.93,7656838136.68,2490109860.18,893862711.12,11178526322.16,7830853347.35,132.563,2904546,69.319,R2,2021
2020-Q4,DCL100002,95,127492339047.55,104016175375.23,99512763746.5,22617490550.77,157168910231.1,305208.44,23507853652.57,6106754376.08,1451329441.03,14700952612.96,4963332057.76,348262708.22,180.302,1484152,79.205,R0,2012
2017-Q1,DCL100003,90,161592743635.13,102429321696.81,98185244970.43,28447627788.42,34429608674.12,359501.04,61886340198.48,3648880469.42,8658055452.5,11721192779.0,6873135174.9,1539081441.91,107.629,2904604,156.124,R2,2017
2017-Q4,DCL100004,92,102144084327.64,104497144399.13,16787494495.92,12658239391.42,129943304698.13,316632.56,23108358674.84,16673894913.34,5587148183.6,7771785127.82,9615726683.13,2483832043.38,105.112,1395949,129.978,R1,2016
2017-Q2,DCL100005,36,29081364858.99,7879616494.31,81481963253.69,65658130239.6,43528010875.62,341417.45,39493841379.12,17283666001.84,1889145642.83,4716243863.43,868006715.88,6073587730.99,169.72,2785752,94.571,R2,2018
2017-Q4,DCL100006,68,46236931450.58,73703781999.65,22118043490.18,85083130267.28,25514016250.51,63042.35,56743930076.64,27235550399.17,8047162500.84,18041469606.5,3511847302.96,1276820941.46,187.177,1058876,98.947,R3,2022
2022-Q4,DCL100007,28,38039778131.5,46037272341.28,44740776141.07,80791487248.97,142925681500.77,419515.74,41966152252.04,21950226591.23,9095315418.04,6534319161.65,3110321530.26,6835177292.67,120.847,547828,75.673,R3,2023
2021-Q1,DCL100008,69,83651862824.86,107966288496.98,8959693835.08,61612054103.51,15619220707.42,158664.48,16612903921.47,4026821054.68,700274435.73,9648092354.96,6038196943.89,81730554.28,136.766,2305794,134.431,R0,2011
2019-Q2,DCL100009,23,12324116196.75,92832992330.11,24587890986.6,53267093249.22,73941281029.24,276817.57,51824267418.01,27752382678.14,6405688972.92,8340595877.03,8586947899.34,4401237104.23,153.467,258689,88.744,R3,2023
