econ_prices_pricing_month,econ_prices_cpi_item_code,econ_prices_cpi_area_code,econ_prices_cpi_index_level,econ_prices_cpi_monthly_change_pct,econ_prices_cpi_12mo_change_pct,econ_prices_ppi_commodity_code,econ_prices_ppi_index_level,econ_prices_energy_price_index,econ_prices_shelter_cost_index,econ_prices_food_at_home_index,econ_prices_food_away_index,econ_prices_medical_care_index,econ_prices_transportation_index,econ_prices_core_cpi_ex_food_energy,econ_prices_seasonal_adjustment_flag,econ_prices_base_period_reference,econ_prices_imputed_value_flag,econ_prices_outlier_detection_score,econ_prices_publication_series
2025-12,CPI_HEALTH_0000,CPIA_METRO_B_000,181.917,2.308,2.575,PPI_CHEMICALS_0000,130.543,220.683,207.419,225.636,202.853,138.474,224.098,186.449,Y,2012=100,N,0.61,CPI-Combined
2025-06,CPI_MEAT_FISH_0001,CPIA_METRO_A_001,92.37,3.222,8.142,PPI_PETROLEUM_0001,179.933,251.931,175.445,112.119,231.383,193.582,92.632,115.773,Y,2012=100,Y,0.3212,WPI-All
2025-11,CPI_FOOTWEAR_0002,CPIA_URBAN_002,131.708,0.738,4.469,PPI_CHEMICALS_0002,97.562,176.983,109.036,155.763,139.16,177.205,192.951,100.839,Y,2012=100,Y,0.9677,WPI-Core
2021-04,CPI_CEREALS_0003,CPIA_METRO_A_003,149.805,-0.902,9.622,PPI_PAPER_0003,134.993,137.206,182.924,125.862,228.427,141.965,94.71,173.028,N,2020=100,Y,0.0332,WPI-Core
2022-02,CPI_MILK_0004,CPIA_METRO_B_004,202.696,-0.894,10.393,PPI_TEXTILES_0004,169.613,147.295,93.628,137.914,160.767,155.76,211.13,115.902,N,2020=100,Y,0.0011,CPI-IW
2023-07,CPI_MEAT_FISH_0005,CPIA_METRO_A_005,176.821,-1.137,9.449,PPI_PAPER_0005,151.617,190.418,172.583,123.925,96.428,150.88,91.125,172.02,N,2018=100,Y,0.7307,CPI-IW
2022-03,CPI_CLOTHING_0006,CPIA_COMBINED_006,176.967,3.288,6.378,PPI_PAPER_0006,89.844,211.688,156.772,109.782,131.649,173.052,155.544,147.796,Y,2020=100,N,0.5234,Retail-PricePanel
2022-12,CPI_EDUCATION_0007,CPIA_TIER2_007,168.358,1.423,4.486,PPI_TEXTILES_0007,89.917,135.221,167.022,104.049,97.676,190.96,220.657,136.83,Y,2018=100,N,0.3001,Retail-PricePanel
2025-12,CPI_CLOTHING_0008,CPIA_METRO_A_008,138.43,-0.688,8.431,PPI_CEMENT_0008,153.17,83.059,150.513,218.888,147.431,172.058,152.976,152.892,Y,2012=100,N,0.8318,CPI-IW
2024-01,CPI_HEALTH_0009,CPIA_RURAL_009,152.344,-1.055,3.854,PPI_STEEL_0009,179.029,220.527,153.367,214.227,131.365,112.264,147.096,171.985,N,2020=100,N,0.3824,CPI-Combined
2022-09,CPI_FOOTWEAR_0010,CPIA_METRO_A_010,128.693,2.029,1.351,PPI_STEEL_0010,140.42,182.336,124.807,98.719,147.648,201.217,212.594,169.135,N,2020=100,Y,0.6072,WPI-Core
2022-06,CPI_PULSES_0011,CPIA_URBAN_011,115.983,0.022,8.863,PPI_PAPER_0011,93.697,248.812,132.55,124.139,123.673,181.714,142.532,141.39,N,2012=100,N,0.9818,WPI-All
2025-08,CPI_MEAT_FISH_0012,CPIA_TIER3_012,161.549,0.877,5.735,PPI_STEEL_0012,139.527,187.706,106.021,92.696,180.003,92.626,225.406,195.155,Y,2018=100,N,0.2349,CPI-IW
2019-10,CPI_FOOTWEAR_0013,CPIA_URBAN_013,200.969,1.444,9.922,PPI_FERTILIZER_0013,127.981,218.035,169.871,234.718,141.966,167.075,97.631,189.606,N,2020=100,N,0.3551,CPI-IW
2020-10,CPI_MEAT_FISH_0014,CPIA_RURAL_014,135.164,-0.765,1.738,PPI_AUTO_PARTS_0014,151.52,124.975,93.45,169.937,93.258,181.519,234.535,208.645,N,2020=100,N,0.0019,WPI-Core
2021-10,CPI_PULSES_0015,CPIA_TIER3_015,90.16,1.389,0.811,PPI_ELECTRICITY_0015,153.234,106.427,201.364,134.431,188.737,144.491,155.871,94.278,N,2020=100,Y,0.2492,CPI-Combined
2022-03,CPI_TRANSPORT_0016,CPIA_URBAN_016,121.792,-0.043,2.561,PPI_ELECTRICITY_0016,105.053,133.67,203.671,119.357,86.111,113.214,196.12,122.693,Y,2012=100,N,0.3165,CPI-Combined
2021-08,CPI_TRANSPORT_0017,CPIA_URBAN_017,180.908,1.796,3.612,PPI_PAPER_0017,99.434,149.686,144.332,161.597,133.306,216.288,235.417,145.029,Y,2012=100,N,0.3017,WPI-All
2018-12,CPI_HEALTH_0018,CPIA_TIER3_018,196.684,1.507,2.569,PPI_FERTILIZER_0018,159.41,150.237,135.182,201.005,87.312,209.497,99.742,151.988,Y,2020=100,Y,0.9775,CPI-IW
2020-11,CPI_PULSES_0019,CPIA_TIER2_019,105.698,3.097,5.59,PPI_CHEMICALS_0019,155.851,255.627,98.553,158.324,118.959,139.709,135.781,147.787,Y,2012=100,N,0.394,CPI-Combined
