edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_inr,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_nic,edu_credential_occupation_alignment_nco,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2016-Q1,TP20915,Certificate,NSQF_7,491,185990.7,1043,67.82,6.57,9703.72,64,210146,Y,Y,Y,57.17,90,N,N,91.09
2017-Q3,TP47943,SkillBadge,NSQF_7,1064,180770.49,1708,76.7,2.17,12872.03,59,786821,N,Y,N,77.26,103,Y,N,73.79
2025-Q2,TP38972,MicroCredential,NSQF_7,983,112460.6,1671,98.99,69.94,65208.73,94,144122,N,N,N,93.02,84,N,Y,2.95
2022-Q4,TP80387,Apprenticeship,NSQF_5,180,49626.45,456,53.02,81.28,53197.72,73,220379,Y,Y,Y,61.73,120,Y,Y,68.85
2016-Q3,TP40242,LicensePrep,NSQF_5,68,141868.48,2441,79.15,24.41,13233.71,46,522283,Y,Y,N,35.83,94,N,N,12.39
2016-Q2,TP76318,SkillBadge,NSQF_1,1263,244831.1,2455,84.19,28.11,24876.95,20,424089,N,N,N,89.68,98,Y,Y,12.72
2019-Q1,TP75571,Apprenticeship,NSQF_2,1127,183588.33,1930,80.82,40.69,115358.21,89,641278,N,Y,Y,1.84,58,Y,Y,63.39
2017-Q4,TP35419,Certificate,NSQF_5,478,45864.28,1931,99.28,62.46,103591.01,96,927737,N,N,N,5.0,15,Y,N,92.55
2017-Q4,TP24897,LicensePrep,NSQF_3,1428,106222.03,1836,93.29,70.95,11142.41,61,728143,N,N,Y,58.31,48,N,N,17.88
2018-Q2,TP59331,LicensePrep,NSQF_6,1466,115858.47,1930,78.07,17.84,85081.09,52,763842,N,N,Y,44.25,45,Y,N,40.99
2023-Q1,TP59962,Certificate,NSQF_7,1409,223704.69,1242,75.64,16.51,105638.23,93,260787,N,N,N,57.84,112,Y,Y,91.51
2022-Q1,TP22948,Apprenticeship,NSQF_1,960,72410.26,1857,89.84,68.98,20583.71,90,210977,N,Y,Y,43.55,82,N,N,91.2
2024-Q4,TP45971,Apprenticeship,NSQF_3,1286,243962.96,2103,82.99,67.76,131202.0,72,487628,Y,N,N,68.04,46,N,Y,62.9
2025-Q4,TP47694,MicroCredential,NSQF_7,1736,115346.43,1196,71.62,43.43,96958.71,03,166055,Y,N,Y,14.59,84,N,Y,27.28
2024-Q3,TP63959,SkillBadge,NSQF_6,1224,85493.4,360,82.76,33.18,19141.93,55,020419,Y,Y,Y,18.71,9,N,N,10.46
2019-Q3,TP22643,Apprenticeship,NSQF_2,973,56152.94,1152,66.44,40.63,15825.76,06,043299,N,N,N,24.09,112,Y,Y,16.82
2016-Q3,TP56690,LicensePrep,NSQF_4,873,215717.33,2467,85.96,5.29,72176.89,87,032440,Y,N,Y,12.44,91,N,N,37.75
2020-Q4,TP93360,Apprenticeship,NSQF_2,440,147354.85,697,63.36,17.37,30368.76,85,103407,N,N,Y,65.88,76,Y,Y,22.48
2017-Q2,TP63613,Apprenticeship,NSQF_4,645,117322.26,2093,81.6,53.33,120408.42,40,041436,N,N,Y,10.79,101,Y,N,5.59
2020-Q4,TP46647,Certificate,NSQF_7,1261,12616.73,1515,77.53,88.19,93757.09,59,784625,N,Y,Y,0.4,4,N,N,82.81
2023-Q2,TP15036,Diploma,NSQF_1,713,205390.04,1286,62.73,86.36,70141.06,07,808047,N,N,N,30.62,96,Y,N,42.5
2024-Q4,TP91807,Certificate,NSQF_6,1015,77335.58,1794,71.11,5.24,29000.48,17,913685,N,Y,N,74.2,48,N,Y,3.91
2021-Q3,TP42418,SkillBadge,NSQF_5,1493,227585.09,830,97.53,59.37,116405.28,08,301158,N,Y,Y,7.13,75,Y,N,69.58
2023-Q3,TP20327,MicroCredential,NSQF_6,533,9867.8,2362,86.77,13.92,77709.03,98,555230,N,N,Y,18.36,50,N,Y,44.63
2022-Q4,TP23529,Diploma,NSQF_4,589,247001.81,1677,92.04,49.85,96408.64,20,203258,Y,N,N,3.98,114,N,Y,74.11
2017-Q3,TP76824,Certificate,NSQF_3,584,136367.26,2271,91.54,38.73,13644.36,45,326921,N,Y,N,49.41,104,Y,Y,59.65
2024-Q4,TP39890,LicensePrep,NSQF_7,1512,166017.74,2247,96.6,68.13,93343.09,93,505957,Y,Y,Y,33.43,37,N,N,72.97
2024-Q1,TP45044,Certificate,NSQF_6,227,16655.72,1481,87.79,3.34,102017.73,44,527873,Y,Y,N,62.44,51,Y,N,95.33
2023-Q2,TP48732,Diploma,NSQF_4,24,154344.56,1405,87.48,74.17,24692.3,86,511909,Y,Y,Y,85.71,2,N,Y,51.14
2019-Q4,TP63689,LicensePrep,NSQF_4,1644,25647.15,1030,57.29,35.69,100727.01,06,813519,Y,Y,N,41.31,19,N,Y,27.99
2021-Q2,TP20744,LicensePrep,NSQF_5,1166,133899.08,1066,67.47,33.53,14668.86,55,836411,N,N,Y,98.39,40,Y,N,38.01
2022-Q3,TP71640,SkillBadge,NSQF_6,500,107567.49,349,74.41,40.36,126930.06,58,350674,N,N,Y,0.26,18,Y,Y,29.42
2023-Q3,TP95780,Diploma,NSQF_7,444,25246.39,128,42.38,8.78,114409.79,19,477059,N,N,Y,97.88,78,Y,N,45.02
2016-Q4,TP91128,LicensePrep,NSQF_5,192,172293.61,140,77.35,93.76,69187.22,36,637545,Y,Y,Y,25.88,34,Y,N,70.07
2024-Q2,TP90155,Apprenticeship,NSQF_6,914,67144.59,1189,74.97,92.81,78490.44,27,462071,Y,Y,N,5.56,30,Y,Y,45.08
2019-Q3,TP42278,MicroCredential,NSQF_2,38,239761.04,199,21.42,74.69,58671.65,71,252054,Y,Y,Y,85.34,28,Y,N,74.3
2017-Q4,TP36580,SkillBadge,NSQF_5,715,195214.32,1405,93.67,17.7,93338.3,40,490490,Y,Y,Y,62.82,113,N,Y,29.11
2024-Q3,TP57692,Diploma,NSQF_7,1691,107348.45,1622,73.19,19.75,27116.09,63,301032,N,N,Y,2.0,75,Y,N,57.29
2023-Q3,TP74283,LicensePrep,NSQF_4,395,17163.05,812,60.33,42.74,7342.75,16,072368,N,N,N,54.04,68,Y,N,98.32
2020-Q2,TP91694,Apprenticeship,NSQF_6,624,193426.76,865,60.15,66.98,61231.0,70,815650,Y,N,Y,99.26,102,Y,N,31.79
2021-Q4,TP76272,Diploma,NSQF_2,263,43725.11,1228,78.07,24.18,24252.54,73,834354,Y,Y,N,15.43,8,Y,Y,60.04
2016-Q1,TP83927,SkillBadge,NSQF_1,591,218206.12,320,29.99,31.67,23309.99,87,688558,N,N,N,45.13,83,Y,Y,60.15
2017-Q3,TP27143,Apprenticeship,NSQF_3,1134,176072.74,976,87.07,72.67,47547.37,84,234586,Y,Y,Y,94.85,51,Y,Y,19.3
2024-Q1,TP36195,MicroCredential,NSQF_4,220,220983.96,996,57.87,19.53,123495.24,87,504152,Y,Y,N,30.79,7,N,Y,82.99
2024-Q2,TP58697,Diploma,NSQF_3,1189,209585.71,480,55.11,63.55,104272.32,29,606505,N,N,Y,12.16,54,N,Y,51.59
2020-Q4,TP27570,SkillBadge,NSQF_4,1007,96262.4,43,8.3,45.72,78863.19,58,668110,Y,Y,N,83.64,30,N,Y,5.4
2020-Q3,TP12688,MicroCredential,NSQF_1,909,80365.75,98,15.34,92.39,54559.26,70,020448,N,N,N,83.51,111,N,N,9.48
2019-Q1,TP36733,SkillBadge,NSQF_2,577,223279.01,220,22.92,23.77,20807.35,43,173305,N,Y,N,34.14,7,N,N,55.52
2017-Q3,TP46404,Diploma,NSQF_7,1593,87774.39,234,44.32,84.21,23313.72,51,823034,N,Y,N,52.82,72,N,Y,34.1
2022-Q3,TP30124,Diploma,NSQF_7,1025,143063.64,2310,80.49,80.22,84559.71,31,923302,N,Y,N,98.53,115,Y,N,81.77
2016-Q2,TP95517,Apprenticeship,NSQF_6,323,42896.39,2080,73.27,81.29,88633.79,75,356297,Y,N,N,41.61,63,Y,N,8.31
2017-Q3,TP49452,LicensePrep,NSQF_1,1121,235348.78,2456,86.48,31.62,63702.02,24,292597,Y,N,Y,43.07,55,Y,N,13.04
2023-Q2,TP87675,SkillBadge,NSQF_2,1396,174938.06,236,27.76,19.25,123405.37,91,225523,Y,Y,Y,43.54,29,N,N,21.88
2018-Q1,TP97308,SkillBadge,NSQF_4,1426,30034.19,194,89.81,40.91,118982.87,12,982665,Y,Y,Y,92.79,53,Y,Y,42.39
2018-Q4,TP23631,Certificate,NSQF_7,1151,238465.71,283,31.66,88.21,114103.98,98,830636,N,Y,N,48.94,119,N,Y,89.66
2024-Q4,TP25879,Certificate,NSQF_2,1555,123601.56,2338,86.18,57.31,75833.12,62,944916,Y,N,N,66.85,114,Y,Y,44.8
2024-Q2,TP39905,Certificate,NSQF_3,1722,58420.85,939,57.01,1.83,50714.03,58,204637,N,Y,Y,3.16,11,Y,N,0.81
2018-Q3,TP99020,MicroCredential,NSQF_5,491,128172.89,1806,80.05,73.59,15466.59,91,272933,Y,Y,Y,71.49,107,Y,N,60.99
2022-Q3,TP48292,Certificate,NSQF_1,1119,211316.87,354,34.01,85.03,85349.19,56,731826,N,N,Y,27.82,112,N,Y,82.89
2020-Q2,TP39954,Certificate,NSQF_3,230,40959.88,801,64.18,76.24,131045.21,11,080485,Y,N,Y,0.76,4,N,N,35.92
2016-Q3,TP87769,LicensePrep,NSQF_7,1762,18503.28,1619,69.97,86.27,93243.71,77,175170,Y,Y,N,3.32,118,N,N,79.96
