edu_enroll_collection_date,edu_enroll_campus_id,edu_enroll_enrollment_total,edu_enroll_enrollment_by_grade_band,edu_enroll_new_entries_count,edu_enroll_withdrawals_count,edu_enroll_mobility_rate_pct,edu_enroll_average_daily_attendance,edu_enroll_seat_capacity,edu_enroll_class_size_average,edu_enroll_teacher_vacancy_count,edu_enroll_substitute_fill_rate_pct,edu_enroll_transport_ridership_count,edu_enroll_meal_program_participation,edu_enroll_after_school_participation,edu_enroll_internet_device_access_rate,edu_enroll_learning_loss_indicator,edu_enroll_weather_closure_days,edu_enroll_instructional_minutes_week,edu_enroll_data_quality_flag
2022-09-25,UDCAMP759740,127,HigherSecondary(11-12):1859,183,47,16.95,92,1325,38.15,75,88.39,3307,12.76,39.05,25.99,Mild,3,1265,FAIL
2020-05-12,UDCAMP362217,2893,Secondary(9-10):1739,59,103,19.34,2268,3077,24.97,45,84.16,743,93.98,13.36,32.98,Mild,28,1556,FAIL
2019-06-13,UDCAMP692628,3059,HigherSecondary(11-12):2075,169,74,34.21,2861,3706,52.81,112,65.99,654,34.67,30.13,94.43,Moderate,39,1566,FAIL
2025-07-21,UDCAMP162926,3723,UpperPrimary(6-8):1048,13,157,12.13,2531,4033,21.1,44,44.1,1471,77.93,30.68,57.01,Mild,24,1406,WARN
2026-05-11,UDCAMP843429,1808,Secondary(9-10):1312,221,77,23.33,1409,2274,38.46,16,88.82,64,18.66,41.26,48.32,Mild,27,1317,FAIL
2021-04-28,UDCAMP967523,260,UpperPrimary(6-8):1455,149,154,4.45,190,641,30.88,94,73.94,621,53.05,42.3,93.25,Moderate,29,1371,OK
2019-10-08,UDCAMP983896,3859,Primary(1-5):680,239,73,9.57,3181,4460,50.4,71,98.21,3361,45.87,27.34,83.09,Severe,8,1966,WARN
2021-09-16,UDCAMP919724,4496,Primary(1-5):247,95,107,22.75,4398,5957,19.12,114,76.26,2240,2.12,6.56,70.23,Mild,29,1165,FAIL
2023-10-23,UDCAMP526871,2372,UpperPrimary(6-8):1951,58,157,1.87,2171,2965,37.55,21,66.99,1595,65.38,55.42,81.99,Severe,1,1326,OK
2023-05-03,UDCAMP432517,1026,HigherSecondary(11-12):1164,43,90,3.5,663,1165,44.88,65,16.32,2740,88.01,45.32,20.7,None,25,1685,FAIL
