edu_finance_fiscal_year,edu_finance_lea_id,edu_finance_revenue_local,edu_finance_revenue_state,edu_finance_revenue_federal,edu_finance_expenditure_instruction,edu_finance_expenditure_support_services,edu_finance_expenditure_capital,edu_finance_expenditure_debt_service,edu_finance_teacher_salary_average,edu_finance_administrator_salary_average,edu_finance_benefits_cost_total,edu_finance_facility_condition_index,edu_finance_technology_spend_per_student,edu_finance_transport_spend_per_student,edu_finance_special_ed_spend_share_pct,edu_finance_ell_program_spend_share_pct,edu_finance_fund_balance_end_year,edu_finance_pension_liability_estimate,edu_finance_audit_finding_count
2025,LEA428765,12142483502.97,3659521306.84,425537491.73,7549760801.47,571291795.7,7765412797.29,2516686043.47,724355.76,2353873.65,2878529338.63,7.77,7073.21,20546.86,17.13,13.53,5430252904.24,2238414225.05,36
2019,LEA762557,14020802094.05,18899622177.8,2142910456.48,1429391053.66,12755584907.44,5512949561.57,2847378631.67,303219.79,1997767.81,3830017637.02,41.95,21225.59,16411.79,17.59,8.95,4127126031.93,11341284565.57,15
2019,LEA932692,6367029830.63,27076033904.84,4548076447.91,17223838013.67,189691977.17,3491206237.54,2337625208.23,754115.56,1106611.99,5744879626.66,64.3,14919.98,20498.05,11.73,8.94,555217385.05,689930023.49,0
2017,LEA840575,8155068499.98,22912752657.0,2993538406.43,8252552573.01,8768776485.02,3780086686.21,321345544.33,624814.55,845664.72,6752422936.16,65.59,1003.92,3034.26,8.43,5.35,2809358513.03,6088516827.6,19
2020,LEA322433,9199686861.51,21330298087.6,4203155038.85,7872159668.44,11498564957.55,6123683303.58,1850355350.99,314065.29,530770.12,6407195979.56,61.43,9253.02,9583.17,19.21,7.82,5817365603.48,2320467729.57,5
2022,LEA754731,1705180067.06,2955882336.08,2872478645.81,6649067863.2,11290141427.98,2125519728.29,1554076203.64,510434.55,1328048.86,998972043.74,71.54,14337.03,15119.75,4.55,5.16,1168691722.12,19015933580.44,10
2018,LEA414409,5608245507.79,12733271509.36,3450485076.62,3712335785.14,4605029027.99,2317180123.26,1921460550.56,558055.8,1011228.42,1411130640.94,73.21,4972.07,8827.17,13.2,14.82,1950378088.37,16676028817.24,17
2019,LEA349908,5227641438.29,16104820888.87,1920010756.36,17443037859.26,5483932360.16,2858108899.21,485041357.89,291499.79,333112.19,5486738412.6,45.22,22006.53,1367.71,3.35,14.77,1986181789.28,1689552300.61,1
2018,LEA649856,10683415689.39,16159956247.03,1884937767.16,3299494908.71,12633570776.88,7257666646.56,1279670816.74,989463.07,1875499.68,5138240293.39,11.57,24314.75,16363.63,4.1,10.37,2656135709.78,10249824327.36,30
2020,LEA725038,11207404843.19,21538021414.93,3083733557.75,479519072.91,6565679773.36,2268606639.96,1677233489.29,1083728.13,2374946.31,1555155789.71,24.28,5156.39,13275.93,16.68,0.01,4379689813.86,3819592807.17,5
2021,LEA929330,18839586335.41,6051574209.93,2429282174.13,3403824297.68,7567621894.68,3875121074.65,240005004.37,1142617.47,437627.21,3741293691.25,90.45,6779.71,4627.47,13.47,9.72,5508640982.0,934182637.14,26
2016,LEA662797,17542920581.4,9609088680.65,3301886997.87,23559948751.72,6884370053.08,7931347671.7,2850154514.94,1183528.0,1400355.1,3244037025.15,44.93,7070.85,2187.53,0.13,3.71,4783924710.78,15122553819.22,20
2018,LEA680577,11774444483.84,26884699008.44,4488649521.38,4826917519.35,11532941433.62,1348998812.79,2403793610.42,518423.06,391793.44,4605438045.26,37.04,284.71,16139.94,19.51,1.33,3593024849.43,1439462733.46,26
2016,LEA254615,14669307516.86,24556485900.61,191285277.17,2142008611.08,3817559896.25,5466657434.23,1454002516.03,799740.44,555327.75,769541225.19,68.35,569.58,21698.16,6.42,8.77,3261083139.6,17040370709.71,29
2018,LEA448034,3099625570.35,15405924657.35,4602890595.24,9287500252.05,1641506725.63,4391542226.85,1008967498.17,1140859.84,2396516.15,1219374820.24,27.64,21000.16,11576.11,17.2,7.3,4299492081.73,16120641696.56,5
2022,LEA977097,13630372038.16,8729435305.11,261535216.96,6111054929.82,13567286083.24,2929313389.7,2442901733.76,1123407.2,2385997.71,6303960536.58,41.55,21125.72,13894.61,9.71,14.73,931038013.8,2172017743.53,12
2023,LEA554228,6372164763.42,26050554481.28,1624063697.3,22297247105.68,5269643821.72,954031318.66,2695474008.56,704751.78,1923970.99,6167671330.77,65.14,3139.92,4921.6,6.43,14.72,773621074.82,14341345905.31,2
2022,LEA798073,19300675259.97,24956356477.35,209485518.56,24479936243.49,2667627469.08,7790057992.33,159732972.93,955011.02,1190147.49,3072576646.68,88.47,21858.01,3283.02,8.93,5.17,2388636484.03,18323436146.16,28
2022,LEA718672,13804588218.41,21008823760.8,2674478653.73,19640085830.93,9898416542.88,1993271565.0,1466724451.3,467314.35,2391549.71,6085321645.32,10.92,18637.07,1012.53,0.07,9.89,5537622204.88,11509846074.61,0
