edu_hiedpath_term_code,edu_hiedpath_institution_aishe_id,edu_hiedpath_program_cip_code,edu_hiedpath_student_level,edu_hiedpath_entry_status,edu_hiedpath_credits_attempted,edu_hiedpath_credits_completed,edu_hiedpath_gpa_term,edu_hiedpath_retention_next_term_flag,edu_hiedpath_transfer_out_flag,edu_hiedpath_completion_award_type,edu_hiedpath_time_to_degree_months,edu_hiedpath_student_debt_at_completion,edu_hiedpath_pell_grant_recipient_flag,edu_hiedpath_first_generation_flag,edu_hiedpath_online_course_load_pct,edu_hiedpath_internship_participation_flag,edu_hiedpath_postgrad_employment_rate,edu_hiedpath_median_earnings_1yr,edu_hiedpath_median_earnings_5yr
2017-SEM1,AISHE280593,CIP3952,Certificate,TransferIn,30,27,9.88,N,N,Diploma,22,1576509.77,N,N,54.88,Y,34.64,2068244.96,2745790.89
2024-SEM2,AISHE573981,CIP3141,UG,TransferIn,34,30,6.24,N,Y,Degree,79,1326785.52,Y,N,77.43,Y,70.22,641349.4,2329719.82
2022-TRI3,AISHE501687,CIP1577,UG,ReEntry,21,17,6.64,Y,Y,PG_Diploma,86,154299.44,Y,Y,99.93,Y,14.08,110668.51,440784.05
2018-SEM1,AISHE986248,CIP8521,PhD,Continuing,18,9,7.05,N,N,Certificate,80,1479140.57,N,N,95.6,Y,31.15,1009584.31,541079.77
2018-TRI3,AISHE327293,CIP9955,UG,Continuing,14,6,5.71,N,Y,Degree,65,1626644.93,Y,Y,9.79,N,25.44,1005081.5,3047738.16
2020-SEM2,AISHE950026,CIP1003,UG,FirstTime,22,20,8.55,Y,Y,Diploma,15,1547210.91,N,Y,90.96,Y,89.78,740499.95,1205955.61
2021-SEM1,AISHE425209,CIP4858,PhD,FirstTime,11,8,4.83,N,N,Diploma,18,1575493.9,N,Y,63.46,Y,80.57,1813158.86,1994047.2
2019-SEM1,AISHE178566,CIP5400,UG,Continuing,27,23,5.83,Y,N,Degree,44,1977515.84,N,N,50.59,Y,40.36,341092.47,1994579.07
2021-TRI1,AISHE558226,CIP7834,Diploma,ReEntry,22,16,6.35,Y,N,Certificate,91,1116349.23,N,N,17.0,N,69.62,596847.09,3932379.59
2016-TRI2,AISHE914285,CIP1635,UG,ReEntry,19,12,4.96,N,Y,PG_Diploma,92,998772.62,N,Y,86.59,Y,11.53,1742734.72,2078284.29
2019-TRI3,AISHE513960,CIP4838,Diploma,FirstTime,34,29,8.3,Y,N,Certificate,24,62041.79,Y,Y,39.74,N,79.3,1268929.22,1796358.51
2025-TRI3,AISHE620035,CIP2801,PhD,TransferIn,8,2,7.3,Y,N,PhD,63,373718.05,N,N,99.87,N,86.25,1782632.6,1077931.04
2023-TRI1,AISHE133519,CIP7133,PhD,ReEntry,17,16,7.94,N,Y,Certificate,75,348376.9,Y,Y,36.49,N,52.87,820308.17,5079146.96
2018-SEM2,AISHE269359,CIP6551,PhD,Continuing,21,12,9.77,N,N,Diploma,10,1663543.21,Y,Y,69.54,Y,79.78,820174.79,3067419.64
2023-SEM2,AISHE157767,CIP5020,Certificate,FirstTime,13,13,7.78,N,N,PhD,58,418374.31,Y,Y,63.44,Y,53.72,1608054.6,2466439.44
2016-TRI2,AISHE379735,CIP5258,Diploma,ReEntry,18,14,4.57,N,N,PhD,62,510805.77,Y,Y,39.99,N,33.81,2006818.79,2100314.09
2019-TRI2,AISHE732450,CIP5975,UG,FirstTime,26,25,8.73,Y,N,PG_Diploma,7,1387335.97,Y,N,25.37,Y,65.14,1076326.49,2556032.41
2016-SEM2,AISHE852890,CIP4513,Diploma,FirstTime,17,11,6.91,Y,Y,PhD,13,1832300.95,N,Y,91.89,N,39.19,1396577.4,3733585.5
2017-SEM2,AISHE334053,CIP7020,Diploma,ReEntry,23,19,9.04,N,Y,Degree,10,2032016.75,N,Y,52.89,N,44.6,1825801.11,4722611.72
2019-TRI3,AISHE641403,CIP4985,PG,TransferIn,26,20,7.97,N,Y,Degree,6,1017871.73,N,Y,62.08,N,24.82,1860299.99,4573107.2
2019-TRI2,AISHE187334,CIP5007,Certificate,TransferIn,12,11,6.38,Y,Y,PhD,89,1546722.34,N,Y,30.86,Y,29.06,287539.84,4811694.07
2021-SEM2,AISHE488745,CIP2846,Certificate,Continuing,16,8,6.51,Y,Y,Diploma,51,814630.61,N,Y,16.11,N,45.06,1357233.34,2236405.24
2024-SEM1,AISHE315274,CIP1608,PhD,TransferIn,11,11,8.2,Y,N,Certificate,88,2489234.33,Y,N,34.9,Y,28.02,380972.56,1775744.92
2019-TRI1,AISHE592672,CIP7611,UG,Continuing,19,11,7.99,Y,N,Certificate,68,798935.84,Y,Y,41.08,N,52.61,1424506.67,4307884.19
2016-TRI1,AISHE503749,CIP9439,Diploma,Continuing,20,20,4.33,Y,N,Certificate,84,413605.13,Y,Y,53.28,N,77.82,1157083.82,3354168.23
2024-TRI2,AISHE299616,CIP4146,Diploma,ReEntry,13,12,7.89,N,Y,PG_Diploma,91,2299438.54,Y,Y,40.15,Y,54.51,967333.42,3259352.52
2021-TRI3,AISHE753515,CIP8452,Certificate,TransferIn,16,8,8.04,Y,N,Certificate,67,954758.93,N,N,57.81,N,51.11,2068563.32,1957607.85
2021-TRI3,AISHE957773,CIP9665,Diploma,FirstTime,11,8,8.55,Y,N,Certificate,90,74511.95,Y,Y,33.57,Y,36.54,414774.83,4399456.51
2017-SEM2,AISHE196108,CIP9541,UG,FirstTime,29,27,8.42,Y,Y,Certificate,48,1784967.11,Y,N,59.05,Y,57.26,940513.08,3882420.12
2018-TRI3,AISHE984459,CIP2309,UG,ReEntry,27,18,6.2,Y,Y,Diploma,43,232826.54,N,Y,66.14,N,59.0,1961080.24,4229416.46
2025-SEM2,AISHE203533,CIP4786,Certificate,Continuing,22,13,8.49,Y,Y,PhD,32,2133193.23,Y,Y,70.95,Y,74.28,199987.77,4505527.92
2025-SEM1,AISHE590969,CIP4472,Diploma,ReEntry,11,5,8.99,Y,Y,Diploma,29,1997820.81,N,N,64.85,Y,71.75,949021.04,776169.77
2021-TRI2,AISHE663632,CIP6053,PhD,Continuing,16,8,5.25,Y,Y,PG_Diploma,7,426235.3,Y,Y,43.07,N,76.91,276195.22,800935.23
2018-SEM1,AISHE109179,CIP9784,UG,ReEntry,17,13,9.94,N,Y,Certificate,77,185890.33,N,Y,87.85,Y,44.0,537292.09,3937470.86
2022-SEM2,AISHE203446,CIP3937,Certificate,Continuing,31,24,4.07,N,N,Diploma,69,1398028.43,Y,N,95.14,N,35.6,1002123.65,3285385.24
2025-SEM2,AISHE958044,CIP8124,PG,Continuing,27,22,9.49,N,N,PhD,8,2481100.1,Y,Y,6.2,Y,40.44,459341.9,4507508.31
2016-SEM2,AISHE735091,CIP3075,PG,ReEntry,10,7,9.27,Y,Y,PhD,57,451368.13,Y,Y,63.38,Y,87.33,377954.45,1038010.39
2017-TRI2,AISHE861703,CIP3519,PG,Continuing,18,13,6.76,Y,Y,Diploma,8,796158.87,Y,Y,78.14,N,62.03,450296.77,3157645.94
2019-TRI1,AISHE350566,CIP7967,Diploma,TransferIn,11,10,6.88,N,Y,Certificate,19,622903.69,Y,Y,52.05,N,44.52,1818323.82,4691090.8
2020-TRI2,AISHE653355,CIP5409,PG,TransferIn,9,0,5.65,Y,Y,PG_Diploma,95,1630489.72,N,N,2.19,Y,23.14,560334.94,2201216.3
2018-SEM2,AISHE559655,CIP6560,UG,TransferIn,14,11,6.61,N,N,Certificate,69,2200751.98,Y,N,11.8,Y,86.2,1324563.77,4990393.13
2023-SEM2,AISHE496349,CIP8803,PhD,ReEntry,24,20,4.71,Y,N,Degree,49,2093369.73,N,Y,29.57,N,76.38,1757781.36,5148654.36
2017-SEM1,AISHE555242,CIP8945,Certificate,ReEntry,29,19,8.56,Y,N,Degree,31,1265759.37,N,N,0.17,N,91.66,1695938.78,5139829.41
2025-SEM1,AISHE247523,CIP6890,Diploma,Continuing,14,12,6.91,Y,Y,PG_Diploma,45,706472.25,N,Y,98.11,N,39.38,992292.67,102064.53
2016-TRI1,AISHE526912,CIP2000,PG,Continuing,22,22,8.42,Y,Y,Diploma,59,402181.16,N,N,75.28,Y,72.75,615898.19,4210724.28
2018-TRI3,AISHE868362,CIP6809,PG,FirstTime,16,5,9.86,N,N,Degree,31,2371508.68,N,N,28.48,Y,20.68,1731504.03,1638597.5
2016-TRI1,AISHE743875,CIP6088,PhD,TransferIn,33,22,4.83,N,Y,Degree,66,18879.35,Y,Y,23.5,N,67.7,588243.25,4524990.07
2022-SEM1,AISHE195847,CIP6670,PhD,ReEntry,35,26,6.08,N,N,PhD,26,1829409.1,Y,Y,48.91,N,75.82,441526.96,4203576.64
2024-SEM1,AISHE936277,CIP5155,UG,TransferIn,21,19,6.34,N,N,PhD,14,2325275.25,N,Y,65.83,N,81.21,1556922.88,4671415.11
2016-SEM2,AISHE116835,CIP4255,PhD,TransferIn,29,18,9.53,N,Y,PG_Diploma,53,652191.86,N,Y,43.12,N,11.52,1759007.23,2807523.25
2024-TRI3,AISHE967232,CIP3245,Diploma,ReEntry,7,0,7.27,N,N,PG_Diploma,68,1861634.97,Y,Y,28.86,Y,72.59,477087.06,2041171.26
2018-TRI1,AISHE306470,CIP2126,Diploma,Continuing,24,22,4.14,N,N,Degree,46,2250190.59,N,N,53.69,Y,49.08,334879.6,1068771.32
2018-SEM2,AISHE344935,CIP9255,PG,ReEntry,12,10,5.98,N,N,Degree,37,748122.5,N,Y,38.76,N,76.21,228009.3,4081891.22
2021-TRI2,AISHE315499,CIP9353,PG,FirstTime,29,25,9.01,Y,N,PhD,25,1235725.53,Y,N,22.94,Y,68.81,173404.71,2623194.18
2018-SEM1,AISHE745618,CIP7630,UG,Continuing,16,14,9.71,Y,N,Certificate,30,342467.65,Y,Y,33.22,Y,64.4,1923553.61,1793245.3
2016-TRI3,AISHE930576,CIP5759,Certificate,FirstTime,7,4,6.03,Y,Y,PhD,25,124105.5,N,Y,35.24,Y,93.18,1065745.89,2355115.16
2019-TRI2,AISHE873106,CIP9542,Diploma,FirstTime,9,1,4.35,Y,N,Degree,46,1613344.83,N,N,85.45,Y,68.44,549893.27,5157295.9
2016-SEM2,AISHE647055,CIP2687,Certificate,Continuing,12,2,7.83,N,Y,Degree,32,1648421.29,N,Y,12.23,N,73.59,516718.87,4818777.47
2025-SEM2,AISHE138397,CIP7791,Certificate,ReEntry,18,15,8.98,N,N,Diploma,17,577394.0,N,Y,75.81,Y,61.15,925077.81,1271030.8
2023-SEM2,AISHE374382,CIP5435,Diploma,Continuing,28,19,7.81,N,Y,PhD,75,1316688.35,Y,Y,29.59,N,32.67,96358.58,498216.83
2021-TRI1,AISHE563198,CIP9075,PhD,TransferIn,10,5,8.8,Y,N,Diploma,8,2137599.29,N,Y,25.78,N,38.0,1994625.28,3876437.16
2020-TRI3,AISHE630787,CIP8976,PhD,Continuing,31,20,8.04,N,Y,PhD,83,1144342.36,Y,N,74.02,Y,50.09,998178.87,2254647.06
2021-TRI2,AISHE490648,CIP4639,UG,ReEntry,22,20,6.69,Y,Y,Degree,70,583221.49,N,Y,38.89,N,38.73,1198549.25,3182149.34
2024-SEM1,AISHE963888,CIP7740,PhD,Continuing,12,1,7.23,Y,Y,PG_Diploma,74,670915.98,N,Y,44.26,N,48.43,1122102.25,618932.08
2017-TRI3,AISHE708665,CIP5085,UG,TransferIn,22,17,8.25,N,Y,PhD,34,2475337.37,N,Y,13.39,N,52.16,1445241.57,463117.89
2021-TRI2,AISHE320136,CIP9277,PhD,Continuing,9,9,6.8,Y,N,Certificate,66,2282228.2,N,N,77.31,Y,16.61,1341928.76,1639668.24
2018-SEM2,AISHE466914,CIP7593,Diploma,ReEntry,26,20,6.9,Y,Y,Certificate,89,1493623.71,N,Y,59.71,N,57.44,359760.58,1008602.37
2023-SEM2,AISHE550626,CIP8316,PhD,ReEntry,20,12,4.63,N,N,PhD,37,1826894.85,Y,N,26.09,N,84.87,763401.75,2081774.39
2020-TRI2,AISHE163870,CIP9337,Diploma,FirstTime,23,16,7.78,Y,Y,Degree,77,1429232.02,Y,N,22.22,Y,25.51,1694629.67,3836913.37
2020-TRI1,AISHE474649,CIP3975,Certificate,TransferIn,23,18,5.23,N,N,Certificate,11,2058706.84,N,N,83.61,Y,96.35,590035.23,1556651.78
2019-TRI2,AISHE367943,CIP9391,Diploma,ReEntry,20,19,8.26,N,N,Degree,30,323901.56,Y,N,85.22,N,40.18,1355410.36,2805358.64
2022-TRI3,AISHE866190,CIP1278,Diploma,ReEntry,22,20,8.02,N,Y,Degree,9,1772551.5,N,Y,76.42,N,43.56,1210126.22,1382460.56
