edu_k12out_school_year,edu_k12out_district_id_udise,edu_k12out_school_id_udise,edu_k12out_grade_level,edu_k12out_subject_area,edu_k12out_assessment_scale_score,edu_k12out_proficiency_level,edu_k12out_growth_percentile,edu_k12out_attendance_rate_pct,edu_k12out_chronic_absenteeism_rate,edu_k12out_graduation_cohort_year,edu_k12out_graduation_rate_pct,edu_k12out_dropout_rate_pct,edu_k12out_discipline_incident_rate,edu_k12out_special_education_share_pct,edu_k12out_ell_share_pct,edu_k12out_gifted_program_share_pct,edu_k12out_student_teacher_ratio,edu_k12out_per_pupil_spending,edu_k12out_accountability_rating_code
2020-21,UDISE-D16695,UDISE-S8320181,Grade_9,SocialStudies,141.7,Below_Basic,77,71.44,29.82,2023,92.61,12.26,12.01,6.98,13.08,3.24,41.98,45333.54,B
2025-26,UDISE-D78715,UDISE-S6877831,Grade_10,RegionalLanguage,359.1,Proficient,78,79.2,37.27,2017,53.8,11.67,101.68,9.61,30.86,7.96,19.84,130361.86,NA
2019-20,UDISE-D76956,UDISE-S4991775,Grade_7,Reading,586.0,Advanced,14,78.67,25.69,2016,51.54,5.69,86.86,9.2,20.12,8.2,22.71,156816.79,E
2022-23,UDISE-D54074,UDISE-S2036063,Grade_3,Hindi,682.1,Below_Basic,3,78.69,2.28,2026,60.08,10.48,92.77,9.41,21.71,8.47,12.91,45630.51,E
2016-17,UDISE-D51168,UDISE-S8724395,Grade_8,Math,834.7,Advanced,77,60.22,5.9,2024,51.5,16.44,57.4,10.17,25.61,9.19,14.19,79896.35,E
2019-20,UDISE-D90096,UDISE-S8143494,Grade_11,Science,156.1,Below_Basic,86,84.6,33.53,2022,47.91,2.03,101.27,6.8,6.38,1.57,27.23,57037.58,A
2019-20,UDISE-D41274,UDISE-S3619401,Grade_2,Science,295.6,Proficient,83,76.61,11.42,2018,41.78,3.87,9.49,8.06,13.63,9.2,36.71,128900.61,A
2017-18,UDISE-D13596,UDISE-S5672638,Grade_11,Math,522.1,Proficient,82,97.11,21.68,2026,71.48,1.61,103.84,5.92,29.16,10.0,50.41,50900.74,B
2022-23,UDISE-D84577,UDISE-S6525402,Grade_1,Reading,800.3,Proficient,83,85.05,39.03,2024,40.19,12.03,69.64,3.71,24.45,7.73,10.79,167016.72,E
2020-21,UDISE-D86602,UDISE-S2098714,Grade_8,RegionalLanguage,429.4,Below_Basic,51,67.59,19.07,2022,87.24,3.66,67.03,13.42,12.35,2.01,51.14,22315.74,C
2025-26,UDISE-D14791,UDISE-S9003149,Grade_2,RegionalLanguage,832.3,Proficient,75,62.56,32.74,2022,66.09,14.83,75.59,12.32,8.49,10.13,12.52,150602.83,E
2018-19,UDISE-D76813,UDISE-S4912056,Grade_8,Reading,584.1,Below_Basic,4,93.06,24.13,2023,61.6,1.03,25.59,0.86,8.13,9.56,41.62,179521.2,A
2018-19,UDISE-D18327,UDISE-S3535510,Grade_2,English,687.1,Proficient,71,89.82,25.57,2022,40.18,10.02,90.84,2.65,14.16,0.25,17.6,76883.04,D
2023-24,UDISE-D24479,UDISE-S6864818,Grade_12,RegionalLanguage,347.5,Advanced,16,91.94,36.34,2018,77.04,6.73,104.69,8.19,4.66,1.44,40.31,97304.67,NA
2021-22,UDISE-D49952,UDISE-S2038317,Grade_4,English,886.6,Advanced,88,92.81,33.75,2019,53.36,7.84,10.38,0.86,2.41,2.95,12.2,20530.09,C
2016-17,UDISE-D20848,UDISE-S7303297,Grade_4,SocialStudies,544.0,Basic,20,70.97,39.62,2023,61.28,5.95,50.7,10.33,26.98,4.21,40.07,106851.0,A
2020-21,UDISE-D12612,UDISE-S1505598,Grade_1,Hindi,431.2,Basic,91,82.16,16.83,2021,64.6,7.56,108.89,4.57,14.72,8.61,15.05,150570.85,B
2018-19,UDISE-D86467,UDISE-S3838679,Grade_9,Hindi,868.9,Below_Basic,49,98.91,6.97,2022,94.75,0.43,100.17,14.16,27.28,7.18,45.19,18618.38,A
2022-23,UDISE-D31216,UDISE-S4165281,Grade_8,Hindi,438.0,Basic,68,71.53,18.65,2021,88.82,7.07,12.87,7.67,28.05,4.53,40.38,11770.98,B
2019-20,UDISE-D67278,UDISE-S9177471,Grade_8,English,886.9,Advanced,17,98.96,12.81,2020,75.16,1.0,54.23,0.6,5.31,6.44,42.36,171068.55,NA
2019-20,UDISE-D40407,UDISE-S2366224,Grade_3,Hindi,548.3,Basic,91,80.95,21.97,2023,92.8,0.95,52.85,14.87,24.77,7.06,27.28,19560.81,A
2020-21,UDISE-D82109,UDISE-S1667197,Grade_1,SocialStudies,130.8,Below_Basic,43,67.66,42.17,2016,81.56,6.01,34.17,2.66,30.64,7.97,39.29,137056.61,C
2016-17,UDISE-D55298,UDISE-S9895453,Grade_10,Hindi,389.4,Below_Basic,30,91.72,32.28,2016,88.42,8.15,81.79,13.69,8.66,1.7,22.45,15196.83,E
2020-21,UDISE-D90211,UDISE-S4685929,Grade_7,SocialStudies,755.2,Advanced,63,65.07,2.79,2018,60.55,3.14,49.09,5.21,26.4,8.85,27.74,48913.6,C
2022-23,UDISE-D83155,UDISE-S4071006,Grade_11,SocialStudies,588.5,Basic,93,78.53,3.52,2025,85.77,17.02,90.51,3.36,12.09,9.87,10.73,86371.58,B
2024-25,UDISE-D57034,UDISE-S4097815,Grade_2,Hindi,484.8,Proficient,74,80.62,32.84,2018,67.78,11.97,27.19,0.42,18.57,8.95,36.21,97170.36,C
2021-22,UDISE-D41609,UDISE-S7159203,Grade_12,Hindi,353.9,Basic,40,67.93,5.96,2022,60.9,1.64,9.48,6.78,28.42,6.48,16.96,49578.01,C
2016-17,UDISE-D94128,UDISE-S9697254,Grade_4,Science,260.8,Basic,39,73.96,19.07,2024,78.9,11.1,108.03,5.24,9.59,1.62,50.11,89930.39,D
2025-26,UDISE-D44106,UDISE-S2305474,Grade_11,Hindi,677.1,Below_Basic,42,61.73,6.83,2023,75.59,6.9,84.21,10.81,3.17,10.33,31.28,23106.41,C
2022-23,UDISE-D19803,UDISE-S9790405,Grade_3,Reading,854.9,Advanced,24,74.76,16.27,2022,67.84,6.42,47.91,5.35,15.49,6.72,39.23,70111.2,C
2024-25,UDISE-D16396,UDISE-S4506876,Grade_5,RegionalLanguage,328.9,Proficient,29,71.29,24.85,2025,47.17,10.05,53.25,13.1,14.22,9.33,23.92,22874.72,C
2018-19,UDISE-D41860,UDISE-S1968018,Grade_9,English,639.2,Basic,45,80.04,30.62,2026,45.01,17.45,16.94,10.17,33.62,9.53,29.95,91023.0,B
2024-25,UDISE-D83675,UDISE-S4293628,Grade_8,English,277.3,Below_Basic,54,75.93,23.11,2016,46.32,6.36,102.44,0.85,21.44,10.71,33.92,102550.62,C
2025-26,UDISE-D58049,UDISE-S4395474,Grade_6,Math,721.5,Proficient,12,81.56,20.47,2021,99.29,3.42,23.25,10.96,22.26,10.18,28.96,86528.96,C
2020-21,UDISE-D61947,UDISE-S6883671,Grade_9,SocialStudies,717.7,Basic,9,84.27,14.26,2023,66.47,16.43,5.43,0.51,1.82,2.02,16.15,116689.16,NA
2020-21,UDISE-D10851,UDISE-S1511415,Grade_5,Reading,445.4,Basic,16,75.36,12.76,2016,92.11,13.96,117.62,4.63,0.55,0.66,28.72,174575.23,C
2017-18,UDISE-D80815,UDISE-S1772946,Grade_12,English,866.9,Advanced,6,79.93,26.76,2018,44.62,6.27,96.51,4.75,13.52,1.04,49.05,56044.66,NA
2020-21,UDISE-D10761,UDISE-S9004091,Grade_6,Hindi,735.4,Below_Basic,93,60.76,42.14,2018,86.47,9.46,111.98,13.63,10.99,10.91,31.9,167163.78,B
2016-17,UDISE-D24102,UDISE-S8305910,Grade_10,RegionalLanguage,838.2,Below_Basic,80,83.77,14.67,2024,47.5,13.24,26.23,14.69,16.71,1.54,24.28,129745.41,A
2020-21,UDISE-D94606,UDISE-S9271800,Grade_5,SocialStudies,793.5,Below_Basic,3,66.19,17.62,2022,96.18,16.92,53.92,2.51,19.71,8.53,31.67,27511.96,NA
2019-20,UDISE-D15027,UDISE-S9002603,Grade_12,Reading,100.8,Advanced,99,70.65,33.38,2024,59.07,14.88,37.51,4.32,32.87,4.32,20.89,95966.75,D
2018-19,UDISE-D80720,UDISE-S4418149,Grade_5,SocialStudies,142.5,Proficient,96,65.18,16.64,2020,43.32,2.09,115.19,12.39,33.84,2.57,31.65,37836.58,A
2018-19,UDISE-D18731,UDISE-S1795312,Grade_1,Science,457.6,Advanced,20,71.95,17.69,2025,93.24,9.02,96.64,10.18,32.67,0.32,46.5,148153.38,NA
2024-25,UDISE-D60088,UDISE-S7640428,Grade_5,Hindi,597.1,Advanced,97,91.57,14.73,2023,85.83,6.48,108.57,8.27,25.69,5.37,19.52,158221.26,C
2020-21,UDISE-D25288,UDISE-S6318754,Grade_12,SocialStudies,453.2,Proficient,6,69.72,43.42,2023,88.03,2.32,60.28,13.7,0.03,9.09,53.26,140639.47,D
2021-22,UDISE-D14312,UDISE-S2612031,Grade_2,RegionalLanguage,170.6,Advanced,5,97.98,19.55,2021,59.39,16.59,117.7,9.73,31.47,6.95,40.24,54408.22,A
2022-23,UDISE-D16178,UDISE-S8524139,Grade_4,English,303.6,Proficient,44,74.32,42.2,2026,96.92,16.71,96.26,10.3,24.86,8.26,43.29,129271.05,A
2017-18,UDISE-D28480,UDISE-S4858866,Grade_6,English,183.4,Below_Basic,55,76.89,10.02,2023,85.63,12.61,58.79,1.0,7.12,1.09,38.38,19433.4,A
2024-25,UDISE-D23714,UDISE-S9435171,Grade_6,Math,280.3,Proficient,75,74.78,28.19,2023,90.84,17.88,99.49,0.1,7.78,11.33,11.91,164119.87,A
2018-19,UDISE-D43393,UDISE-S3899234,Grade_8,Science,448.1,Basic,56,64.34,7.6,2021,63.81,15.02,26.74,9.75,22.74,7.26,11.92,15151.88,B
2024-25,UDISE-D66360,UDISE-S4639915,Grade_7,English,323.0,Advanced,51,88.39,0.69,2017,46.47,1.77,17.19,0.29,16.56,5.0,17.84,161327.59,C
2024-25,UDISE-D56793,UDISE-S4085693,Grade_3,Math,593.5,Basic,79,69.01,10.72,2017,61.03,7.79,27.51,12.67,26.22,1.87,52.4,40000.72,A
2017-18,UDISE-D89560,UDISE-S7170167,Grade_8,English,864.7,Below_Basic,57,70.87,22.86,2017,96.65,14.34,77.79,0.68,28.21,1.96,24.13,154421.33,B
2017-18,UDISE-D48914,UDISE-S5837929,Grade_9,Reading,189.8,Advanced,57,80.93,16.77,2023,61.92,0.6,0.79,11.32,27.1,4.25,49.7,72307.99,NA
2023-24,UDISE-D88954,UDISE-S6704549,Grade_4,Science,547.0,Below_Basic,29,78.61,29.76,2026,84.31,11.54,9.98,1.5,10.99,1.6,52.04,24637.11,E
2025-26,UDISE-D94149,UDISE-S1160330,Grade_8,Math,268.3,Proficient,18,93.36,32.39,2016,75.6,11.75,85.94,12.01,34.58,4.28,11.47,94562.68,E
2024-25,UDISE-D46460,UDISE-S6431206,Grade_5,RegionalLanguage,353.7,Advanced,98,85.46,2.0,2020,78.93,14.62,118.76,5.96,27.03,11.81,19.53,138668.44,C
2016-17,UDISE-D22001,UDISE-S1940990,Grade_12,Hindi,148.5,Below_Basic,37,70.27,3.83,2026,92.33,13.6,119.2,7.58,13.99,4.47,53.23,129739.5,E
2021-22,UDISE-D23239,UDISE-S1457282,Grade_11,Reading,223.9,Proficient,61,77.41,10.87,2020,61.31,4.33,114.78,12.6,28.69,10.63,18.37,152665.71,E
2023-24,UDISE-D83503,UDISE-S1402934,Grade_5,Science,249.9,Below_Basic,86,85.28,17.05,2016,96.5,5.58,18.4,10.51,2.05,11.3,26.53,19520.47,NA
2016-17,UDISE-D84364,UDISE-S1587051,Grade_4,SocialStudies,242.0,Basic,40,89.79,21.71,2019,76.89,1.81,33.59,11.37,12.55,8.19,16.27,112897.04,E
2022-23,UDISE-D76481,UDISE-S9026954,Grade_1,Hindi,818.5,Basic,16,81.24,6.07,2022,95.6,9.44,92.29,10.43,33.27,0.15,54.61,16819.56,C
2020-21,UDISE-D76120,UDISE-S2059376,Grade_2,RegionalLanguage,525.2,Below_Basic,67,75.81,28.18,2024,73.27,5.56,92.33,9.99,22.16,11.29,49.96,57522.58,E
2021-22,UDISE-D13379,UDISE-S1249867,Grade_4,Science,323.1,Advanced,65,67.7,8.7,2019,95.63,8.48,8.84,9.79,9.42,9.45,21.5,150758.05,C
2025-26,UDISE-D37258,UDISE-S9458996,Grade_10,Math,272.9,Proficient,49,89.56,29.95,2024,43.66,4.37,8.76,6.18,12.69,6.17,44.49,48288.41,D
2024-25,UDISE-D89812,UDISE-S6595560,Grade_9,Reading,673.0,Proficient,46,67.75,17.63,2021,72.52,6.72,48.05,5.6,6.56,1.09,30.25,110351.42,B
2024-25,UDISE-D45228,UDISE-S3566583,Grade_2,Hindi,796.0,Proficient,24,69.35,0.04,2020,58.52,2.64,39.12,10.24,4.38,1.03,17.3,139995.91,D
2020-21,UDISE-D80805,UDISE-S2049951,Grade_5,SocialStudies,737.0,Proficient,91,70.71,32.82,2023,64.7,12.2,106.68,1.92,15.15,8.24,42.89,31077.69,E
2023-24,UDISE-D29010,UDISE-S8274873,Grade_12,SocialStudies,464.5,Advanced,65,85.41,16.4,2018,73.25,17.58,79.86,14.26,28.44,10.18,28.12,115037.04,NA
2020-21,UDISE-D41505,UDISE-S1608174,Grade_2,SocialStudies,836.1,Basic,53,94.08,35.63,2019,96.86,14.41,117.16,5.65,3.63,7.52,28.74,58938.37,C
