energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_inr,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2020,EFF2020-00001,building_retrofit,7775.59,46658,11672.24,739.49,274474.84,45.09,1.67,0.722,0.916,0.135,0.094,metered_savings,RPT2020-000001,0,78,50.44,66
2023,EFF2023-00002,building_retrofit,18618.59,8659,78038.51,1414.92,127938.06,439.008,1.614,0.808,0.858,0.281,0.156,metered_savings,RPT2023-000002,1,526,26.76,140
2025,EFF2025-00003,led,7780.79,21628,276775.62,4357.343,230804.48,1232.433,1.453,0.419,0.64,0.126,0.154,engineering,RPT2025-000003,1,102,53.71,181
2025,EFF2025-00004,led,20857.35,43913,309946.11,2693.448,425460.37,1969.613,1.727,1.723,0.859,0.078,0.169,billing_analysis,RPT2025-000004,1,249,61.66,135
2023,EFF2023-00005,solar_rooftop,155123.0,11077,374215.66,91.149,59316.78,1009.231,1.524,0.611,0.839,0.098,0.156,billing_analysis,RPT2023-000005,1,384,28.06,154
2018,EFF2018-00006,smart_meter,219062.07,48965,534936.19,2692.68,269265.54,4632.309,1.837,0.841,0.889,0.074,0.109,engineering,RPT2018-000006,1,19,23.91,137
2023,EFF2023-00007,building_retrofit,238503.86,27855,675921.53,45.64,469413.34,3556.703,1.012,1.403,0.675,0.066,0.107,billing_analysis,RPT2023-000007,1,203,64.25,159
2022,EFF2022-00008,insulation,82352.26,22598,356118.72,2258.037,147335.58,2043.348,1.99,1.84,0.685,0.013,0.068,metered_savings,RPT2022-000008,0,128,65.62,63
2021,EFF2021-00009,solar_rooftop,145521.78,24305,506494.99,2407.689,146970.01,1172.788,1.452,0.251,0.664,0.157,0.103,billing_analysis,RPT2021-000009,0,408,75.79,66
2021,EFF2021-00010,smart_meter,145854.46,26373,102543.9,3172.086,533749.22,1155.033,0.421,1.233,0.712,0.221,0.116,billing_analysis,RPT2021-000010,1,85,38.52,100
2020,EFF2020-00011,hvac,143794.07,19124,357624.95,3183.21,312540.07,2530.809,0.262,0.211,0.872,0.271,0.172,billing_analysis,RPT2020-000011,1,558,58.68,35
2019,EFF2019-00012,solar_rooftop,162258.15,21534,203697.31,2848.877,516187.42,750.138,0.645,0.996,0.755,0.0,0.039,metered_savings,RPT2019-000012,0,231,88.22,46
2023,EFF2023-00013,ag_pump,3532.85,17558,493217.39,8.917,280814.66,2489.305,0.48,0.594,0.751,0.124,0.081,onsite,RPT2023-000013,1,51,53.43,92
2025,EFF2025-00014,smart_meter,44873.6,48499,209010.68,2169.758,209861.63,2488.713,0.234,0.787,0.834,0.018,0.102,randomized,RPT2025-000014,0,393,70.28,191
2019,EFF2019-00015,building_retrofit,237294.22,35831,332945.29,1428.651,215422.81,2025.542,1.248,1.054,0.887,0.142,0.153,metered_savings,RPT2019-000015,1,441,65.61,42
2022,EFF2022-00016,led,30734.4,15105,444429.07,1524.246,170040.56,2477.57,1.217,1.027,0.885,0.102,0.112,engineering,RPT2022-000016,0,531,73.78,7
2022,EFF2022-00017,ag_pump,232565.81,12724,462952.07,2590.428,43555.78,2053.224,1.611,1.185,0.855,0.154,0.086,metered_savings,RPT2022-000017,1,377,67.35,18
2022,EFF2022-00018,smart_meter,162021.29,30843,160279.73,1857.21,138272.92,1845.124,1.453,0.896,0.698,0.185,0.054,randomized,RPT2022-000018,0,21,43.93,65
2019,EFF2019-00019,smart_meter,14238.34,21653,646447.9,4228.075,452912.14,2424.856,1.767,0.74,0.978,0.221,0.108,engineering,RPT2019-000019,1,223,61.86,47
2020,EFF2020-00020,ag_pump,122413.48,43890,319640.68,172.621,451930.35,2100.104,1.338,0.425,0.616,0.328,0.244,randomized,RPT2020-000020,0,519,99.74,145
2021,EFF2021-00021,motor,104266.14,2694,775922.42,3043.835,73172.26,7888.352,0.568,1.407,0.854,0.046,0.008,engineering,RPT2021-000021,0,299,76.92,58
2022,EFF2022-00022,hvac,163890.5,4558,466682.32,2310.928,542971.58,5127.762,0.199,0.05,0.891,0.211,0.053,engineering,RPT2022-000022,1,614,45.8,128
2024,EFF2024-00023,ag_pump,106469.19,11236,367180.28,4266.816,133679.79,925.021,1.478,0.721,0.691,0.215,0.02,engineering,RPT2024-000023,1,578,46.54,24
2023,EFF2023-00024,building_retrofit,140073.74,11487,100558.19,682.48,352255.33,675.912,0.857,0.944,0.631,0.087,0.125,randomized,RPT2023-000024,0,647,93.71,9
2019,EFF2019-00025,motor,224046.26,29961,167857.61,1754.921,107486.3,1446.013,1.484,1.757,0.599,0.229,0.162,onsite,RPT2019-000025,0,512,72.32,224
2019,EFF2019-00026,smart_meter,69567.66,21236,678562.9,449.451,334318.94,7855.864,1.004,0.849,0.935,0.212,0.068,engineering,RPT2019-000026,0,424,54.53,16
2019,EFF2019-00027,building_retrofit,18535.92,40464,142290.85,817.083,297164.24,612.565,1.141,1.396,0.818,0.106,0.103,billing_analysis,RPT2019-000027,1,544,71.63,182
2020,EFF2020-00028,smart_meter,210759.34,4772,294537.11,3795.406,286419.51,1945.06,0.566,2.364,0.837,0.22,0.201,onsite,RPT2020-000028,0,543,9.6,173
2024,EFF2024-00029,smart_meter,184556.61,44809,747673.66,2970.565,24864.65,1671.254,1.327,2.008,0.802,0.129,0.05,engineering,RPT2024-000029,0,97,64.28,174
2020,EFF2020-00030,hvac,10129.48,45337,794514.25,4249.411,279086.59,9324.165,1.614,1.649,0.78,0.098,0.062,randomized,RPT2020-000030,1,530,66.49,89
2020,EFF2020-00031,ag_pump,75733.45,49993,51580.81,2001.345,468878.99,499.138,2.249,1.149,0.946,0.092,0.0,onsite,RPT2020-000031,0,375,52.1,30
2022,EFF2022-00032,solar_rooftop,137807.32,10902,132091.38,4404.24,334943.76,1477.343,1.962,0.263,0.902,0.173,0.053,metered_savings,RPT2022-000032,1,244,45.05,9
2024,EFF2024-00033,motor,233015.89,21314,149084.52,2411.068,222863.54,1742.735,0.849,1.675,0.919,0.2,0.146,engineering,RPT2024-000033,1,141,71.74,51
