energy_outage_outage_start_timestamp,energy_outage_outage_end_timestamp,energy_outage_utility_service_area_id,energy_outage_cause_category_code,energy_outage_customers_affected_count,energy_outage_customer_minutes_interrupted,energy_outage_saidi_minutes,energy_outage_saifi_frequency,energy_outage_momentary_interruptions_count,energy_outage_restoration_time_median_minutes,energy_outage_crew_dispatch_time_minutes,energy_outage_mutual_aid_crew_count,energy_outage_critical_facility_impact_flag,energy_outage_public_safety_power_shutdown_flag,energy_outage_storm_event_name,energy_outage_vegetation_related_flag,energy_outage_equipment_failure_flag,energy_outage_cyber_incident_flag,energy_outage_outage_notification_channel,energy_outage_after_action_report_id
2023-07-07T22:41:00,2023-07-08T14:14:00,AREAWR057,storm,336145,313623285,1153.14,1.061,1181,780,28,14,0,0,Remal,0,0,0,app,AAR20230707-00001
2024-03-10T09:08:00,2024-03-12T08:39:00,AREANE042,load_shed,478823,1365124373,2513.45,0.01,189,1389,25,50,1,0,,0,0,0,app,AAR20240310-00002
2021-09-15T01:27:00,2021-09-15T17:19:00,AREAER017,cyber,3535,3365320,769.79,1.021,26,414,35,93,1,1,,0,0,1,website,AAR20210915-00003
2023-06-17T04:05:00,2023-06-17T09:40:00,AREASR077,planned,450122,150790870,435.83,0.726,992,229,75,43,1,1,,0,0,0,social,AAR20230617-00004
2021-04-28T22:35:00,2021-04-29T21:45:00,AREASR048,planned,300528,417733920,793.89,1.188,471,853,63,33,0,0,,0,0,0,sms,AAR20210428-00005
2021-01-29T08:41:00,2021-01-29T19:16:00,AREAWR005,planned,393270,249726450,294.45,1.083,759,545,3,54,1,0,,0,0,0,app,AAR20210129-00006
2020-12-04T18:49:00,2020-12-05T05:44:00,AREANE004,equipment,41855,27415025,792.68,1.152,871,306,46,20,1,1,,0,1,0,app,AAR20201204-00007
2020-08-16T21:02:00,2020-08-18T10:36:00,AREANR039,animal,465338,1048871852,2529.67,1.356,779,1496,73,45,0,0,,0,0,0,app,AAR20200816-00008
2023-04-13T11:25:00,2023-04-14T06:08:00,AREAWR035,vegetation,455155,511139065,593.7,0.611,346,721,33,58,1,0,,1,0,0,app,AAR20230413-00009
2021-11-15T12:02:00,2021-11-16T10:12:00,AREANR017,vegetation,77596,103202680,1472.68,1.493,655,707,84,50,0,1,,1,0,0,social,AAR20211115-00010
2020-11-23T05:40:00,2020-11-23T12:23:00,AREAER020,cyber,301703,121586309,267.55,0.845,918,249,73,12,0,0,,0,0,1,website,AAR20201123-00011
2023-10-07T20:19:00,2023-10-08T00:12:00,AREANE051,load_shed,125446,29228918,130.99,0.978,262,198,78,24,0,1,,0,0,0,website,AAR20231007-00012
2021-07-13T05:26:00,2021-07-13T20:11:00,AREANE044,storm,103963,92007255,487.0,0.297,884,625,60,29,1,0,Amphan,0,0,0,website,AAR20210713-00013
2023-09-03T17:13:00,2023-09-05T04:25:00,AREAER014,equipment,292637,618049344,1811.16,0.584,401,1027,78,11,1,0,,0,1,0,call_center,AAR20230903-00014
2021-11-13T08:08:00,2021-11-14T11:42:00,AREAWR042,vegetation,14891,24629714,2017.14,0.01,884,837,30,95,1,1,,1,0,0,sms,AAR20211113-00015
2022-01-23T12:33:00,2022-01-24T17:35:00,AREAER039,cyber,211517,368462614,2414.75,0.87,1130,1237,11,76,0,1,,0,0,1,social,AAR20220123-00016
2024-11-11T20:35:00,2024-11-12T22:09:00,AREAER014,vegetation,190336,291975424,1419.92,1.715,878,716,80,69,1,1,,1,0,0,social,AAR20241111-00017
2023-03-22T23:59:00,2023-03-23T20:47:00,AREANR034,planned,317124,395770752,752.82,1.02,731,1144,88,33,1,1,,0,0,0,website,AAR20230322-00018
2021-01-18T06:01:00,2021-01-19T09:50:00,AREASR027,vegetation,246450,411325050,1352.56,1.724,322,684,45,17,1,1,,1,0,0,app,AAR20210118-00019
2024-02-13T04:11:00,2024-02-13T06:45:00,AREANR029,load_shed,187654,28898716,132.19,0.01,470,104,43,17,1,0,,0,0,0,social,AAR20240213-00020
2021-11-07T19:19:00,2021-11-09T12:56:00,AREASR040,equipment,436287,1089408639,3374.12,0.795,321,1253,84,79,1,1,,0,1,0,call_center,AAR20211107-00021
2020-04-30T23:10:00,2020-05-01T13:50:00,AREANE004,vegetation,16529,14545520,659.63,0.01,1054,685,53,94,0,0,,1,0,0,website,AAR20200430-00022
2021-11-11T12:34:00,2021-11-12T09:28:00,AREAWR078,equipment,396532,497251128,1654.59,0.579,575,851,76,50,1,1,,0,1,0,website,AAR20211111-00023
2022-09-09T09:25:00,2022-09-11T03:43:00,AREANR001,animal,371461,942768018,3013.35,2.177,903,1941,20,9,0,0,,0,0,0,social,AAR20220909-00024
2023-10-24T12:51:00,2023-10-25T22:28:00,AREANE077,equipment,300820,606753940,1362.17,1.417,410,1228,6,3,0,0,,0,1,0,social,AAR20231024-00025
2023-10-11T11:13:00,2023-10-12T07:34:00,AREANE080,load_shed,51846,63303966,1472.41,0.481,42,751,2,109,1,0,,0,0,0,website,AAR20231011-00026
2024-04-19T13:36:00,2024-04-21T03:10:00,AREAER026,equipment,109178,246087212,2232.8,1.165,807,1799,78,91,0,0,,0,1,0,call_center,AAR20240419-00027
2024-02-15T05:14:00,2024-02-15T10:38:00,AREANR069,storm,200946,65106504,132.92,0.785,400,185,22,26,0,0,Remal,0,0,0,social,AAR20240215-00028
2023-11-04T20:44:00,2023-11-06T12:44:00,AREAER035,load_shed,246605,591852000,1270.75,1.781,216,1593,37,57,0,0,,0,0,0,social,AAR20231104-00029
2021-02-03T21:08:00,2021-02-05T16:20:00,AREAWR020,storm,485343,1258009056,881.05,0.754,21,1269,3,15,0,0,Midhili,0,0,0,app,AAR20210203-00030
2024-10-01T04:30:00,2024-10-02T12:23:00,AREAWR014,load_shed,267554,511830802,2030.77,0.845,1104,1090,55,73,1,1,,0,0,0,app,AAR20241001-00031
2022-06-02T04:09:00,2022-06-03T12:18:00,AREANE046,animal,443642,855785418,2503.26,1.101,116,1043,32,28,0,1,,0,0,0,website,AAR20220602-00032
2020-11-28T12:11:00,2020-11-29T15:02:00,AREAER006,vegetation,334759,539296749,2118.36,0.98,1111,1491,37,32,1,0,,1,0,0,call_center,AAR20201128-00033
2021-10-30T03:57:00,2021-10-31T21:16:00,AREANE021,planned,243152,602773808,3035.1,0.445,934,2116,58,116,1,0,,0,0,0,app,AAR20211030-00034
2021-10-04T01:34:00,2021-10-05T01:51:00,AREASR050,load_shed,66608,97047856,1893.49,2.163,249,876,14,116,0,1,,0,0,0,app,AAR20211004-00035
2021-04-29T06:17:00,2021-04-30T19:57:00,AREAWR011,cyber,305290,689955400,1237.15,0.755,539,1946,77,58,0,1,,0,0,1,app,AAR20210429-00036
2023-08-23T23:18:00,2023-08-25T03:46:00,AREAER056,storm,15251,26048708,1464.3,1.547,1178,1474,34,54,0,1,Fani,0,0,0,social,AAR20230823-00037
2023-12-27T22:51:00,2023-12-29T21:07:00,AREASR022,equipment,350795,973806920,902.02,0.741,388,1879,25,16,0,1,,0,1,0,sms,AAR20231227-00038
2022-12-05T23:22:00,2022-12-06T04:06:00,AREAER044,load_shed,71091,20189844,143.24,0.815,768,214,60,103,1,1,,0,0,0,social,AAR20221205-00039
2022-10-19T06:53:00,2022-10-20T09:36:00,AREASR013,cyber,198732,318567396,1353.25,0.842,32,1166,52,94,0,1,,0,0,1,social,AAR20221019-00040
2020-03-12T08:04:00,2020-03-12T08:45:00,AREAWR017,cyber,117087,4800567,46.7,0.465,174,27,13,109,0,1,,0,0,1,app,AAR20200312-00041
2022-10-22T23:26:00,2022-10-23T17:32:00,AREANE009,storm,123100,133686600,876.39,1.075,228,473,43,52,1,0,Nivar,0,0,0,website,AAR20221022-00042
2024-11-23T02:37:00,2024-11-24T00:34:00,AREAWR048,vegetation,225803,297382551,856.06,0.654,889,565,56,17,1,1,,1,0,0,call_center,AAR20241123-00043
2021-04-30T06:15:00,2021-05-01T04:30:00,AREAER072,vegetation,115637,154375395,1578.94,0.975,479,699,47,87,0,0,,1,0,0,website,AAR20210430-00044
2022-05-02T05:01:00,2022-05-02T10:28:00,AREAER054,planned,40206,13147362,377.66,0.331,249,252,44,52,1,0,,0,0,0,website,AAR20220502-00045
2023-06-27T18:25:00,2023-06-28T02:40:00,AREAER041,equipment,415940,205890300,403.69,1.553,754,203,28,81,1,1,,0,1,0,social,AAR20230627-00046
2021-08-07T18:40:00,2021-08-09T13:49:00,AREASR039,animal,178671,462579219,2310.67,1.202,675,1786,30,91,0,1,,0,0,0,website,AAR20210807-00047
2020-04-20T08:06:00,2020-04-21T07:03:00,AREAER046,cyber,315435,434353995,905.52,0.359,1080,1235,48,116,1,1,,0,0,1,sms,AAR20200420-00048
2024-05-29T06:51:00,2024-05-30T14:57:00,AREAWR024,cyber,385588,742642488,2098.06,0.218,170,1678,40,41,1,1,,0,0,1,website,AAR20240529-00049
2024-11-08T05:22:00,2024-11-10T00:24:00,AREASR048,storm,86735,223949770,3583.28,0.791,469,1533,43,6,0,0,Nivar,0,0,0,social,AAR20241108-00050
2020-03-19T05:12:00,2020-03-19T20:00:00,AREASR022,equipment,39015,34645320,397.22,0.032,552,814,54,106,1,0,,0,1,0,app,AAR20200319-00051
2022-07-02T15:09:00,2022-07-02T23:28:00,AREAER047,load_shed,35182,17555818,442.04,2.402,269,241,61,98,0,0,,0,0,0,call_center,AAR20220702-00052
2023-02-04T19:02:00,2023-02-06T02:49:00,AREAWR024,animal,471513,899175291,1428.86,0.955,1015,1371,10,100,1,1,,0,0,0,social,AAR20230204-00053
2020-12-13T05:32:00,2020-12-14T10:43:00,AREANR047,storm,297942,521696442,1514.55,0.741,66,942,10,114,0,0,Nivar,0,0,0,social,AAR20201213-00054
2023-06-18T15:50:00,2023-06-19T03:52:00,AREANR005,cyber,150438,108616236,416.85,0.398,358,677,39,55,1,1,,0,0,1,website,AAR20230618-00055
2022-04-23T04:48:00,2022-04-23T13:41:00,AREAER076,load_shed,354207,188792331,440.42,1.299,448,444,22,20,0,0,,0,0,0,app,AAR20220423-00056
2020-07-11T00:06:00,2020-07-11T10:31:00,AREANE051,load_shed,227142,141963750,646.23,1.808,472,457,17,64,0,1,,0,0,0,social,AAR20200711-00057
2023-07-27T02:05:00,2023-07-27T18:43:00,AREAER036,load_shed,69355,69216290,662.99,0.27,309,608,34,42,1,1,,0,0,0,social,AAR20230727-00058
2023-07-28T22:17:00,2023-07-30T19:39:00,AREAER014,cyber,185018,503618996,2022.16,0.74,772,1355,69,91,1,0,,0,0,1,app,AAR20230728-00059
2024-02-13T23:43:00,2024-02-14T19:38:00,AREANE002,equipment,4688,5602160,687.07,0.811,40,601,25,43,0,0,,0,1,0,website,AAR20240213-00060
2021-12-28T03:45:00,2021-12-30T00:34:00,AREANE002,load_shed,206489,555248921,854.13,1.665,343,1691,68,23,0,1,,0,0,0,app,AAR20211228-00061
