energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_inr,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_inr_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_inr,energy_price_bill_amount_avg_inr,energy_price_bill_amount_p95_inr,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2022-08-19,DISCOMNE06,EV1,agriculture,286.45,30.942,325.72,31.483,69.89,18338.18,53856.84,5.07,0.0,0.0,63658,0.409,4.56,0,0,ERC202208-00001
2021-01-20,DISCOMWR04,AG1,industrial,71.97,113.28,280.25,23.652,84.38,21557.39,62969.44,1.93,0.69,0.53,465,0.082,5.731,1,0,ERC202101-00002
2019-07-01,DISCOMNR01,LT2,agriculture,235.99,62.482,570.79,10.71,16.81,13838.13,33508.02,4.99,1.23,0.97,119856,0.216,1.471,0,1,ERC201907-00003
2020-06-22,DISCOMNR04,EV1,industrial,124.8,36.974,192.54,19.815,83.88,21051.06,45747.49,12.45,0.48,0.44,10837,0.094,5.79,0,0,ERC202006-00004
2023-09-22,DISCOMER06,GOV,agriculture,86.24,88.455,598.34,26.502,93.92,11936.8,17520.89,1.28,1.27,0.84,42760,0.241,2.414,1,0,ERC202309-00005
2020-03-12,DISCOMNE01,TEMP,industrial,54.34,105.269,497.44,30.494,27.33,3049.92,7262.25,8.5,0.5,0.56,65179,0.173,6.639,1,0,ERC202003-00006
2022-07-23,DISCOMNE03,LT1A,agriculture,239.31,87.129,172.98,6.823,115.41,5806.5,10650.5,10.61,0.65,0.44,63974,0.185,3.874,0,0,ERC202207-00007
2024-08-26,DISCOMSR02,AG1,agriculture,209.21,54.476,126.98,23.409,143.48,23302.88,33458.94,6.39,1.63,1.18,35000,0.219,0.099,0,0,ERC202408-00008
2022-06-11,DISCOMNE02,LT2,industrial,61.46,31.516,385.93,15.182,124.89,14233.21,41071.64,7.76,0.67,0.58,66639,0.429,4.3,1,0,ERC202206-00009
2024-08-20,DISCOMWR04,AG1,agriculture,364.88,84.606,574.3,17.272,132.92,2680.73,7622.09,4.93,0.85,0.64,70221,0.441,4.436,0,1,ERC202408-00010
2021-02-12,DISCOMER01,AG1,commercial,274.5,69.539,319.73,2.695,148.83,15164.19,40488.94,9.72,0.0,0.0,64446,0.158,2.478,0,0,ERC202102-00011
2019-09-06,DISCOMER02,LT1A,agriculture,302.51,119.752,114.58,1.678,290.93,2333.53,3397.58,8.85,1.23,0.83,19600,0.209,7.315,0,1,ERC201909-00012
2019-08-23,DISCOMWR03,EV1,industrial,117.44,38.506,125.98,24.223,150.07,16832.76,45165.06,12.31,0.36,0.42,80308,0.272,5.067,1,1,ERC201908-00013
2020-11-24,DISCOMER06,HT2,commercial,105.89,59.149,608.21,2.531,275.36,2716.58,6683.07,11.47,0.66,0.61,53468,0.38,7.97,1,1,ERC202011-00014
2022-11-19,DISCOMNE03,HT2,agriculture,306.82,38.205,195.94,32.977,277.91,16030.05,43653.95,11.54,1.09,0.73,37620,0.305,1.888,1,1,ERC202211-00015
2023-05-07,DISCOMNR06,HT2,industrial,426.3,103.22,353.27,17.832,154.91,3283.95,6550.57,8.99,1.02,1.11,15612,0.038,2.018,0,0,ERC202305-00016
2023-01-06,DISCOMSR05,HT1,residential,274.13,27.811,401.91,4.603,232.42,18891.68,41535.41,9.89,0.0,0.0,27433,0.089,1.766,1,1,ERC202301-00017
2023-08-11,DISCOMER04,HT1,industrial,38.81,49.788,238.39,25.607,216.82,5532.27,8106.69,3.88,0.09,0.06,16298,0.361,3.503,0,1,ERC202308-00018
2024-04-22,DISCOMWR04,LT1A,commercial,315.09,91.837,581.62,9.058,177.19,3954.33,7212.72,7.45,0.98,0.73,97869,0.49,4.314,0,0,ERC202404-00019
2021-11-18,DISCOMWR05,LT1A,residential,302.81,42.291,210.89,7.908,192.74,18100.39,33129.59,9.04,1.8,1.75,54882,0.29,6.909,0,0,ERC202111-00020
2019-12-29,DISCOMNE01,LT1A,industrial,293.98,51.334,40.01,7.656,16.44,5622.42,15775.33,7.88,0.5,0.56,29300,0.266,6.008,0,1,ERC201912-00021
2022-03-01,DISCOMER03,GOV,agriculture,284.47,66.627,237.34,19.129,166.95,19315.86,31595.43,6.79,0.64,0.61,37341,0.287,3.688,1,0,ERC202203-00022
2022-07-14,DISCOMNR04,AG1,residential,338.63,34.59,21.25,30.203,253.02,6742.2,15655.63,2.84,0.79,0.65,32923,0.0,1.418,0,1,ERC202207-00023
2023-11-11,DISCOMNE02,HT2,agriculture,211.03,117.142,16.76,22.3,112.1,9833.54,16356.35,8.15,0.35,0.29,101574,0.337,2.295,1,1,ERC202311-00024
2019-01-03,DISCOMWR03,AG1,agriculture,307.93,27.109,200.28,15.524,156.58,6360.49,11655.6,11.05,1.04,0.88,115373,0.39,2.406,0,1,ERC201901-00025
2021-11-19,DISCOMNE06,AG1,residential,395.97,63.742,573.67,14.402,156.47,7928.32,14033.39,3.66,0.95,0.63,94570,0.028,1.479,0,1,ERC202111-00026
2019-02-10,DISCOMSR06,HT1,agriculture,388.5,35.487,557.87,26.23,248.47,19444.34,55678.4,8.5,1.39,1.09,115317,0.0,6.471,0,0,ERC201902-00027
2025-04-22,DISCOMER06,EV1,commercial,331.47,80.697,234.58,12.64,155.64,12547.66,19328.91,11.17,1.38,1.37,119290,0.243,3.563,1,1,ERC202504-00028
2024-09-27,DISCOMSR02,TEMP,agriculture,91.97,98.113,530.79,15.656,257.08,9153.1,22019.75,6.67,0.41,0.37,79599,0.192,4.147,0,0,ERC202409-00029
2021-01-12,DISCOMWR02,HT2,industrial,349.31,102.11,525.67,1.717,186.75,10827.19,23489.77,6.02,1.05,0.81,83783,0.241,3.084,1,0,ERC202101-00030
2020-12-30,DISCOMER04,TEMP,industrial,356.19,99.463,423.77,1.804,30.44,20412.54,55146.53,0.44,0.6,0.37,52775,0.256,0.17,0,1,ERC202012-00031
2019-09-26,DISCOMWR04,LT1A,commercial,226.67,62.162,454.68,26.934,126.58,8590.95,14943.86,7.71,0.59,0.62,39268,0.102,6.014,1,0,ERC201909-00032
